iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;5.8;14.0;22.19;0.0;14.1;3.0;21.35
1980-01-02;6.8;14.95;23.1;0.0;13.9;3.4;21.6
1980-01-03;7.04;15.42;23.8;0.0;13.996;2.5;22.07
1980-01-04;7.3;15.22;23.15;0.0;14.0;1.6;21.0
1980-01-05;6.56;14.23;21.9;0.0;14.4;2.6;17.2
1980-01-06;7.48;13.89;20.3;0.0;14.0;3.3;26.51
1980-01-07;8.4;14.2;20.0;0.0;14.2;3.5;23.01
1980-01-08;7.78;13.38;18.99;0.0;14.6;3.4;19.9
1980-01-09;6.2;12.38;18.57;0.0;15.1;3.8;13.2
1980-01-10;5.96;11.91;17.85;0.0;15.1;3.2;17.2
1980-01-11;5.42;11.8;18.17;0.0;15.401;2.76;15.41
1980-01-12;2.59;10.85;19.1;0.0;15.9;0.97;13.6
1980-01-13;3.1;12.43;21.76;0.0;15.9;2.7;11.6
1980-01-14;6.4;14.55;22.7;0.0;17.6;3.8;12.76
1980-01-15;9.0;15.45;21.9;0.0;15.5;3.6;20.17
1980-01-16;8.2;14.84;21.49;0.0;15.4;3.7;19.32
1980-01-17;9.1;11.82;14.55;0.0;15.4;6.43;21.8
1980-01-18;7.6;12.8;18.0;0.0;15.7;5.05;19.35
1980-01-19;8.3;14.45;20.6;0.0;15.8;4.5;27.07
1980-01-20;8.72;15.3;21.89;0.0;15.3;4.4;29.41
1980-01-21;9.3;15.63;21.96;0.0;15.3;3.71;25.84
1980-01-22;7.9;14.8;21.7;0.0;15.5;2.7;20.4
1980-01-23;6.1;13.73;21.37;0.0;15.5;1.6;20.5
1980-01-24;5.3;12.86;20.41;0.0;16.2;2.4;11.63
1980-01-25;4.5;12.9;21.3;0.0;15.6;2.4;15.3
1980-01-26;5.8;14.15;22.5;0.0;15.7;2.5;15.5
1980-01-27;7.3;15.63;23.97;0.0;15.8;2.5;16.5
1980-01-28;8.4;16.9;25.4;0.0;16.0;3.0;15.2
1980-01-29;8.7;17.4;26.1;0.0;16.4;2.5;12.1
1980-01-30;8.3;17.15;26.0;0.0;16.175;2.3;14.51
1980-01-31;10.1;17.75;25.41;0.0;16.087;2.48;18.3
1980-02-01;10.4;17.53;24.66;0.0;16.2;3.2;15.21
1980-02-02;10.2;17.35;24.5;0.0;16.4;3.1;18.4
1980-02-03;11.81;19.25;26.7;0.0;16.7;2.3;20.4
1980-02-04;11.9;19.25;26.59;0.0;16.4;3.0;18.54
1980-02-05;12.5;18.3;24.1;0.0;17.0;4.5;19.6
1980-02-06;11.3;17.35;23.4;0.0;17.111;4.7;18.61
1980-02-07;9.8;17.0;24.2;0.0;17.7;3.7;15.2
1980-02-08;7.88;16.52;25.16;0.0;17.852;2.4;15.3
1980-02-09;10.31;18.62;26.92;0.0;19.3;3.0;15.9
1980-02-10;12.3;20.05;27.8;0.0;18.1;3.3;16.9
1980-02-11;13.6;21.5;29.39;0.0;17.8;4.2;13.0
1980-02-12;13.6;21.41;29.22;0.0;18.163;4.3;12.0
1980-02-13;13.4;21.07;28.73;0.0;18.2;3.9;10.67
1980-02-14;12.3;20.45;28.6;0.0;18.3;2.97;9.78
1980-02-15;11.0;19.7;28.4;0.0;18.8;2.8;9.36
1980-02-16;9.4;18.25;27.1;0.0;19.007;2.5;7.5
1980-02-17;8.5;17.6;26.7;0.0;19.0;3.5;7.6
1980-02-18;12.5;18.55;24.6;0.0;19.0;4.5;13.7
1980-02-19;10.6;17.45;24.3;0.0;19.0;3.7;15.1
1980-02-20;9.2;15.25;21.3;0.0;19.1;3.3;19.59
1980-02-21;6.89;14.35;21.8;0.0;19.4;2.6;15.71
1980-02-22;7.0;14.7;22.39;0.0;19.4;1.6;17.6
1980-02-23;8.5;16.3;24.1;0.0;19.5;2.1;17.2
1980-02-24;10.1;17.65;25.2;0.0;19.992;2.1;16.06
1980-02-25;9.0;17.95;26.9;0.0;19.8;0.36;12.6
1980-02-26;10.5;19.38;28.26;0.0;20.0;1.82;10.33
1980-02-27;9.78;18.53;27.28;0.0;20.0;4.3;9.4
1980-02-28;9.9;14.75;19.6;0.0;20.4;4.8;12.5
1980-02-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1980-03-01;7.9;14.95;22.0;0.0;20.3;2.9;18.81
1980-03-02;9.09;15.54;22.0;0.0;20.4;3.72;22.61
1980-03-03;8.69;16.06;23.43;0.0;20.5;2.6;17.61
1980-03-04;7.91;15.97;24.04;0.0;20.7;0.8;14.0
1980-03-05;8.04;16.71;25.38;0.0;20.767;1.5;13.0
1980-03-06;11.0;17.2;23.4;0.0;21.0;4.0;12.65
1980-03-07;9.0;16.05;23.1;0.0;20.8;3.2;19.03
1980-03-08;9.6;16.3;23.0;0.0;20.8;3.4;23.04
1980-03-09;9.8;16.65;23.5;0.0;21.0;2.8;21.12
1980-03-10;8.66;16.73;24.8;0.0;21.321;0.27;15.1
1980-03-11;9.1;18.25;27.39;0.0;22.1;0.17;12.01
1980-03-12;13.2;21.9;30.6;0.0;21.686;3.3;9.5
1980-03-13;12.21;22.3;32.4;0.0;21.6;2.8;5.4
1980-03-14;16.99;26.45;35.91;0.0;20.1;4.5;5.8
1980-03-15;16.3;23.73;31.17;0.0;21.3;4.3;8.1
1980-03-16;12.9;20.5;28.1;0.0;22.2;2.4;11.4
1980-03-17;12.3;21.14;29.99;0.0;22.4;2.3;9.94
1980-03-18;11.72;21.39;31.07;0.0;22.6;2.3;9.3
1980-03-19;12.6;22.25;31.91;0.0;22.282;2.1;9.4
1980-03-20;13.6;22.55;31.5;0.0;22.818;0.99;7.61
1980-03-21;13.7;23.75;33.8;0.0;22.4;3.2;6.4
1980-03-22;16.3;21.55;26.8;0.0;22.6;5.14;16.33
1980-03-23;14.0;18.62;23.24;0.0;22.305;4.7;20.91
1980-03-24;12.0;18.1;24.2;0.0;22.7;3.3;16.8
1980-03-25;9.54;17.7;25.85;0.0;23.3;1.5;11.0
1980-03-26;11.6;19.2;26.8;0.0;23.5;2.0;12.9
1980-03-27;12.7;20.63;28.55;0.0;24.535;2.1;11.55
1980-03-28;14.4;23.0;31.6;0.0;25.2;2.1;8.67
1980-03-29;17.18;26.11;35.05;0.0;26.002;3.5;6.1
1980-03-30;21.01;28.51;36.0;0.0;16.222;3.7;5.48
1980-03-31;24.5;32.16;39.81;0.0;23.7;3.9;5.2
1980-04-01;20.91;30.76;40.6;0.0;23.8;2.77;9.7
1980-04-02;22.5;32.49;42.48;0.41;20.225;4.04;13.15
1980-04-03;22.9;30.0;37.1;0.0;16.197;2.1;13.97
1980-04-04;24.5;30.99;37.48;0.0;24.3;2.78;6.84
1980-04-05;20.9;29.47;38.05;0.0;23.2;2.6;12.4
1980-04-06;21.0;28.05;35.1;0.0;26.7;4.7;8.04
1980-04-07;16.89;22.95;29.01;0.0;25.9;4.1;4.89
1980-04-08;14.4;22.2;30.0;0.0;24.8;1.14;8.1
1980-04-09;17.5;26.44;35.38;0.0;24.8;4.1;6.5
1980-04-10;17.7;24.95;32.2;0.0;25.2;4.1;6.3
1980-04-11;16.38;23.73;31.09;0.0;25.45;2.75;6.0
1980-04-12;16.0;24.91;33.82;0.0;25.7;1.1;10.8
1980-04-13;16.4;25.55;34.7;0.0;25.9;2.8;8.2
