iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;3.83;7.57;11.3;0.0;6.4;1.7;66.0
1980-01-02;3.2;7.24;11.28;0.0;7.2;1.5;49.19
1980-01-03;4.7;8.3;11.9;0.0;3.528;3.0;65.27
1980-01-04;3.51;7.43;11.35;0.0;9.9;2.6;40.8
1980-01-05;5.3;8.2;11.1;0.0;9.8;3.5;50.98
1980-01-06;3.5;6.45;9.4;0.0;9.9;4.1;39.09
1980-01-07;3.1;6.2;9.3;0.0;10.3;3.4;39.22
1980-01-08;7.2;9.2;11.2;0.0;5.3;3.5;65.12
1980-01-09;7.9;10.07;12.25;0.0;4.02;3.3;67.08
1980-01-10;6.69;9.89;13.1;0.0;8.8;4.0;49.1
1980-01-11;5.0;7.15;9.3;0.0;8.0;3.92;27.33
1980-01-12;5.3;7.45;9.6;0.0;6.9;1.9;60.91
1980-01-13;6.7;8.49;10.29;0.0;5.8;3.8;50.1
1980-01-14;2.6;5.46;8.31;0.0;10.3;2.7;34.11
1980-01-15;1.0;3.19;5.38;0.0;9.583;2.7;33.89
1980-01-16;0.0;4.57;9.14;6.4;5.991;5.1;39.26
1980-01-17;-0.02;1.8;3.63;1.2;7.1;6.1;48.36
1980-01-18;1.7;4.0;6.3;19.0;7.6;2.2;60.61
1980-01-19;1.6;4.15;6.7;1.8;9.6;1.1;58.12
1980-01-20;1.65;4.86;8.07;0.0;9.3;0.6;57.23
1980-01-21;2.4;5.0;7.59;32.17;3.396;1.77;83.01
1980-01-22;2.9;7.0;11.1;3.5;6.5;2.1;60.8
1980-01-23;2.34;4.79;7.24;1.6;7.028;5.5;52.51
1980-01-24;2.0;3.17;4.33;5.6;7.5;1.9;68.5
1980-01-25;2.7;5.45;8.19;0.0;6.637;0.9;62.5
1980-01-26;4.0;7.85;11.7;5.12;2.799;2.0;70.43
1980-01-27;8.5;11.5;14.5;0.0;9.425;3.8;64.81
1980-01-28;11.02;12.95;14.87;0.0;6.095;5.8;59.82
1980-01-29;10.47;11.69;12.9;0.0;4.495;6.77;78.2
1980-01-30;8.0;10.01;12.02;32.79;3.397;9.05;79.2
1980-01-31;6.5;7.9;9.3;18.7;2.7;6.2;83.71
1980-02-01;3.79;5.99;8.19;0.0;7.5;4.1;51.9
1980-02-02;2.9;4.14;5.39;0.0;8.2;2.9;49.37
1980-02-03;3.1;5.54;7.99;0.0;5.159;3.4;60.29
1980-02-04;3.9;6.55;9.2;0.0;6.8;1.49;58.06
1980-02-05;4.4;6.9;9.4;8.97;4.889;4.03;83.0
1980-02-06;8.46;9.93;11.4;0.0;5.838;4.8;68.69
1980-02-07;8.2;10.05;11.9;0.0;7.1;3.1;64.53
1980-02-08;7.5;9.75;12.0;0.0;6.795;2.3;67.31
1980-02-09;4.7;8.0;11.3;0.0;11.903;1.9;52.95
1980-02-10;0.7;6.3;11.9;0.0;12.6;0.7;45.62
1980-02-11;6.0;9.8;13.6;1.17;3.929;2.7;61.03
1980-02-12;5.1;9.8;14.5;0.0;14.315;2.2;39.6
1980-02-13;7.58;11.34;15.1;0.0;9.3;2.82;53.15
1980-02-14;5.7;9.5;13.3;0.0;14.8;3.2;42.37
1980-02-15;2.6;8.29;13.97;0.0;14.279;2.1;37.8
1980-02-16;6.3;11.15;16.0;0.0;15.341;3.6;41.6
1980-02-17;5.2;10.3;15.4;0.0;10.3;2.5;56.61
1980-02-18;1.78;8.59;15.4;0.0;16.159;1.2;34.31
1980-02-19;6.4;10.65;14.9;0.0;10.099;1.48;53.32
1980-02-20;7.5;9.1;10.7;5.4;5.0;3.3;79.99
1980-02-21;3.6;7.4;11.2;0.0;12.473;3.4;42.72
1980-02-22;3.19;6.94;10.7;2.0;9.3;1.8;52.16
1980-02-23;4.69;8.14;11.6;0.0;13.0;3.6;41.0
1980-02-24;3.7;8.13;12.55;1.9;11.3;2.1;45.8
1980-02-25;5.2;7.7;10.2;0.0;9.7;3.11;49.67
1980-02-26;3.5;6.85;10.2;0.0;14.16;2.7;41.6
