iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;-2.9;-0.34;2.21;2.9;2.716;4.9;77.62
1980-01-02;0.9;2.75;4.6;1.2;1.7;5.8;82.04
1980-01-03;-0.2;2.03;4.27;0.0;2.4;2.0;76.46
1980-01-04;-0.5;4.5;9.5;4.5;1.7;4.12;51.23
1980-01-05;8.3;9.2;10.1;0.0;2.2;4.1;88.7
1980-01-06;7.5;8.5;9.51;0.0;1.7;3.7;87.99
1980-01-07;7.45;9.53;11.6;8.86;0.8;5.62;86.28
1980-01-08;8.81;9.96;11.1;5.0;0.715;6.4;88.1
1980-01-09;7.7;9.45;11.2;0.0;1.6;5.8;80.03
1980-01-10;5.0;6.91;8.82;0.0;1.713;4.25;69.24
1980-01-11;4.7;6.5;8.3;1.1;1.5;3.1;82.21
1980-01-12;4.2;5.7;7.2;0.0;1.6;5.0;77.67
1980-01-13;3.4;5.7;8.0;0.0;3.1;1.7;65.19
1980-01-14;-2.5;1.05;4.6;0.0;3.6;3.5;42.45
1980-01-15;-2.92;-0.16;2.6;11.14;2.2;4.6;67.3
1980-01-16;0.3;4.85;9.4;5.1;0.69;3.7;54.15
1980-01-17;0.92;4.51;8.1;1.1;1.687;3.4;79.65
1980-01-18;-1.0;2.25;5.5;0.0;3.0;2.55;38.75
1980-01-19;-0.7;1.3;3.3;0.0;3.0;1.5;85.4
1980-01-20;-1.6;0.85;3.3;0.0;5.1;2.4;59.05
1980-01-21;-2.1;0.85;3.8;0.0;3.337;1.9;63.78
1980-01-22;-7.5;-2.85;1.8;0.0;4.6;4.4;59.96
1980-01-23;-9.55;-6.53;-3.51;0.0;5.3;1.7;75.6
1980-01-24;-6.13;-3.01;0.11;0.0;5.1;-0.15;78.3
1980-01-25;-6.0;-2.5;1.0;0.0;5.6;2.7;85.83
1980-01-26;-4.54;-1.79;0.95;0.0;5.706;2.4;75.86
1980-01-27;-8.07;-4.75;-1.44;0.0;5.6;0.93;48.7
1980-01-28;-9.63;-7.21;-4.79;0.0;6.0;2.0;74.1
1980-01-29;-8.5;-3.85;0.8;0.0;3.6;4.0;80.43
1980-01-30;-5.78;-2.96;-0.13;0.0;3.5;5.1;45.85
1980-01-31;-4.22;-0.02;4.18;2.5;3.9;4.4;57.22
1980-02-01;-2.2;0.35;2.9;0.0;4.0;1.9;83.9
1980-02-02;-2.76;0.52;3.8;0.0;6.3;0.7;62.46
1980-02-03;-3.51;-0.85;1.8;0.0;6.4;4.6;79.54
1980-02-04;-5.35;-2.16;1.03;0.0;6.37;5.9;69.32
1980-02-05;-6.2;-2.41;1.39;0.0;6.0;1.2;67.98
1980-02-06;-5.21;-1.46;2.3;2.7;4.5;4.37;73.25
1980-02-07;-1.0;1.4;3.8;2.3;2.2;3.3;75.23
1980-02-08;-0.3;4.35;9.0;2.7;5.5;6.1;51.2
1980-02-09;5.9;8.75;11.6;0.0;5.8;6.1;48.75
1980-02-10;1.55;4.73;7.9;1.9;4.1;6.5;53.19
1980-02-11;1.5;4.75;8.0;4.08;3.9;6.0;59.64
1980-02-12;1.87;5.85;9.82;11.77;3.9;7.2;61.3
1980-02-13;3.26;5.4;7.54;8.93;4.4;6.1;68.66
1980-02-14;3.6;5.33;7.06;0.0;3.8;4.0;73.61
1980-02-15;1.39;3.74;6.1;30.44;2.197;4.4;77.2
1980-02-16;-0.47;2.71;5.89;1.4;4.5;4.2;61.7
1980-02-17;-1.5;2.2;5.9;0.0;6.1;1.3;48.39
1980-02-18;-1.4;3.6;8.6;0.0;8.1;2.2;45.63
1980-02-19;1.4;3.5;5.6;0.0;4.4;1.74;73.34
1980-02-20;-1.4;2.1;5.6;0.0;6.906;3.66;53.88
1980-02-21;-2.4;0.65;3.7;0.0;6.877;4.2;58.99
1980-02-22;-0.1;3.4;6.9;5.01;3.9;4.87;73.82
1980-02-23;4.02;6.61;9.2;0.0;4.7;4.42;65.46
1980-02-24;5.7;9.25;12.8;1.8;4.9;6.1;59.91
1980-02-25;8.18;10.84;13.5;2.79;6.421;5.4;64.43
1980-02-26;5.94;8.92;11.9;1.4;5.6;4.5;67.92
1980-02-27;8.2;10.35;12.5;5.51;2.3;4.6;84.88
1980-02-28;7.01;9.86;12.7;2.4;4.9;3.44;76.51
1980-02-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1980-03-01;3.98;6.44;8.9;1.6;4.505;3.2;73.02
1980-03-02;0.08;4.14;8.2;0.0;6.3;0.8;61.14
1980-03-03;5.0;7.6;10.2;0.0;5.6;0.92;74.32
1980-03-04;4.6;5.95;7.29;1.9;3.6;1.1;78.71
1980-03-05;4.4;7.15;9.9;0.0;6.3;1.3;62.5
1980-03-06;5.61;7.09;8.57;0.0;4.4;2.4;77.3
1980-03-07;2.41;5.85;9.29;0.0;7.3;2.1;56.96
1980-03-08;1.1;7.0;12.9;1.2;11.167;3.1;48.04
1980-03-09;7.2;9.97;12.75;2.2;7.1;3.4;65.2
1980-03-10;4.92;7.01;9.1;4.12;4.2;2.3;74.28
1980-03-11;0.54;5.22;9.9;0.0;7.5;3.2;55.94
