iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;3.32;8.27;13.21;-0.01;5.6;2.5;49.29
1980-01-02;1.65;6.91;12.16;-0.01;5.899;0.99;52.6
1980-01-03;1.1;5.55;10.0;-0.01;5.8;0.99;57.6
1980-01-04;0.98;4.34;7.7;0.0;5.308;2.0;72.85
1980-01-05;-2.6;1.3;5.19;-0.01;7.105;0.9;63.69
1980-01-06;-3.8;1.48;6.77;-0.01;8.0;1.5;36.32
1980-01-07;2.2;5.61;9.01;-0.01;5.899;3.6;62.15
1980-01-08;3.21;6.37;9.53;-0.01;6.389;4.12;60.61
1980-01-09;1.6;4.71;7.82;0.0;4.597;2.3;69.54
1980-01-10;-0.7;2.9;6.5;0.0;5.098;1.3;72.59
1980-01-11;-2.3;1.79;5.88;-0.01;5.709;0.49;73.27
1980-01-12;-3.2;1.65;6.5;-0.01;6.698;0.8;62.6
1980-01-13;2.3;5.41;8.52;-0.01;6.093;2.9;61.3
1980-01-14;1.6;6.13;10.65;0.99;6.096;3.22;53.51
1980-01-15;-6.5;-3.06;0.39;-0.01;7.201;4.57;38.19
1980-01-16;-7.11;-4.18;-1.25;-0.01;5.999;4.66;44.2
1980-01-17;-1.06;1.21;3.48;-0.01;4.798;4.56;60.99
1980-01-18;2.21;5.11;8.0;-0.01;6.801;3.82;62.02
1980-01-19;3.42;6.32;9.21;-0.01;6.804;3.51;59.2
1980-01-20;0.04;5.05;10.07;-0.01;7.804;1.0;59.61
1980-01-21;-1.0;4.11;9.21;0.79;5.095;0.38;65.74
1980-01-22;1.4;5.81;10.21;-0.01;7.398;1.5;51.05
1980-01-23;1.9;5.55;9.2;0.69;5.098;2.8;67.26
1980-01-24;-1.61;1.97;5.55;-0.01;8.004;2.3;48.26
1980-01-25;-2.8;0.46;3.71;-0.01;8.203;0.89;41.11
1980-01-26;-1.71;2.9;7.51;-0.01;8.194;2.4;55.04
1980-01-27;2.73;6.78;10.82;1.53;5.901;3.82;66.85
1980-01-28;2.4;5.15;7.9;-0.01;8.195;2.74;51.51
1980-01-29;2.21;5.95;9.68;-0.01;8.202;2.7;39.3
1980-01-30;1.2;4.71;8.21;5.84;2.658;1.9;63.5
1980-01-31;-0.7;2.3;5.31;-0.01;8.495;3.2;43.4
1980-02-01;-2.01;3.0;8.02;-0.01;8.701;3.2;32.69
1980-02-02;2.78;5.77;8.77;2.01;4.971;4.12;65.29
1980-02-03;1.23;3.44;5.65;0.0;8.601;3.61;51.51
1980-02-04;1.92;6.96;12.01;0.0;8.217;4.1;36.96
1980-02-05;6.62;11.43;16.23;-0.01;8.891;4.95;39.06
1980-02-06;5.92;11.04;16.15;-0.01;8.791;4.11;37.08
1980-02-07;6.07;10.94;15.81;-0.01;8.796;5.48;40.42
1980-02-08;7.13;11.92;16.71;0.0;8.605;5.65;48.68
1980-02-09;5.02;10.15;15.28;1.69;4.599;2.2;68.53
1980-02-10;6.92;14.52;22.13;-0.01;9.2;3.21;39.17
1980-02-11;5.9;14.54;23.17;-0.01;10.295;2.3;23.37
1980-02-12;5.24;13.55;21.87;-0.01;9.197;1.4;28.21
1980-02-13;4.3;12.46;20.61;-0.01;9.049;0.99;34.78
1980-02-14;4.5;12.77;21.03;-0.01;9.606;0.98;31.78
1980-02-15;1.81;6.0;10.19;-0.01;9.299;3.72;42.56
1980-02-16;-0.69;5.61;11.9;-0.01;10.343;0.57;31.61
1980-02-17;2.21;9.53;16.84;-0.01;10.303;1.69;32.37
1980-02-18;3.42;8.37;13.32;-0.01;9.296;3.51;51.55
1980-02-19;1.15;7.17;13.2;-0.01;10.498;1.9;39.1
1980-02-20;4.21;9.93;15.65;-0.01;10.597;2.7;43.88
1980-02-21;3.3;9.75;16.2;-0.01;10.939;2.5;36.17
1980-02-22;1.6;10.16;18.72;-0.01;11.839;1.18;28.1
1980-02-23;3.6;10.96;18.32;-0.01;11.504;1.8;30.1
1980-02-24;7.23;12.19;17.15;2.51;6.289;4.61;57.71
1980-02-25;4.91;10.02;15.13;-0.01;10.289;3.31;51.49
1980-02-26;-2.44;1.48;5.4;1.59;6.901;4.53;57.66
1980-02-27;-2.54;2.72;7.98;-0.01;11.995;2.91;27.97
1980-02-28;-0.1;8.06;16.23;-0.01;11.302;0.8;37.07
1980-02-29;2.61;12.39;22.18;-0.01;11.309;0.8;31.38
1980-03-01;5.25;15.87;26.49;-0.01;13.1;1.09;30.03
1980-03-02;6.92;17.5;28.09;-0.01;12.215;2.5;28.24
1980-03-03;5.0;11.54;18.09;-0.01;12.639;2.81;35.65
1980-03-04;2.1;7.37;12.64;-0.01;13.797;2.51;32.06
1980-03-05;0.06;8.13;16.21;-0.01;13.719;0.88;24.32
1980-03-06;0.0;9.86;19.71;-0.01;13.802;0.68;26.28
