iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;-5.11;-2.21;0.7;0.0;5.695;2.4;51.53
1980-01-02;-0.88;3.62;8.12;0.0;4.799;4.23;44.71
1980-01-03;4.29;7.15;10.01;0.0;4.4;3.54;47.06
1980-01-04;-2.79;1.67;6.14;0.0;3.284;4.11;56.84
1980-01-05;-6.2;-1.0;4.21;0.0;6.699;1.89;57.7
1980-01-06;0.92;5.97;11.03;15.83;3.399;3.31;66.19
1980-01-07;0.1;2.28;4.47;0.49;3.696;3.51;73.17
1980-01-08;-3.39;-0.15;3.09;0.0;6.401;2.6;73.75
1980-01-09;-5.3;-2.9;-0.51;0.0;5.999;3.2;64.18
1980-01-10;-9.2;-5.51;-1.83;0.0;5.999;2.5;66.83
1980-01-11;-10.9;-5.8;-0.71;0.0;7.409;1.0;63.12
1980-01-12;-2.43;0.39;3.2;0.8;5.902;2.79;74.02
1980-01-13;-5.11;-2.16;0.8;0.0;6.102;2.71;67.91
1980-01-14;-8.64;-4.92;-1.2;0.0;6.198;0.88;78.43
1980-01-15;-8.64;-3.82;1.0;1.49;6.956;0.49;76.28
1980-01-16;-3.39;-0.62;2.15;5.08;3.456;1.6;78.33
1980-01-17;-5.94;-2.09;1.76;0.0;7.107;1.4;76.29
1980-01-18;-2.8;1.41;5.62;0.0;5.6;2.1;64.06
1980-01-19;-1.1;1.76;4.62;0.0;6.514;2.4;73.85
1980-01-20;-1.09;5.17;11.42;0.0;6.801;3.4;46.62
1980-01-21;0.29;2.25;4.2;0.0;6.403;4.43;53.4
1980-01-22;-0.29;1.86;4.01;0.4;4.272;4.11;64.08
1980-01-23;-4.19;-1.05;2.1;0.0;7.201;2.59;63.27
1980-01-24;-6.1;-2.63;0.84;0.0;6.799;1.89;58.51
1980-01-25;-7.84;-3.74;0.36;0.0;6.739;3.1;69.05
1980-01-26;-1.7;1.67;5.04;0.0;6.495;3.5;67.15
1980-01-27;-4.1;-1.14;1.82;1.84;2.544;3.21;77.3
1980-01-28;-7.59;-4.26;-0.94;0.0;7.607;2.7;48.79
1980-01-29;-9.73;-5.63;-1.52;0.0;3.993;1.68;74.37
1980-01-30;-8.12;-3.96;0.2;0.0;8.796;0.59;69.83
1980-01-31;-8.72;-4.64;-0.55;0.0;8.9;0.69;65.81
1980-02-01;-9.12;-5.13;-1.13;0.0;5.294;1.1;63.13
1980-02-02;-10.11;-5.88;-1.64;0.0;7.904;1.59;51.52
1980-02-03;-9.85;-5.43;-1.01;0.0;7.936;0.99;45.2
1980-02-04;-10.11;-5.53;-0.95;0.0;8.094;0.69;57.87
1980-02-05;-7.9;-4.38;-0.85;0.0;8.102;1.4;46.97
1980-02-06;-9.13;-4.92;-0.7;0.0;7.6;0.59;66.15
1980-02-07;-9.69;-4.72;0.24;0.0;8.9;1.7;39.07
1980-02-08;-5.96;-1.41;3.15;-0.01;3.892;3.2;56.4
1980-02-09;-2.85;0.63;4.11;0.0;5.677;2.81;65.54
1980-02-10;-8.03;-4.17;-0.32;0.0;9.609;0.89;41.77
1980-02-11;-8.9;-3.97;0.96;0.0;9.102;2.5;48.01
1980-02-12;-5.3;-1.29;2.71;0.0;8.502;1.59;61.4
1980-02-13;-5.7;-1.1;3.49;0.0;9.226;1.97;57.84
1980-02-14;-2.01;2.02;6.05;0.8;4.884;5.13;58.51
1980-02-15;-4.45;0.28;5.01;3.58;6.596;4.41;63.31
1980-02-16;-6.06;-2.64;0.77;0.0;10.003;3.1;47.3
1980-02-17;-7.06;-4.04;-1.03;0.0;10.403;3.9;35.89
1980-02-18;-8.07;-4.54;-1.0;0.0;10.701;3.1;33.7
1980-02-19;-5.82;-0.4;5.02;0.0;10.099;2.69;39.57
1980-02-20;-0.9;4.04;8.99;0.0;10.499;4.4;38.48
1980-02-21;-2.9;2.16;7.21;1.0;5.803;2.71;59.15
1980-02-22;-4.91;0.84;6.59;0.0;12.518;0.89;42.54
1980-02-23;-1.5;4.72;10.94;3.89;11.309;3.92;50.92
1980-02-24;-0.7;3.21;7.11;2.91;5.144;2.9;57.5
1980-02-25;-1.5;2.29;6.08;0.0;10.397;3.4;36.57
1980-02-26;-2.9;1.04;4.98;0.0;11.317;2.5;38.27
1980-02-27;-4.3;1.0;6.29;6.73;10.074;1.4;53.57
1980-02-28;1.15;2.32;3.49;18.42;2.805;1.89;87.25
1980-02-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1980-03-01;-1.7;0.53;2.75;1.99;4.234;5.56;64.1
1980-03-02;-2.94;0.97;4.88;0.0;13.315;3.6;41.07
1980-03-03;-1.9;3.38;8.66;0.0;12.199;1.89;52.72
1980-03-04;-1.6;3.96;9.53;0.04;6.722;0.98;59.36
1980-03-05;0.29;4.13;7.96;0.0;5.53;0.69;70.19
1980-03-06;-1.51;3.4;8.31;0.0;6.032;0.23;66.82
1980-03-07;-3.3;3.65;10.6;0.0;13.7;0.35;49.02
1980-03-08;-2.3;5.01;12.32;0.0;14.006;1.0;45.99
1980-03-09;-1.31;4.49;10.29;2.04;7.999;2.19;62.75
1980-03-10;0.35;5.63;10.9;0.0;14.094;3.2;45.74
1980-03-11;2.4;8.96;15.51;0.0;14.713;3.74;45.17
1980-03-12;0.49;7.17;13.84;0.0;14.802;3.2;41.76
1980-03-13;0.2;8.61;17.01;0.0;13.205;2.0;43.53
1980-03-14;6.88;11.14;15.41;0.0;5.844;0.59;66.69
1980-03-15;5.42;11.27;17.12;-0.01;12.597;2.82;58.92
1980-03-16;5.38;10.82;16.27;0.0;11.203;3.19;58.89
1980-03-17;2.02;9.07;16.12;0.0;14.501;0.49;51.24
1980-03-18;1.9;9.6;17.3;0.0;10.892;0.68;48.5
1980-03-19;4.13;7.69;11.25;0.5;4.777;2.2;70.79
1980-03-20;-1.0;4.05;9.1;0.0;16.897;2.2;42.06
1980-03-21;-4.12;3.37;10.87;0.0;17.597;0.13;36.59
1980-03-22;-3.23;5.54;14.32;0.0;15.201;0.49;35.97
1980-03-23;-0.3;4.93;10.16;0.0;7.748;1.38;42.35
1980-03-24;-2.83;4.83;12.49;0.0;17.707;0.69;31.23
1980-03-25;-0.89;8.17;17.23;0.0;15.407;0.19;35.23
1980-03-26;1.9;10.17;18.44;0.0;10.693;0.79;47.57
1980-03-27;3.01;7.55;12.1;4.7;7.668;2.0;64.14
1980-03-28;0.16;4.57;8.97;7.29;7.807;1.39;67.82
1980-03-29;4.7;7.88;11.07;11.61;9.777;3.2;61.85
1980-03-30;6.0;9.95;13.9;0.0;10.585;1.6;45.88
1980-03-31;5.1;9.64;14.19;0.0;10.682;1.5;50.69
1980-04-01;5.2;10.03;14.86;0.0;9.057;0.67;53.04
1980-04-02;1.8;9.85;17.89;0.0;16.432;0.69;45.12
1980-04-03;4.93;12.72;20.51;5.18;15.4;2.5;46.32
1980-04-04;6.9;13.32;19.75;0.0;18.601;2.09;43.74
1980-04-05;5.94;11.69;17.44;25.92;4.39;0.9;70.28
1980-04-06;4.2;9.44;14.67;22.54;15.447;3.11;63.61
1980-04-07;1.77;6.33;10.88;0.0;18.916;2.8;45.42
1980-04-08;1.0;7.0;12.99;1.02;19.114;2.93;48.72
1980-04-09;-2.3;6.24;14.79;11.76;20.615;1.4;52.2
1980-04-10;3.18;4.99;6.79;37.69;3.552;4.01;87.67
1980-04-11;1.17;6.46;11.75;0.29;10.099;0.58;69.05
1980-04-12;4.1;8.84;13.57;0.0;7.795;0.16;70.06
1980-04-13;2.08;9.13;16.18;0.0;19.505;0.58;57.33
1980-04-14;3.78;7.07;10.37;2.74;4.532;0.69;76.45
1980-04-15;4.37;11.63;18.9;0.69;16.299;2.4;65.71
1980-04-16;8.3;14.1;19.9;7.36;14.169;2.62;69.44
1980-04-17;6.2;12.39;18.58;6.51;9.118;0.56;72.45
1980-04-18;7.81;10.54;13.26;1.22;3.251;0.28;86.05
1980-04-19;5.0;12.26;19.52;0.0;19.907;0.58;60.86
1980-04-20;7.0;14.22;21.44;0.0;19.504;0.79;52.27
1980-04-21;8.52;14.71;20.89;0.0;19.703;1.0;57.31
1980-04-22;9.31;12.79;16.27;8.02;6.325;3.02;70.52
1980-04-23;2.9;5.69;8.47;1.1;6.293;3.6;63.24
1980-04-24;0.18;3.52;6.87;0.6;18.198;2.2;44.52
1980-04-25;0.39;5.65;10.9;0.6;22.297;1.69;45.41
1980-04-26;0.45;8.4;16.36;5.38;14.472;1.6;55.21
1980-04-27;4.56;8.35;12.14;0.43;14.84;1.0;62.53
1980-04-28;2.99;8.41;13.82;0.43;22.403;1.89;45.9
1980-04-29;1.58;8.86;16.13;1.19;18.936;0.9;57.23
1980-04-30;5.57;10.88;16.19;1.81;14.906;1.39;64.76
1980-05-01;4.19;9.81;15.43;0.06;20.394;2.6;50.29
1980-05-02;4.17;8.89;13.61;0.0;15.874;2.42;48.0
1980-05-03;3.12;9.4;15.68;0.06;21.517;1.6;45.41
1980-05-04;3.74;10.76;17.78;0.23;22.691;1.7;45.94
1980-05-05;3.89;10.94;17.99;0.3;15.911;1.19;49.65
1980-05-06;4.38;12.09;19.81;0.4;23.407;1.1;44.6
1980-05-07;6.0;14.75;23.5;0.53;23.614;1.3;38.2
1980-05-08;11.1;16.29;21.47;4.42;14.85;2.3;53.13
1980-05-09;8.5;13.09;17.68;0.7;23.101;3.63;54.41
1980-05-10;6.79;12.7;18.6;0.7;24.301;2.6;36.27
1980-05-11;5.98;11.92;17.86;0.99;18.294;2.7;40.63
1980-05-12;8.3;14.8;21.31;2.5;22.5;2.3;45.83
1980-05-13;8.67;14.77;20.88;1.39;18.299;2.9;52.64
1980-05-14;7.2;15.96;24.71;0.9;25.1;1.9;39.66
1980-05-15;13.51;19.76;26.01;3.22;13.574;3.81;32.4
1980-05-16;11.1;16.04;20.97;9.17;8.266;2.0;60.36
1980-05-17;8.89;14.19;19.48;1.2;15.705;2.41;54.65
1980-05-18;8.6;14.85;21.1;1.2;21.698;2.1;45.23
1980-05-19;9.05;13.47;17.89;10.52;10.403;0.8;65.17
1980-05-20;8.98;13.42;17.85;2.9;12.257;3.61;59.44
1980-05-21;8.2;14.69;21.18;1.2;22.803;2.8;40.7
1980-05-22;8.28;13.84;19.39;1.19;22.241;3.51;45.61
1980-05-23;6.32;13.06;19.8;1.19;25.31;2.91;48.93
1980-05-24;7.09;15.7;24.31;1.09;25.499;1.9;39.39
1980-05-25;12.81;18.66;24.5;1.13;18.191;3.21;41.37
1980-05-26;9.47;17.39;25.3;1.19;25.911;1.49;25.61
