iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;2.05;4.15;6.25;1.5;5.02;4.51;63.63
1980-01-02;-1.19;1.91;5.01;2.89;3.999;1.27;65.13
1980-01-03;-1.93;0.7;3.34;-0.01;5.004;3.5;52.72
1980-01-04;-2.8;-0.03;2.74;3.61;3.097;2.4;74.42
1980-01-05;-5.2;-1.85;1.51;-0.01;3.698;5.11;60.95
1980-01-06;-8.55;-6.54;-4.52;-0.01;4.598;3.59;51.08
1980-01-07;-9.2;-7.3;-5.41;0.41;5.035;1.08;56.47
1980-01-08;-5.7;-5.08;-4.47;1.71;2.197;1.3;78.3
1980-01-09;-5.69;-3.75;-1.81;9.32;3.097;2.8;77.67
1980-01-10;-8.38;-4.14;0.1;1.02;1.989;3.4;83.3
1980-01-11;-7.81;-4.1;-0.4;5.9;1.096;2.2;84.15
1980-01-12;-0.6;1.28;3.16;10.58;2.294;5.72;71.0
1980-01-13;-4.1;-1.55;0.99;0.59;4.005;3.41;59.18
1980-01-14;-2.18;-0.04;2.1;3.53;2.098;1.88;82.7
1980-01-15;-6.8;-3.1;0.6;7.54;1.447;3.8;82.15
1980-01-16;-7.84;-5.52;-3.2;-0.01;2.967;3.2;53.37
1980-01-17;-7.84;-5.43;-3.03;-0.01;3.3;0.79;76.77
1980-01-18;-6.3;-2.75;0.79;10.62;2.877;6.21;72.06
1980-01-19;0.21;1.51;2.81;1.0;2.887;4.64;77.25
1980-01-20;-0.99;0.61;2.21;1.82;3.271;5.8;78.66
1980-01-21;-1.37;0.22;1.81;-0.01;3.691;5.41;71.51
1980-01-22;-0.69;0.97;2.63;1.09;3.297;4.51;75.74
1980-01-23;-4.1;-2.0;0.09;0.0;4.091;5.5;58.09
1980-01-24;-4.99;-2.35;0.3;0.61;3.894;6.6;61.12
1980-01-25;-7.95;-6.2;-4.44;-0.01;6.115;7.48;40.08
1980-01-26;-10.16;-7.74;-5.32;-0.01;6.4;7.0;24.35
1980-01-27;-12.39;-10.15;-7.91;-0.01;6.098;4.5;35.76
1980-01-28;-13.44;-10.95;-8.46;-0.01;6.0;2.68;42.92
1980-01-29;-13.41;-10.85;-8.29;-0.01;6.0;3.09;42.05
1980-01-30;-13.5;-10.78;-8.05;-0.01;6.216;2.7;42.41
1980-01-31;-14.22;-11.19;-8.15;-0.01;6.305;1.5;43.11
1980-02-01;-14.38;-11.02;-7.66;-0.01;6.504;0.67;42.59
1980-02-02;-14.31;-10.18;-6.05;-0.01;7.202;2.79;38.99
1980-02-03;-10.8;-7.61;-4.41;-0.01;4.294;3.26;40.8
1980-02-04;-8.2;-5.15;-2.11;-0.01;4.501;1.49;65.95
1980-02-05;-9.52;-5.61;-1.7;-0.01;6.496;0.97;43.95
1980-02-06;-9.32;-4.66;0.0;-0.01;6.639;2.2;40.18
1980-02-07;-9.3;-5.85;-2.39;-0.01;6.806;1.88;49.54
