iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;3.18;4.61;6.03;0.29;2.392;4.5;87.1
1980-01-02;2.41;4.91;7.4;-0.01;2.994;3.7;74.4
1980-01-03;4.43;7.17;9.9;5.01;1.575;7.81;61.46
1980-01-04;4.52;6.87;9.22;-0.02;4.1;3.0;69.63
1980-01-05;4.51;7.46;10.4;4.93;3.293;2.88;81.59
1980-01-06;7.74;9.78;11.81;0.5;3.506;3.3;68.42
1980-01-07;6.82;9.32;11.82;0.49;2.899;1.9;71.2
1980-01-08;8.03;9.88;11.73;5.18;3.002;2.3;80.98
1980-01-09;6.0;7.61;9.22;2.94;1.584;1.99;88.42
1980-01-10;0.12;3.27;6.41;-0.01;4.301;1.18;84.45
1980-01-11;-0.4;2.65;5.71;3.78;2.893;2.7;79.71
1980-01-12;-2.94;1.04;5.02;-0.01;3.899;0.89;81.42
1980-01-13;-2.81;0.65;4.11;-0.02;3.8;0.99;75.21
1980-01-14;-1.19;1.84;4.88;0.0;2.882;2.79;80.2
1980-01-15;2.39;5.19;7.99;6.02;1.588;5.81;83.96
1980-01-16;2.69;4.95;7.2;0.5;4.092;4.62;68.99
1980-01-17;1.22;3.21;5.2;-0.01;3.587;3.61;80.49
1980-01-18;1.31;4.94;8.57;5.36;2.098;4.9;81.74
1980-01-19;8.68;10.25;11.81;8.4;1.597;8.62;87.78
1980-01-20;11.0;12.88;14.77;2.31;1.895;8.36;85.2
1980-01-21;10.31;11.71;13.11;4.6;2.291;9.26;86.01
1980-01-22;6.03;8.42;10.81;10.32;3.462;2.27;86.99
1980-01-23;5.7;10.01;14.32;1.96;1.693;5.22;61.43
1980-01-24;11.7;13.6;15.5;11.88;1.387;7.22;90.36
1980-01-25;-0.01;6.91;13.82;7.14;3.4;3.89;51.65
1980-01-26;-1.62;1.92;5.47;-0.02;3.58;2.79;44.69
1980-01-27;-1.31;1.59;4.48;-0.01;5.602;3.51;58.18
1980-01-28;-1.92;2.19;6.29;3.0;2.899;3.8;62.18
1980-01-29;6.01;8.36;10.71;2.99;1.799;6.71;85.6
1980-01-30;5.61;7.98;10.35;1.68;3.072;7.29;77.66
1980-01-31;-1.5;1.98;5.47;-0.01;4.209;5.31;35.17
1980-02-01;-2.9;-0.3;2.3;-0.01;7.195;2.4;38.04
1980-02-02;-3.7;-0.31;3.09;-0.01;7.824;2.19;42.47
1980-02-03;-3.13;1.58;6.3;-0.01;4.414;3.1;44.8
1980-02-04;6.32;8.87;11.42;0.0;3.084;4.7;88.04
1980-02-05;9.22;12.55;15.88;-0.01;3.799;4.21;79.18
1980-02-06;8.12;11.82;15.53;-0.01;5.442;2.4;65.03
1980-02-07;6.34;9.57;12.8;-0.01;2.989;2.4;75.7
1980-02-08;2.43;6.51;10.6;2.31;3.165;5.3;68.44
1980-02-09;0.48;2.34;4.2;0.83;3.386;4.4;72.43
1980-02-10;-3.32;-0.65;2.03;-0.01;5.448;3.1;68.92
1980-02-11;-6.34;-3.3;-0.27;-0.01;9.107;1.27;44.57
1980-02-12;-5.21;-2.05;1.11;-0.01;5.2;2.09;71.24
1980-02-13;-11.0;-6.3;-1.6;-0.01;9.91;1.89;49.7
1980-02-14;-4.01;2.15;8.3;4.61;2.545;3.4;40.95
1980-02-15;5.51;7.89;10.27;1.09;6.927;4.29;80.71
1980-02-16;2.89;5.9;8.9;0.44;5.48;6.83;61.79
1980-02-17;-0.9;4.35;9.6;1.99;6.197;2.7;54.75
1980-02-18;7.75;11.66;15.58;1.19;5.193;3.83;73.0
1980-02-19;4.01;8.23;12.46;1.88;5.808;2.5;78.04
1980-02-20;0.69;4.65;8.61;-0.01;7.799;1.89;56.55
1980-02-21;-2.61;1.15;4.9;-0.02;10.714;1.09;49.84
1980-02-22;-2.09;0.08;2.26;1.68;5.184;2.7;73.7
1980-02-23;-0.61;3.38;7.38;-0.01;5.403;1.89;66.7
1980-02-24;-3.82;1.09;5.99;-0.01;12.303;1.18;43.24
1980-02-25;-0.81;1.99;4.8;0.92;2.582;3.3;69.25
1980-02-26;5.31;7.64;9.98;5.19;2.291;2.0;90.85
1980-02-27;0.9;5.74;10.57;-0.01;12.413;1.5;55.7
1980-02-28;-2.01;4.14;10.29;-0.01;12.726;0.41;43.42
1980-02-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1980-03-01;-0.76;2.0;4.77;0.3;5.791;1.7;69.58
1980-03-02;-3.1;1.58;6.27;-0.01;13.537;1.38;40.06
1980-03-03;-0.73;5.04;10.81;-0.01;9.03;1.8;48.7
1980-03-04;4.63;8.68;12.72;-0.02;7.685;3.1;60.18
1980-03-05;-0.11;4.04;8.2;1.9;5.198;3.2;66.19
1980-03-06;-0.39;4.25;8.9;-0.01;11.628;3.3;43.09
1980-03-07;1.49;3.44;5.39;4.12;4.88;3.09;76.64
1980-03-08;-0.61;3.13;6.87;0.0;11.705;3.79;43.58
1980-03-09;-1.42;1.82;5.06;0.29;11.627;2.3;46.99
1980-03-10;-2.11;0.81;3.73;0.02;3.766;3.2;69.25
1980-03-11;-1.31;2.59;6.5;-0.01;12.305;3.29;40.2
1980-03-12;-3.7;1.01;5.72;-0.01;16.742;0.4;36.18
1980-03-13;-4.34;2.17;8.69;-0.01;13.097;1.28;25.79
1980-03-14;-0.81;4.13;9.08;0.81;11.46;2.6;45.94
1980-03-15;1.17;3.92;6.68;-0.01;8.024;4.4;46.69
1980-03-16;-0.93;4.29;9.5;-0.01;16.982;0.98;41.97
1980-03-17;2.8;8.45;14.1;-0.01;10.511;1.88;36.66
1980-03-18;0.39;7.2;14.0;-0.01;13.613;1.3;45.88
1980-03-19;6.92;11.23;15.54;8.74;4.858;3.25;70.89
1980-03-20;6.1;10.65;15.2;1.89;9.489;6.31;51.61
1980-03-21;3.3;6.33;9.37;6.62;5.965;2.99;57.11
1980-03-22;3.09;6.95;10.8;6.34;12.499;4.0;55.5
1980-03-23;2.77;5.52;8.28;12.99;4.755;7.84;76.41
1980-03-24;1.78;5.08;8.39;-0.02;12.703;2.09;46.84
1980-03-25;-2.0;2.4;6.8;-0.01;14.957;1.77;36.85
1980-03-26;-3.64;3.18;10.0;-0.02;18.007;1.5;26.07
1980-03-27;3.01;7.3;11.6;-0.01;9.092;2.3;51.9
1980-03-28;0.38;7.39;14.4;-0.01;18.941;2.4;28.96
1980-03-29;1.79;8.77;15.75;-0.01;18.126;2.09;26.92
1980-03-30;4.8;11.37;17.93;-0.01;18.909;2.0;27.49
1980-03-31;2.88;10.95;19.01;-0.01;20.612;1.79;26.12
1980-04-01;2.2;11.94;21.67;-0.01;20.633;1.58;27.22
1980-04-02;6.6;15.57;24.55;2.47;20.596;2.4;33.97
1980-04-03;8.84;12.98;17.12;7.4;9.663;4.29;71.43
1980-04-04;6.6;9.55;12.51;2.86;8.984;4.6;71.39
1980-04-05;4.01;8.71;13.4;0.83;15.091;4.3;46.25
1980-04-06;2.3;5.34;8.38;1.17;8.193;4.09;59.54
1980-04-07;-0.32;4.49;9.3;1.42;18.281;3.29;29.54
1980-04-08;4.41;10.03;15.64;8.06;5.709;5.52;60.78
1980-04-09;1.8;5.29;8.79;5.11;9.004;5.23;54.51
1980-04-10;-0.71;4.09;8.88;-0.01;15.526;2.39;27.32
1980-04-11;-1.5;4.8;11.1;-0.01;22.615;1.79;28.94
1980-04-12;5.3;10.95;16.6;-0.01;14.201;1.4;33.37
1980-04-13;3.7;11.75;19.8;-0.01;22.409;2.3;32.91
1980-04-14;9.5;16.3;23.09;3.41;14.906;2.6;36.5
1980-04-15;9.2;16.07;22.94;-0.01;19.889;2.07;40.11
1980-04-16;8.72;15.79;22.86;-0.01;17.441;1.5;44.06
1980-04-17;9.82;16.27;22.72;2.49;15.933;1.8;46.2
1980-04-18;7.3;14.92;22.53;3.51;13.59;1.39;49.38
1980-04-19;6.5;13.05;19.61;6.49;10.495;1.5;57.32
1980-04-20;5.41;10.07;14.74;-0.01;18.938;3.0;48.99
1980-04-21;3.19;8.53;13.87;0.64;11.672;2.9;58.37
1980-04-22;7.11;12.41;17.71;1.02;11.153;2.49;58.87
1980-04-23;9.4;16.45;23.5;2.51;22.733;2.09;42.32
1980-04-24;8.8;15.65;22.5;7.04;23.914;2.6;38.66
1980-04-25;9.92;13.02;16.11;6.68;7.349;2.3;82.73
1980-04-26;8.4;12.8;17.19;0.48;16.905;3.4;46.17
1980-04-27;6.61;10.65;14.69;2.01;12.798;4.4;58.57
1980-04-28;4.59;10.49;16.4;9.74;10.549;3.51;58.24
1980-04-29;10.11;15.76;21.41;7.46;11.4;2.3;49.92
1980-04-30;7.84;12.68;17.52;0.5;11.068;2.4;59.22
1980-05-01;5.59;9.5;13.4;3.5;9.081;3.31;65.11
1980-05-02;3.46;5.97;8.49;-0.01;15.399;3.0;43.49
1980-05-03;-0.31;4.64;9.59;3.52;14.594;2.0;52.81
1980-05-04;8.49;14.07;19.64;3.55;12.625;2.61;56.34
1980-05-05;13.01;16.55;20.09;0.6;10.889;3.2;68.99
1980-05-06;14.22;17.18;20.15;4.63;8.789;2.6;77.0
1980-05-07;11.13;15.57;20.02;10.87;7.462;2.9;76.54
1980-05-08;9.65;15.64;21.62;0.49;14.702;1.1;54.0
1980-05-09;8.6;13.32;18.04;-0.01;15.599;2.6;52.66
1980-05-10;4.29;9.6;14.9;-0.01;25.504;3.1;37.07
1980-05-11;4.49;9.49;14.49;-0.01;17.137;2.6;46.57
1980-05-12;4.69;10.79;16.9;-0.01;22.108;2.2;43.0
1980-05-13;5.39;11.85;18.31;0.39;21.327;2.7;47.43
1980-05-14;9.3;13.79;18.29;0.38;17.189;3.7;45.96
1980-05-15;6.89;11.63;16.38;-0.01;16.567;3.1;43.79
1980-05-16;4.49;11.75;19.0;1.19;24.168;0.66;39.14
1980-05-17;10.71;16.5;22.29;3.99;17.155;1.8;48.42
1980-05-18;10.81;15.46;20.1;1.69;14.062;2.2;56.5
1980-05-19;10.71;15.36;20.0;-0.01;14.285;2.7;59.24
1980-05-20;10.8;16.26;21.71;-0.01;19.703;1.29;50.83
1980-05-21;10.81;15.8;20.79;0.01;9.382;0.69;68.72
1980-05-22;14.21;18.52;22.82;-0.01;11.686;1.5;68.53
1980-05-23;13.61;18.66;23.71;-0.01;15.601;1.7;54.86
1980-05-24;12.14;17.68;23.21;-0.01;20.899;1.29;52.69
1980-05-25;11.4;17.61;23.81;0.5;18.306;0.99;47.4
1980-05-26;10.5;14.2;17.9;-0.01;14.663;3.1;60.28
1980-05-27;10.0;13.03;16.06;1.71;13.586;3.4;53.7
1980-05-28;8.02;12.33;16.64;1.42;17.734;5.06;51.24
1980-05-29;7.4;11.5;15.59;0.59;18.389;4.96;49.82
1980-05-30;6.04;10.61;15.18;1.89;12.441;3.62;52.42
1980-05-31;5.09;9.83;14.57;-0.01;20.298;3.2;44.9
1980-06-01;4.59;9.54;14.49;5.62;15.578;3.0;49.4
1980-06-02;3.36;9.23;15.1;1.09;15.374;2.71;47.6
1980-06-03;4.9;10.54;16.17;-0.01;23.225;1.39;44.89
1980-06-04;6.59;11.29;16.0;-0.01;16.959;1.29;45.49
1980-06-05;6.18;11.0;15.83;-0.01;17.064;1.4;52.1
1980-06-06;6.89;11.89;16.9;-0.01;17.582;1.7;49.15
1980-06-07;6.6;11.86;17.13;3.54;15.104;2.74;53.83
1980-06-08;11.11;14.7;18.28;1.21;11.494;3.3;66.16
1980-06-09;8.59;13.18;17.76;0.49;13.649;2.9;60.88
1980-06-10;5.98;11.78;17.57;1.73;23.049;2.92;44.56
1980-06-11;7.79;11.63;15.48;-0.01;18.224;3.5;53.02
1980-06-12;5.71;11.39;17.08;-0.01;20.094;1.49;45.46
1980-06-13;8.38;15.59;22.8;-0.01;21.699;0.9;36.15
1980-06-14;10.0;17.88;25.75;-0.01;25.13;1.1;35.87
1980-06-15;11.7;19.16;26.62;-0.01;27.146;2.1;38.01
1980-06-16;12.39;19.57;26.75;-0.01;28.496;3.01;36.38
1980-06-17;13.84;20.47;27.1;-0.01;28.208;3.01;32.29
1980-06-18;13.0;20.04;27.08;-0.01;26.145;2.6;36.38
1980-06-19;12.11;18.86;25.6;2.21;22.196;1.28;47.64
1980-06-20;12.04;14.02;16.0;6.46;4.125;1.6;74.78
1980-06-21;9.17;16.3;23.44;-0.01;20.682;2.1;46.16
1980-06-22;14.83;17.57;20.3;12.03;7.677;1.9;70.28
1980-06-23;12.7;16.4;20.1;0.75;14.524;2.1;60.28
1980-06-24;12.3;17.25;22.2;-0.01;19.81;1.5;46.5
1980-06-25;11.7;15.28;18.86;0.29;6.608;1.89;58.67
1980-06-26;10.7;14.75;18.8;-0.02;14.886;2.29;50.14
1980-06-27;8.9;14.8;20.7;-0.01;19.626;1.4;46.04
1980-06-28;12.0;16.55;21.09;-0.01;22.706;2.8;46.79
1980-06-29;10.26;16.07;21.89;-0.01;15.068;2.6;44.25
1980-06-30;11.6;17.7;23.8;1.69;19.965;2.39;44.6
1980-07-01;11.28;16.04;20.79;-0.01;18.777;2.1;48.88
1980-07-02;12.3;15.49;18.68;3.04;9.081;2.9;68.73
1980-07-03;14.1;17.49;20.88;0.89;10.174;3.31;66.28
1980-07-04;16.52;19.5;22.48;3.41;9.924;4.83;75.49
1980-07-05;11.07;15.16;19.25;-0.01;20.002;3.11;49.52
1980-07-06;7.53;13.96;20.4;-0.01;27.721;2.3;35.37
1980-07-07;6.95;13.82;20.69;-0.01;25.122;2.0;37.1
1980-07-08;7.44;14.42;21.4;-0.01;22.961;1.39;35.1
1980-07-09;8.45;15.92;23.4;-0.01;25.849;2.1;32.0
1980-07-10;8.13;16.77;25.4;-0.01;30.199;1.9;29.28
1980-07-11;10.26;17.79;25.31;-0.01;22.831;2.0;38.73
1980-07-12;13.7;19.45;25.2;-0.01;14.377;1.0;48.19
1980-07-13;16.54;20.71;24.88;4.88;15.585;1.8;56.45
1980-07-14;14.21;17.2;20.2;12.82;13.485;3.11;67.47
1980-07-15;14.41;18.45;22.48;0.0;16.676;3.01;57.02
1980-07-16;14.01;18.16;22.3;-0.01;11.257;3.41;60.53
1980-07-17;10.31;16.05;21.8;-0.01;20.751;1.4;38.93
1980-07-18;10.16;16.88;23.6;-0.01;22.011;1.29;34.36
1980-07-19;7.87;17.23;26.6;-0.01;27.52;0.35;32.69
1980-07-20;8.87;18.04;27.2;-0.01;24.31;1.4;32.88
1980-07-21;12.8;15.45;18.09;4.63;6.894;2.3;81.44
1980-07-22;15.39;17.94;20.48;13.51;5.703;3.0;81.72
1980-07-23;10.8;17.67;24.54;0.0;21.105;0.6;42.75
1980-07-24;16.72;21.11;25.5;-0.01;16.691;1.5;43.53
1980-07-25;13.4;21.27;29.13;0.0;24.561;1.39;33.3
1980-07-26;14.5;21.45;28.41;0.0;20.997;2.3;40.43
1980-07-27;13.52;18.09;22.65;1.21;14.695;3.03;52.15
1980-07-28;13.2;16.99;20.79;0.0;17.649;2.8;42.91
1980-07-29;14.51;18.41;22.3;0.0;15.493;1.6;53.22
1980-07-30;15.2;19.8;24.4;0.0;16.234;0.87;45.31
1980-07-31;11.89;19.13;26.38;0.0;27.801;2.7;31.71
1980-08-01;13.51;20.05;26.6;0.0;25.799;3.62;32.01
1980-08-02;12.8;19.48;26.15;0.0;24.835;2.8;31.28
1980-08-03;11.01;18.93;26.84;0.0;23.833;1.29;28.3
1980-08-04;13.55;21.18;28.8;0.0;21.142;2.6;24.56
1980-08-05;15.11;20.2;25.3;2.93;15.805;2.0;53.3
1980-08-06;15.49;19.75;24.0;0.0;16.482;2.9;41.7
1980-08-07;13.76;18.43;23.11;4.64;12.631;4.41;45.81
1980-08-08;13.39;18.5;23.6;0.0;14.32;1.79;44.55
1980-08-09;13.0;18.99;24.98;1.52;15.007;1.0;40.52
1980-08-10;12.89;19.2;25.5;6.06;15.86;1.8;45.74
1980-08-11;12.36;16.77;21.17;0.0;11.216;2.7;51.54
1980-08-12;10.59;16.49;22.4;0.0;18.594;1.3;41.4
1980-08-13;13.1;20.86;28.61;1.6;23.22;1.9;32.5
1980-08-14;14.91;19.45;23.98;0.33;14.101;3.0;51.02
1980-08-15;13.9;19.2;24.49;1.02;20.952;2.5;35.67
1980-08-16;11.38;16.43;21.48;0.0;16.534;2.51;44.5
1980-08-17;13.07;17.57;22.08;-0.01;16.127;0.58;36.47
1980-08-18;14.4;18.6;22.8;0.0;9.497;3.1;39.31
1980-08-19;12.6;14.38;16.15;3.8;8.984;1.28;53.38
1980-08-20;12.79;15.13;17.48;10.32;5.467;0.89;74.69
1980-08-21;12.9;16.04;19.18;4.11;13.076;0.57;75.42
1980-08-22;12.79;16.45;20.1;0.29;13.862;3.43;45.65
1980-08-23;10.9;16.13;21.35;8.9;7.574;4.42;49.02
1980-08-24;7.54;13.86;20.18;0.0;20.117;1.3;37.7
1980-08-25;12.0;16.09;20.19;-0.01;15.695;2.51;41.23
1980-08-26;12.19;16.84;21.49;8.05;8.178;5.17;53.37
1980-08-27;14.1;18.5;22.9;3.2;13.548;3.1;62.52
1980-08-28;11.6;14.93;18.27;0.0;16.887;3.91;46.38
1980-08-29;11.8;14.17;16.53;-0.01;10.806;3.2;42.89
1980-08-30;9.69;14.28;18.87;-0.01;15.084;1.58;38.07
1980-08-31;10.47;14.83;19.19;0.0;11.897;0.45;49.52
1980-09-01;10.8;15.28;19.76;-0.01;10.896;2.35;55.07
1980-09-02;11.21;16.45;21.7;-0.01;15.104;2.8;39.61
1980-09-03;10.1;16.43;22.76;-0.01;16.401;2.4;37.56
1980-09-04;11.29;16.38;21.47;-0.01;14.602;3.09;42.55
1980-09-05;8.9;15.39;21.88;-0.01;20.639;3.71;32.38
1980-09-06;8.5;15.45;22.4;-0.01;20.199;2.7;28.86
1980-09-07;6.1;14.5;22.9;-0.01;19.407;1.49;30.5
1980-09-08;6.94;15.67;24.39;-0.01;18.423;0.88;30.8
1980-09-09;8.09;16.9;25.71;-0.01;18.102;1.4;29.2
1980-09-10;9.89;18.36;26.83;-0.01;17.941;2.5;26.39
1980-09-11;12.01;19.68;27.35;-0.01;18.038;3.4;24.58
1980-09-12;15.11;21.75;28.4;2.8;19.406;3.71;25.62
1980-09-13;14.0;20.16;26.33;10.76;14.558;3.3;34.27
1980-09-14;13.0;16.19;19.38;4.82;8.787;5.15;62.5
1980-09-15;13.7;16.84;19.99;-0.01;8.429;6.03;50.26
1980-09-16;12.2;15.64;19.09;8.06;7.776;4.3;60.06
1980-09-17;10.6;15.84;21.09;-0.01;11.367;2.5;38.04
1980-09-18;12.6;17.1;21.6;-0.01;5.892;2.5;51.34
1980-09-19;14.24;18.36;22.49;-0.01;6.975;1.0;60.41
1980-09-20;11.53;19.35;27.17;-0.01;17.318;2.29;34.61
1980-09-21;14.01;17.45;20.9;7.26;7.206;3.2;69.35
1980-09-22;11.19;15.54;19.9;8.43;6.782;3.31;59.58
1980-09-23;7.3;11.18;15.06;0.0;9.79;3.4;54.15
1980-09-24;6.36;10.72;15.09;0.51;9.016;2.52;52.01
1980-09-25;7.99;13.89;19.8;-0.01;13.33;5.11;37.65
1980-09-26;11.69;17.64;23.6;-0.01;14.311;4.6;31.15
1980-09-27;10.41;17.66;24.9;-0.01;15.41;3.1;31.71
1980-09-28;13.73;20.55;27.36;-0.01;13.397;2.8;33.15
1980-09-29;12.1;19.55;27.0;-0.01;13.416;1.8;29.56
1980-09-30;9.4;17.48;25.56;-0.01;14.033;1.4;29.31
1980-10-01;11.91;16.76;21.6;-0.01;12.105;2.2;41.27
1980-10-02;12.71;15.01;17.31;10.25;4.042;3.3;78.23
1980-10-03;8.3;12.3;16.3;-0.01;6.998;3.1;54.23
1980-10-04;3.64;9.66;15.69;-0.01;11.501;0.79;37.49
1980-10-05;8.2;12.29;16.39;8.6;3.243;2.9;59.14
1980-10-06;10.2;13.29;16.38;3.78;10.005;3.8;59.14
1980-10-07;9.0;11.5;13.99;3.29;6.512;5.83;56.7
1980-10-08;9.5;13.85;18.2;14.21;4.699;7.1;72.78
1980-10-09;9.81;13.05;16.29;3.0;5.076;5.0;77.85
1980-10-10;9.79;12.63;15.48;0.71;8.09;5.59;58.21
1980-10-11;8.71;12.54;16.38;9.63;8.205;5.1;56.02
1980-10-12;4.19;9.64;15.1;-0.01;12.52;1.39;47.18
1980-10-13;7.21;10.8;14.39;-0.01;6.591;1.4;64.23
1980-10-14;5.46;9.47;13.49;1.92;5.064;2.0;66.62
1980-10-15;4.99;10.09;15.19;1.09;7.199;3.1;56.12
1980-10-16;7.01;9.2;11.39;1.03;3.23;3.1;75.05
1980-10-17;7.1;10.91;14.71;1.39;4.528;3.5;59.33
1980-10-18;7.3;10.74;14.19;-0.01;7.298;4.1;55.64
1980-10-19;7.62;9.86;12.1;1.82;9.279;4.42;54.92
1980-10-20;6.19;8.78;11.36;-0.02;7.5;2.6;67.23
1980-10-21;4.89;8.23;11.58;-0.01;7.427;2.49;44.48
1980-10-22;5.55;10.31;15.08;7.93;3.396;4.31;58.54
1980-10-23;9.6;12.66;15.71;2.0;4.798;3.4;69.22
1980-10-24;10.82;12.19;13.56;-0.01;4.287;4.3;81.11
1980-10-25;9.7;12.05;14.4;-0.01;6.012;4.7;59.94
1980-10-26;9.52;12.62;15.72;-0.01;7.302;4.4;56.06
1980-10-27;8.1;10.9;13.7;-0.02;5.287;4.3;52.95
1980-10-28;4.59;9.5;14.41;-0.02;8.297;2.61;50.21
1980-10-29;6.51;10.14;13.78;5.01;3.593;4.5;63.35
1980-10-30;8.82;11.66;14.51;-0.01;7.405;4.22;53.37
1980-10-31;7.81;10.65;13.49;-0.02;6.496;3.09;69.9
1980-11-01;7.44;10.62;13.8;1.79;5.703;2.88;68.94
1980-11-02;4.49;7.04;9.6;0.79;4.391;3.7;73.85
1980-11-03;1.05;4.16;7.27;7.05;8.104;5.4;54.88
1980-11-04;2.26;4.46;6.65;4.63;4.089;5.93;73.94
1980-11-05;2.49;4.5;6.5;-0.02;5.486;4.5;46.03
1980-11-06;-1.41;3.0;7.41;1.59;6.82;2.59;52.84
1980-11-07;2.39;6.43;10.47;-0.01;7.0;3.9;53.11
1980-11-08;0.0;6.26;12.52;4.87;2.495;2.49;43.16
1980-11-09;3.87;8.58;13.29;-0.01;6.505;2.59;80.85
1980-11-10;1.26;5.28;9.3;3.9;2.703;0.98;65.36
1980-11-11;3.81;8.16;12.52;3.93;2.684;4.21;60.81
1980-11-12;-1.1;1.59;4.29;-0.02;6.095;3.63;55.51
1980-11-13;-3.63;-1.15;1.34;-0.01;7.037;3.81;42.95
1980-11-14;-4.48;-1.59;1.31;-0.01;7.114;2.4;50.94
1980-11-15;-1.85;1.36;4.58;0.39;2.287;0.58;83.52
1980-11-16;3.29;5.44;7.58;-0.01;3.396;1.4;84.41
1980-11-17;5.59;8.45;11.3;11.21;3.204;4.62;80.34
1980-11-18;-1.5;2.84;7.18;-0.01;6.008;3.4;32.25
1980-11-19;-1.13;1.28;3.69;-0.02;5.237;2.4;61.21
1980-11-20;0.47;2.53;4.6;-0.02;3.904;1.48;76.44
1980-11-21;-2.45;0.52;3.49;-0.01;6.433;1.1;72.1
1980-11-22;-4.2;-1.07;2.07;-0.01;7.107;2.19;42.41
1980-11-23;-1.81;1.78;5.38;7.41;3.405;2.6;64.48
1980-11-24;0.07;4.94;9.8;0.3;2.596;3.7;66.37
1980-11-25;-3.85;-0.13;3.59;-0.01;6.224;1.0;57.49
1980-11-26;-0.85;3.58;8.0;2.7;2.599;2.96;53.91
1980-11-27;-4.46;0.25;4.96;1.51;1.295;2.9;70.46
1980-11-28;-6.55;-2.99;0.57;7.02;5.096;2.5;33.7
1980-11-29;-1.64;2.83;7.3;2.0;2.181;3.19;82.26
1980-11-30;7.2;9.76;12.32;0.29;5.229;3.8;70.0
1980-12-01;7.82;9.37;10.92;0.41;2.899;5.23;72.91
1980-12-02;8.42;8.93;9.44;27.27;1.396;5.82;93.11
1980-12-03;-1.54;2.98;7.49;2.71;2.291;4.4;71.64
1980-12-04;-3.31;-0.87;1.57;-0.01;5.306;2.0;49.09
1980-12-05;-2.92;1.08;5.09;-0.01;5.507;4.5;32.56
1980-12-06;1.61;5.6;9.59;0.89;3.396;3.9;71.27
1980-12-07;1.83;6.01;10.2;-0.01;2.399;3.4;70.26
1980-12-08;8.74;12.13;15.53;-0.01;3.4;3.69;76.37
1980-12-09;7.15;10.13;13.11;-0.01;5.109;2.49;83.09
1980-12-10;0.0;5.61;11.22;-0.01;4.6;1.5;65.84
1980-12-11;-2.01;1.25;4.5;-0.01;4.1;-0.02;74.6
1980-12-12;-2.02;0.87;3.76;-0.02;5.3;0.99;77.55
1980-12-13;0.59;3.77;6.96;-0.02;4.198;1.99;69.3
1980-12-14;3.44;6.58;9.71;-0.01;2.402;2.89;83.54
1980-12-15;4.0;7.71;11.41;-0.02;5.731;2.7;69.16
1980-12-16;2.05;5.39;8.74;-0.02;5.301;2.2;69.49
1980-12-17;4.01;6.46;8.9;-0.01;4.507;3.41;74.81
1980-12-18;1.27;5.63;10.0;1.22;2.894;2.2;84.96
1980-12-19;2.68;8.06;13.44;1.99;1.598;4.84;82.51
1980-12-20;6.74;9.57;12.41;12.15;2.064;7.82;88.9
1980-12-21;-1.71;1.84;5.39;0.49;3.605;3.6;45.21
