iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;-4.82;-0.9;3.02;0.0;4.478;3.92;69.97
1980-01-02;4.13;4.67;5.2;0.0;4.279;4.33;77.72
1980-01-03;1.97;5.11;8.24;2.51;4.279;3.12;63.67
1980-01-04;7.61;9.19;10.77;3.67;3.12;4.99;76.55
1980-01-05;3.11;8.11;13.11;5.07;4.055;4.61;69.97
1980-01-06;-2.77;0.97;4.7;0.0;4.901;2.31;49.02
1980-01-07;-2.88;0.75;4.37;0.55;4.79;2.83;49.4
1980-01-08;-5.02;-0.85;3.31;0.0;4.916;2.46;40.36
1980-01-09;-5.64;-1.68;2.27;0.0;5.088;2.21;34.46
1980-01-10;-6.81;-3.85;-0.9;0.37;4.833;3.42;44.97
1980-01-11;-6.83;-2.05;2.73;1.87;4.888;3.53;44.64
1980-01-12;-8.58;-4.58;-0.58;0.83;5.669;4.05;40.48
1980-01-13;-9.22;-4.27;0.68;0.0;5.633;2.76;29.49
1980-01-14;-3.55;-0.32;2.91;0.0;5.553;2.6;53.98
1980-01-15;-5.2;-1.18;2.84;10.06;5.115;1.35;69.82
1980-01-16;-7.45;-3.27;0.92;19.92;0.717;3.69;88.56
1980-01-17;-12.55;-9.23;-5.91;0.0;6.211;2.61;47.17
1980-01-18;-11.66;-7.54;-3.42;0.0;6.253;1.05;38.01
1980-01-19;-6.95;-2.19;2.58;2.13;5.755;2.47;68.49
1980-01-20;-3.19;-0.93;1.32;16.01;0.631;0.98;96.43
1980-01-21;-0.23;0.69;1.6;11.15;4.279;1.97;95.21
1980-01-22;1.69;3.52;5.35;0.63;5.972;3.6;80.95
1980-01-23;7.23;9.5;11.77;1.31;0.708;3.54;76.45
1980-01-24;5.67;9.69;13.71;7.52;0.569;2.78;75.35
1980-01-25;2.55;8.49;14.43;0.0;6.26;1.23;53.25
1980-01-26;6.64;10.86;15.08;1.96;5.559;3.17;59.04
1980-01-27;1.81;7.54;13.28;0.0;6.278;1.39;57.63
1980-01-28;1.78;6.96;12.14;0.0;5.764;1.98;57.56
1980-01-29;2.44;7.84;13.25;2.82;6.412;1.34;51.14
1980-01-30;6.71;11.82;16.93;9.33;6.098;1.78;65.16
1980-01-31;9.28;12.63;15.97;2.01;5.722;3.33;71.3
1980-02-01;-2.26;3.99;10.24;2.08;5.822;3.07;55.78
1980-02-02;-5.25;-2.67;-0.08;0.0;6.943;3.91;32.69
