iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;5.44;7.52;9.59;0.0;4.155;4.27;57.85
1980-01-02;6.25;9.13;12.02;0.0;4.627;4.15;60.97
1980-01-03;-0.52;3.16;6.83;0.74;1.039;2.6;82.53
1980-01-04;-4.28;-0.94;2.41;0.0;3.03;0.66;78.18
1980-01-05;2.06;4.42;6.77;0.0;3.503;2.11;72.16
1980-01-06;1.14;4.75;8.35;0.0;3.929;2.11;67.07
1980-01-07;1.91;4.88;7.86;0.0;4.244;2.78;61.58
1980-01-08;0.57;3.37;6.17;0.0;4.253;2.79;66.72
1980-01-09;-0.83;2.19;5.22;0.0;4.281;1.68;68.32
1980-01-10;-2.03;0.74;3.5;0.0;3.197;1.45;77.74
1980-01-11;-2.17;1.04;4.24;0.0;4.093;1.24;73.85
1980-01-12;-0.93;1.93;4.79;0.05;2.692;2.91;75.72
1980-01-13;1.18;4.03;6.88;0.0;3.655;3.77;62.37
1980-01-14;-1.64;2.5;6.64;0.0;4.86;5.77;39.18
1980-01-15;-4.13;-2.67;-1.22;0.0;4.766;6.64;37.15
1980-01-16;-2.45;-0.46;1.53;0.0;4.42;5.56;64.36
1980-01-17;-1.15;1.29;3.72;0.0;5.045;3.79;53.64
1980-01-18;0.46;4.26;8.06;0.0;4.862;3.26;58.36
1980-01-19;1.54;5.93;10.32;0.0;5.267;2.79;57.47
1980-01-20;-0.11;4.42;8.94;0.0;5.233;1.81;59.76
1980-01-21;2.67;5.77;8.87;0.0;5.229;3.43;61.94
1980-01-22;3.27;6.09;8.91;5.35;4.863;4.79;64.66
1980-01-23;-3.26;1.39;6.03;1.36;5.572;3.21;45.18
1980-01-24;-3.8;-1.61;0.58;0.0;4.158;1.48;54.95
1980-01-25;-4.37;-1.67;1.03;0.6;5.935;3.09;44.81
1980-01-26;0.05;2.68;5.31;1.91;2.462;2.7;73.74
1980-01-27;-2.06;0.99;4.03;0.0;6.18;2.78;65.88
1980-01-28;-1.32;2.44;6.19;0.0;5.798;3.72;42.87
1980-01-29;-0.48;2.9;6.28;0.0;5.943;3.12;43.49
1980-01-30;-1.3;1.47;4.24;0.0;6.096;3.07;53.18
1980-01-31;-2.39;0.25;2.9;0.0;6.204;3.37;55.62
1980-02-01;-2.14;0.52;3.18;6.96;1.483;2.89;73.99
1980-02-02;-1.47;0.76;2.98;0.5;6.148;2.24;66.61
1980-02-03;-3.22;-0.59;2.04;0.0;6.647;3.32;50.35
1980-02-04;-0.22;4.04;8.31;1.18;7.059;4.57;49.49
1980-02-05;8.04;11.09;14.13;0.0;5.819;4.72;44.95
1980-02-06;9.12;10.57;12.03;3.36;2.71;6.98;67.91
1980-02-07;7.58;9.52;11.46;31.67;1.473;3.39;85.95
1980-02-08;1.16;4.22;7.28;0.27;7.917;1.86;54.57
1980-02-09;-1.24;4.62;10.48;5.08;6.899;2.6;59.71
1980-02-10;9.62;14.16;18.7;0.44;7.465;4.99;51.96
1980-02-11;8.41;12.73;17.06;0.0;8.141;3.26;51.68
1980-02-12;6.89;11.26;15.63;0.95;6.439;2.61;60.16
1980-02-13;6.66;8.44;10.22;12.26;2.431;1.81;79.41
1980-02-14;0.07;3.99;7.91;1.43;8.823;2.35;60.22
1980-02-15;-1.26;2.38;6.02;0.0;8.593;2.4;45.64
1980-02-16;3.75;8.71;13.67;0.0;8.819;2.59;46.23
1980-02-17;4.71;9.43;14.15;0.0;8.704;3.76;47.78
1980-02-18;3.68;7.42;11.16;0.0;8.827;2.25;56.61
1980-02-19;2.01;7.88;13.75;0.0;8.925;2.13;47.69
1980-02-20;0.36;6.13;11.9;0.0;9.247;2.09;45.24
1980-02-21;0.05;5.75;11.44;0.0;9.286;1.37;50.7
1980-02-22;-1.42;4.46;10.33;0.0;10.31;1.06;51.6
1980-02-23;0.13;6.97;13.8;2.43;8.605;2.61;54.1
1980-02-24;6.18;7.82;9.46;4.42;1.032;2.35;79.79
1980-02-25;-3.78;0.81;5.4;0.0;8.314;5.44;45.07
1980-02-26;-4.29;-0.5;3.3;0.0;9.786;3.27;32.17
1980-02-27;-2.92;2.59;8.11;0.0;9.818;2.44;46.62
1980-02-28;5.37;11.37;17.36;0.0;10.612;4.51;46.71
1980-02-29;8.89;14.56;20.24;0.0;11.282;4.27;45.4
1980-03-01;10.23;15.4;20.58;0.0;11.261;3.97;46.11
1980-03-02;5.08;11.14;17.19;3.53;4.993;4.35;55.23
1980-03-03;0.43;3.12;5.81;0.0;11.792;3.07;41.81
1980-03-04;-0.28;6.94;14.15;0.0;11.584;3.86;39.18
1980-03-05;8.09;13.38;18.68;0.0;12.849;4.64;48.1
1980-03-06;7.62;13.7;19.78;0.0;11.989;3.55;43.57
1980-03-07;7.61;13.96;20.32;0.0;13.039;3.1;43.22
1980-03-08;5.46;12.87;20.28;0.0;12.577;2.05;42.74
1980-03-09;4.4;12.48;20.56;0.0;13.622;0.62;41.82
1980-03-10;5.56;12.85;20.14;0.0;13.118;1.28;43.1
1980-03-11;2.5;10.84;19.17;0.0;11.777;0.82;40.5
1980-03-12;3.07;8.81;14.56;0.0;9.936;2.59;54.46
1980-03-13;0.37;5.37;10.37;0.0;12.266;1.53;46.47
1980-03-14;-2.7;0.76;4.22;0.0;14.518;2.98;34.0
1980-03-15;-4.24;0.02;4.29;0.0;14.412;0.67;29.74
1980-03-16;-1.61;4.88;11.36;2.8;9.043;3.43;39.98
1980-03-17;9.24;14.91;20.59;0.0;15.041;3.74;49.27
1980-03-18;10.45;15.79;21.14;0.04;13.976;3.61;45.31
1980-03-19;3.64;10.02;16.4;0.0;14.328;2.05;49.55
1980-03-20;3.42;11.11;18.8;0.0;14.953;1.37;41.3
1980-03-21;7.52;13.68;19.84;0.0;11.291;2.23;51.99
1980-03-22;4.71;12.76;20.81;0.0;15.949;0.67;40.38
1980-03-23;6.03;13.71;21.38;0.0;15.274;1.38;39.47
1980-03-24;4.15;8.0;11.86;0.64;4.697;2.9;71.97
1980-03-25;0.49;6.74;12.98;0.0;16.982;0.66;37.95
1980-03-26;-0.32;8.56;17.45;0.0;17.002;1.24;35.76
1980-03-27;4.75;12.07;19.39;0.0;16.985;2.06;40.97
1980-03-28;3.99;11.66;19.33;0.0;12.678;1.36;45.51
1980-03-29;10.22;15.65;21.08;0.0;18.49;2.69;38.96
1980-03-30;7.3;13.58;19.85;0.9;14.115;1.89;45.45
1980-03-31;7.54;13.96;20.38;0.0;15.371;0.76;42.47
1980-04-01;7.76;12.88;17.99;0.0;16.944;2.42;45.18
1980-04-02;7.21;11.29;15.36;1.12;6.632;3.38;64.58
1980-04-03;9.03;13.22;17.41;1.5;8.041;2.9;59.25
1980-04-04;7.22;9.2;11.18;10.35;2.195;4.15;80.74
1980-04-05;5.87;7.55;9.24;0.0;7.621;5.75;64.21
1980-04-06;5.21;8.63;12.05;0.0;12.15;3.78;54.6
1980-04-07;2.64;8.0;13.35;0.0;8.632;1.63;58.66
1980-04-08;0.62;7.83;15.05;0.0;18.893;1.6;36.08
1980-04-09;2.11;8.29;14.47;2.91;9.659;1.03;49.31
1980-04-10;0.46;9.34;18.22;0.0;19.088;0.09;37.26
1980-04-11;3.85;10.48;17.11;0.0;18.137;2.95;39.75
1980-04-12;4.92;11.2;17.49;0.56;13.758;2.2;47.77
1980-04-13;6.02;11.31;16.61;3.63;3.535;1.85;58.43
1980-04-14;5.21;11.24;17.27;0.81;18.655;3.67;44.66
1980-04-15;4.7;10.36;16.02;2.88;12.681;1.57;51.38
1980-04-16;4.12;8.92;13.71;0.0;17.645;4.19;47.18
1980-04-17;1.61;6.54;11.48;0.0;20.142;2.96;37.78
1980-04-18;0.31;4.5;8.7;0.0;21.502;2.9;34.38
1980-04-19;-0.69;4.02;8.73;0.0;18.796;2.8;36.08
1980-04-20;0.79;6.79;12.8;0.0;18.379;2.36;40.01
1980-04-21;0.3;8.3;16.31;0.0;21.296;1.03;36.35
1980-04-22;4.98;11.08;17.17;0.0;20.185;5.06;39.0
1980-04-23;4.44;12.11;19.78;0.0;21.993;2.78;32.68
1980-04-24;6.13;13.85;21.57;0.0;21.753;3.27;33.38
1980-04-25;13.18;18.67;24.16;0.0;20.498;3.98;33.7
1980-04-26;9.46;13.37;17.27;25.0;7.658;2.42;84.28
1980-04-27;5.91;12.04;18.17;0.27;18.287;2.15;43.58
1980-04-28;4.98;9.91;14.83;0.76;11.32;1.94;61.62
1980-04-29;6.2;11.83;17.47;2.0;17.077;1.45;55.73
1980-04-30;4.87;11.13;17.4;0.0;18.687;1.22;54.34
1980-05-01;8.04;14.0;19.97;0.0;22.169;2.6;41.81
1980-05-02;8.38;13.14;17.91;4.84;8.868;3.61;47.89
1980-05-03;7.9;14.05;20.2;0.23;20.999;3.45;37.22
1980-05-04;6.36;13.08;19.81;0.78;20.54;2.97;48.1
1980-05-05;5.74;10.41;15.08;0.0;16.696;2.45;53.27
1980-05-06;5.01;13.01;21.01;0.0;22.176;2.23;37.14
1980-05-07;11.3;18.69;26.08;0.0;20.983;4.29;32.44
1980-05-08;14.54;19.7;24.85;0.0;25.231;3.53;37.13
1980-05-09;14.48;19.18;23.88;3.33;12.022;3.26;43.47
1980-05-10;13.23;17.49;21.75;0.0;24.375;4.26;39.56
1980-05-11;11.39;16.02;20.65;0.0;22.181;3.6;36.28
1980-05-12;12.45;16.52;20.6;1.19;13.501;2.54;45.87
1980-05-13;10.53;16.11;21.69;0.0;19.907;3.08;41.31
1980-05-14;11.7;16.69;21.67;0.0;19.786;4.07;39.93
1980-05-15;12.82;17.13;21.43;0.0;14.406;3.78;45.98
1980-05-16;13.33;17.41;21.49;0.0;11.901;3.49;42.59
1980-05-17;11.59;16.73;21.88;0.0;19.875;2.78;40.75
1980-05-18;9.96;16.62;23.28;0.0;24.583;1.85;37.27
1980-05-19;14.9;18.86;22.81;0.0;15.825;1.02;41.11
1980-05-20;15.2;19.17;23.15;0.0;13.146;0.67;40.39
1980-05-21;13.58;18.32;23.05;0.0;12.998;0.66;40.37
1980-05-22;11.88;17.93;23.98;0.0;23.653;1.03;34.59
1980-05-23;10.95;18.01;25.07;0.0;18.67;1.37;31.16
1980-05-24;9.88;17.95;26.02;1.26;21.222;0.83;35.33
1980-05-25;12.16;19.12;26.08;0.0;23.93;1.21;33.64
1980-05-26;10.96;18.66;26.37;0.0;25.785;1.26;27.72
1980-05-27;10.7;19.21;27.72;0.0;25.817;0.62;29.5
1980-05-28;12.14;19.2;26.27;0.36;12.261;1.39;35.34
