iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;7.44;9.79;12.14;11.94;0.467;2.46;66.7
1980-01-02;6.51;9.89;13.27;0.0;8.398;2.92;43.18
1980-01-03;8.54;10.57;12.6;0.0;8.249;5.78;44.03
1980-01-04;7.63;8.72;9.82;0.0;8.477;6.91;38.03
1980-01-05;6.76;8.35;9.94;0.0;8.532;6.06;41.23
1980-01-06;7.71;8.79;9.87;0.0;8.465;6.06;50.0
1980-01-07;7.55;9.57;11.6;0.0;4.62;5.37;56.61
1980-01-08;8.31;9.64;10.96;0.0;5.524;5.07;60.15
1980-01-09;6.28;7.35;8.42;6.56;0.893;1.07;78.57
1980-01-10;4.93;7.56;10.2;0.0;4.485;3.52;57.95
1980-01-11;5.74;7.07;8.4;8.36;5.549;6.51;66.14
1980-01-12;4.44;6.33;8.21;1.51;7.965;4.74;42.66
1980-01-13;4.68;7.01;9.34;0.39;8.39;4.7;38.64
1980-01-14;2.95;4.65;6.35;0.42;9.058;4.68;29.16
1980-01-15;2.19;4.14;6.09;3.09;7.134;5.27;27.67
1980-01-16;-0.97;2.5;5.96;0.0;5.902;5.19;34.6
1980-01-17;-1.26;2.4;6.05;5.71;8.611;6.57;43.7
1980-01-18;-1.55;0.42;2.39;0.0;6.866;2.34;38.78
1980-01-19;-1.33;2.29;5.9;0.0;7.302;3.19;37.48
1980-01-20;-1.33;0.65;2.62;5.72;1.591;3.64;69.16
1980-01-21;-1.33;2.31;5.94;0.0;4.567;3.72;67.12
1980-01-22;-1.6;2.17;5.95;2.51;8.11;4.6;43.02
1980-01-23;-1.47;0.42;2.31;4.02;4.871;2.78;75.18
1980-01-24;2.18;5.97;9.77;11.99;6.606;5.44;53.94
1980-01-25;3.74;5.96;8.19;0.0;10.021;4.48;36.37
1980-01-26;2.84;4.65;6.46;0.0;8.543;3.26;40.38
1980-01-27;2.86;7.19;11.52;8.3;1.337;4.3;55.24
1980-01-28;11.48;12.1;12.72;6.47;2.254;5.34;91.72
1980-01-29;11.16;11.68;12.2;16.75;2.238;3.29;91.29
1980-01-30;8.69;10.77;12.85;8.54;6.53;5.34;71.28
1980-01-31;7.61;8.17;8.73;4.39;2.233;3.35;72.85
1980-02-01;5.12;9.21;13.3;0.0;10.72;1.54;55.91
1980-02-02;9.07;11.72;14.37;0.72;7.038;2.17;59.58
1980-02-03;7.76;8.96;10.16;3.37;4.401;2.22;70.78
1980-02-04;7.66;10.03;12.4;5.08;1.671;2.88;68.33
1980-02-05;8.53;10.22;11.91;0.0;3.6;1.74;70.7
1980-02-06;6.76;10.39;14.03;0.0;6.833;0.08;54.1
1980-02-07;6.11;10.15;14.2;0.0;11.623;1.27;49.86
1980-02-08;7.67;9.54;11.4;0.0;3.735;2.44;79.87
1980-02-09;8.73;11.34;13.94;0.0;7.276;1.71;67.04
1980-02-10;8.7;11.41;14.12;0.64;7.159;2.73;54.49
1980-02-11;8.17;10.35;12.53;1.85;12.248;4.93;34.32
