iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;-14.8;-9.14;-3.49;0.0;4.927;0.19;72.75
1980-01-02;0.02;-0.15;-0.32;8.33;6.427;2.83;86.31
1980-01-03;-12.89;-8.63;-4.37;0.0;4.666;1.52;69.66
1980-01-04;-13.3;-7.09;-0.88;0.0;6.612;2.19;42.42
1980-01-05;3.28;3.13;2.97;0.0;5.495;3.49;76.94
1980-01-06;4.91;4.58;4.26;2.82;2.681;3.98;75.82
1980-01-07;-9.1;-3.82;1.46;4.19;6.575;2.8;45.63
1980-01-08;-8.57;-4.21;0.16;0.0;4.083;1.57;48.29
1980-01-09;-5.26;-2.05;1.16;0.0;7.692;0.99;64.02
1980-01-10;-5.27;-1.52;2.23;0.0;3.144;2.05;69.48
1980-01-11;0.7;2.68;4.66;0.0;5.968;2.78;58.68
1980-01-12;-1.56;0.13;1.81;5.4;2.07;1.61;79.01
1980-01-13;-7.95;-4.74;-1.52;0.0;4.824;1.83;74.4
1980-01-14;-8.0;-4.94;-1.88;0.0;6.205;1.16;52.76
1980-01-15;-13.71;-9.95;-6.19;0.0;8.252;0.9;56.03
1980-01-16;-14.15;-9.32;-4.48;0.0;8.55;0.97;50.44
1980-01-17;-2.46;-3.48;-4.49;1.3;1.356;2.19;97.27
1980-01-18;-4.18;-1.93;0.32;0.0;2.774;0.15;83.27
1980-01-19;-4.9;-1.92;1.06;0.0;8.697;0.16;72.75
1980-01-20;-5.83;-2.71;0.42;0.0;6.938;0.9;72.28
1980-01-21;-9.19;-5.97;-2.75;0.0;5.069;2.7;70.8
1980-01-22;-10.79;-6.1;-1.42;0.0;9.012;1.5;47.06
1980-01-23;-2.45;-0.88;0.7;4.44;5.621;1.17;81.0
1980-01-24;-7.99;-4.13;-0.28;0.0;8.946;1.61;50.63
1980-01-25;-1.92;-0.33;1.25;0.0;8.411;2.31;64.46
1980-01-26;-5.83;-3.43;-1.03;0.0;9.155;2.13;57.48
1980-01-27;-3.14;1.09;5.32;0.1;9.038;2.95;57.62
1980-01-28;-14.69;-7.23;0.22;0.7;6.622;3.57;48.19
1980-01-29;-15.16;-12.09;-9.03;0.0;9.949;1.24;33.53
1980-01-30;-15.15;-12.21;-9.28;0.7;10.042;2.13;58.09
1980-01-31;-15.22;-12.48;-9.73;0.0;9.952;2.71;56.6
1980-02-01;-15.6;-12.71;-9.82;0.0;9.905;1.83;59.5
1980-02-02;-15.75;-12.77;-9.78;0.0;10.278;1.32;56.44
1980-02-03;-15.3;-12.15;-9.0;6.58;10.435;2.29;56.93
1980-02-04;-19.12;-15.01;-10.89;0.0;10.428;4.38;57.39
1980-02-05;-20.2;-13.66;-7.12;0.0;11.281;1.63;38.19
1980-02-06;-17.05;-13.14;-9.22;0.0;10.556;3.16;60.73
1980-02-07;-19.11;-15.07;-11.03;0.0;11.581;2.5;47.99
1980-02-08;-20.03;-15.64;-11.24;0.0;10.386;2.2;56.07
1980-02-09;-18.62;-14.66;-10.69;0.0;10.515;2.13;53.95
1980-02-10;-18.56;-14.22;-9.88;0.0;11.466;1.63;54.25
1980-02-11;-20.11;-15.31;-10.52;0.0;11.601;0.98;54.82
1980-02-12;-18.76;-14.26;-9.75;0.0;13.124;1.2;42.52
1980-02-13;-18.59;-14.22;-9.85;0.0;12.1;0.18;52.37
1980-02-14;-18.93;-11.86;-4.79;4.37;10.33;1.39;47.87
1980-02-15;-11.44;-7.38;-3.33;27.36;5.081;2.24;93.72
1980-02-16;-15.23;-12.16;-9.08;8.77;8.911;2.62;75.04
1980-02-17;-18.86;-14.81;-10.76;2.25;11.867;3.03;71.83
1980-02-18;-20.54;-16.36;-12.18;0.0;13.383;3.6;59.78
1980-02-19;-23.46;-17.79;-12.12;0.0;13.888;1.35;45.87
1980-02-20;-20.14;-13.78;-7.42;0.0;12.964;2.13;43.18
1980-02-21;-7.47;-3.96;-0.45;0.0;12.684;2.7;77.41
1980-02-22;-10.73;-6.17;-1.61;0.0;13.441;1.32;81.33
1980-02-23;-9.45;-6.01;-2.57;0.0;8.216;0.16;88.06
1980-02-24;0.06;-0.96;-1.99;0.0;3.586;2.19;95.44
1980-02-25;-0.77;-0.86;-0.95;19.47;2.65;3.65;93.22
1980-02-26;-6.65;-2.69;1.27;0.0;11.152;0.14;66.85
1980-02-27;-4.38;-2.83;-1.29;3.21;3.783;2.4;89.5
1980-02-28;-3.22;-1.06;1.09;0.0;11.604;0.19;71.95
1980-02-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1980-03-01;-7.14;-2.92;1.29;6.78;13.72;0.99;71.99
1980-03-02;-2.46;0.39;3.24;5.35;5.494;1.84;73.67
1980-03-03;-3.01;-0.03;2.95;1.96;6.75;0.94;69.6
1980-03-04;-5.74;-1.91;1.93;1.48;12.136;0.99;60.63
1980-03-05;1.86;1.75;1.63;18.23;2.738;3.06;87.14
1980-03-06;-2.01;1.58;5.18;0.35;11.285;0.19;57.65
1980-03-07;-0.88;0.72;2.32;1.25;8.545;1.0;72.57
1980-03-08;-2.04;-1.23;-0.42;3.76;2.659;1.97;85.57
1980-03-09;-5.5;-4.12;-2.73;5.39;9.627;1.38;82.18
1980-03-10;-9.28;-4.45;0.38;0.0;12.58;0.89;69.6
1980-03-11;-4.96;-1.09;2.77;0.0;14.826;1.52;48.78
1980-03-12;-6.66;-2.65;1.36;0.0;8.237;1.5;65.65
1980-03-13;-6.64;-1.64;3.36;0.0;11.769;2.13;46.86
1980-03-14;-0.81;4.24;9.29;0.0;16.902;2.49;41.96
1980-03-15;0.91;5.8;10.7;0.0;18.339;2.34;39.15
1980-03-16;1.41;7.21;13.02;0.0;17.156;1.62;44.09
1980-03-17;-0.75;6.83;14.42;0.0;16.667;0.97;47.9
1980-03-18;-1.86;6.25;14.37;0.0;14.146;0.89;46.12
1980-03-19;4.6;9.91;15.22;0.0;18.061;2.27;44.64
1980-03-20;0.42;7.16;13.89;0.0;19.156;1.25;40.14
1980-03-21;-3.56;2.23;8.02;0.0;18.662;1.85;42.25
1980-03-22;-7.5;1.22;9.94;0.0;18.528;0.07;37.41
1980-03-23;-0.78;6.57;13.91;0.0;19.004;1.24;35.14
1980-03-24;1.21;8.21;15.2;0.0;19.012;1.16;37.77
1980-03-25;0.83;7.04;13.26;1.77;14.571;2.04;42.93
1980-03-26;-1.9;3.04;7.97;0.0;19.377;1.5;40.32
1980-03-27;0.08;6.25;12.43;0.0;12.772;1.85;44.11
1980-03-28;3.71;6.9;10.09;25.54;3.699;1.91;73.91
1980-03-29;-0.03;4.54;9.11;0.0;14.412;1.31;48.79
1980-03-30;0.24;3.81;7.39;0.0;12.881;0.9;50.29
1980-03-31;-1.87;2.85;7.58;1.34;8.11;0.98;65.35
1980-04-01;2.38;5.6;8.81;2.98;7.483;1.58;65.73
1980-04-02;-1.69;4.95;11.58;0.0;19.8;0.98;40.81
1980-04-03;4.78;8.13;11.49;7.03;14.782;2.04;58.07
1980-04-04;0.95;4.73;8.51;8.17;9.136;1.2;64.43
1980-04-05;2.71;6.54;10.37;0.0;14.497;0.14;57.41
1980-04-06;-0.15;5.73;11.62;0.0;20.556;1.0;38.91
