iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;-1.03;2.07;5.17;1.38;4.463;4.17;66.01
1980-01-02;-0.55;1.79;4.14;1.6;4.555;5.05;68.29
1980-01-03;-1.33;0.76;2.86;1.23;4.665;4.2;77.25
1980-01-04;-2.33;-0.02;2.29;0.26;4.9;2.58;79.65
1980-01-05;-0.98;1.22;3.41;0.63;4.792;3.01;68.66
1980-01-06;-0.02;2.63;5.27;1.91;5.9;2.64;71.31
1980-01-07;1.18;3.31;5.45;1.44;4.837;3.92;70.5
1980-01-08;-0.11;2.13;4.38;0.82;5.781;3.49;66.04
1980-01-09;-1.34;0.97;3.28;0.31;5.733;3.48;65.16
1980-01-10;-1.58;0.73;3.04;2.35;2.811;3.48;74.39
1980-01-11;-2.19;-0.13;1.93;0.95;3.898;2.41;75.39
1980-01-12;-2.49;-0.5;1.5;1.03;3.749;3.27;71.79
1980-01-13;-2.47;-0.14;2.2;0.0;5.665;4.14;69.36
1980-01-14;-4.32;-1.81;0.7;0.0;6.89;3.81;63.75
1980-01-15;-5.33;-3.31;-1.28;0.02;6.164;3.95;63.32
1980-01-16;-5.28;-3.1;-0.93;0.0;6.356;4.05;66.93
1980-01-17;-5.02;-2.61;-0.21;1.92;6.098;3.7;65.83
1980-01-18;-4.33;-1.89;0.55;1.59;3.786;3.44;64.31
1980-01-19;-4.83;-2.06;0.72;1.51;6.913;3.72;63.2
1980-01-20;-2.74;-0.03;2.69;0.26;6.521;3.49;65.36
1980-01-21;-3.27;0.2;3.66;0.11;6.115;3.89;65.94
1980-01-22;-3.66;-0.54;2.59;2.35;6.21;4.19;68.99
1980-01-23;-3.81;-1.23;1.34;0.56;7.037;3.79;63.4
1980-01-24;-5.1;-1.82;1.46;0.65;5.639;3.91;71.41
1980-01-25;-3.9;-0.88;2.15;1.96;4.505;3.87;69.32
1980-01-26;-3.57;-0.79;1.98;1.64;4.493;4.2;64.77
1980-01-27;-4.95;-2.4;0.15;0.24;5.507;4.19;67.04
1980-01-28;-3.65;-1.1;1.45;4.05;6.706;5.83;62.09
1980-01-29;-2.05;0.4;2.85;1.73;6.803;5.32;61.39
1980-01-30;-1.87;0.57;3.01;2.58;7.627;4.44;63.57
1980-01-31;-2.49;-0.09;2.32;0.87;7.861;4.19;62.2
1980-02-01;-3.18;-1.0;1.18;1.92;7.764;3.46;58.62
1980-02-02;-2.68;-0.58;1.52;1.69;7.838;3.44;56.53
1980-02-03;-4.35;-1.19;1.96;0.0;7.043;3.95;62.44
1980-02-04;-3.01;-0.01;2.98;2.51;8.784;3.68;59.23
1980-02-05;-1.08;1.86;4.81;1.61;7.241;4.34;63.33
1980-02-06;-2.03;0.85;3.73;1.02;9.796;4.76;63.51
1980-02-07;-1.02;1.55;4.11;0.29;6.817;3.95;70.12
1980-02-08;-0.2;1.94;4.08;0.35;6.541;3.06;66.47
1980-02-09;0.01;3.43;6.85;2.18;8.548;3.82;69.9
1980-02-10;1.49;4.74;7.98;0.3;8.039;4.1;69.82
1980-02-11;0.8;3.56;6.32;1.51;2.786;4.16;63.91
1980-02-12;-0.64;3.17;6.98;1.39;7.463;3.55;60.37
1980-02-13;0.16;2.98;5.79;5.78;9.78;4.31;61.06
1980-02-14;-1.81;1.49;4.8;1.06;10.099;4.23;56.92
1980-02-15;-2.32;1.07;4.47;0.13;10.241;4.19;54.27
1980-02-16;-0.18;2.21;4.59;2.21;9.367;3.61;58.02
1980-02-17;-1.49;1.53;4.56;0.75;11.177;3.7;56.19
1980-02-18;-1.98;1.22;4.42;0.08;7.03;3.17;59.88
1980-02-19;-1.48;2.26;6.0;0.69;11.588;3.34;52.52
1980-02-20;-2.15;1.18;4.51;0.65;10.318;3.55;58.17
1980-02-21;-2.05;0.89;3.83;2.82;6.079;2.82;62.73
1980-02-22;-2.14;1.56;5.26;0.57;8.48;2.15;57.5
1980-02-23;-0.69;3.29;7.27;3.85;6.297;3.37;66.59
1980-02-24;0.18;3.79;7.4;1.39;9.504;3.29;64.68
1980-02-25;-1.5;2.1;5.7;0.42;10.008;3.31;61.47
1980-02-26;-1.43;2.03;5.48;0.17;11.826;3.34;65.23
1980-02-27;-0.57;3.91;8.39;0.0;9.099;2.7;65.76
1980-02-28;2.06;6.71;11.35;0.0;11.622;2.72;57.87
1980-02-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1980-03-01;3.57;7.99;12.4;0.0;11.666;3.44;50.32
1980-03-02;3.32;7.89;12.46;0.23;10.362;3.13;58.23
1980-03-03;2.05;5.52;8.98;2.53;7.582;3.89;68.65
1980-03-04;2.02;6.29;10.55;1.83;12.993;3.48;56.11
1980-03-05;3.05;7.22;11.39;1.14;10.334;3.19;58.6
1980-03-06;3.7;8.12;12.53;0.62;12.938;3.09;54.94
1980-03-07;2.0;7.11;12.21;0.0;14.852;3.03;52.47
1980-03-08;2.91;7.77;12.63;0.73;6.758;3.43;48.91
1980-03-09;2.09;6.26;10.44;1.91;13.12;2.59;58.11
1980-03-10;0.71;5.29;9.88;2.83;8.726;3.14;54.97
1980-03-11;0.93;4.7;8.46;5.72;6.864;3.52;63.5
1980-03-12;0.44;4.61;8.78;0.75;9.691;4.55;53.7
