Site 48;;;;;;;;;;;;;;
Sidi El Aydi, Morocco;;;;;;;;;;;;;;
Soil Description: Calcaric Phaeozem (PHc);;;;;;;;;;;;;;
Potential rooting depth: 130cm;;;;;;;;;;;;;;
Parameter;Depth;Lower limit;Drained upper    limit;Saturation;Saturated hydraulic conductivity;Bulk density;Organic C;pH;Sand;Silt;Clay;Initial water content;Initial nitrate conc;Initial ammonium conc
Units;cm;mm3/mm3;mm3/mm3;mm3/mm3;(mm/day);g/cm3;(%);;(%);(%);(%);mm3/mm3;ppm;ppm
%;sllb;slll;sldul;slsat;sksat;slbdm;sloc;slph;SLSA;SLSI;SLCL;sliwat;slinconc;sliammon
;0-5;0.190;0.366;0.398;0.05;1.520;1.79;8.0;29.0;36.0;35.0;0.190;2.336;0.467
;5-10;0.190;0.366;0.398;0.05;1.520;1.79;8.0;29.0;36.0;35.0;0.190;2.336;0.467
;10-20;0.193;0.369;0.430;0.15;1.440;1.59;8.1;28.0;34.0;38.0;0.369;2.146;0.429
;20-30;0.195;0.372;0.462;0.24;1.360;1.39;8.1;27.0;32.0;41.0;0.372;1.984;0.397
;30-40;0.213;0.342;0.502;0.83;1.260;0.97;8.0;27.0;31.0;42.0;0.342;1.984;0.397
;40-50;0.201;0.327;0.490;0.94;1.295;0.88;8.1;27.0;32.0;41.0;0.218;1.923;0.385
;50-60;0.188;0.312;0.477;1.05;1.330;0.78;8.1;27.0;33.0;40.0;0.188;1.923;0.385
;60-70;0.198;0.300;0.466;1.13;1.370;0.37;8.2;28.0;37.0;35.0;0.198;1.923;0.385
;70-90;0.190;0.303;0.438;0.74;1.450;0.19;8.4;21.0;47.0;32.0;0.190;1.88;0.376
;90-110;0.253;0.361;0.372;0.02;1.610;0.14;8.6;15.0;58.0;27.0;0.253;1.88;0.376
;110-130;0.253;0.361;0.372;0.02;1.610;0.14;8.6;15.0;58.0;27.0;0.253;1.88;0.376
;130-150;0.253;0.361;0.372;0.02;1.610;0.14;8.6;15.0;58.0;27.0;0.253;1.88;0.376
;150-170;0.253;0.361;0.372;0.02;1.610;0.14;8.6;15.0;58.0;27.0;0.253;1.866;0.373
;170-190;0.253;0.361;0.372;0.02;1.610;0.14;8.6;15.0;58.0;27.0;0.253;1.852;0.37
;190-210;0.253;0.361;0.372;0.02;1.610;0.14;8.6;15.0;58.0;27.0;0.253;1.852;0.37
