Site 54;;;;;;;;;;;;;;
Urmar, Pakistan;;;;;;;;;;;;;;
Soil Description: Cumulic Anthrosol (ATc);;;;;;;;;;;;;;
Potential rooting depth: 150cm;;;;;;;;;;;;;;
Parameter;Depth;Lower limit;Drained upper    limit;Saturation;Saturated hydraulic conductivity;Bulk density;Organic C;pH;Sand;Silt;Clay;Initial water content;Initial nitrate conc;Initial ammonium conc
Units;cm;mm3/mm3;mm3/mm3;mm3/mm3;(mm/day);g/cm3;(%);;(%);(%);(%);mm3/mm3;ppm;ppm
%;sllb;slll;sldul;slsat;sksat;slbdm;sloc;slph;SLSA;SLSI;SLCL;sliwat;slinconc;sliammon
;0-5;0.188;0.317;0.463;0.80;1.360;1.02;8.2;2.0;70.0;28.0;0.188;2.336;0.467
;5-10;0.188;0.317;0.463;0.80;1.360;1.02;8.2;2.0;70.0;28.0;0.188;2.336;0.467
;10-20;0.179;0.294;0.423;0.74;1.477;0.66;8.3;2.0;70.0;28.0;0.294;2.146;0.429
;20-30;0.178;0.291;0.419;0.73;1.490;0.62;8.3;2.0;70.0;28.0;0.291;1.984;0.397
;30-40;0.178;0.291;0.419;0.73;1.490;0.62;8.3;2.0;70.0;28.0;0.291;1.984;0.397
;40-50;0.205;0.330;0.431;0.45;1.441;0.52;8.4;2.7;70.7;26.6;0.330;1.923;0.385
;50-60;0.217;0.346;0.436;0.33;1.420;0.48;8.4;3.0;71.0;26.0;0.252;1.923;0.385
;60-70;0.218;0.343;0.425;0.27;1.460;0.50;8.4;4.2;68.6;27.2;0.218;1.923;0.385
;70-90;0.219;0.339;0.409;0.19;1.520;0.52;8.3;6.0;65.0;29.0;0.219;1.88;0.376
;90-110;0.216;0.341;0.410;0.18;1.520;0.46;8.3;5.4;64.4;30.2;0.216;1.88;0.376
;110-130;0.214;0.342;0.410;0.17;1.520;0.42;8.3;5.0;64.0;31.0;0.214;1.88;0.376
;130-150;0.223;0.349;0.439;0.28;1.442;0.35;8.3;6.8;62.8;30.4;0.223;1.88;0.376
;150-170;0.229;0.354;0.459;0.36;1.390;0.30;8.3;8.0;62.0;30.0;0.229;1.866;0.373
;170-190;0.161;0.288;0.433;1.54;1.450;0.29;8.4;11.5;63.0;25.5;0.161;1.852;0.37
;190-210;0.092;0.222;0.406;2.71;1.510;0.27;8.4;15.0;64.0;21.0;0.092;1.852;0.37
