*WEATHER DATA - Station:Izmir- BADJAM DATA - BADJer: NONE - Method: NONE - Source model: AGMERRA
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Izmir 38.6 27.06 1068.57 16.37 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 37.04 12.6 6.7 30.4 4.6 NA NA 87.2
1980002 1980 01 02 107.64 10.9 6.3 0 2 NA NA 54.1
1980003 1980 01 03 35.88 14.1 8 20.4 5.2 NA NA 75.6
1980004 1980 01 04 64.81 6.2 2.4 2.9 2.9 NA NA 76.8
1980005 1980 01 05 64.81 4.7 0 0 2.3 NA NA 57.4
1980006 1980 01 06 108.8 6.8 1.7 2.5 1.2 NA NA 50.5
1980007 1980 01 07 26.62 10.3 3.7 24.7 2.7 NA NA 83.8
1980008 1980 01 08 78.7 10.3 6.3 14 2.2 NA NA 75.4
1980009 1980 01 09 101.85 7.9 1.9 1.2 2 NA NA 62.5
1980010 1980 01 10 114.58 8.6 1.6 0 2.1 NA NA 52.4
1980011 1980 01 11 120.37 8.8 0.7 0 3.6 NA NA 38.1
1980012 1980 01 12 119.21 8 0.6 0 5.3 NA NA 30.3
1980013 1980 01 13 119.21 5.5 -0.3 0 5.5 NA NA 33.4
1980014 1980 01 14 123.84 4.5 -0.8 0 4.5 NA NA 34
1980015 1980 01 15 131.94 8.5 -1.2 0 2.4 NA NA 39.2
1980016 1980 01 16 91.44 12.3 4.1 25.5 4.2 NA NA 53.3
1980017 1980 01 17 101.85 11.6 3.4 24.9 1.6 NA NA 68.6
1980018 1980 01 18 121.53 8.8 1.4 0 2.9 NA NA 45.8
1980019 1980 01 19 116.9 12.1 2.2 0 1.2 NA NA 48.2
1980020 1980 01 20 54.4 11.9 8 8.1 1.5 NA NA 65.8
1980021 1980 01 21 114.58 13.3 4.1 2.5 1.1 NA NA 53.2
1980022 1980 01 22 119.21 11.3 2.9 0 3.2 NA NA 47.5
1980023 1980 01 23 134.26 9.6 1.5 0 3.2 NA NA 44.2
1980024 1980 01 24 133.1 9.6 2.3 0 0.3 NA NA 58.3
