*WEATHER DATA - Station:Ventas Huelma - BADJAM DATA - BADJer: ECCC - Method: MBCn - Source model: MPICCLM
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Ventas Huelma 37.16 -3.83 781.41 16.12 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 119.68 13.45 1.56 0 0.5 NA NA 31.62
1980002 1980 01 02 120.4 13.87 2.18 0 1.32 NA NA 29.69
1980003 1980 01 03 113.87 16.21 1.24 0 2.28 NA NA 38.86
1980004 1980 01 04 119.82 17.38 2.43 0 2.37 NA NA 39.68
1980005 1980 01 05 120.36 17.12 2.96 0 1.78 NA NA 36.16
1980006 1980 01 06 124.64 16.83 4.63 0 1.59 NA NA 42.82
1980007 1980 01 07 129.39 14.92 1.9 0 1.6 NA NA 33.15
1980008 1980 01 08 115.78 16.75 1.69 0 2.57 NA NA 36.23
1980009 1980 01 09 127.09 15.29 5.1 0 4.15 NA NA 44.1
1980010 1980 01 10 131.34 17.26 4.57 0 3.9 NA NA 23.8
1980011 1980 01 11 124.89 15.9 3.79 0 3.33 NA NA 28.92
1980012 1980 01 12 122.04 15.58 2.48 0 3.15 NA NA 32.31
1980013 1980 01 13 129.6 17.44 4.63 0 3.39 NA NA 32.62
1980014 1980 01 14 128.43 14.66 2.81 0 3.71 NA NA 29.35
1980015 1980 01 15 118.97 13.58 1.36 0 2.41 NA NA 36.99
1980016 1980 01 16 126.43 11.32 0.52 0 3.33 NA NA 35.55
1980017 1980 01 17 133.46 11.58 -0.09 0 1.78 NA NA 24.47
1980018 1980 01 18 137.52 12.05 0.54 0 3.14 NA NA 40.16
1980019 1980 01 19 146.69 12.7 -0.07 0 3.05 NA NA 27.56
1980020 1980 01 20 135.22 14.22 0.29 0 1.3 NA NA 24.84
1980021 1980 01 21 120.68 13.3 1.67 0 0.79 NA NA 42.69
1980022 1980 01 22 139.31 14.55 2.27 0 0.51 NA NA 24.31
1980023 1980 01 23 128.14 14.16 3.93 0 1.62 NA NA 16.83
1980024 1980 01 24 22.91 14.69 5.93 3.08 3.04 NA NA 61.79
1980025 1980 01 25 58.51 12.56 8 2.68 3.99 NA NA 77.61
1980026 1980 01 26 103.11 13.26 4.8 6.76 2.87 NA NA 71.94
1980027 1980 01 27 142.24 10.75 -6.53 0.59 5.95 NA NA 57.49
1980028 1980 01 28 148.01 3.24 -5.89 2.51 4.86 NA NA 47.47
1980029 1980 01 29 72.12 9.59 -3.35 0.58 3.98 NA NA 75.37
1980030 1980 01 30 53.43 11.29 -0.66 0.76 1.58 NA NA 73.67
1980031 1980 01 31 106.81 15.71 3.91 0 2.42 NA NA 49.82
1980032 1980 02 01 45.45 11.62 4.84 5.13 1.58 NA NA 77.95
1980033 1980 02 02 54.28 15.45 9.47 1.9 2.24 NA NA 72.04
1980034 1980 02 03 48.92 14.88 10.14 9.72 3.16 NA NA 82.46
1980035 1980 02 04 56.7 14.19 8.59 15.39 2.26 NA NA 61.61
1980036 1980 02 05 94.55 12.85 5.38 0 3.27 NA NA 60.71
1980037 1980 02 06 46.28 13.7 6.69 4.94 3.17 NA NA 75.26
1980038 1980 02 07 107.47 15.74 4.02 4.89 3.37 NA NA 49.3
1980039 1980 02 08 160.47 15.06 2.49 0 0.78 NA NA 37.23
1980040 1980 02 09 78.76 14.39 6.65 0.28 0.57 NA NA 64.52
1980041 1980 02 10 48.88 17.09 7.89 0 3.35 NA NA 59.48
1980042 1980 02 11 146.78 20.81 6.72 0 1.08 NA NA 49.37
1980043 1980 02 12 168 19.2 8.23 0 1.31 NA NA 49.84
1980044 1980 02 13 180.16 19.25 7.24 0 1.43 NA NA 41.01
1980045 1980 02 14 167.68 19.37 6.03 0 2.48 NA NA 37.11
1980046 1980 02 15 172 19.58 10.06 0 3.56 NA NA 41.85
1980047 1980 02 16 155.38 17.03 5.95 0 3.36 NA NA 42.75
1980048 1980 02 17 80.61 14.26 6.01 1.75 2.94 NA NA 63.2
1980049 1980 02 18 109.96 13.29 4.41 0 3.54 NA NA 36.09
1980050 1980 02 19 180.9 14.98 1.48 0 0.47 NA NA 32.38
1980051 1980 02 20 64.83 11.54 4.9 6.49 1.67 NA NA 67.43
1980052 1980 02 21 151.25 12.79 4.33 0 3.14 NA NA 53.67
1980053 1980 02 22 178.19 16.39 1.98 0 1.45 NA NA 28.23
1980054 1980 02 23 139.72 16.81 5.79 0 0.48 NA NA 33.51
1980055 1980 02 24 168.69 16.92 5.4 0 0.48 NA NA 43.02
1980056 1980 02 25 204.01 19.7 5.67 0 0.89 NA NA 31.77
1980057 1980 02 26 202.55 19.73 4.89 0 1.17 NA NA 25.04
1980058 1980 02 27 202.47 19.56 5.01 0 1.58 NA NA 21.57
1980059 1980 02 28 199.01 18.3 3.64 0 2.66 NA NA 24.32
1980060 1980 02 29 165.47 18.52 4.51 0.35 1.77 NA NA 30.89
1980061 1980 03 01 110.18 15.69 2.41 0 2.85 NA NA 37.81
1980062 1980 03 02 150.64 9.89 -1.61 0.62 2.85 NA NA 48.61
1980063 1980 03 03 209.11 15.86 2.85 0 1.45 NA NA 29.88
1980064 1980 03 04 136.65 10.9 7.81 3.45 1.77 NA NA 71.1
1980065 1980 03 05 104.12 9.49 3.22 0.7 2.36 NA NA 56.14
1980066 1980 03 06 221.11 15.09 3 0.42 2.26 NA NA 27.44
1980067 1980 03 07 214.35 17.94 4.5 0 1.38 NA NA 31.82
1980068 1980 03 08 221.33 20.12 6.21 0 2.69 NA NA 32
1980069 1980 03 09 234.05 21.7 6.16 0 1.2 NA NA 25.72
1980070 1980 03 10 234.01 22.74 7.33 0 1.37 NA NA 22.46
1980071 1980 03 11 218.35 23.88 8.03 0 1.48 NA NA 13.71
1980072 1980 03 12 235.64 24.64 10.64 0 0.49 NA NA 19.84
1980073 1980 03 13 217.21 22.87 11.79 0 1.67 NA NA 26.05
1980074 1980 03 14 235.21 20.43 8.63 0 2.92 NA NA 32.8
1980075 1980 03 15 237.94 19.92 6.21 0 2.12 NA NA 29.73
1980076 1980 03 16 146.77 17.53 6.21 0 1.48 NA NA 45.88
1980077 1980 03 17 134.22 15.92 9.76 5.22 1.71 NA NA 66.53
1980078 1980 03 18 160.86 17.92 7.82 0 0.61 NA NA 53.16
1980079 1980 03 19 227.3 20.1 7.86 0 0.31 NA NA 34.76
1980080 1980 03 20 241.57 21.29 8.57 0 0.93 NA NA 33.03
1980081 1980 03 21 252.74 21.25 7.11 0 2.09 NA NA 33.58
1980082 1980 03 22 246.09 22.01 6.16 0 1.38 NA NA 24.58
1980083 1980 03 23 255.55 23.03 6.67 0 1.19 NA NA 16.75
1980084 1980 03 24 194.58 22.03 10.72 0 1.49 NA NA 27.76
1980085 1980 03 25 70.63 16.98 8.57 2.88 2.68 NA NA 56.7
1980086 1980 03 26 202.95 17.48 6.44 0 4.04 NA NA 43.37
1980087 1980 03 27 134.02 17.1 8.74 1.19 2.81 NA NA 57.65
1980088 1980 03 28 244.63 19.91 6.21 0 3.14 NA NA 32.93
1980089 1980 03 29 157.2 19.06 8.19 0 2.17 NA NA 41.03
1980090 1980 03 30 268.73 17.23 4 0 2.86 NA NA 28.21
1980091 1980 03 31 296.61 19.78 2.84 0 2.71 NA NA 20.45
1980092 1980 04 01 292.8 22.26 3.91 0 0.63 NA NA 14.76
1980093 1980 04 02 279.55 22.26 8.32 0.33 0.65 NA NA 17.36
1980094 1980 04 03 283.4 22.18 7.43 0 1.79 NA NA 24.25
1980095 1980 04 04 289.17 21.61 4.98 0 2 NA NA 16.62
1980096 1980 04 05 268.93 21.89 5.13 0 4.38 NA NA 16.7
1980097 1980 04 06 277.65 23.56 5.85 0 2.39 NA NA 24.89
1980098 1980 04 07 296.86 24.42 7.2 0 0.99 NA NA 16.09
1980099 1980 04 08 253.58 22.88 9.35 0 2.47 NA NA 26.58
1980100 1980 04 09 299.96 25.63 7.83 0 1.6 NA NA 12.38
1980101 1980 04 10 287.46 24.82 8.91 0 1.78 NA NA 17.22
1980102 1980 04 11 275.25 23.87 9.2 0 1.6 NA NA 24.27
1980103 1980 04 12 291.5 26.97 9.24 0 1.89 NA NA 15.22
1980104 1980 04 13 318.18 26.89 11.22 0 0.5 NA NA 14.48
1980105 1980 04 14 321.7 30.56 14.35 0 0.38 NA NA 15.84
1980106 1980 04 15 333.52 29.74 14.52 0.48 1.69 NA NA 14.57
1980107 1980 04 16 238.71 28.11 15.6 0 4 NA NA 28.7
1980108 1980 04 17 209.28 22.59 11.14 0 3.27 NA NA 25.82
1980109 1980 04 18 309.88 20.42 6.51 0 2.93 NA NA 15.31
1980110 1980 04 19 235.69 21.12 7.81 0 2.83 NA NA 15.55
