*WEATHER DATA - Station:Martonvásár - BADJAM DATA - BADJer: ECCC - Method: MBCn - Source model: MPIREMO09
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Martonvásár 47.35 18.81 185.9 10.2 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 68.96 5.86 -1.35 0 2.26 NA NA 33.04
1980002 1980 01 02 36 5.66 1.76 6.68 4.84 NA NA 74.78
1980003 1980 01 03 53.11 3.65 -2.02 0 4.45 NA NA 66.92
1980004 1980 01 04 69.04 2.15 -6.78 0 1.56 NA NA 57.23
1980005 1980 01 05 27.4 -1.1 -4.84 0 0.77 NA NA 64.03
1980006 1980 01 06 43.97 3.34 -1.98 0 2.36 NA NA 78.17
1980007 1980 01 07 34.31 2.64 -0.08 0 3.81 NA NA 88.8
1980008 1980 01 08 27.03 3.66 -0.38 0 1.79 NA NA 83.38
1980009 1980 01 09 35.73 0.28 -5.59 0 1.42 NA NA 61.11
1980010 1980 01 10 66.45 0.32 -6.3 0.41 1.18 NA NA 57.22
1980011 1980 01 11 27.41 -2.71 -7.69 0 0.44 NA NA 47.53
1980012 1980 01 12 50.17 -2.95 -6.55 1.45 2.15 NA NA 65.57
1980013 1980 01 13 33.93 -2.22 -6.77 0.23 0.87 NA NA 66.19
1980014 1980 01 14 59.61 -4.35 -11.07 0 2.56 NA NA 58.64
1980015 1980 01 15 88.67 -3.66 -12.11 0 5.08 NA NA 62.28
1980016 1980 01 16 38.32 -4.17 -12.01 0 3.94 NA NA 63.43
1980017 1980 01 17 36.05 -5 -11.78 0 3.77 NA NA 63.66
1980018 1980 01 18 41.55 -6.03 -8.33 0 2.75 NA NA 72
1980019 1980 01 19 59.98 -6.01 -11.92 0 1.19 NA NA 75.62
1980020 1980 01 20 61.22 -5.96 -12.11 0 1.07 NA NA 78.4
1980021 1980 01 21 51.3 -5.81 -10.52 0 1.76 NA NA 72.83
1980022 1980 01 22 63.68 -6.86 -12.2 0 1.59 NA NA 75.39
1980023 1980 01 23 43 -3.21 -10.48 0 1.6 NA NA 70.24
1980024 1980 01 24 73.19 -4.28 -11.17 0 2.99 NA NA 66.49
1980025 1980 01 25 37.23 -4.16 -10.45 0 2.17 NA NA 70.71
1980026 1980 01 26 65.09 -4 -11.18 0 1.91 NA NA 71.33
1980027 1980 01 27 69.9 -3.73 -11.16 0.28 1.2 NA NA 72.04
1980028 1980 01 28 20.3 -5.42 -10.25 8.99 5.88 NA NA 67.56
1980029 1980 01 29 47.53 -1.02 -6.55 0 2.6 NA NA 73.84
