*WEATHER DATA - Station:Alexandria - BADJAM DATA - BADJer: ECCC - Method: MBCn - Source model: NOAAGFDL
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Alexandria 43.98 25.35 83.93 8.98 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 55.84 -7.98 -17.67 0 0.99 NA NA 74.16
1980002 1980 01 02 79.61 -0.27 -12.2 0 3.26 NA NA 78.98
1980003 1980 01 03 33.76 -1.77 -7.6 7.55 3.55 NA NA 76.69
1980004 1980 01 04 60.67 -4.62 -13.17 0 4.33 NA NA 65.48
1980005 1980 01 05 12.82 0.8 -4.53 5.08 2.61 NA NA 81.39
1980006 1980 01 06 32.53 2.17 -0.05 3.72 1.41 NA NA 99.55
1980007 1980 01 07 39.63 -4.28 -10.76 10.36 3.27 NA NA 67.96
1980008 1980 01 08 64.02 -4.52 -15.07 0 1.77 NA NA 58.91
1980009 1980 01 09 72.93 -0.26 -12.23 0 1.45 NA NA 69.49
1980010 1980 01 10 56.67 -1.15 -12.66 0 3.17 NA NA 76.44
1980011 1980 01 11 91.92 1.92 0.49 0 3.06 NA NA 87.26
1980012 1980 01 12 69.03 3.17 0.71 1.52 2.13 NA NA 82.58
1980013 1980 01 13 44.07 -0.18 -5.85 0 3.72 NA NA 81.46
1980014 1980 01 14 76.66 -1.75 -10.16 0 3.26 NA NA 70.05
1980015 1980 01 15 72 -4.7 -11.88 0 2.66 NA NA 69.9
1980016 1980 01 16 71.18 -3.01 -12.91 0 1.05 NA NA 69.44
1980017 1980 01 17 83 -1.22 -9.85 0 2.35 NA NA 68.52
1980018 1980 01 18 26.63 -0.94 -4.95 0.38 2.86 NA NA 85.32
1980019 1980 01 19 42.18 1.3 -0.57 0 1.19 NA NA 90.56
1980020 1980 01 20 53.07 1.22 0.31 0 0.85 NA NA 84.93
1980021 1980 01 21 79.13 0.69 -3.08 0 2.9 NA NA 78.8
1980022 1980 01 22 82.16 -1.47 -7.69 0 1.8 NA NA 76.04
1980023 1980 01 23 76.55 1.01 -7.82 0 2.86 NA NA 75.85
1980024 1980 01 24 78.68 -0.66 -7.78 0 3.71 NA NA 76.65
1980025 1980 01 25 82.91 2.08 -4.24 0 4.17 NA NA 81.48
1980026 1980 01 26 77.64 0.87 -6.28 0 4.19 NA NA 78.91
1980027 1980 01 27 65.81 1.13 -5.42 1.59 3.51 NA NA 78.07
1980028 1980 01 28 88.36 1.72 -9.07 0 4.4 NA NA 58.9
1980029 1980 01 29 101.78 0.33 -7.35 0 4.67 NA NA 42.03
1980030 1980 01 30 94.06 -2.85 -10.3 0 2.3 NA NA 51.14
1980031 1980 01 31 101.54 -2.83 -10.62 0 2.06 NA NA 50.1
1980032 1980 02 01 102.61 -4.23 -11.5 0 2.4 NA NA 55.55
1980033 1980 02 02 104.58 -4.2 -11.81 0 2.48 NA NA 56.43
1980034 1980 02 03 100.1 -2.05 -13.22 0 3.43 NA NA 48.82
1980035 1980 02 04 111.83 -5.87 -14.95 0 4.34 NA NA 31.98
1980036 1980 02 05 111.87 -3.25 -14.36 0 2.6 NA NA 40.2
1980037 1980 02 06 103.83 -2.94 -14.51 0 1.64 NA NA 49.19
1980038 1980 02 07 102.83 -4.2 -15.32 0 2.91 NA NA 52.04
1980039 1980 02 08 107.09 -4.19 -15.84 0 3.34 NA NA 51.27
1980040 1980 02 09 73.97 -5.46 -14.31 0 2.43 NA NA 65.77
1980041 1980 02 10 100.74 -6.14 -14.72 0 1.84 NA NA 69.14
1980042 1980 02 11 110.02 -2.92 -14.61 0 3.72 NA NA 57.33
1980043 1980 02 12 94.28 -5.69 -14.57 0 1.47 NA NA 68.6
1980044 1980 02 13 75.31 -2.55 -9.84 1.53 1.94 NA NA 71.37
1980045 1980 02 14 68.34 -4.54 -17.65 5.25 5.45 NA NA 82.22
1980046 1980 02 15 85.59 -10.22 -18.76 3.73 5.93 NA NA 76.08
1980047 1980 02 16 147.53 -13.69 -23.32 3.04 3.28 NA NA 79.34
1980048 1980 02 17 146.08 -12.48 -22.46 1.37 3.39 NA NA 78.49
1980049 1980 02 18 152.54 -12.14 -22.92 0 1.91 NA NA 81.88
1980050 1980 02 19 140.52 -12.16 -23.57 1.09 3.16 NA NA 78.22
1980051 1980 02 20 138.59 -6.92 -23.18 0.57 2.69 NA NA 69.02
1980052 1980 02 21 127.83 -1.76 -5.11 0 3.44 NA NA 87.54
1980053 1980 02 22 131.79 -4.09 -9.35 0 2.24 NA NA 89.75
1980054 1980 02 23 138.2 -6.2 -8.99 0 1.21 NA NA 82.75
1980055 1980 02 24 140.55 -2.88 -9.01 0 2.37 NA NA 84
1980056 1980 02 25 41.68 -0.2 -3.05 0 5.11 NA NA 83.76
1980057 1980 02 26 68.3 -1 -5.45 7.49 5.02 NA NA 76.73
1980058 1980 02 27 134.31 6.82 -3.78 0 2.75 NA NA 69.73
1980059 1980 02 28 89.76 3.56 -5.37 0 3.42 NA NA 69.83
1980060 1980 02 29 0 0 0 0 0 NA NA 0
1980061 1980 03 01 85.6 2 -5.56 0 1.59 NA NA 68.25
1980062 1980 03 02 144.44 3.98 -4.03 2.7 4.17 NA NA 68.37
1980063 1980 03 03 68.26 -1.23 -3.35 9.79 6.08 NA NA 69.8
1980064 1980 03 04 27.78 0.93 -4.76 4.2 2.16 NA NA 69.69
1980065 1980 03 05 83.91 2.92 -4.7 1.09 4.94 NA NA 71.68
1980066 1980 03 06 44.45 -0.96 -2.45 6.94 7.3 NA NA 75.5
1980067 1980 03 07 45.88 -6.16 -11.94 3.69 4.18 NA NA 78.1
1980068 1980 03 08 176.98 -1.2 -7.16 0 1.03 NA NA 52.3
1980069 1980 03 09 173.59 -2.85 -11.83 0 0.99 NA NA 70.04
1980070 1980 03 10 176.26 3.88 -5.73 0 2.35 NA NA 55.46
1980071 1980 03 11 161.66 2.95 -5.17 0 2.12 NA NA 52.68
1980072 1980 03 12 92.39 2.32 -2.69 0 3.11 NA NA 67.4
1980073 1980 03 13 142.81 6.21 -4.1 0 4.02 NA NA 47.34
1980074 1980 03 14 74.29 7.39 -2.46 0.97 4.21 NA NA 52.12
1980075 1980 03 15 201.95 10.24 -4.65 0 2.71 NA NA 45.52
1980076 1980 03 16 75.73 6.93 -3.01 0.57 1.3 NA NA 61.43
1980077 1980 03 17 91.56 11.79 0.91 0 1.3 NA NA 60.27
1980078 1980 03 18 137.43 14.11 1.08 0 0.99 NA NA 47.63
1980079 1980 03 19 181.08 17.3 1.28 0 1.78 NA NA 44.76
1980080 1980 03 20 187.32 15.77 4.57 0 3.79 NA NA 49
1980081 1980 03 21 183.14 5.88 -4.3 0 3.24 NA NA 50.29
1980082 1980 03 22 214.88 9.57 -2.91 0 0.91 NA NA 38.24
1980083 1980 03 23 206.05 14.43 -1.47 0 1.87 NA NA 46.03
1980084 1980 03 24 167.28 15.22 1.62 0 0.99 NA NA 49.2
1980085 1980 03 25 91.7 13.61 2.3 0 2.47 NA NA 57.55
1980086 1980 03 26 217.68 9.94 -2.26 0 2.55 NA NA 50.53
1980087 1980 03 27 218.24 9.72 -1.64 1 3.09 NA NA 42.92
1980088 1980 03 28 127.86 15.96 3.81 1.25 2.32 NA NA 56.69
1980089 1980 03 29 187.26 16.5 4.8 0 3.8 NA NA 55.26
1980090 1980 03 30 83.51 6.93 -0.9 0 2.76 NA NA 64.91
1980091 1980 03 31 132.17 9.07 -1.44 0 0.4 NA NA 50.96
1980092 1980 04 01 83.33 11.89 2.09 2.59 2.2 NA NA 69.63
1980093 1980 04 02 218.68 7.86 -2.65 0 1.09 NA NA 52.3
1980094 1980 04 03 129.05 17.06 1.65 4.36 1.9 NA NA 47.45
1980095 1980 04 04 170.62 12.43 1.85 7.76 3.02 NA NA 60.36
1980096 1980 04 05 240.5 13.16 -1.57 0 2.17 NA NA 48.09
1980097 1980 04 06 207.47 14.41 3.85 0 2.25 NA NA 49.11
1980098 1980 04 07 228.5 17.35 2.59 0 2.39 NA NA 48.58
1980099 1980 04 08 217.33 18.7 5.72 0 3.61 NA NA 51.14
1980100 1980 04 09 118.51 17.71 7.53 0.46 2.1 NA NA 55.69
1980101 1980 04 10 68.37 12.51 3.38 1.75 1.72 NA NA 63.05
1980102 1980 04 11 209.03 14.68 2.88 0 3.02 NA NA 45.35
1980103 1980 04 12 221.87 13.19 2.48 0 1.1 NA NA 45.95
1980104 1980 04 13 92.26 7.16 2.99 6.09 3.96 NA NA 78.1
1980105 1980 04 14 21.23 2.62 -2.51 25.4 4.1 NA NA 78.88
1980106 1980 04 15 105.36 14.51 6.56 7.63 2 NA NA 77.86
1980107 1980 04 16 115.47 15.88 5.41 0 1.2 NA NA 64.88
1980108 1980 04 17 136.31 16.74 6.88 0 1.02 NA NA 62.45
1980109 1980 04 18 219.45 18.25 6.56 0 1.12 NA NA 52.42
1980110 1980 04 19 239.52 18.93 5.58 2.87 1.7 NA NA 58.23
1980111 1980 04 20 226.15 18.4 9.11 5.28 1.81 NA NA 58.61
1980112 1980 04 21 173.55 17.85 7.11 3 2.12 NA NA 49.2
1980113 1980 04 22 232.91 19.34 4.83 1.53 2.44 NA NA 51.01
1980114 1980 04 23 61.63 14.89 5.86 17.4 0.23 NA NA 75.06
1980115 1980 04 24 239.41 17.52 7.11 0 1.61 NA NA 51.65
1980116 1980 04 25 264.48 18.61 5.19 0 0.75 NA NA 49.64
1980117 1980 04 26 261.58 20.53 4.24 0 3.24 NA NA 51.36
1980118 1980 04 27 183.21 19.03 7.9 2.98 4.49 NA NA 61.77
1980119 1980 04 28 85.57 12.92 5.53 2.24 3.09 NA NA 83.5
1980120 1980 04 29 105.46 17.52 6.68 0 1.61 NA NA 68.18
1980121 1980 04 30 277.38 24.49 6.17 0 2.33 NA NA 44.92
1980122 1980 05 01 191.76 23.37 10.88 0 3.42 NA NA 47.07
1980123 1980 05 02 271.56 21.87 10.68 0 1.05 NA NA 54.29
1980124 1980 05 03 266.71 21.75 9.91 0 1.41 NA NA 53.13
1980125 1980 05 04 197.53 19.94 10.88 1.46 2.24 NA NA 67.82
1980126 1980 05 05 104.32 19.73 8.83 6.26 2.99 NA NA 75.22
1980127 1980 05 06 169.27 17.33 9.41 0 3.05 NA NA 58.53
1980128 1980 05 07 74.75 15.79 9.97 0 2.66 NA NA 67.6
1980129 1980 05 08 151.34 17.49 9.67 6.73 3.13 NA NA 67.61
1980130 1980 05 09 42.44 13.67 10.18 17.99 4.4 NA NA 86.24
1980131 1980 05 10 59.99 11.93 9.5 15.94 2.77 NA NA 84.41
1980132 1980 05 11 60.87 16.47 11.82 0 1.13 NA NA 67.5
1980133 1980 05 12 88.14 16.32 10.87 7.05 1.6 NA NA 85.1
1980134 1980 05 13 90.65 15.47 9.7 6.64 1.6 NA NA 80.54
1980135 1980 05 14 191.3 20.59 10.56 0 2.48 NA NA 70.14
1980136 1980 05 15 222.29 20.28 9.64 0 2.13 NA NA 64.67
1980137 1980 05 16 325.57 21.43 13.18 14.51 2.52 NA NA 62.86
1980138 1980 05 17 183.09 17.91 8.12 14.29 1 NA NA 64.6
1980139 1980 05 18 227.22 21.65 10.89 1.73 0.3 NA NA 69.65
1980140 1980 05 19 124.07 23.09 8.99 5.62 1.91 NA NA 60.07
1980141 1980 05 20 78.21 20.6 12.28 12.46 3.82 NA NA 54.57
1980142 1980 05 21 150.26 20.5 10.11 12.07 2.75 NA NA 67.68
1980143 1980 05 22 221.13 20.98 13.29 0 1.4 NA NA 70.39
1980144 1980 05 23 256.67 23.87 13.9 0 0.97 NA NA 64.55
1980145 1980 05 24 266.36 22.87 12.92 0 1.39 NA NA 70.14
1980146 1980 05 25 268.23 22.72 11.89 0 1.07 NA NA 58.71
1980147 1980 05 26 247.65 22.5 9.42 6.68 0.88 NA NA 59.8
1980148 1980 05 27 162.95 21.91 13.96 9.86 3.18 NA NA 72.46
