*WEATHER DATA - Station:Orleans  - BADJAM DATA - BADJer: ECCC - Method: MBCp - Source model: CSIRO
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Orleans  47.83 1.91 116 10.84 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 42.21 6.91 1.46 2.02 4.37 NA NA 77.52
1980002 1980 01 02 18.08 3.42 -1.11 3.01 2.33 NA NA 87.78
1980003 1980 01 03 41.71 2.96 -1.72 0 1.99 NA NA 71.17
1980004 1980 01 04 34.72 0.59 -2.84 0.33 1.61 NA NA 64.48
1980005 1980 01 05 32.63 0.39 -4.86 0.64 3.53 NA NA 61.11
1980006 1980 01 06 44.74 -4.83 -8.29 0 1.11 NA NA 63.21
1980007 1980 01 07 46.23 -0.93 -5.93 0 1.84 NA NA 63.62
1980008 1980 01 08 33.77 3.01 -8.04 0 2.66 NA NA 64.78
1980009 1980 01 09 38.63 5.99 0.74 0 2.92 NA NA 90.23
1980010 1980 01 10 46.17 5.61 -0.8 0 1.47 NA NA 88.17
1980011 1980 01 11 39.55 4.05 -2.14 0 1.3 NA NA 83.08
1980012 1980 01 12 51.06 5.73 -0.54 0 2.96 NA NA 86.25
1980013 1980 01 13 61.94 7.06 -0.11 0 2.59 NA NA 78.77
1980014 1980 01 14 60.23 7.27 1.14 0 3.44 NA NA 78.55
1980015 1980 01 15 58.17 5.73 -0.51 0 2.39 NA NA 72.87
1980016 1980 01 16 78.97 7.68 -0.18 0 1.75 NA NA 68.22
1980017 1980 01 17 69.59 7.7 0.5 0 2.67 NA NA 81.55
1980018 1980 01 18 68.2 7.56 0.05 0 1.89 NA NA 78.64
1980019 1980 01 19 47.09 5.49 0.15 0 3.34 NA NA 79.1
1980020 1980 01 20 66.26 5.53 0.35 0 4.44 NA NA 56.91
1980021 1980 01 21 20.88 2.01 -0.8 6.06 5.14 NA NA 64.56
1980022 1980 01 22 34.54 1.02 -2.66 0 2.44 NA NA 64.12
1980023 1980 01 23 84.03 2.79 -3.48 0 2.49 NA NA 61.68
1980024 1980 01 24 82.11 2.74 -5.63 0 2.31 NA NA 56.06
1980025 1980 01 25 78.58 3.43 -1.52 0 3.09 NA NA 59.83
1980026 1980 01 26 33.75 4.33 -3.67 1.02 2.68 NA NA 62.68
1980027 1980 01 27 50.8 7.82 2.56 2.19 4.9 NA NA 85.59
1980028 1980 01 28 68.89 8.68 2.76 0.83 3.1 NA NA 73.65
1980029 1980 01 29 73.7 8.12 1.27 0 3.65 NA NA 68.14
1980030 1980 01 30 36.65 3.49 -0.25 1.91 4.53 NA NA 77.44
1980031 1980 01 31 83.65 5.22 -0.18 0 5.04 NA NA 49.03
1980032 1980 02 01 79.53 4.96 -1.95 0 2.8 NA NA 52.68
1980033 1980 02 02 48.53 4.66 -2.61 0.81 4.27 NA NA 67.4
1980034 1980 02 03 83.5 7.66 -1.82 0.5 2.74 NA NA 81.53
1980035 1980 02 04 39.81 7.46 2.97 0.6 4 NA NA 82.62
1980036 1980 02 05 79.77 9.23 0.38 0 1.91 NA NA 61.55
1980037 1980 02 06 83.78 8.45 -1.38 0 1.21 NA NA 57.07
1980038 1980 02 07 95.15 8.54 -1.81 0 1.23 NA NA 51.88
1980039 1980 02 08 85.57 9.77 -1.99 0 0.45 NA NA 52.55
1980040 1980 02 09 90.77 11.15 -0.9 0 1.16 NA NA 49.16
1980041 1980 02 10 91.66 11.5 -0.07 0 1.82 NA NA 53.33
1980042 1980 02 11 94.06 12 0.03 0 2.02 NA NA 53.89
1980043 1980 02 12 93.98 11.84 -0.81 0 1.81 NA NA 54.73
1980044 1980 02 13 63.28 10.71 0.61 0 2.54 NA NA 53.69
1980045 1980 02 14 66.09 13.24 2.96 0 1.58 NA NA 49.09
1980046 1980 02 15 99.39 14.06 1.79 0 1.85 NA NA 49.09
1980047 1980 02 16 79.75 13.11 1.89 0 1.41 NA NA 55.45
1980048 1980 02 17 84.87 14.16 4.61 0 1.74 NA NA 59.19
1980049 1980 02 18 70.51 9.64 3.36 0 2.54 NA NA 70.51
1980050 1980 02 19 111.51 12.86 0.93 0 2.97 NA NA 49.08
1980051 1980 02 20 30.75 3.46 1.77 4.91 3.85 NA NA 84.59
1980052 1980 02 21 97.63 9.32 1.84 0 6.36 NA NA 42.51
1980053 1980 02 22 47.18 3.41 -0.37 0.48 3.94 NA NA 48.82
1980054 1980 02 23 113.4 10.67 -1.31 0.48 4.56 NA NA 56.66
1980055 1980 02 24 45.72 12.02 4.66 6.08 4.18 NA NA 75.96
1980056 1980 02 25 100.13 20.88 8.82 0 2.75 NA NA 52.18
1980057 1980 02 26 97.43 20.89 12.19 1.14 3.11 NA NA 45.91
1980058 1980 02 27 109.71 19.72 9.49 0 3.56 NA NA 52.85
1980059 1980 02 28 125.98 18.34 8.03 0 3.16 NA NA 53.71
1980060 1980 02 29 0 0 0 0 0 NA NA 0
1980061 1980 03 01 143.4 20.6 5.53 0 1.77 NA NA 43.51
1980062 1980 03 02 129.66 19.61 5.78 0 2.18 NA NA 47.94
1980063 1980 03 03 49.9 12.66 4.91 1.08 2.25 NA NA 74.14
1980064 1980 03 04 99.74 18.5 10.78 2.14 2.72 NA NA 54.99
1980065 1980 03 05 153.38 22.39 9.44 0 2.47 NA NA 47.77
1980066 1980 03 06 134.63 21.14 9.5 0 2.38 NA NA 49.08
1980067 1980 03 07 135.33 21.45 10.72 0 1.79 NA NA 49.34
1980068 1980 03 08 136.16 21.04 10.14 0 3.35 NA NA 40.62
1980069 1980 03 09 82.72 19.51 9.84 0 2.8 NA NA 53.53
1980070 1980 03 10 134.53 20.61 8.14 0 1.75 NA NA 50.26
1980071 1980 03 11 151.83 21.56 7.57 0 1.22 NA NA 44.83
1980072 1980 03 12 101.88 18.48 8.64 0 3.1 NA NA 47.42
1980073 1980 03 13 180.09 15.08 5.26 0 3.1 NA NA 34.54
1980074 1980 03 14 184.51 16.3 0.6 0 0.51 NA NA 26.46
1980075 1980 03 15 192.6 21.77 0.76 0 2.71 NA NA 34.01
1980076 1980 03 16 86.93 14.76 8.43 6.54 4.29 NA NA 68.67
1980077 1980 03 17 125.6 16.87 6.47 1.94 1.24 NA NA 58.47
1980078 1980 03 18 76.85 13.17 6.5 3.74 1.36 NA NA 76.74
1980079 1980 03 19 195.29 15.39 4.64 0 2.48 NA NA 37.17
1980080 1980 03 20 194.24 15.25 1.69 0 2.68 NA NA 31.55
1980081 1980 03 21 197.16 14.27 2.8 0 3.39 NA NA 32.46
1980082 1980 03 22 193.85 15.36 2.41 0 3.69 NA NA 27.48
1980083 1980 03 23 201.81 14.17 2.83 0 2.97 NA NA 27.49
1980084 1980 03 24 201.32 15.75 0.89 0 1.75 NA NA 25.05
1980085 1980 03 25 209.48 17.21 -0.32 0 1.04 NA NA 35.43
1980086 1980 03 26 202.63 16.98 -0.17 0 1.46 NA NA 35.92
1980087 1980 03 27 154.36 16.52 1.39 0 1.25 NA NA 39.05
1980088 1980 03 28 144.52 17.02 3.9 0.7 3.69 NA NA 46.55
1980089 1980 03 29 98.88 11.5 4.06 1.68 5.02 NA NA 69.92
1980090 1980 03 30 174.91 11.42 2.53 0 2.34 NA NA 33.47
1980091 1980 03 31 149.08 12.86 0.34 0 1 NA NA 38.51
1980092 1980 04 01 167.02 16.57 5.19 0 1.95 NA NA 44.76
1980093 1980 04 02 215.45 18.23 4.79 0 1.08 NA NA 35.23
1980094 1980 04 03 123.05 14.67 6.13 4.43 4.82 NA NA 60.07
1980095 1980 04 04 166.83 9.16 1.59 3.58 5.23 NA NA 57.64
1980096 1980 04 05 109.8 9.91 1.25 3.84 2.47 NA NA 64.51
1980097 1980 04 06 239.57 14.3 2.04 0 2.86 NA NA 36.86
1980098 1980 04 07 199.52 14.01 1.18 0 2.16 NA NA 38.62
1980099 1980 04 08 157.63 15.11 1.64 0 2.35 NA NA 40.01
1980100 1980 04 09 240.77 12.27 3.96 0 4.4 NA NA 21.58
1980101 1980 04 10 233.72 8.11 1.63 0 5.12 NA NA 12.85
1980102 1980 04 11 229.73 8.42 -0.44 0 4.69 NA NA 12.88
1980103 1980 04 12 201.82 9.07 1.85 0 3.52 NA NA 21.59
1980104 1980 04 13 231.13 10.81 -0.36 0 2.9 NA NA 29.78
1980105 1980 04 14 129.98 11.74 0.85 0 3.19 NA NA 43.42
1980106 1980 04 15 66.21 8.96 4.5 10.51 3 NA NA 78.71
1980107 1980 04 16 178.22 11.48 1.92 0 2.8 NA NA 43.26
1980108 1980 04 17 213.53 14.56 0.43 0 3.19 NA NA 34.14
1980109 1980 04 18 156.45 19.44 4 0 4.4 NA NA 33.93
1980110 1980 04 19 86.38 10.77 7.07 16.44 1.3 NA NA 78.99
1980111 1980 04 20 121.48 16.03 7.87 1.18 2.8 NA NA 57.28
1980112 1980 04 21 209.54 21.2 9.44 0 1.83 NA NA 42.16
1980113 1980 04 22 196.46 19.62 5.52 0 2.49 NA NA 46.85
1980114 1980 04 23 223.37 19.85 4.32 2.02 2.7 NA NA 40.34
1980115 1980 04 24 211.65 18.65 5 0 1.79 NA NA 55.1
1980116 1980 04 25 168.54 18.29 8.34 1.35 1.58 NA NA 49
1980117 1980 04 26 166.03 14.58 6.11 4.97 5.11 NA NA 66.45
1980118 1980 04 27 176.46 17.5 5.41 0 1.79 NA NA 53.62
1980119 1980 04 28 187.88 19.48 8.42 0 1.41 NA NA 52.44
1980120 1980 04 29 115.11 18.28 8.58 0 0.56 NA NA 54.23
1980121 1980 04 30 286.77 21.48 6.01 0 2.1 NA NA 37.21
1980122 1980 05 01 204.98 20.06 5.4 0 1.36 NA NA 37.01
1980123 1980 05 02 181.32 16.53 8.93 0 1.99 NA NA 50.73
1980124 1980 05 03 76.58 13.83 6.15 6.08 5.05 NA NA 60.46
1980125 1980 05 04 204.73 14.88 7.49 6.28 4.84 NA NA 57.79
1980126 1980 05 05 101.52 10.86 4.14 4.88 3.35 NA NA 63.17
1980127 1980 05 06 71.56 10.71 2.22 4.35 2.28 NA NA 51.52
1980128 1980 05 07 233.31 17.8 4.74 0 2.29 NA NA 42.81
1980129 1980 05 08 188.68 17.39 6.35 1.25 1.79 NA NA 59.49
1980130 1980 05 09 167.45 18.85 10.39 2.79 1.59 NA NA 80.11
1980131 1980 05 10 167.22 18.12 8.47 3.16 1.03 NA NA 62.33
1980132 1980 05 11 137.09 17.2 7.45 6.29 1.03 NA NA 60.66
1980133 1980 05 12 105.77 16.86 6.99 2.93 3.52 NA NA 62.61
1980134 1980 05 13 113.76 16.33 8.27 0.66 4.86 NA NA 49.42
1980135 1980 05 14 162.24 15.58 9.23 3.51 4.92 NA NA 64.84
1980136 1980 05 15 144.83 17.35 7.64 0.7 3.67 NA NA 51
1980137 1980 05 16 169.46 17.74 7.28 0 2.19 NA NA 54.59
1980138 1980 05 17 96.46 14.78 6.42 5.92 1.49 NA NA 59.52
1980139 1980 05 18 196.81 17.58 6.79 0 1.37 NA NA 48.51
1980140 1980 05 19 183.43 16.88 6 0 1.09 NA NA 50.27
1980141 1980 05 20 211.28 17.75 6.77 0 1.37 NA NA 50.57
1980142 1980 05 21 257.2 19.14 5.67 0 3.04 NA NA 41.52
1980143 1980 05 22 156.11 16.79 9.11 1.03 1.58 NA NA 58.7
1980144 1980 05 23 179.75 16.66 7.99 6.94 4.79 NA NA 59.29
1980145 1980 05 24 84.5 15.2 7.99 12.38 5.15 NA NA 55.1
1980146 1980 05 25 244.82 27.92 16.85 7.84 4.75 NA NA 89.67
1980147 1980 05 26 166.06 22.95 12.9 2.97 3.25 NA NA 69.04
