*WEATHER DATA - Station:Izmir - BADJAM DATA - BADJer: ECCC - Method: MBCp - Source model: CSIRO
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Izmir 38.6 27.06 390 16.03 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 100.57 7.9 -0.32 0 3.29 NA NA 38.33
1980002 1980 01 02 49.01 8.73 2.9 0.29 4.18 NA NA 67.26
1980003 1980 01 03 43.41 8.77 5.91 1.88 5 NA NA 81.52
1980004 1980 01 04 67.06 15.18 12.03 0 4.81 NA NA 54.39
1980005 1980 01 05 48.46 14.99 11.68 0 5.27 NA NA 57
1980006 1980 01 06 35.42 12.87 5.16 17.03 2.55 NA NA 71.67
1980007 1980 01 07 91.54 12.74 4.52 0 2.69 NA NA 50.31
1980008 1980 01 08 23.5 8.33 4.01 30.49 1.67 NA NA 85.75
1980009 1980 01 09 96.22 8.2 1.17 0 1.06 NA NA 50.31
1980010 1980 01 10 53.93 8.81 1.98 0 4 NA NA 35.63
1980011 1980 01 11 112.68 6.53 0.41 0 2.58 NA NA 32.76
1980012 1980 01 12 60.75 6.57 -0.84 0 3.6 NA NA 43.87
1980013 1980 01 13 112.63 4.7 0.81 0 1.48 NA NA 23.46
1980014 1980 01 14 115.69 7.71 -0.99 0 3.08 NA NA 33.24
1980015 1980 01 15 51.22 6.14 -1.94 6.01 4.04 NA NA 65.12
1980016 1980 01 16 22.59 12.41 8.18 23.66 3.38 NA NA 77.28
1980017 1980 01 17 73.87 11.84 3.71 0 3 NA NA 53.36
1980018 1980 01 18 120.27 6.26 -0.98 0 3.68 NA NA 43
1980019 1980 01 19 113.62 8.07 -1.71 0 2.29 NA NA 42.72
1980020 1980 01 20 37.92 10.47 2.8 1.26 2.52 NA NA 75.54
1980021 1980 01 21 68.3 12.9 8.75 1.47 2.3 NA NA 76.14
1980022 1980 01 22 114.23 16.54 10.63 0 2.21 NA NA 57.31
1980023 1980 01 23 113.87 16.83 10.46 0 3.44 NA NA 45.21
1980024 1980 01 24 91.92 17.81 13.09 0 2.2 NA NA 44.44
1980025 1980 01 25 127.34 16.77 10.03 0 0.6 NA NA 61.73
1980026 1980 01 26 126 15.77 10.33 0 1.8 NA NA 61.73
1980027 1980 01 27 49.83 13.74 9.56 2.9 1.56 NA NA 78.36
1980028 1980 01 28 66.31 13.84 8.23 1.75 0.57 NA NA 75.21
1980029 1980 01 29 129.84 15.38 4.92 0 0.69 NA NA 54.01
1980030 1980 01 30 74.18 13.16 7.48 1.35 1.46 NA NA 71.21
1980031 1980 01 31 106.54 16.57 11.18 4.07 4.31 NA NA 63.83
1980032 1980 02 01 70.91 15.35 9.67 8.42 3.44 NA NA 73.98
1980033 1980 02 02 59.21 11.65 3.93 0.64 2.32 NA NA 65.3
1980034 1980 02 03 118.34 4.48 -0.03 0 2.92 NA NA 43.93
1980035 1980 02 04 83.15 5.76 -1.68 0.49 4.5 NA NA 59.98
1980036 1980 02 05 127.14 6.59 -0.64 0 3.65 NA NA 55.39
1980037 1980 02 06 110.77 5.21 -1.6 0 2.47 NA NA 60.38
1980038 1980 02 07 125.77 3.88 -1.74 0 3.78 NA NA 37.52
1980039 1980 02 08 95.69 6.57 -2.87 0 2.93 NA NA 51
1980040 1980 02 09 80.45 6.87 0.19 0 1.49 NA NA 54.44
1980041 1980 02 10 129.78 9.35 -0.22 0 3.07 NA NA 34.74
1980042 1980 02 11 101.49 10.52 3.39 0 1.39 NA NA 61.85
