*WEATHER DATA - Station:Jokioinen - BADJAM DATA - BADJer: ECCC - Method: MBCp - Source model: CSIRO
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Jokioinen 60.8 23.48 111 2.41 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 6.91 1.53 -4.64 0.69 2.28 NA NA 83.95
1980002 1980 01 02 10.34 0.75 -5.05 0.35 2.29 NA NA 81.12
1980003 1980 01 03 8.04 -1.32 -10.6 0 1.81 NA NA 77.94
1980004 1980 01 04 10.34 -0.65 -7.9 0.47 1.61 NA NA 79.87
1980005 1980 01 05 9.23 -0.38 -6.08 0.44 2.2 NA NA 81.22
1980006 1980 01 06 10.27 0.03 -5.5 0.44 2.01 NA NA 81.32
1980007 1980 01 07 8.11 -12.03 -21.16 0 0.91 NA NA 44.9
1980008 1980 01 08 8.1 -2.33 -15.11 1.61 1.2 NA NA 67.78
1980009 1980 01 09 10.41 1.23 -4.57 0.57 0.71 NA NA 76.59
1980010 1980 01 10 9.17 2.37 -1.99 1.92 1.51 NA NA 83.64
1980011 1980 01 11 10.34 0.75 -11.04 0 1.2 NA NA 77.11
1980012 1980 01 12 10.23 -13.85 -24.58 1.56 0.8 NA NA 38.55
1980013 1980 01 13 10.23 0.4 -4.65 1.79 1.19 NA NA 74.64
1980014 1980 01 14 13.66 2.51 -3.66 2.2 1.09 NA NA 83.73
1980015 1980 01 15 7.98 0.18 -12.58 0 0.7 NA NA 74.64
1980016 1980 01 16 13.48 -8.3 -19.02 0 0.7 NA NA 53.35
1980017 1980 01 17 16.02 0.51 -6.6 1.8 0.91 NA NA 74.93
1980018 1980 01 18 13.11 -7.8 -20.04 0 1.19 NA NA 52.52
1980019 1980 01 19 13.39 0.15 -14.74 0 1.59 NA NA 76.16
1980020 1980 01 20 13.51 0.09 -10.9 0.74 1.09 NA NA 84.15
1980021 1980 01 21 13.52 -1.75 -16.78 0.37 0.79 NA NA 72.05
1980022 1980 01 22 17.16 -3.35 -19.07 0 1.39 NA NA 63.67
1980023 1980 01 23 14.64 -12.48 -26.07 0 0.99 NA NA 40.07
1980024 1980 01 24 12.4 -10.48 -22.77 0 0.37 NA NA 58.87
1980025 1980 01 25 25.52 -1.69 -11.09 0 1.29 NA NA 80.88
1980026 1980 01 26 14.72 1.5 -12.08 1.13 1.48 NA NA 84.71
1980027 1980 01 27 23.42 1.72 -4.41 1.75 1.1 NA NA 88.12
1980028 1980 01 28 22.24 -0.53 -10.61 0.93 0.9 NA NA 84.7
1980029 1980 01 29 28.02 -4.82 -18.92 0 1.57 NA NA 65.06
1980030 1980 01 30 23.97 -4.77 -19.8 0 0.99 NA NA 64.83
1980031 1980 01 31 18.53 -4.04 -18.02 2.39 1.75 NA NA 66.95
1980032 1980 02 01 29.45 -4.1 -10.98 0 1.76 NA NA 67.1
1980033 1980 02 02 29.25 1.5 -3.01 1.17 1.58 NA NA 83.58
1980034 1980 02 03 25.1 0.91 -13.13 0.47 1.96 NA NA 83
