*WEATHER DATA - Station:Ventas Huelma - BADJAM DATA - BADJer: ECCC - Method: MBCp - Source model: IPSL
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Ventas Huelma 37.16 -3.83 740 15.72 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 26.03 12.06 2.31 7.95 4.92 NA NA 61.62
1980002 1980 01 02 61.74 10.21 2.09 1.36 5.35 NA NA 55.2
1980003 1980 01 03 33.06 9.72 0.71 3.56 4.73 NA NA 69.73
1980004 1980 01 04 55.94 10.65 4.78 16.44 5.54 NA NA 69.5
1980005 1980 01 05 73.99 10.04 3.82 0.99 4.41 NA NA 61.41
1980006 1980 01 06 52.8 12.92 5.21 8.74 6 NA NA 72.28
1980007 1980 01 07 61.31 10.93 3.92 0.84 5.66 NA NA 58.32
1980008 1980 01 08 133.81 13.34 0.3 0 3.2 NA NA 41.01
1980009 1980 01 09 116.46 16.41 5.34 0 3.73 NA NA 37.51
1980010 1980 01 10 66.39 12.83 5.92 2.91 3.64 NA NA 56.86
1980011 1980 01 11 80.21 12.5 3.76 0.48 2.77 NA NA 62.62
1980012 1980 01 12 119.94 15.15 2.22 0 3.06 NA NA 41.01
1980013 1980 01 13 96.1 13.9 4.01 4.08 1.46 NA NA 58.71
1980014 1980 01 14 126.07 14.1 4.3 0 2.28 NA NA 53.35
1980015 1980 01 15 125.31 14.11 1.89 0 1.81 NA NA 40.93
1980016 1980 01 16 127.78 14.85 1.28 0 1.61 NA NA 38.41
1980017 1980 01 17 87.09 13.78 2.19 0.89 3.7 NA NA 58.05
1980018 1980 01 18 45.19 14.37 7.9 6.26 3.08 NA NA 87.95
1980019 1980 01 19 53.32 11.15 2.77 10.48 5.28 NA NA 58.49
1980020 1980 01 20 106.48 11.4 2.93 0.26 2.09 NA NA 52.76
1980021 1980 01 21 120.87 11.22 0.73 0 2.66 NA NA 39.05
1980022 1980 01 22 130.34 12.71 1.65 0 2.86 NA NA 41.01
1980023 1980 01 23 131.74 14.93 2.41 0 2.85 NA NA 39.4
1980024 1980 01 24 132.57 15.88 3.7 0 0.8 NA NA 42.13
1980025 1980 01 25 118.85 15.86 4.41 0 0.52 NA NA 48.2
1980026 1980 01 26 119.75 15.9 5.77 0 0.44 NA NA 46.19
1980027 1980 01 27 124.4 15.65 3.75 0 0.8 NA NA 44.02
1980028 1980 01 28 146.4 15.43 2.51 0 0.91 NA NA 38.24
1980029 1980 01 29 139.38 15.39 3.61 0 2.26 NA NA 34.75
1980030 1980 01 30 139.67 13.13 3.71 0 1.34 NA NA 42.19
1980031 1980 01 31 140.14 12.44 1.94 0 1.11 NA NA 43.31
1980032 1980 02 01 146.41 12.95 1.41 0 2.34 NA NA 39.75
1980033 1980 02 02 143.81 14.14 2.7 0 3.16 NA NA 32.49
1980034 1980 02 03 147.75 14.91 3.94 0 2.82 NA NA 38.35
1980035 1980 02 04 139.49 14.21 3.87 0 2.26 NA NA 42.17
1980036 1980 02 05 108.33 13.01 3.23 0.51 2.06 NA NA 46.8
1980037 1980 02 06 114.97 12.52 4.58 0 2.4 NA NA 44.92
1980038 1980 02 07 112.07 12.76 5.84 0 3.2 NA NA 41.75
1980039 1980 02 08 126.84 12.31 4.9 0 3.08 NA NA 37.54
1980040 1980 02 09 155.57 13.99 4.17 0 3.03 NA NA 34.54
1980041 1980 02 10 170.85 15.13 3.65 0 2.69 NA NA 32.91
1980042 1980 02 11 174.02 16.48 5.28 0 2.32 NA NA 33.33
1980043 1980 02 12 166.3 16.8 5.05 0 2.07 NA NA 33.02
1980044 1980 02 13 165.01 17.47 4.05 0 1.6 NA NA 27.73
1980045 1980 02 14 159.84 17.19 4.08 0 1.58 NA NA 28.07
1980046 1980 02 15 159.07 17.1 3.58 0 2.93 NA NA 25.94
1980047 1980 02 16 170.71 17.19 5.96 0 0.8 NA NA 41.71
1980048 1980 02 17 124.31 15.13 6.19 0 1.38 NA NA 44.66
1980049 1980 02 18 173.47 16.06 5.47 0 2.83 NA NA 33.23
1980050 1980 02 19 187.35 16.41 3.48 0 1.38 NA NA 30.79
1980051 1980 02 20 142.45 14.91 1.96 0 2.43 NA NA 36.58
1980052 1980 02 21 177.6 14.05 1.87 0 2.26 NA NA 26.83
1980053 1980 02 22 141.86 11.41 0.2 0 4.51 NA NA 41.17
1980054 1980 02 23 187.15 11.33 0.34 0 3.7 NA NA 30.17
1980055 1980 02 24 189.71 10.66 -0.83 0 2.54 NA NA 27.75
1980056 1980 02 25 179.46 9.62 -1.51 0 0.92 NA NA 27.28
1980057 1980 02 26 184.45 10.51 -1.64 0 2.32 NA NA 31.87
1980058 1980 02 27 185.08 9.92 -1.35 0 1.7 NA NA 33.7
1980059 1980 02 28 183.38 10.73 -3.4 0 1.05 NA NA 23.16
1980060 1980 02 29 0 0 0 0 0 NA NA 0
1980061 1980 03 01 198.96 13.74 -2.06 0 1.76 NA NA 29.12
1980062 1980 03 02 171.47 15.56 3.05 0.53 1.66 NA NA 32.82
1980063 1980 03 03 122.79 17.1 5.91 0 0.53 NA NA 44.77
1980064 1980 03 04 200.34 19.73 5.89 0 3.22 NA NA 27.44
1980065 1980 03 05 206.49 20.75 7.35 0 1.46 NA NA 27.15
1980066 1980 03 06 206.49 20.98 7.18 0 2.5 NA NA 31.73
1980067 1980 03 07 163.56 18.64 7.53 0.55 3.86 NA NA 42.73
1980068 1980 03 08 195.97 16.48 4.88 0 3.16 NA NA 35.46
1980069 1980 03 09 204.84 17.32 3.61 0 1.1 NA NA 29.67
1980070 1980 03 10 216.75 20.73 4.43 0 1.42 NA NA 26.87
1980071 1980 03 11 216.3 22.91 8.84 0 1.38 NA NA 21.74
1980072 1980 03 12 207.41 22.71 8.52 0 1.39 NA NA 18.53
1980073 1980 03 13 208.48 21.78 6.44 0 2.22 NA NA 24.01
1980074 1980 03 14 218.66 19.23 7.08 0 2.66 NA NA 27.89
1980075 1980 03 15 214.27 20.66 5.49 0 1.38 NA NA 18.79
1980076 1980 03 16 217.23 21.2 7.82 0 1.68 NA NA 17.71
1980077 1980 03 17 130.22 17.45 5.4 0 1.99 NA NA 33.66
1980078 1980 03 18 221.81 18.11 4.68 0 1.97 NA NA 26.07
1980079 1980 03 19 219.36 20.83 6.83 0 1.11 NA NA 25.95
1980080 1980 03 20 228.11 22.63 7.95 0 2.03 NA NA 20.62
1980081 1980 03 21 232.83 23.05 9.77 0 1.41 NA NA 23.7
1980082 1980 03 22 222.91 21.94 6.54 0 1.69 NA NA 27.02
1980083 1980 03 23 221.35 19.72 5.35 0 2.11 NA NA 21.81
1980084 1980 03 24 223.42 21.79 7.2 0 1.2 NA NA 23.07
1980085 1980 03 25 227.87 22.34 7.6 0 0.71 NA NA 22.01
1980086 1980 03 26 239.02 24.17 9.13 0 1.81 NA NA 21.94
1980087 1980 03 27 250.15 25.89 11.22 0 2.32 NA NA 20.8
1980088 1980 03 28 254.52 22.82 10.59 0 1.45 NA NA 25.05
1980089 1980 03 29 238.32 21.61 7.83 0 1.31 NA NA 29.98
1980090 1980 03 30 231.2 21.62 9.18 0 1.02 NA NA 25.15
1980091 1980 03 31 231.44 21.59 6.84 0 1.28 NA NA 30.42
1980092 1980 04 01 234.69 21.36 7.39 0 2.25 NA NA 30.96
1980093 1980 04 02 260.3 18.81 5.98 0 2.69 NA NA 23.85
1980094 1980 04 03 235.09 18.59 5.38 0 1.34 NA NA 16.74
1980095 1980 04 04 213.8 21.13 8.21 0.6 2.15 NA NA 30.35
1980096 1980 04 05 239.41 19.81 6.81 0 0.68 NA NA 28.29
1980097 1980 04 06 259.65 21.49 8.52 0 1.63 NA NA 34.75
1980098 1980 04 07 198.55 18.82 6.95 4.43 3.74 NA NA 38.47
1980099 1980 04 08 257.68 18.97 8.19 0 3.46 NA NA 33.59
1980100 1980 04 09 231.99 17.5 4.75 0 2.76 NA NA 27.85
1980101 1980 04 10 256.88 20.14 5.24 0.34 3.58 NA NA 18.72
1980102 1980 04 11 259.96 22.48 10.75 0 2.46 NA NA 28.32
1980103 1980 04 12 259.78 22.01 7.92 0 2.55 NA NA 35.89
1980104 1980 04 13 155.2 19.03 8.62 3.6 2.76 NA NA 48.22
1980105 1980 04 14 115.61 17.98 10.39 3.96 2.67 NA NA 51.15
1980106 1980 04 15 113.17 17.48 10.41 3.96 1.83 NA NA 56.03
1980107 1980 04 16 248.71 22.28 8.22 0 0.71 NA NA 38.17
1980108 1980 04 17 249.4 24.82 10.37 0 1.84 NA NA 29.27
1980109 1980 04 18 59.57 14.92 10.1 13.59 0.89 NA NA 66.78
1980110 1980 04 19 172 19.15 9.91 0 2.93 NA NA 39.42
1980111 1980 04 20 241.95 18.59 6.66 0 2.82 NA NA 32.73
1980112 1980 04 21 253.76 19.34 5.23 0 2.34 NA NA 25.01
1980113 1980 04 22 283.14 20.03 5.59 0 2.06 NA NA 19.74
1980114 1980 04 23 162.92 15.99 4.38 10.2 2.73 NA NA 38.91
1980115 1980 04 24 4.86 13.4 10.7 21.02 0.2 NA NA 86.79
1980116 1980 04 25 166.59 19.1 9.62 3.89 2.73 NA NA 46.51
1980117 1980 04 26 269.13 20.42 9.82 0 1.73 NA NA 40.26
1980118 1980 04 27 271.66 18.03 5.88 0 2.04 NA NA 28.03
1980119 1980 04 28 275.88 18.4 6.73 0 1.01 NA NA 30.27
1980120 1980 04 29 286.17 20.42 8.11 0.27 2.74 NA NA 39.8
1980121 1980 04 30 271.18 21.53 9.29 0 2.83 NA NA 27.84
1980122 1980 05 01 312.5 24.96 10.79 0 1.52 NA NA 38.29
1980123 1980 05 02 108 16.42 11.48 17.78 0.81 NA NA 72.86
1980124 1980 05 03 195.85 23.09 10.66 2.4 2.33 NA NA 43.75
1980125 1980 05 04 86.84 19.19 13.94 2.3 0.9 NA NA 66.34
1980126 1980 05 05 195.64 10.41 2.93 66.18 4.82 NA NA 63.86
1980127 1980 05 06 179.26 10.24 2.7 75.7 4.02 NA NA 87.98
1980128 1980 05 07 202.78 13.05 6.74 38.81 2.56 NA NA 67.9
1980129 1980 05 08 161.59 12.88 6.42 39.98 2.37 NA NA 73.78
1980130 1980 05 09 114.59 18.86 11.76 2.3 1.21 NA NA 68.23
1980131 1980 05 10 149.95 18.89 10.98 6.17 0.46 NA NA 62.04
