*WEATHER DATA - Station:Aswan  - BADJAM DATA - BADJer: ECCC - Method: MBCp - Source model: MPICCLM
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Aswan  23.9 32.9 181 25.54 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 170.04 23.94 9.7 0 2.68 NA NA 21.21
1980002 1980 01 02 166.59 25.61 10.7 0 1.99 NA NA 19.99
1980003 1980 01 03 166.59 25.01 8.94 0 2.5 NA NA 18.09
1980004 1980 01 04 114.4 18.7 6.19 0 3.23 NA NA 30.83
1980005 1980 01 05 89.37 14.72 7.78 0.29 5.2 NA NA 30.54
1980006 1980 01 06 100.3 14.8 6.27 0 3.7 NA NA 32.39
1980007 1980 01 07 171.34 20.02 7.46 0 0.93 NA NA 18.87
1980008 1980 01 08 92.76 17.2 8.66 0 2.78 NA NA 23.71
1980009 1980 01 09 174.66 22.21 12.22 0 1.27 NA NA 18.25
1980010 1980 01 10 175.03 23.04 9.54 0 0.4 NA NA 16.84
1980011 1980 01 11 174.68 25.16 10.91 0 0.43 NA NA 14.76
1980012 1980 01 12 174.79 24.27 9.93 0 2.03 NA NA 13.86
1980013 1980 01 13 177.14 24.92 10.06 0 2.18 NA NA 15.45
1980014 1980 01 14 179.32 23.5 10.56 0 3.29 NA NA 19.98
1980015 1980 01 15 181.69 22.74 8.66 0 1.99 NA NA 17.61
1980016 1980 01 16 180.51 23.05 8.35 0 1.26 NA NA 14.71
1980017 1980 01 17 179.43 22.93 8.36 0 1.71 NA NA 13.12
1980018 1980 01 18 182.89 21.72 8.54 0 2.68 NA NA 15.88
1980019 1980 01 19 186.7 20.68 6.2 0 2.59 NA NA 9.88
1980020 1980 01 20 187.87 21.71 6.14 0 2.4 NA NA 8.26
1980021 1980 01 21 185.44 22.34 7.3 0 2.73 NA NA 9.58
1980022 1980 01 22 188.18 22 7.78 0 3.09 NA NA 12.9
1980023 1980 01 23 188.87 22.64 7.35 0 1.59 NA NA 16.88
1980024 1980 01 24 190.08 22 8.34 0 2.87 NA NA 13.41
1980025 1980 01 25 192.36 20.97 6.62 0 3.7 NA NA 15.94
1980026 1980 01 26 178.55 21.42 7.14 0 3.13 NA NA 12.08
1980027 1980 01 27 187.15 21.93 7.05 0 3.23 NA NA 9.71
1980028 1980 01 28 189.82 24.05 8.52 0 3.33 NA NA 12.1
1980029 1980 01 29 197.13 26.49 9.92 0 3.33 NA NA 17.92
1980030 1980 01 30 195.82 27.42 8.69 0 3.39 NA NA 13.84
1980031 1980 01 31 205.85 23.95 8.04 0 4.3 NA NA 12.31
1980032 1980 02 01 204.5 22.86 6.55 0 4.21 NA NA 12.7
1980033 1980 02 02 204.81 22.73 6.88 0 2.73 NA NA 13.32
1980034 1980 02 03 207.65 21.37 7.14 0 3.79 NA NA 13.88
1980035 1980 02 04 211.23 20.86 7.39 0 3.6 NA NA 20.69
1980036 1980 02 05 211.32 22.17 6.61 0 3.5 NA NA 18.53
1980037 1980 02 06 211.22 22.65 6.72 0 3.79 NA NA 14.05
1980038 1980 02 07 214.86 24.18 6.15 0 3.6 NA NA 12.06
1980039 1980 02 08 211.69 25.03 7.68 0 2.91 NA NA 13.74
1980040 1980 02 09 214.83 24.03 9.28 0 3.01 NA NA 10.67
1980041 1980 02 10 213.83 23.59 8.07 0 2.31 NA NA 7.18
1980042 1980 02 11 219.75 23.22 8.43 0 3.42 NA NA 14.18
1980043 1980 02 12 224.09 24.5 8.22 0 3.04 NA NA 19.03
