*WEATHER DATA - Station:Izmir - BADJAM DATA - BADJer: ECCC - Method: MBCp - Source model: MPIREMO09
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Izmir 38.6 27.06 390 16.55 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 78.21 16.48 11.78 0 3.09 NA NA 64.48
1980002 1980 01 02 57.37 15.76 13.26 0 2.57 NA NA 67.01
1980003 1980 01 03 58 14.91 11.96 0.45 3.08 NA NA 68.43
1980004 1980 01 04 30.28 11.64 11.33 0 3.59 NA NA 63.44
1980005 1980 01 05 69.86 11.44 8.49 0 5.2 NA NA 59.61
1980006 1980 01 06 41.89 10.32 7.83 0 5.43 NA NA 57.29
1980007 1980 01 07 115.94 12.83 7.35 0 4.24 NA NA 51.45
1980008 1980 01 08 114.49 10.15 5.27 0 3.49 NA NA 55.01
1980009 1980 01 09 70.04 8.73 5.23 0 3.29 NA NA 60.48
1980010 1980 01 10 75.77 8.28 3.88 0 3.29 NA NA 58.06
1980011 1980 01 11 97.12 11.24 2.72 0 2.79 NA NA 49.86
1980012 1980 01 12 81.7 8.84 4.09 12.33 3.09 NA NA 75.77
1980013 1980 01 13 52.5 5.66 0.22 1.77 1.7 NA NA 74.72
1980014 1980 01 14 118.6 6.66 -0.45 0.29 2.82 NA NA 58.69
1980015 1980 01 15 118.45 4.34 -2.14 0 3.09 NA NA 51.72
1980016 1980 01 16 125.97 1.48 -3.61 0 3.12 NA NA 45.84
1980017 1980 01 17 120.52 4.6 -3.03 0.24 0.74 NA NA 40.75
1980018 1980 01 18 33.81 3.94 -1.81 29.17 3.68 NA NA 81.38
1980019 1980 01 19 50.73 -0.96 -5.5 3 4.07 NA NA 81.13
1980020 1980 01 20 135.43 6.02 -2.84 0 2.65 NA NA 53.46
1980021 1980 01 21 59.14 7.94 0.13 3.35 3.46 NA NA 62.55
1980022 1980 01 22 34.92 3.43 -1.18 1.17 3.92 NA NA 71.7
1980023 1980 01 23 67.71 -2.68 -2.9 1.55 1.57 NA NA 74.71
1980024 1980 01 24 115.08 4.23 -1.83 0 2.42 NA NA 58.3
1980025 1980 01 25 94.47 12.18 3.97 7.15 4.49 NA NA 53.31
1980026 1980 01 26 119.2 9.29 0.42 0 3.48 NA NA 48.48
1980027 1980 01 27 127.51 8.07 -0.22 0 1.28 NA NA 36.61
1980028 1980 01 28 103.52 8.77 -0.14 0 2.69 NA NA 32.99
1980029 1980 01 29 97.16 13.95 5.59 0 2.28 NA NA 55.19
1980030 1980 01 30 54.41 12.1 9.36 0 1.68 NA NA 64.31
1980031 1980 01 31 56.81 12.18 7.81 11.6 2.89 NA NA 66.21
1980032 1980 02 01 129.18 13.5 5.99 0 2.37 NA NA 56.77
1980033 1980 02 02 86.9 12.51 5.67 0 1.75 NA NA 59.6
