*WEATHER DATA - Station:Schleswig - BADJAM DATA - BADJer: ECCC - Method: MBCr - Source model: ICHEC
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Schleswig 54.53 9.55 32 8.42 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 24.88 3.49 -2.63 4.65 2.77 NA NA 74.38
1980002 1980 01 02 16.96 2.33 2.02 0 4.51 NA NA 70.46
1980003 1980 01 03 17.56 2.95 0.86 0 4.62 NA NA 77.46
1980004 1980 01 04 25.65 2.63 -0.02 0 3.77 NA NA 80.75
1980005 1980 01 05 24.26 6.71 3.15 0 5.51 NA NA 80.61
1980006 1980 01 06 16.42 7.79 3.67 13.91 5.6 NA NA 83.5
1980007 1980 01 07 31.15 8.19 6.56 0 7.29 NA NA 83.62
1980008 1980 01 08 20.71 8.3 4.8 0 3.24 NA NA 87.37
1980009 1980 01 09 24.19 7.91 3.79 0 3.78 NA NA 86.22
1980010 1980 01 10 24.19 8.01 6.54 0.73 6.01 NA NA 86.12
1980011 1980 01 11 39.16 4.9 1.43 2.72 2.53 NA NA 78.78
1980012 1980 01 12 29.41 5.89 3.28 1.8 6.2 NA NA 68.3
1980013 1980 01 13 25.65 3.58 -0.28 2.89 6.76 NA NA 72.02
1980014 1980 01 14 36.47 -1.81 -2.53 0 4.07 NA NA 60.72
1980015 1980 01 15 25.41 0.77 -2.62 0 6.08 NA NA 71.35
1980016 1980 01 16 18.3 6.66 2.72 5.48 8.75 NA NA 83.23
1980017 1980 01 17 19.34 11.5 5.83 9.91 8.08 NA NA 88.53
1980018 1980 01 18 16.16 9.18 4.86 29.49 10.07 NA NA 88
1980019 1980 01 19 47.9 7.69 5 0 7.77 NA NA 73.07
1980020 1980 01 20 24.75 7.35 3.43 9.48 5.6 NA NA 78.97
1980021 1980 01 21 18.13 6.59 2.99 24.32 4.78 NA NA 87.41
1980022 1980 01 22 18.33 1.09 -0.61 0.93 5.36 NA NA 80.4
1980023 1980 01 23 16.56 -0.17 -1.02 1.66 2.92 NA NA 71.41
1980024 1980 01 24 30.29 2.48 -0.55 0 5.41 NA NA 71.35
1980025 1980 01 25 28.38 4.38 -0.4 13.67 7.65 NA NA 82.26
1980026 1980 01 26 28.83 3.08 0.44 0 4 NA NA 81.39
1980027 1980 01 27 40.68 3.16 -0.36 5.23 5.41 NA NA 74.38
1980028 1980 01 28 16.95 2.98 1.97 10.06 5.32 NA NA 80.14
1980029 1980 01 29 20.81 3.99 0.78 4.43 3.82 NA NA 82.26
1980030 1980 01 30 32.26 4.26 -1.21 0 3.86 NA NA 81.22
1980031 1980 01 31 46.7 4.47 0.57 4.35 4.82 NA NA 78.71
1980032 1980 02 01 8.1 3.52 -0.95 1.6 4.4 NA NA 85.54
1980033 1980 02 02 11.74 2.44 -1.63 0.71 3.07 NA NA 84.5
1980034 1980 02 03 21.54 3.48 -3.19 3.07 2.37 NA NA 83.93
1980035 1980 02 04 21.92 3.37 -3.19 1.42 2.87 NA NA 85.71
1980036 1980 02 05 15.72 4.16 0.75 1.3 5.75 NA NA 83.08
1980037 1980 02 06 25.09 5.42 -0.4 12.94 5.35 NA NA 76.18
1980038 1980 02 07 18.84 4.75 0.47 17.03 2.98 NA NA 87.76
1980039 1980 02 08 29.17 4.15 1.09 17.78 2.72 NA NA 86.35
1980040 1980 02 09 28.4 4.14 -0.84 2.42 2.86 NA NA 78.54
1980041 1980 02 10 36.84 5.18 -1.03 5.29 2.91 NA NA 78.91
1980042 1980 02 11 40.86 1.57 -2.3 1.56 3.09 NA NA 71.7
1980043 1980 02 12 72.7 2.5 -2.08 0 5.6 NA NA 61.93
1980044 1980 02 13 22.7 4.19 0.15 5.29 5.03 NA NA 78.55
1980045 1980 02 14 36.16 3.04 -0.62 2.6 4.88 NA NA 71.14
1980046 1980 02 15 59.76 8.48 -3.35 23.38 4.42 NA NA 45.23
1980047 1980 02 16 45.98 9.61 3.49 14.8 7.14 NA NA 66.16
1980048 1980 02 17 48.29 6.16 -0.22 0 3.93 NA NA 76.46
1980049 1980 02 18 34.21 9.58 3.55 3.36 7.94 NA NA 72.67
1980050 1980 02 19 68.85 11.21 7.17 0 9.31 NA NA 68.96
1980051 1980 02 20 51.17 10.46 6.61 0 8.9 NA NA 81.89
1980052 1980 02 21 20.66 8.07 4.1 4.47 3.07 NA NA 89.71
1980053 1980 02 22 82.7 5.01 0.01 0 3.49 NA NA 56.21
1980054 1980 02 23 82.01 0.11 -2.8 0 5.31 NA NA 40.54
1980055 1980 02 24 76.43 -1.19 -4.58 0 4.6 NA NA 47.74
1980056 1980 02 25 93.23 2.87 -3.06 13.32 3.76 NA NA 45.08
1980057 1980 02 26 92.79 0.93 -2.23 0.85 5.23 NA NA 64.43
1980058 1980 02 27 80.83 6.3 -0.9 14.54 3.33 NA NA 68.09
1980059 1980 02 28 45.61 13.4 5.89 8.93 6.53 NA NA 73.53
1980060 1980 02 29 91.23 13.71 7.22 9.05 7 NA NA 70.29
1980061 1980 03 01 44.37 10.22 4.89 0 6.26 NA NA 71.42
