*WEATHER DATA - Station:Izmir - BADJAM DATA - BADJer: ECCC - Method: MBCr - Source model: ICHEC
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Izmir 38.6 27.06 390 17.35 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 42.43 15.67 11.76 0 0.99 NA NA 64.73
1980002 1980 01 02 85.79 17.37 12.34 0 0.57 NA NA 55.96
1980003 1980 01 03 117.96 16.12 9 0 2.1 NA NA 43.21
1980004 1980 01 04 116.76 13.45 6.31 0 2.98 NA NA 45.59
1980005 1980 01 05 109.35 14.99 9.09 0 4.4 NA NA 30.71
1980006 1980 01 06 103.08 11.72 4.89 0 3.45 NA NA 32.97
1980007 1980 01 07 108.64 10.05 0.5 0 1.97 NA NA 48.77
1980008 1980 01 08 71.01 11.47 0.28 0 2.6 NA NA 52.02
1980009 1980 01 09 90.46 11.12 1.47 0 3.25 NA NA 56.95
1980010 1980 01 10 113.17 11.68 6.36 0 3.12 NA NA 46.01
1980011 1980 01 11 111.42 11.3 4.68 0 3.17 NA NA 38.61
1980012 1980 01 12 73.94 10.7 1.58 0 2.38 NA NA 47.07
1980013 1980 01 13 76.28 10.59 -0.3 0 1.9 NA NA 53.69
1980014 1980 01 14 87.69 12.61 7.82 0.09 1.19 NA NA 66.88
1980015 1980 01 15 79.56 11.45 1.55 17.7 3.76 NA NA 52.75
1980016 1980 01 16 111.66 6.2 -0.1 0 5.29 NA NA 23.86
1980017 1980 01 17 72.62 4 -3.11 0 3.08 NA NA 54.33
1980018 1980 01 18 88.58 11.8 3.98 0 1.79 NA NA 53.68
1980019 1980 01 19 113.06 13.74 2.38 0 3.06 NA NA 45.59
1980020 1980 01 20 108.33 12.77 1.63 0 2.23 NA NA 53.62
1980021 1980 01 21 14.87 12.07 5.12 0 2.96 NA NA 69.57
1980022 1980 01 22 80.57 12.48 4.38 2.75 1.54 NA NA 68.3
1980023 1980 01 23 60.55 12.05 4.51 0 1.7 NA NA 63.25
1980024 1980 01 24 36.21 11.2 4.87 5.25 3.06 NA NA 81.45
1980025 1980 01 25 89.03 9.58 0.24 0 1.47 NA NA 51.2
1980026 1980 01 26 79.38 10.93 1.75 0 2.4 NA NA 53.7
1980027 1980 01 27 73.31 14.57 9.02 0 4.08 NA NA 60.66
1980028 1980 01 28 63.32 12.73 7.52 11.34 2.19 NA NA 79.03
1980029 1980 01 29 124.07 14.21 2.9 0 2.98 NA NA 42.25
1980030 1980 01 30 58.95 13.39 3.85 11.12 5.07 NA NA 74.83
1980031 1980 01 31 146.29 13.14 4.48 0 0.7 NA NA 55.64
1980032 1980 02 01 129.49 9.09 0.24 0 0.74 NA NA 35.71
1980033 1980 02 02 101.36 11.84 1.76 2.99 4.64 NA NA 44.53
1980034 1980 02 03 111.03 11.49 7.85 31.78 3.5 NA NA 61.72
1980035 1980 02 04 17.71 11.57 5.78 10.66 3.9 NA NA 66.63
1980036 1980 02 05 80.46 15.71 9.84 0 3.11 NA NA 68.33
1980037 1980 02 06 112.65 16.23 10.18 0 2.2 NA NA 65.68
1980038 1980 02 07 102.83 16.64 10.52 0 2.59 NA NA 57.16
1980039 1980 02 08 153.21 18.04 11.38 0 3.34 NA NA 54.25
1980040 1980 02 09 140.12 17.66 11.65 0 3.39 NA NA 62.54
1980041 1980 02 10 146.73 18.15 11.43 0 2.59 NA NA 65
1980042 1980 02 11 151.98 18.29 8.97 0 0.48 NA NA 57.87
1980043 1980 02 12 147.52 17.8 8.83 0 0.37 NA NA 35.41
1980044 1980 02 13 147.19 17.54 8.01 0 0.45 NA NA 33.29
1980045 1980 02 14 153.82 17.2 5.45 0 1.4 NA NA 44.71
1980046 1980 02 15 130.38 16.53 8.89 0 0.72 NA NA 56.61
1980047 1980 02 16 148.15 15.28 7.46 0 3.47 NA NA 37.38
1980048 1980 02 17 148.03 16.19 5.05 0 3.67 NA NA 30.21
1980049 1980 02 18 150.67 15.49 5.22 0 5.31 NA NA 38.36
1980050 1980 02 19 158.98 12.55 5.46 0 4.1 NA NA 27.31
1980051 1980 02 20 162.13 14.95 3.93 0 5.44 NA NA 17.5
1980052 1980 02 21 156.85 16.6 4.66 0 4.28 NA NA 29
1980053 1980 02 22 168.15 16.68 2.75 0 2.89 NA NA 34.87
1980054 1980 02 23 158.41 16.06 2.07 0 4.15 NA NA 46.6
1980055 1980 02 24 110.3 16.74 9.85 0 4.54 NA NA 59.87
1980056 1980 02 25 67.78 16.79 10.94 26.75 3.91 NA NA 58.77
1980057 1980 02 26 103.58 14.55 8.6 9.7 3.25 NA NA 69.97
1980058 1980 02 27 162.85 9.71 3.28 0.51 4.31 NA NA 45.22
1980059 1980 02 28 172.07 11.98 1.57 0 4.04 NA NA 25.12
1980060 1980 02 29 180.93 15.78 2.01 0 5.05 NA NA 25.14
1980061 1980 03 01 181.19 18.18 4.2 0 2.84 NA NA 32.48
1980062 1980 03 02 188.53 17.94 5.38 0 2.55 NA NA 40.84
1980063 1980 03 03 131.52 17.42 8.34 10.12 1.21 NA NA 60.61
1980064 1980 03 04 65.39 15.04 9.91 0 1.1 NA NA 71.97
1980065 1980 03 05 183.89 16.88 9.05 0 4.03 NA NA 43.74
1980066 1980 03 06 196.17 18.21 9.43 0 3.22 NA NA 36.08
1980067 1980 03 07 192.17 19.97 10.2 0 3.13 NA NA 35.74
1980068 1980 03 08 193.96 21.63 11.5 0 2.36 NA NA 30.22
1980069 1980 03 09 197.61 21.31 10.63 0 2.31 NA NA 29.41
1980070 1980 03 10 201.72 21.4 9.42 0 1.59 NA NA 31.54
1980071 1980 03 11 209.87 19.55 8.64 0 2.13 NA NA 36.33
1980072 1980 03 12 223.99 18.2 4.8 0 2.35 NA NA 38.24
1980073 1980 03 13 210.87 19.43 8.55 0 0.89 NA NA 42.23
1980074 1980 03 14 227 20.11 8.88 0 2.43 NA NA 41.02
1980075 1980 03 15 127.85 18.2 10.55 0.55 1.2 NA NA 59.8
1980076 1980 03 16 221.79 19.15 8.95 0 1.38 NA NA 37.63
1980077 1980 03 17 219.67 22.12 8.87 0 0.7 NA NA 28.27
1980078 1980 03 18 206.22 25.09 10.5 0 0.93 NA NA 27.96
1980079 1980 03 19 235.01 25.02 10.82 0 0.75 NA NA 28.72
1980080 1980 03 20 238.71 25.07 11.44 0 0.83 NA NA 32.24
1980081 1980 03 21 234.93 26.89 13.05 0 0.8 NA NA 28.29
1980082 1980 03 22 220.27 24.59 13.56 0 2.63 NA NA 29.16
1980083 1980 03 23 224.7 21.7 11.84 0 2.89 NA NA 37.51
1980084 1980 03 24 217.46 22.16 11.41 0 2.85 NA NA 35.85
1980085 1980 03 25 226.42 23.41 11.67 0 2.5 NA NA 27.63
1980086 1980 03 26 236.76 22.99 11.72 0 1.95 NA NA 28.95
1980087 1980 03 27 228.95 23.29 10.45 0 1.75 NA NA 17.16
1980088 1980 03 28 227.3 23.46 10.43 0 2.84 NA NA 22.36
1980089 1980 03 29 207.05 27.04 12.19 0 1.87 NA NA 19.46
1980090 1980 03 30 226.06 25.5 10.67 0 1.31 NA NA 27.17
1980091 1980 03 31 237.27 24.43 8.98 0 1.87 NA NA 28.7
1980092 1980 04 01 224.56 27.14 10.87 0 0.5 NA NA 24.51
1980093 1980 04 02 99.73 19.42 13.11 5.42 1.49 NA NA 61.38
1980094 1980 04 03 172.2 18.6 12.04 5.81 2.47 NA NA 68.17
1980095 1980 04 04 211.46 16.49 11.3 14.22 2.58 NA NA 61.52
1980096 1980 04 05 200.07 17.5 10.68 3.07 2.69 NA NA 51.22
1980097 1980 04 06 132.03 17.3 10.43 5.87 2.89 NA NA 58.92
1980098 1980 04 07 222.71 16.19 8.36 2 2.69 NA NA 47
1980099 1980 04 08 270.7 21.09 9.17 0 1.39 NA NA 37.17
1980100 1980 04 09 237.26 23.27 12.17 0 0.48 NA NA 38.53
1980101 1980 04 10 254.18 24.88 11.05 0 1.45 NA NA 26.13
1980102 1980 04 11 237.04 22.07 10.9 1.56 2.2 NA NA 34.46
1980103 1980 04 12 122.74 12.8 8.95 6.89 1.79 NA NA 79.13
1980104 1980 04 13 285.98 20.46 7.27 0 2.31 NA NA 39.61
1980105 1980 04 14 268 23.87 6.45 0 2.2 NA NA 30.87
1980106 1980 04 15 181.56 24.39 13 14.12 3.08 NA NA 31.01
1980107 1980 04 16 276.27 18.29 11.42 2.09 2.01 NA NA 47.93
1980108 1980 04 17 204.54 20.1 10.3 0 2.37 NA NA 43.99
1980109 1980 04 18 303.77 22.97 10.7 0 1.88 NA NA 38.57
1980110 1980 04 19 243.66 22.15 14.14 0 0.91 NA NA 43.76
1980111 1980 04 20 267.54 26.59 12.95 0 0.81 NA NA 34.32
1980112 1980 04 21 169.47 16.88 11.67 4.55 0.91 NA NA 70.8
