*WEATHER DATA - Station:Policoro - BADJAM DATA - BADJer: ECCC - Method: MBCr - Source model: ICHEC
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Policoro 40.2 16.66 3 16.89 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 65.86 15.37 7.82 0 2.08 NA NA 59.46
1980002 1980 01 02 78.19 13.54 4.77 0 4.75 NA NA 53.62
1980003 1980 01 03 75.35 13.27 5.13 0 4.34 NA NA 57.49
1980004 1980 01 04 85.06 12.45 4.49 0 4.36 NA NA 58.85
1980005 1980 01 05 85.94 12.04 5.15 0 4.07 NA NA 60.57
1980006 1980 01 06 96.99 12.3 4.41 0 2.68 NA NA 46.31
1980007 1980 01 07 96.46 10.98 3.16 0 4.6 NA NA 53.73
1980008 1980 01 08 89.05 11.48 6.36 0 4.39 NA NA 65.59
1980009 1980 01 09 71.02 12.39 7.46 0 4.65 NA NA 68.92
1980010 1980 01 10 97.56 11.4 5.59 0 1.97 NA NA 63.59
1980011 1980 01 11 60.36 11.07 4.65 0 2.63 NA NA 60.53
1980012 1980 01 12 86.11 11.67 3.41 0 4.21 NA NA 55.16
1980013 1980 01 13 82.46 12.79 6.62 0 2.61 NA NA 58.84
1980014 1980 01 14 92.14 15.81 9.09 0 3.71 NA NA 48.99
1980015 1980 01 15 102.71 11.41 6.73 0 3.53 NA NA 32.51
1980016 1980 01 16 103.72 10.59 5.33 0 3.92 NA NA 35.7
1980017 1980 01 17 101.79 12.64 6.64 0 4.07 NA NA 39.39
1980018 1980 01 18 98.4 13.02 6.96 0 3.85 NA NA 51.53
1980019 1980 01 19 98.05 13.12 6.87 0 2.62 NA NA 54.61
1980020 1980 01 20 86.34 13.02 5.66 0 2.23 NA NA 59.22
1980021 1980 01 21 104.38 13.11 7.19 0 0.65 NA NA 49.63
1980022 1980 01 22 108.36 13.67 7.56 0 2.4 NA NA 45
1980023 1980 01 23 82.76 14.9 7.37 3.04 1.85 NA NA 47.42
1980024 1980 01 24 111.89 11.64 3.38 0 1.35 NA NA 40.12
1980025 1980 01 25 110.36 11.37 3.56 0 1.5 NA NA 38.91
1980026 1980 01 26 79.15 13.51 5.56 6.98 7.14 NA NA 57.1
1980027 1980 01 27 65.23 11.54 8.01 0.72 1.55 NA NA 70.83
1980028 1980 01 28 117.66 16.83 8.7 0 5.15 NA NA 35.65
1980029 1980 01 29 82.15 15.75 9.24 0 1.71 NA NA 60.04
1980030 1980 01 30 51.01 15.48 8.94 1.44 2.29 NA NA 63.42
1980031 1980 01 31 127.9 12.69 4.81 0 1.9 NA NA 37.68
1980032 1980 02 01 118.17 15.99 6.56 22.58 6.72 NA NA 38.83
1980033 1980 02 02 74.85 13.16 7.83 7.12 3.12 NA NA 61.87
1980034 1980 02 03 122.18 15.43 7.75 2.41 3.54 NA NA 36.14
1980035 1980 02 04 98.38 16.83 9.59 0 4.67 NA NA 52.38
1980036 1980 02 05 113.22 17.47 10.35 0 3.62 NA NA 44.46
1980037 1980 02 06 119.53 17.87 10.35 0 3.87 NA NA 43.13
1980038 1980 02 07 134.93 19.08 10.96 0 4.21 NA NA 32.34
1980039 1980 02 08 107.85 18.45 10.35 8.43 3.28 NA NA 47.4
1980040 1980 02 09 96.78 19.37 11.59 1 1.45 NA NA 41.17
1980041 1980 02 10 146.97 19.38 10.95 0 0.72 NA NA 28.95
1980042 1980 02 11 145.74 19.3 10.81 0 1.32 NA NA 31.99
1980043 1980 02 12 143.54 18.21 9.81 0 1.2 NA NA 40.05
1980044 1980 02 13 146.1 17.31 8.04 0 1.23 NA NA 42.84
1980045 1980 02 14 133.86 17.4 7.48 0 1.38 NA NA 41.5
1980046 1980 02 15 142.2 16.63 8.4 0 1.94 NA NA 37.98
1980047 1980 02 16 146.53 16.65 7.23 0 1.82 NA NA 33.79
1980048 1980 02 17 147.04 17.93 7.54 0 2.41 NA NA 31.7
1980049 1980 02 18 132.66 15.99 7.9 0 3.51 NA NA 47.08
