*WEATHER DATA - Station:Estrees-Mons - BADJAM DATA - BADJer: ECCC - Method: MBCr - Source model: IPSL
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Estrees-Mons 49.88 3 83 10.69 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 35.62 8.35 4.06 4.65 5.5 NA NA 77.69
1980002 1980 01 02 38.79 -1.29 -7.51 0.3 2.18 NA NA 60.16
1980003 1980 01 03 45.59 -2.91 -6.65 0 0.81 NA NA 64.07
1980004 1980 01 04 27.77 4.6 -3.63 3.44 4.52 NA NA 75.77
1980005 1980 01 05 11.96 4.82 1.53 1.23 2.83 NA NA 88.97
1980006 1980 01 06 35.02 3.33 -0.87 1.31 3.15 NA NA 80.74
1980007 1980 01 07 37.4 3.73 -0.61 0 4.64 NA NA 83.67
1980008 1980 01 08 41.06 -0.02 -5.38 0 1.52 NA NA 73.81
1980009 1980 01 09 49.99 2.89 -1.27 0 5.22 NA NA 68.26
1980010 1980 01 10 36.22 7.68 3.17 0.58 3.67 NA NA 67.83
1980011 1980 01 11 37.47 4.69 1.26 0 2.3 NA NA 71.34
1980012 1980 01 12 24.41 6.52 -0.65 4.32 4.33 NA NA 75.07
1980013 1980 01 13 11.81 11.35 7.49 1.24 4.59 NA NA 88.13
1980014 1980 01 14 16.54 8.56 4.46 0 4.69 NA NA 84.06
1980015 1980 01 15 13.35 10.17 5.03 0.8 4.9 NA NA 86.8
1980016 1980 01 16 17.67 11.84 7.61 5.33 4.91 NA NA 88
1980017 1980 01 17 26.59 8.23 3.23 2.31 5.24 NA NA 76.61
1980018 1980 01 18 33.95 3.82 1.54 0 3.76 NA NA 61.04
1980019 1980 01 19 11.85 6.3 4.85 4.22 1.35 NA NA 91.3
1980020 1980 01 20 59.34 5.56 1.36 1.31 2.29 NA NA 69.96
1980021 1980 01 21 14.88 10.69 8.27 5.31 6.43 NA NA 90.82
1980022 1980 01 22 30.83 11.9 9.73 2.44 2.22 NA NA 91.45
1980023 1980 01 23 17.11 12.01 9.11 2.3 4.47 NA NA 94.51
1980024 1980 01 24 36.16 11.07 5.72 0 2.6 NA NA 76.58
1980025 1980 01 25 20.26 13.04 8.57 3.78 5.54 NA NA 88
1980026 1980 01 26 46.32 7.61 0.38 0 6.25 NA NA 51.77
1980027 1980 01 27 72.51 4.87 1.31 1.21 3.23 NA NA 62.28
1980028 1980 01 28 18.23 8.84 5.07 1.72 6.02 NA NA 82.64
1980029 1980 01 29 36.32 4.43 2.53 0 4.43 NA NA 72.62
1980030 1980 01 30 48.12 1.81 -3.81 0 2.91 NA NA 56.29
1980031 1980 01 31 49.97 4.07 -1.55 0 1.46 NA NA 72.34
1980032 1980 02 01 29.85 9.67 3.25 0.46 3.64 NA NA 80.8
1980033 1980 02 02 71.86 11.35 1.89 0 4.09 NA NA 77.9
1980034 1980 02 03 67.47 5.07 -2.94 0 1.02 NA NA 59.09
1980035 1980 02 04 74.27 6.12 -2.05 0 1.88 NA NA 65.65
1980036 1980 02 05 34.27 5.29 -2.01 0 1.91 NA NA 70.55
1980037 1980 02 06 36.56 10.67 4.62 0 1.47 NA NA 83.78
