*WEATHER DATA - Station:Schleswig - BADJAM DATA - BADJer: ECCC - Method: MBCr - Source model: IPSL
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Schleswig 54.53 9.55 32 8.47 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 17.39 2.43 -2.9 6.42 5.76 NA NA 79.91
1980002 1980 01 02 30.05 0.05 -3.68 0 2.21 NA NA 69.68
1980003 1980 01 03 25.34 -3.85 -7.54 0 3.8 NA NA 64.21
1980004 1980 01 04 35.43 -1.84 -7.84 0 4.04 NA NA 63.28
1980005 1980 01 05 24.35 6.22 2.2 10.97 3.54 NA NA 88.15
1980006 1980 01 06 17.4 1.35 -3.85 1.24 3.43 NA NA 81.92
1980007 1980 01 07 29.2 0.04 -5.08 0 1.92 NA NA 80.52
1980008 1980 01 08 26.66 -0.37 -5.15 0 1.94 NA NA 80.57
1980009 1980 01 09 35.35 1.2 -2.66 1.24 3.6 NA NA 81.55
1980010 1980 01 10 25.31 2.52 -1.18 2.29 4.7 NA NA 80.66
1980011 1980 01 11 29.87 6.84 2.26 0 3.68 NA NA 87.37
1980012 1980 01 12 17.04 4.65 -1.09 0 3.1 NA NA 86.81
1980013 1980 01 13 15.11 4.51 -5.18 5.91 4.86 NA NA 74.7
1980014 1980 01 14 20.8 8.9 5.65 0.42 3.16 NA NA 87.88
1980015 1980 01 15 21.11 7.81 5.16 2.84 3.36 NA NA 87.31
1980016 1980 01 16 14.9 8.6 4.68 13.95 4.72 NA NA 88.07
1980017 1980 01 17 35.23 9.16 6.2 4.65 6.3 NA NA 83.59
1980018 1980 01 18 18.4 3.48 2.26 0.56 5.88 NA NA 78.12
1980019 1980 01 19 14.98 4.28 -0.37 0 4.53 NA NA 81.8
1980020 1980 01 20 39.67 2.74 -0.37 1.89 3.36 NA NA 71.74
1980021 1980 01 21 25.24 3.78 2.21 2.59 6.08 NA NA 73.92
1980022 1980 01 22 28.79 0.5 -1.53 0 4.4 NA NA 60.58
1980023 1980 01 23 39.29 2.12 -2.33 0 1.54 NA NA 75.1
1980024 1980 01 24 52.18 9.62 3.32 4.04 6.99 NA NA 83.5
1980025 1980 01 25 11.77 7.61 4.3 2.8 8.3 NA NA 86.48
1980026 1980 01 26 18.94 2.03 -1.75 3.95 5.34 NA NA 59.32
1980027 1980 01 27 40.97 1.49 -0.12 0 5.74 NA NA 59.62
1980028 1980 01 28 27.18 1.52 -3.44 4.49 3.44 NA NA 67.61
1980029 1980 01 29 27.16 3.15 1.02 0 3.36 NA NA 73.73
1980030 1980 01 30 36.82 0.55 -2.62 0 2.03 NA NA 69.09
1980031 1980 01 31 44.66 3.22 -1.67 0 3.85 NA NA 78.25
1980032 1980 02 01 16.74 6.72 2.03 2.44 7.04 NA NA 85.89
1980033 1980 02 02 40.54 4.91 -0.06 0 3.62 NA NA 78.19
1980034 1980 02 03 37.67 4.9 -0.05 0 3.62 NA NA 83.76
1980035 1980 02 04 56.1 3.04 -1.34 0 4.31 NA NA 66.59
1980036 1980 02 05 39.43 3.47 -1.76 0 4.09 NA NA 70.84
1980037 1980 02 06 42.38 9.24 5.06 0 4 NA NA 81.64
1980038 1980 02 07 38.8 9.56 4.95 0 6.37 NA NA 81.82
1980039 1980 02 08 41.63 9.24 4.39 0 5.37 NA NA 78.94
1980040 1980 02 09 53.85 8.26 1.66 0 4.71 NA NA 70.75
1980041 1980 02 10 49.29 7.43 0.54 0 3.89 NA NA 68.26
1980042 1980 02 11 28.4 6.62 0.51 0 3.16 NA NA 76.13
1980043 1980 02 12 78.41 6.29 -0.01 0 5.73 NA NA 71.47
1980044 1980 02 13 24.36 7.42 2.95 17.26 7.93 NA NA 81.68
1980045 1980 02 14 39.46 2.97 0.03 3.77 6.59 NA NA 60.44
1980046 1980 02 15 62.7 3.1 -1.14 0 7.72 NA NA 55.79
1980047 1980 02 16 73.57 0.6 -1.71 0 6.57 NA NA 46.3
1980048 1980 02 17 84.97 1.77 -2.39 2.28 2.93 NA NA 52.38
1980049 1980 02 18 34.32 6.34 3.31 7.83 7.88 NA NA 85.26
1980050 1980 02 19 30.18 2.6 0.48 2.83 6.35 NA NA 65.07
1980051 1980 02 20 48.92 2.9 -0.19 0.79 5.1 NA NA 57.08
1980052 1980 02 21 19.65 1.24 -1.75 0.98 3.25 NA NA 74.75
1980053 1980 02 22 20.14 0.75 -5.62 0 2.32 NA NA 73.89
1980054 1980 02 23 80.44 -0.24 -6.83 0 2.2 NA NA 54.17
1980055 1980 02 24 91.15 0.68 -4.16 0 7.76 NA NA 50.81
1980056 1980 02 25 70.93 0.86 -1.79 1.46 7.53 NA NA 60.81
1980057 1980 02 26 57.55 2.01 -2.98 0 5.57 NA NA 66.54
1980058 1980 02 27 68.69 0.02 -6.72 0 1.68 NA NA 67.95
1980059 1980 02 28 87.62 -0.22 -6.14 0 1.28 NA NA 56.43
1980060 1980 02 29 0 0 0 0 0 NA NA 0
1980061 1980 03 01 84.21 -2.07 -5.71 0.35 3.97 NA NA 77.19
1980062 1980 03 02 98.19 -1.13 -3.78 0 4.33 NA NA 79.68
1980063 1980 03 03 80.11 0.87 -9.06 0 3.24 NA NA 75.73
1980064 1980 03 04 58.74 4.16 -4.4 0 4.49 NA NA 80.74
1980065 1980 03 05 80.46 11.84 4.23 0 4.01 NA NA 64.25
1980066 1980 03 06 82.07 12.81 6.23 0 4.33 NA NA 60.44
1980067 1980 03 07 74.56 13.58 6.67 6.57 5.08 NA NA 56.96
1980068 1980 03 08 69.88 7.26 3.15 0 4.86 NA NA 75.64
1980069 1980 03 09 64.43 6.3 1.49 0 4.76 NA NA 76.98
1980070 1980 03 10 79.24 8.12 3.83 2.08 0.66 NA NA 70.29
1980071 1980 03 11 117.67 8.52 2.72 0 5.64 NA NA 70.67
1980072 1980 03 12 48.3 8.23 2.37 7.89 3.93 NA NA 80.6
1980073 1980 03 13 46.83 11.13 1.81 0.65 3.54 NA NA 62.66
1980074 1980 03 14 147.49 17.43 6.99 12.11 4.36 NA NA 57.4
1980075 1980 03 15 127.29 9.63 3.92 0 3.17 NA NA 61.74
1980076 1980 03 16 45.51 10.37 5.04 6.48 4.65 NA NA 72.63
1980077 1980 03 17 80.41 10.21 4.85 0.91 1.58 NA NA 73.07
1980078 1980 03 18 89.04 10.27 2.02 0 1.21 NA NA 63.45
1980079 1980 03 19 128.93 12.26 0.26 0 1.9 NA NA 45.86
1980080 1980 03 20 70.11 14.85 3.94 0 3.67 NA NA 47.07
1980081 1980 03 21 74.5 12.68 5.65 0 2.98 NA NA 60.81
1980082 1980 03 22 50.37 9.54 5.4 7.35 0.58 NA NA 89.24
1980083 1980 03 23 116.23 12.03 4.81 8.39 3.45 NA NA 64.89
1980084 1980 03 24 166.92 11.1 3.58 2.3 2.17 NA NA 54.01
1980085 1980 03 25 58.13 6.13 1.82 2.9 2.07 NA NA 78.79
1980086 1980 03 26 165.56 10.6 1.55 0 3.75 NA NA 47
1980087 1980 03 27 168.73 11.62 1.45 0 4.05 NA NA 37.73
1980088 1980 03 28 93.7 9.41 3.34 0 4.55 NA NA 60.5
1980089 1980 03 29 167.67 12.65 2.68 0 4.44 NA NA 47.14
1980090 1980 03 30 173.53 14.71 1.48 0 2.43 NA NA 36.35
1980091 1980 03 31 172.5 17.09 1.72 0 2.32 NA NA 34.08
1980092 1980 04 01 166.58 19.21 5.68 2.92 0.41 NA NA 38.24
1980093 1980 04 02 93.62 9.82 2.44 3.2 1.24 NA NA 77
1980094 1980 04 03 124.24 9.76 1.07 0 1.62 NA NA 55.46
1980095 1980 04 04 82.59 4.21 1.07 1.56 2.19 NA NA 69.74
1980096 1980 04 05 119.45 5.19 1.16 11.88 3.62 NA NA 61.92
1980097 1980 04 06 80.32 6.43 2.41 2.98 6.22 NA NA 66.6
1980098 1980 04 07 191.58 12.03 1.94 0 3.2 NA NA 45.16
1980099 1980 04 08 177.29 10.66 2.21 0 5.84 NA NA 50.06
1980100 1980 04 09 126.85 12.66 3.93 0 4.76 NA NA 49.32
1980101 1980 04 10 145.76 15.32 4.14 0 2.89 NA NA 45.86
1980102 1980 04 11 198.24 14.85 2.39 0 3.33 NA NA 37.92
1980103 1980 04 12 203.67 11.84 2.39 0 4.09 NA NA 35.09
1980104 1980 04 13 209.21 10.18 2.06 0 6.28 NA NA 35.64
1980105 1980 04 14 211.03 12.3 2.6 0 7.34 NA NA 34.94
1980106 1980 04 15 201.97 14.72 4.65 0 5.8 NA NA 34.82
1980107 1980 04 16 207.18 17.46 8.12 0 3.43 NA NA 41.79
1980108 1980 04 17 55.8 12.74 3.59 1.58 1.37 NA NA 67.59
1980109 1980 04 18 192.54 17.01 3.69 0 3.28 NA NA 45.89
1980110 1980 04 19 77.59 15.98 7.61 0.83 3.25 NA NA 57.23
1980111 1980 04 20 187.76 19.74 9.05 0 1.43 NA NA 53.11
1980112 1980 04 21 76.43 14.47 5.69 7.33 3.54 NA NA 73.6
1980113 1980 04 22 241.3 11.21 3.53 0 3.65 NA NA 36.58
1980114 1980 04 23 248.48 10.6 2.53 0 3.15 NA NA 34.17
1980115 1980 04 24 231.32 11.65 1.88 0 2.75 NA NA 28.89
1980116 1980 04 25 183.22 7.92 1.56 0 1.81 NA NA 36.87
1980117 1980 04 26 209.94 9.98 2.64 0 1.91 NA NA 40.31
1980118 1980 04 27 182.24 8.76 2.03 0 1.4 NA NA 57.62
1980119 1980 04 28 176.42 10 2.77 0 1.58 NA NA 50.52
1980120 1980 04 29 205.91 11.32 4 0.71 2.84 NA NA 57.9
1980121 1980 04 30 105.42 13.62 5.98 0 0.75 NA NA 71.71
1980122 1980 05 01 108.87 17.62 7.74 0 0.78 NA NA 61.9
1980123 1980 05 02 115.07 17.55 7.26 0 0.85 NA NA 65.16
1980124 1980 05 03 174.23 19.67 8.84 0 1.17 NA NA 56.51
1980125 1980 05 04 184.5 17.45 7.9 0 2.15 NA NA 46.64
1980126 1980 05 05 154.48 13.82 5.18 1.04 2.21 NA NA 57.03
1980127 1980 05 06 128.92 11.76 4.52 0 1.88 NA NA 54.08
