*WEATHER DATA - Station:Aswan  - BADJAM DATA - BADJer: ECCC - Method: MBCr - Source model: MPICCLM
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Aswan  23.9 32.9 181 25.55 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 172.43 25.01 9.93 0 2.59 NA NA 21.21
1980002 1980 01 02 170 26.02 11.1 0 1.77 NA NA 19.99
1980003 1980 01 03 170.06 25.04 9.28 0 2.3 NA NA 18.09
1980004 1980 01 04 112.08 17.95 6.5 0.3 3.5 NA NA 30.83
1980005 1980 01 05 85.68 18.06 9.97 0.89 4.52 NA NA 30.54
1980006 1980 01 06 102.46 16.01 6.94 0.3 3.97 NA NA 32.39
1980007 1980 01 07 173.5 20.27 7.73 0 0.89 NA NA 18.87
1980008 1980 01 08 41.03 17.95 10.83 0.3 2.97 NA NA 23.71
1980009 1980 01 09 182.12 22.83 14.98 0 0.4 NA NA 18.25
1980010 1980 01 10 180.72 23.8 10.06 0 0.32 NA NA 16.84
1980011 1980 01 11 181.51 25.72 11.98 0 0.24 NA NA 14.75
1980012 1980 01 12 175.98 24.56 10.22 0 2.11 NA NA 13.86
1980013 1980 01 13 178.23 25.53 10.16 0 2.09 NA NA 15.45
1980014 1980 01 14 179.38 23.64 10.93 0 3.18 NA NA 19.98
1980015 1980 01 15 182.9 23.08 8.75 0 1.9 NA NA 17.61
1980016 1980 01 16 182.89 23.35 8.46 0 1.38 NA NA 14.71
1980017 1980 01 17 181.7 23.44 8.66 0 1.71 NA NA 13.12
1980018 1980 01 18 186.47 22.04 8.66 0 2.59 NA NA 15.88
1980019 1980 01 19 192.29 21.68 6.48 0 2.58 NA NA 9.88
1980020 1980 01 20 194.66 23.3 6.92 0 2.19 NA NA 8.24
1980021 1980 01 21 190.26 23.67 8.26 0 2.68 NA NA 9.58
1980022 1980 01 22 193.4 22.51 8 0 2.9 NA NA 12.9
1980023 1980 01 23 188.9 22.96 7.66 0 1.01 NA NA 16.88
1980024 1980 01 24 189.99 22.54 8.52 0 2.52 NA NA 13.41
1980025 1980 01 25 193.36 21.59 6.96 0 3.35 NA NA 15.94
1980026 1980 01 26 181.81 22.05 7.47 0 2.88 NA NA 12.08
1980027 1980 01 27 189.82 23 7.71 0 2.92 NA NA 9.71
1980028 1980 01 28 192.35 25.01 8.94 0 3.04 NA NA 12.1
1980029 1980 01 29 201.47 28.94 10.6 0 3.03 NA NA 17.92
1980030 1980 01 30 199.13 29.49 9.53 0 3.12 NA NA 13.84
1980031 1980 01 31 210.99 25.14 8.53 0 3.99 NA NA 12.31
1980032 1980 02 01 206.57 23.86 6.9 0 3.88 NA NA 12.7
