*WEATHER DATA - Station:Wageningen - BADJAM DATA - BADJer: ECCC - Method: MBCr - Source model: MPIRCA4
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Wageningen 51.97 5.63 14 10.36 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 45.15 1.25 -5.03 0.27 1.89 NA NA 66.05
1980002 1980 01 02 15.22 5.68 1.96 3.92 4.61 NA NA 83.06
1980003 1980 01 03 24.91 7.2 2.66 1.75 3.9 NA NA 85.55
1980004 1980 01 04 13.26 8.46 -0.05 2.91 3.16 NA NA 76.07
1980005 1980 01 05 3.47 11.69 7.92 0 6.64 NA NA 83.96
1980006 1980 01 06 24.99 11.63 7.46 0.28 5.15 NA NA 81.3
1980007 1980 01 07 12.57 12.47 6.97 15.1 7.57 NA NA 86.42
1980008 1980 01 08 9.26 14.02 8.66 8.48 7.94 NA NA 89.49
1980009 1980 01 09 9.55 11.96 7.43 5.25 7.49 NA NA 86.25
1980010 1980 01 10 20.08 5.44 3.65 0 2.63 NA NA 75
1980011 1980 01 11 11.49 6.5 1.46 0.46 2.17 NA NA 80.06
1980012 1980 01 12 21.15 3.23 3.04 0 3.46 NA NA 56.24
1980013 1980 01 13 44.93 7.3 3.02 0 1.53 NA NA 71.59
1980014 1980 01 14 19.12 4.87 0.16 0.28 1.39 NA NA 77.13
1980015 1980 01 15 29.83 7.94 -0.22 1.78 2.61 NA NA 81.7
1980016 1980 01 16 49.12 -4.99 -6.74 0 0.3 NA NA 46.84
1980017 1980 01 17 25.06 -1.09 -9.7 6.21 1.54 NA NA 78.77
1980018 1980 01 18 38.6 -5.09 -13.26 0 1.35 NA NA 52.43
1980019 1980 01 19 51.08 2.57 -3.62 0.27 1.59 NA NA 81.66
1980020 1980 01 20 43.07 3.16 -2.61 0 3.31 NA NA 83.02
1980021 1980 01 21 35.29 0.58 -10.25 0 1.45 NA NA 71.55
1980022 1980 01 22 29.57 5.26 -0.5 0.87 2.51 NA NA 89.2
1980023 1980 01 23 47.23 4.03 -1.7 0 2.87 NA NA 85.67
1980024 1980 01 24 44.05 2.17 -2.96 0 3.91 NA NA 77.38
1980025 1980 01 25 39.38 1.94 -3.62 0 3.57 NA NA 75.97
1980026 1980 01 26 41.42 1.59 -5.13 0 2.43 NA NA 73.45
1980027 1980 01 27 57.08 0.71 -9.32 0 2.73 NA NA 65.15
1980028 1980 01 28 26.3 3.02 -2.3 3.12 2.72 NA NA 86.01
1980029 1980 01 29 49.64 2.88 -3.28 0 2.81 NA NA 78.53
1980030 1980 01 30 60.68 1.6 -5.88 0 1.17 NA NA 67.9
1980031 1980 01 31 30.54 3.48 -1.65 0 6.52 NA NA 80.49
1980032 1980 02 01 49.35 7.71 4.35 0 6.59 NA NA 84.97
1980033 1980 02 02 49.53 7.71 3.65 0 6.52 NA NA 73.93
1980034 1980 02 03 50.64 9.91 3.26 9.66 5.98 NA NA 72.2
1980035 1980 02 04 53.96 10.36 3.27 0 6.85 NA NA 53.21
1980036 1980 02 05 38.05 10.8 6.99 0.28 7.09 NA NA 73.89
1980037 1980 02 06 51.62 9.64 3.96 5.97 5.8 NA NA 64.39
1980038 1980 02 07 103.97 12.2 6.01 1.01 5.71 NA NA 54.59
1980039 1980 02 08 73.74 11.57 5.3 0 4.43 NA NA 60.34
1980040 1980 02 09 34.66 10.19 4.68 6.49 5.94 NA NA 74.07
1980041 1980 02 10 49.96 6.3 1.69 3.49 4.89 NA NA 57.69
1980042 1980 02 11 103.87 7.28 1.01 0.91 5.72 NA NA 45.51
1980043 1980 02 12 43.15 8.24 3.61 3.45 5.25 NA NA 54.2
1980044 1980 02 13 18.26 4.99 4.02 2.74 4.77 NA NA 67.89
1980045 1980 02 14 53.53 8.72 4.58 13.7 5.1 NA NA 70.7
1980046 1980 02 15 33.26 10.06 5.68 6.5 7.17 NA NA 73.68
1980047 1980 02 16 42.47 8.44 4.71 0 5.81 NA NA 71.64
1980048 1980 02 17 65.08 7.28 2.99 0 2.82 NA NA 63.34
