*WEATHER DATA - Station:Libertinia - BADJAM DATA - BADJer: ECCC - Method: MBCr - Source model: MPIRCA4
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Libertinia 37.5 14.58 235 16 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 79.06 11.28 3.75 0 2.63 NA NA 65.61
1980002 1980 01 02 75.25 11.35 3.03 0 1.41 NA NA 48.37
1980003 1980 01 03 34.76 11.96 4.84 0 3.61 NA NA 64.77
1980004 1980 01 04 108.19 11.28 3.05 0 2.76 NA NA 40.8
1980005 1980 01 05 113.95 10.86 4.88 0 3.62 NA NA 50.86
1980006 1980 01 06 106.77 9.4 3.23 0 3.88 NA NA 39.46
1980007 1980 01 07 118.12 8.88 2.92 1.03 2.33 NA NA 39.2
1980008 1980 01 08 62.12 11.11 7.11 0 4.49 NA NA 65.13
1980009 1980 01 09 43.67 12.39 8.15 0 3.86 NA NA 66.33
1980010 1980 01 10 95.7 13.29 6.19 0 4.02 NA NA 48.07
1980011 1980 01 11 74.29 9.58 4.43 0 3.55 NA NA 27.98
1980012 1980 01 12 79.85 9.68 5.5 0.08 1.34 NA NA 60.76
1980013 1980 01 13 42.59 10.42 6.47 0 3.35 NA NA 49.05
1980014 1980 01 14 112.09 8.27 1.3 0 2.54 NA NA 34.36
1980015 1980 01 15 99.78 5.2 -0.24 0 2.83 NA NA 33.02
1980016 1980 01 16 15.91 9.91 1.65 74.43 5.66 NA NA 39
1980017 1980 01 17 71.5 5.17 1.59 3.57 6.63 NA NA 48.18
1980018 1980 01 18 90.07 5.37 2.54 22.01 2.14 NA NA 59.75
1980019 1980 01 19 116.28 4.78 1.86 2.89 0.8 NA NA 57.45
1980020 1980 01 20 109.52 6.61 1.71 0.45 0.77 NA NA 57.13
1980021 1980 01 21 52.89 7.92 3.47 9.1 2.43 NA NA 83.44
1980022 1980 01 22 73.88 10.98 3.36 4.3 2.63 NA NA 60.94
1980023 1980 01 23 74.22 7.09 2.67 2.5 5.97 NA NA 51.48
1980024 1980 01 24 101.41 3.44 2.71 4.01 2.51 NA NA 67.87
1980025 1980 01 25 76.73 6.88 2.95 0 1.76 NA NA 62.35
1980026 1980 01 26 34.55 11.37 4.77 3.38 2.8 NA NA 70.48
1980027 1980 01 27 116.97 13.86 8.33 0 4.61 NA NA 63.67
1980028 1980 01 28 62.43 14.39 9.19 0 5.29 NA NA 59.92
1980029 1980 01 29 54.52 12.34 10.29 0 5.99 NA NA 78.51
1980030 1980 01 30 54.6 11.79 9.87 9.09 5.33 NA NA 79.61
1980031 1980 01 31 50.63 8.45 7 7.1 5.94 NA NA 82.16
1980032 1980 02 01 81.66 7.98 3.51 0 4.64 NA NA 51.45
1980033 1980 02 02 90.01 5.67 2.63 0.39 2.83 NA NA 49.09
1980034 1980 02 03 42.76 6.87 3.01 0 5.01 NA NA 58.03
1980035 1980 02 04 73 8.46 3.42 0 1.84 NA NA 55.05
1980036 1980 02 05 69.7 8.39 4.55 3.1 6.07 NA NA 80.35
1980037 1980 02 06 65.73 11.24 7.95 0 4.73 NA NA 67.74
1980038 1980 02 07 83.19 11.83 7.67 0 2.81 NA NA 63.92
1980039 1980 02 08 79.96 11.84 7.19 0 2.11 NA NA 67.09
1980040 1980 02 09 143.6 11.25 4.09 0 1.6 NA NA 53.33
1980041 1980 02 10 152.64 11.73 1.04 0 1.57 NA NA 46.5
1980042 1980 02 11 26.16 13.44 6.61 0 3.3 NA NA 63.33
1980043 1980 02 12 160.88 14.5 4.55 0 2.02 NA NA 40.06
1980044 1980 02 13 104.06 14.45 7.42 0 2.9 NA NA 56.91
1980045 1980 02 14 163.32 13.33 4.98 0 3.43 NA NA 42.13
1980046 1980 02 15 163.89 14.34 2.97 0 2.6 NA NA 37.66
1980047 1980 02 16 171.38 15.88 5.92 0 3.98 NA NA 41.03
1980048 1980 02 17 129.01 14.93 5.88 0 2.9 NA NA 56.59
1980049 1980 02 18 173.88 15.18 1.55 0 1.9 NA NA 34.25
1980050 1980 02 19 124.65 14.32 6.32 0 1.65 NA NA 53.9
1980051 1980 02 20 72.97 10.53 7.46 1.03 3.28 NA NA 80.9
1980052 1980 02 21 148.63 11.73 3.92 0.47 3.38 NA NA 43.21
1980053 1980 02 22 116.48 10.65 3.21 1.37 2.31 NA NA 53.41
1980054 1980 02 23 131.96 11.99 4.07 0 3.77 NA NA 40.92
1980055 1980 02 24 138.32 12.74 3.65 4.56 2.5 NA NA 46.25
1980056 1980 02 25 108.26 10.21 5.15 0 3.64 NA NA 49.64
1980057 1980 02 26 165.18 10.16 3.6 0 2.6 NA NA 41.61
1980058 1980 02 27 120.2 9.98 2.66 0 4.55 NA NA 45.35
1980059 1980 02 28 178.86 12.2 1.87 0 2.79 NA NA 31.3
1980060 1980 02 29 184.74 12.98 -2.68 0 1.95 NA NA 35.66
1980061 1980 03 01 210.97 12.58 2.95 0 3.86 NA NA 39.93
1980062 1980 03 02 89.53 15.12 7.81 12.27 3.84 NA NA 47.99
1980063 1980 03 03 86.17 10.01 3.69 5.42 2.78 NA NA 51.24
1980064 1980 03 04 123.52 10.16 3.57 0 2.69 NA NA 44.97
1980065 1980 03 05 112.83 12.83 6.08 1.62 3.36 NA NA 55.65
1980066 1980 03 06 113.09 12.56 6.84 10.27 0.96 NA NA 58.67
1980067 1980 03 07 86.04 8.98 7.26 4.17 4.81 NA NA 81.45
1980068 1980 03 08 266.96 14.49 7.47 0 4.07 NA NA 48.45
1980069 1980 03 09 225.43 13.96 4.81 0 2.81 NA NA 42.65
1980070 1980 03 10 188.12 13.07 3.93 0 1.4 NA NA 42.68
1980071 1980 03 11 175.22 11.89 4.35 0.99 1.69 NA NA 51.77
1980072 1980 03 12 128.67 12.27 5.12 2.28 3.3 NA NA 55.46
1980073 1980 03 13 152.9 6.97 4.16 5.4 4.68 NA NA 52.7
1980074 1980 03 14 113.23 8.41 5.14 0 3.45 NA NA 46.34
1980075 1980 03 15 129.82 9.22 4.18 0 1 NA NA 36.52
1980076 1980 03 16 166.64 9.26 4.66 0 1.69 NA NA 42.96
1980077 1980 03 17 144.27 9.5 4.23 0 1.11 NA NA 45.14
1980078 1980 03 18 176.07 11.77 3.73 0 1.46 NA NA 39.62
1980079 1980 03 19 164.47 8.74 3.96 7.74 2.21 NA NA 47.15
1980080 1980 03 20 142.5 12.11 5.97 7.8 3.89 NA NA 56.45
1980081 1980 03 21 112.91 11.06 7.11 2.32 3.42 NA NA 55.57
1980082 1980 03 22 166.62 11.82 7.9 0 3.59 NA NA 45.22
1980083 1980 03 23 148.94 13.62 6.13 0 1.86 NA NA 37.58
1980084 1980 03 24 247.09 18.8 6.67 0 4.07 NA NA 35.72
1980085 1980 03 25 214.07 20.57 10.17 0 3.06 NA NA 35.73
1980086 1980 03 26 229.17 21.3 7.01 0 3.56 NA NA 30.35
1980087 1980 03 27 159.49 14.9 7.99 12.63 2.65 NA NA 44.27
1980088 1980 03 28 224.84 15.6 7.12 0 2.58 NA NA 35.72
1980089 1980 03 29 192.4 11.04 7.22 0 2.77 NA NA 46.8
1980090 1980 03 30 154.87 14.16 7.01 0 1.36 NA NA 52.21
1980091 1980 03 31 147.79 14.32 5.66 0 2.26 NA NA 58.83
1980092 1980 04 01 205.65 13.39 9.07 6.66 3.57 NA NA 51.8
1980093 1980 04 02 60.69 9.63 8.33 5.54 4.38 NA NA 51.86
1980094 1980 04 03 137.23 12.51 9.5 0 2.97 NA NA 69.29
1980095 1980 04 04 118.77 14.47 8.16 0 0.46 NA NA 63.59
1980096 1980 04 05 236.47 17.77 5.4 0 1.29 NA NA 43.23
1980097 1980 04 06 220.14 15.55 4.72 0 1.67 NA NA 42.81
1980098 1980 04 07 129.43 14.43 8.3 0 2.87 NA NA 54.89
1980099 1980 04 08 171.75 13.84 7.47 0 4.8 NA NA 44.33
1980100 1980 04 09 198.77 11.85 6.73 0 3.94 NA NA 29.33
1980101 1980 04 10 146.07 10.28 6.76 0 3.74 NA NA 41.68
1980102 1980 04 11 263.01 15.04 5.84 0 3.35 NA NA 34.59
1980103 1980 04 12 191.13 18.06 7.19 0 3.38 NA NA 36.43
1980104 1980 04 13 257.5 17.58 7.47 0 1.19 NA NA 32.11
1980105 1980 04 14 257.63 18.24 8.14 0 2.95 NA NA 35.7
1980106 1980 04 15 240.2 18.73 8.51 0 2.76 NA NA 39.75
1980107 1980 04 16 272.63 20.35 7.69 0 2.19 NA NA 32.85
1980108 1980 04 17 286.46 21.12 7.47 0 3.5 NA NA 32.93
1980109 1980 04 18 84.91 16.01 8.95 1.18 4.18 NA NA 52.24
1980110 1980 04 19 277.55 16.67 6.44 0 1.57 NA NA 29.09
1980111 1980 04 20 271.44 17.59 7.6 0 3.9 NA NA 28.71
1980112 1980 04 21 164.29 19.81 12.94 0 4.3 NA NA 31.23
1980113 1980 04 22 144.48 16.42 9.15 1.85 4.95 NA NA 49.17
1980114 1980 04 23 295.47 17.04 5.78 0 0.99 NA NA 30.08
1980115 1980 04 24 268.32 19.09 5.88 0 2.54 NA NA 30.87
1980116 1980 04 25 176.42 14.31 9.15 2.55 0.97 NA NA 70.71
1980117 1980 04 26 191.9 17.07 7.49 3.25 1.81 NA NA 37.66
1980118 1980 04 27 150.74 22.29 10.1 0 3.02 NA NA 23.36
1980119 1980 04 28 223.05 19.29 11.28 7.39 3.01 NA NA 24.54
1980120 1980 04 29 172.54 14.06 9.96 0 4.1 NA NA 36.26
1980121 1980 04 30 144.44 13.05 8.59 0 2.31 NA NA 39.24
1980122 1980 05 01 277.38 12.82 9.03 3.81 4.46 NA NA 45.03
1980123 1980 05 02 225.14 11.64 8.59 0 5.06 NA NA 49.56
1980124 1980 05 03 286.65 16.91 10.36 0 4.12 NA NA 34.64
