*WEATHER DATA - Station:Martonvásár - BADJAM DATA - BADJer: ECCC - Method: MBCr - Source model: MPIRCA4
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Martonvásár 47.35 18.81 135 10.35 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 46.23 4.55 -1.25 0 1.71 NA NA 53.07
1980002 1980 01 02 39.36 3.55 -1.66 3.05 4.27 NA NA 61.52
1980003 1980 01 03 25.36 0.78 -4.55 0 4.89 NA NA 52.33
1980004 1980 01 04 52.16 2.31 -5.9 0 1.72 NA NA 69
1980005 1980 01 05 24.33 -0.18 -6.51 0 0.99 NA NA 84.48
1980006 1980 01 06 56.69 2.66 -6.43 1.11 0.54 NA NA 69.06
1980007 1980 01 07 26.77 4.3 1.6 0.41 2.92 NA NA 84.83
1980008 1980 01 08 37.65 6.91 1.19 0 1.92 NA NA 74.9
1980009 1980 01 09 36.4 4.1 -3.14 2.72 2.03 NA NA 78.59
1980010 1980 01 10 16.98 2.29 -1.46 1.24 4.69 NA NA 75.23
1980011 1980 01 11 54.28 1.37 -4.94 0 3.21 NA NA 64.98
1980012 1980 01 12 50.96 -1.03 -7.15 0 1.67 NA NA 75.64
1980013 1980 01 13 48.77 -0.49 -7.16 0 4.03 NA NA 65.77
1980014 1980 01 14 48.88 -5.25 -9.72 0 2.69 NA NA 43.54
1980015 1980 01 15 55.92 -4.64 -9.51 0 2.66 NA NA 38.61
1980016 1980 01 16 63.01 -5.7 -15.02 0 3.24 NA NA 47.22
1980017 1980 01 17 54.48 -2.29 -8.28 0 3.26 NA NA 63.48
1980018 1980 01 18 77.13 -4.62 -10.2 0 2.69 NA NA 50.41
1980019 1980 01 19 57.87 -7.32 -13.17 0 3.26 NA NA 40.33
1980020 1980 01 20 56.6 -5.15 -11.73 0 1.94 NA NA 40.55
1980021 1980 01 21 62.63 -2.43 -9.66 0 2.69 NA NA 62.2
1980022 1980 01 22 68.62 -2.82 -9.11 0 2.57 NA NA 63.05
1980023 1980 01 23 68.94 -1.27 -9.15 0 1.72 NA NA 65.09
1980024 1980 01 24 68.8 0.41 -8.05 0 2.3 NA NA 71.91
1980025 1980 01 25 56.11 -1.66 -10.54 0 2.5 NA NA 76.53
1980026 1980 01 26 52.71 -1.16 -8.71 0 2.49 NA NA 66.18
1980027 1980 01 27 81.86 1.18 -8.07 0 3.87 NA NA 56.81
1980028 1980 01 28 54.05 -2.93 -6.96 3.48 5.16 NA NA 76.08
1980029 1980 01 29 23.87 -1.1 -1.84 0 4.5 NA NA 85.79
1980030 1980 01 30 82.85 2.68 -4.65 0 6.42 NA NA 62.24
1980031 1980 01 31 85.38 1.28 -6.15 0 2.81 NA NA 53.09
1980032 1980 02 01 75.03 0.28 -7.89 0 1.51 NA NA 52.13
1980033 1980 02 02 79.68 -0.85 -8.82 0 0.7 NA NA 44.95
1980034 1980 02 03 70.88 1.13 -8.56 0 1.03 NA NA 39.16
1980035 1980 02 04 75.08 2.04 -8.13 0 2.38 NA NA 37.04
1980036 1980 02 05 79.16 3.37 -7.07 0 2.67 NA NA 49.34
1980037 1980 02 06 109.55 3.84 -7.66 0 2.83 NA NA 59.22
1980038 1980 02 07 126.77 3.96 -6 0 3.24 NA NA 64.26
1980039 1980 02 08 105.31 3.32 -6.88 0 2.94 NA NA 67.11
1980040 1980 02 09 100.08 2.78 -9.27 0 3.18 NA NA 66.71
1980041 1980 02 10 88.94 4.64 -4.92 0 4.2 NA NA 68.51
1980042 1980 02 11 37.52 1.17 -1.28 1.58 2.39 NA NA 81.22
1980043 1980 02 12 100.4 4.42 -5.82 0 2.68 NA NA 60.93
1980044 1980 02 13 87.96 5.69 -2.17 15.03 2.58 NA NA 50.79
1980045 1980 02 14 93.99 5.19 -3.08 0 2.5 NA NA 57.4
1980046 1980 02 15 69.75 10.12 -0.75 0 4.58 NA NA 52.29
1980047 1980 02 16 42.63 4.85 0.5 1.42 2.18 NA NA 80.81
1980048 1980 02 17 26.12 13.18 3.03 2.34 3.73 NA NA 61.89
1980049 1980 02 18 125.02 6.74 -0.57 0 2.18 NA NA 55.38
1980050 1980 02 19 109.2 5.66 -2.49 0 1.66 NA NA 50.38
1980051 1980 02 20 133.52 2.93 -7.33 0 2.98 NA NA 54.71
1980052 1980 02 21 62.45 0.88 -3.96 0 1.16 NA NA 71.59
1980053 1980 02 22 171.89 5.65 -6.78 0 1.95 NA NA 53.1
1980054 1980 02 23 138.86 6.4 -4.98 0.89 1.12 NA NA 49.8
1980055 1980 02 24 94.59 7.27 0.87 0 2.45 NA NA 60.23
1980056 1980 02 25 116.53 2.15 -3.77 0 0.96 NA NA 63.73
1980057 1980 02 26 132.02 0.71 -10.95 0 0.93 NA NA 66.3
1980058 1980 02 27 155.85 6.54 -1.75 0 2.95 NA NA 51.59
1980059 1980 02 28 80.83 12.92 -0.34 0 1.86 NA NA 50.87
1980060 1980 02 29 125.18 14.4 0.15 0 2.11 NA NA 48.08
1980061 1980 03 01 166.69 14.63 3.62 0 4.79 NA NA 48.87
1980062 1980 03 02 83.3 15.17 5.07 0 2.26 NA NA 52.08
1980063 1980 03 03 94.11 8.53 -0.46 0 2.96 NA NA 67.1
1980064 1980 03 04 106.62 9.88 0.91 0 3.18 NA NA 67.37
1980065 1980 03 05 142.19 8.53 -0.93 0 0.76 NA NA 59
1980066 1980 03 06 68.89 12.2 2.77 1.48 0.91 NA NA 59.59
1980067 1980 03 07 166.47 15.15 -0.27 0 1.58 NA NA 38.06
1980068 1980 03 08 143.36 12.09 -0.94 0 2.39 NA NA 51.84
1980069 1980 03 09 102.05 8.47 1.08 0.64 1.13 NA NA 66.15
1980070 1980 03 10 79.03 1.08 -7.47 0.68 2.59 NA NA 67.17
1980071 1980 03 11 64.19 -2.43 -9.82 2.29 1.38 NA NA 76.5
1980072 1980 03 12 70.32 8.35 1.08 1.09 5.3 NA NA 31.47
1980073 1980 03 13 164.78 7.79 -1.49 0 4.15 NA NA 25.67
1980074 1980 03 14 172.52 6.81 -2.99 0 4.07 NA NA 26.89
1980075 1980 03 15 178.34 7.29 -2.73 0 3.55 NA NA 33.55
1980076 1980 03 16 177.7 9.1 -1.73 0 2.09 NA NA 32.08
1980077 1980 03 17 74.6 7.31 0.24 3.57 0.84 NA NA 62.89
