*WEATHER DATA - Station:Alexandria - BADJAM DATA - BADJer: ECCC - Method: MBCr - Source model: MPIRCA4
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Alexandria 43.98 25.35 56 11.68 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 51.08 5.9 -1.3 13.02 0.59 NA NA 47.18
1980002 1980 01 02 61.35 6.79 -1.31 0 1.44 NA NA 75.36
1980003 1980 01 03 22.8 -0.11 -3.04 2.52 1.56 NA NA 75.06
1980004 1980 01 04 56 1.99 -4.28 0 2.81 NA NA 50.03
1980005 1980 01 05 57.82 -0.49 -6.67 0 0.74 NA NA 49.65
1980006 1980 01 06 60.75 -2.01 -9.72 0 0.74 NA NA 47.06
1980007 1980 01 07 57.46 -4.18 -15.32 0 1.9 NA NA 55.9
1980008 1980 01 08 57.1 -0.15 -8.45 0 1.5 NA NA 78.89
1980009 1980 01 09 43.74 -0.3 -8.16 0 1.24 NA NA 79.27
1980010 1980 01 10 48.91 -0.85 -9.5 0 2.36 NA NA 78.9
1980011 1980 01 11 39.11 -1.54 -8.95 3.29 5.47 NA NA 81.21
1980012 1980 01 12 40.88 -2.7 -8.72 0 4.65 NA NA 65.54
1980013 1980 01 13 95.28 1.62 -5.82 0 1.69 NA NA 75
1980014 1980 01 14 50.58 -1.96 -7.98 0 0.75 NA NA 80.52
1980015 1980 01 15 67.14 -1.38 -8.33 0 3.71 NA NA 54.32
1980016 1980 01 16 66.59 -2.17 -9.02 0 1.14 NA NA 53.85
1980017 1980 01 17 69.45 -10.82 -18.08 19.63 3.67 NA NA 52.31
1980018 1980 01 18 52.31 -6.75 -16.76 3.87 5.75 NA NA 77.26
1980019 1980 01 19 106.24 -0.16 -7.9 0 5.9 NA NA 76.88
1980020 1980 01 20 102.22 -0.56 -8.4 0 5.8 NA NA 73.18
1980021 1980 01 21 103.63 -0.62 -8.6 0 6.23 NA NA 72.04
1980022 1980 01 22 107.21 -0.12 -8.3 0 5.96 NA NA 72.7
1980023 1980 01 23 99.98 -1.61 -12.18 0 3.8 NA NA 76.91
1980024 1980 01 24 67.79 -4.58 -22.02 2.3 5.99 NA NA 77.98
1980025 1980 01 25 50.79 -3.62 -3.64 0.35 2.12 NA NA 94.25
1980026 1980 01 26 51.97 -3.56 -6.14 0 1.54 NA NA 76.38
1980027 1980 01 27 94.14 0.49 -6.91 0 4.65 NA NA 72.51
1980028 1980 01 28 78.86 -1.35 -7.62 0 4.25 NA NA 37.16
1980029 1980 01 29 25.26 -2.41 -11.17 0 6.03 NA NA 64.3
1980030 1980 01 30 93.72 -0.23 -7.23 0 5.83 NA NA 62.16
1980031 1980 01 31 87.27 -1.15 -8.45 0 5.22 NA NA 55.55
1980032 1980 02 01 85.09 -1.7 -9.49 0 4.49 NA NA 44
1980033 1980 02 02 91.64 -0.72 -8.98 0 6.29 NA NA 56.85
1980034 1980 02 03 88.83 -1.21 -10.07 0 1.51 NA NA 44.76
1980035 1980 02 04 82.84 -1 -10.99 0 1.44 NA NA 44.32
1980036 1980 02 05 87.27 -0.08 -10.28 0 0.93 NA NA 45.58
1980037 1980 02 06 91.61 1.19 -9.3 0 1.11 NA NA 48.32
1980038 1980 02 07 117.85 3.29 -8.35 0 2.15 NA NA 71.52
1980039 1980 02 08 109.32 1.3 -9.02 0 1.51 NA NA 73.05
1980040 1980 02 09 123.96 0.63 -8.29 0 1.41 NA NA 75.25
1980041 1980 02 10 138.94 3.79 -6.76 0 2.27 NA NA 73.02
1980042 1980 02 11 125.94 2.52 -9.01 0 2.33 NA NA 70.92
1980043 1980 02 12 118.65 3.06 -4.86 0 2.98 NA NA 71.5
1980044 1980 02 13 103.77 1.23 -9.03 0 1.94 NA NA 73.01
1980045 1980 02 14 118.98 2.61 -3.51 0 2.2 NA NA 66.79
1980046 1980 02 15 115.9 5.1 -3.7 0 3.53 NA NA 60.59
1980047 1980 02 16 58.41 0.69 -4.73 0 1.39 NA NA 73.14
1980048 1980 02 17 84.25 9.91 -1.48 0 3.03 NA NA 57.19
1980049 1980 02 18 133.71 9.89 -1.13 1.72 2.83 NA NA 62.66
1980050 1980 02 19 139.77 12.02 -1.24 3.87 1.21 NA NA 48.25
1980051 1980 02 20 119.17 10.69 1.3 0 1.65 NA NA 68.51
1980052 1980 02 21 72.95 9.48 1.01 0 3.99 NA NA 68.87
1980053 1980 02 22 88.47 7.85 0.23 0 0.4 NA NA 72.09
1980054 1980 02 23 73.32 7.04 -1.38 0 0.7 NA NA 70.8
1980055 1980 02 24 138.88 6.47 -1.57 0 1.9 NA NA 56.42
1980056 1980 02 25 62.54 5.46 -1.99 0 3.09 NA NA 42.64
1980057 1980 02 26 133.69 5.14 -3.06 0 0.99 NA NA 30.98
1980058 1980 02 27 137.4 4.22 -4.22 0 0.9 NA NA 34.63
1980059 1980 02 28 138.72 5.98 -3.77 0 0.8 NA NA 30.89
1980060 1980 02 29 85.6 8.66 -4.64 0 3.58 NA NA 41.7
1980061 1980 03 01 159.95 12.61 -1.82 0 2.82 NA NA 46.65
1980062 1980 03 02 180.26 15.3 -0.94 0 2.21 NA NA 41.89
1980063 1980 03 03 78.29 11.27 0.26 0 2.78 NA NA 58.45
1980064 1980 03 04 80.02 10.18 -0.05 2 3.89 NA NA 68.47
1980065 1980 03 05 120.37 9.06 -1.44 0 2.66 NA NA 58.55
1980066 1980 03 06 167.02 16.8 1.01 0 1.89 NA NA 41.94
1980067 1980 03 07 149.85 14.44 0.76 0 2.8 NA NA 51.62
1980068 1980 03 08 113.44 10.7 2.72 0 4.56 NA NA 57.87
1980069 1980 03 09 180.66 7.07 -1.39 0 3.99 NA NA 42.02
1980070 1980 03 10 164.56 6.81 -1.84 0 3.98 NA NA 30.72
1980071 1980 03 11 171.49 6.52 -2.8 0 4.41 NA NA 27.69
1980072 1980 03 12 176.1 6.5 -2.28 0 4.85 NA NA 35.53
1980073 1980 03 13 97.09 6.3 -1.89 0 4.1 NA NA 41.43
1980074 1980 03 14 75.14 -1.94 -7.47 2.08 5.73 NA NA 60
1980075 1980 03 15 85.93 -1.58 -2.08 2.72 4.38 NA NA 63.68
1980076 1980 03 16 182.35 11.23 0.97 0 3.9 NA NA 38.6
1980077 1980 03 17 215.02 9.05 -1.75 0 2.81 NA NA 43.8
1980078 1980 03 18 197.22 7 -4.41 0 1.45 NA NA 47.15
1980079 1980 03 19 94.17 3.43 -2.37 0 0.61 NA NA 58.94
1980080 1980 03 20 192.95 13.48 -1 0 3.44 NA NA 37.66
1980081 1980 03 21 205.27 12.36 -0.43 2.99 2.22 NA NA 36.33
1980082 1980 03 22 153.22 5.59 0.46 11.34 3.48 NA NA 50.58
1980083 1980 03 23 208.41 9.82 -0.47 0 4.7 NA NA 34.4
1980084 1980 03 24 207.43 15.01 -0.97 0 4.82 NA NA 33.88
1980085 1980 03 25 207.84 19.21 2.78 0 4.85 NA NA 40.77
1980086 1980 03 26 210.47 23.98 8.54 0 3.26 NA NA 33.5
1980087 1980 03 27 91.68 16.64 5.43 0.94 2.72 NA NA 54.17
1980088 1980 03 28 94.94 14.87 2.59 5.4 3.1 NA NA 55.72
1980089 1980 03 29 214.96 21.18 6.62 0 2.03 NA NA 47.21
1980090 1980 03 30 211.34 20.19 6.68 0 2.21 NA NA 43.13
1980091 1980 03 31 212.8 18.91 4.84 0 3.11 NA NA 41.13
1980092 1980 04 01 216.64 16.46 3.39 0 2.11 NA NA 39.65
1980093 1980 04 02 221.86 17.34 1.77 0 1.9 NA NA 37.17
1980094 1980 04 03 159.86 17.82 4.5 0 4.72 NA NA 37.75
1980095 1980 04 04 210.1 23.24 8.26 0 1.48 NA NA 44.65
1980096 1980 04 05 154.22 22.79 7.66 0 2.1 NA NA 46.32
1980097 1980 04 06 171.25 19.23 6.73 0 1.19 NA NA 57.73
1980098 1980 04 07 120.27 20.43 10.57 0 0.38 NA NA 57.31
1980099 1980 04 08 245.96 21.06 4.78 0 1.03 NA NA 36.1
1980100 1980 04 09 123.86 15.2 6.55 12.24 2.54 NA NA 62.01
1980101 1980 04 10 63.99 7.95 5.23 11.87 3.23 NA NA 77.25
1980102 1980 04 11 186.63 15.41 4.89 0.32 0.83 NA NA 55.01
1980103 1980 04 12 117.62 8.12 2.62 1.18 4.83 NA NA 48.77
1980104 1980 04 13 181.95 9.71 1 0 4.35 NA NA 35.51
1980105 1980 04 14 154.05 9.64 -0.24 0 4.02 NA NA 32.49
1980106 1980 04 15 246.57 9.83 -0.37 0 2.76 NA NA 31.1
1980107 1980 04 16 70.07 6.62 -0.53 2.6 3.39 NA NA 64.37
1980108 1980 04 17 227.49 22.32 5.23 0 3.62 NA NA 39.31
1980109 1980 04 18 210.63 24.45 7.02 0 3.1 NA NA 38.61
1980110 1980 04 19 248.82 26.45 9.72 0 3.84 NA NA 38.26
1980111 1980 04 20 208.39 23.15 9.59 0 3.35 NA NA 37.77
1980112 1980 04 21 254.11 23.38 7.83 0 4.68 NA NA 36
1980113 1980 04 22 251.12 23.77 8.6 0 3.87 NA NA 39.92
1980114 1980 04 23 134.11 21.96 10 0 2.34 NA NA 43.33
1980115 1980 04 24 252.95 22.76 9.34 0 2.45 NA NA 38.04
1980116 1980 04 25 258.5 24.38 12.01 0 3.03 NA NA 35.46
1980117 1980 04 26 156.21 18.27 7.47 1.18 3.39 NA NA 37.47
1980118 1980 04 27 66.06 12.53 6.72 13.07 1.59 NA NA 76.91
1980119 1980 04 28 269.67 22.09 7.97 0 2.96 NA NA 50.63
1980120 1980 04 29 101.94 20.9 7.15 0.96 4.55 NA NA 49.32
1980121 1980 04 30 236.55 20.6 4.83 2.12 1.64 NA NA 47.49
1980122 1980 05 01 264.49 20.67 7.38 0.81 1.71 NA NA 48.9
1980123 1980 05 02 227.63 19.72 7.71 2.45 1.08 NA NA 53.42
1980124 1980 05 03 209.85 22.53 10.88 0 2.84 NA NA 51.11
1980125 1980 05 04 248.41 22.4 8.92 0 3.79 NA NA 46.04
1980126 1980 05 05 105.86 18.51 10.09 0.93 2.19 NA NA 68.01
1980127 1980 05 06 89.29 17.45 9.77 6.23 1.29 NA NA 71.93
1980128 1980 05 07 280.29 25.31 9.61 0 1.37 NA NA 47.77
1980129 1980 05 08 280.12 28.13 9.52 0 1.32 NA NA 44.33
1980130 1980 05 09 290.91 31.84 14.14 0 1.91 NA NA 41.53
1980131 1980 05 10 279.9 31.4 13.9 0 2.69 NA NA 36.86
1980132 1980 05 11 314.71 31.16 13.85 0 1.3 NA NA 35.54
1980133 1980 05 12 300.14 26.59 12.32 0 1.03 NA NA 26.36
1980134 1980 05 13 272.72 25.43 9.23 0 1.22 NA NA 23.96
1980135 1980 05 14 277.72 26.3 8.88 0 1.53 NA NA 23.8
1980136 1980 05 15 281.9 27.58 10.71 0 1.32 NA NA 24.99
1980137 1980 05 16 283.24 29.26 9.62 0 1.12 NA NA 22.13
1980138 1980 05 17 263.22 26.91 12.47 0.96 0.88 NA NA 25.29
1980139 1980 05 18 264.02 28.2 14.35 0.93 1.13 NA NA 30.19
1980140 1980 05 19 211.71 29 15.62 4.29 0.61 NA NA 47.3
1980141 1980 05 20 306.35 31.67 14.31 0 2.07 NA NA 26.59
1980142 1980 05 21 317.17 31.68 12.72 0 0.71 NA NA 23.45
1980143 1980 05 22 312.48 32.27 13.64 0 1.84 NA NA 15.01
1980144 1980 05 23 249.82 26.8 12.73 2.8 1.79 NA NA 24.5
1980145 1980 05 24 237.69 29.27 13.69 0 3.05 NA NA 32.45
1980146 1980 05 25 285.04 27.55 13.45 0 1.5 NA NA 24.19
1980147 1980 05 26 219.85 25.94 9.63 0 1.3 NA NA 24.74
1980148 1980 05 27 251.11 28.74 11.77 0 1.49 NA NA 24.85
1980149 1980 05 28 247.58 30.21 15.37 0 3.53 NA NA 32.06
1980150 1980 05 29 294.8 26.61 15.21 0 1.96 NA NA 25.54
1980151 1980 05 30 240.35 23.76 11.73 0 3.2 NA NA 25.69
1980152 1980 05 31 203.88 20.63 11.08 0 2.61 NA NA 31.07
1980153 1980 06 01 222.47 22.33 11.31 0 2.4 NA NA 28.44
1980154 1980 06 02 333.69 26.72 12.93 0 0.3 NA NA 22.14
1980155 1980 06 03 248.64 25.72 13.27 0 1.42 NA NA 38.66
1980156 1980 06 04 243.38 26.36 15.77 10.62 0.9 NA NA 52.99
1980157 1980 06 05 170.23 23.28 15.73 0 1.42 NA NA 65.12
1980158 1980 06 06 192.58 23.44 13.32 0 1.71 NA NA 45.87
1980159 1980 06 07 334.36 26.24 13.11 0 2.02 NA NA 26.8
1980160 1980 06 08 302.78 25.56 12.04 0 0.82 NA NA 27.21
1980161 1980 06 09 260.9 25.12 9.62 0 1.62 NA NA 31.1
1980162 1980 06 10 242.48 20.73 7.66 9.33 1.42 NA NA 39.63
1980163 1980 06 11 97.45 12.37 11.35 18.45 3.46 NA NA 80.28
1980164 1980 06 12 253.19 24.41 12.45 0 0.81 NA NA 58.03
1980165 1980 06 13 246.55 22.99 12.37 3.47 1.91 NA NA 53.75
1980166 1980 06 14 216.56 21.09 11.44 4.26 2.96 NA NA 58.46
1980167 1980 06 15 278.36 23.85 11.64 0 3.06 NA NA 47.49
1980168 1980 06 16 326.5 26.64 12.8 0 2.32 NA NA 41.28
1980169 1980 06 17 290.21 28.78 11.89 0 5.62 NA NA 30.28
1980170 1980 06 18 167.04 25.59 13.04 0 3.85 NA NA 26.19
1980171 1980 06 19 301.95 32.27 19.72 3.81 2.81 NA NA 41.66
1980172 1980 06 20 203.24 24.77 14.1 0 1.45 NA NA 59.32
1980173 1980 06 21 233.99 25.72 14.55 0 1.6 NA NA 38.27
1980174 1980 06 22 320.79 30.38 15.21 0 1.99 NA NA 30.5
1980175 1980 06 23 339.67 35.82 14.07 0 2.29 NA NA 17.99
1980176 1980 06 24 214.68 28.26 16.63 6.22 1.37 NA NA 39.61
1980177 1980 06 25 315.11 36.83 17.73 0 0.91 NA NA 36.47
1980178 1980 06 26 242.25 30.61 15.88 8.25 5.01 NA NA 29.75
1980179 1980 06 27 357.05 34.37 18.96 0 0.87 NA NA 36.71
1980180 1980 06 28 321.54 30.08 15.42 0 2.16 NA NA 26.71
1980181 1980 06 29 315.67 28.67 16.58 0 1.83 NA NA 32.38
1980182 1980 06 30 259.5 26.55 14.76 0 1.23 NA NA 30.16
1980183 1980 07 01 293.64 30.42 12.63 0 1.23 NA NA 23.89
1980184 1980 07 02 292.04 34.3 14.1 0 0.85 NA NA 18.9
1980185 1980 07 03 280.36 34.81 15.83 0 0.46 NA NA 20.92
1980186 1980 07 04 282.96 36.43 19.23 0 1.96 NA NA 19.71
1980187 1980 07 05 288.14 36.65 18.27 0 1.83 NA NA 19.1
1980188 1980 07 06 305.17 37.67 19 0 2.53 NA NA 23.09
1980189 1980 07 07 267.36 34.67 20.03 0 2.54 NA NA 30.4
1980190 1980 07 08 322.64 34.95 17.06 0 2.71 NA NA 19.51
1980191 1980 07 09 325.25 34.3 15.62 0 3.04 NA NA 18.58
1980192 1980 07 10 283.33 33.54 16.49 0 3.35 NA NA 25.8
1980193 1980 07 11 298.49 32.44 19.73 0 2.12 NA NA 26.81
1980194 1980 07 12 319.29 30.77 15.53 0 3.36 NA NA 20.13
1980195 1980 07 13 322.8 31.64 15 0 3.62 NA NA 17.59
1980196 1980 07 14 293.98 31.32 15.93 0 2.92 NA NA 21.16
