*WEATHER DATA - Station:Wageningen - BADJAM DATA - BADJer: ECCC - Method: MBCr - Source model: MPIREMO09
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Wageningen 51.97 5.63 14 9.81 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 45.22 1.62 -3.12 1.79 4.06 NA NA 75.66
1980002 1980 01 02 19.74 4.65 1.54 2.11 6.11 NA NA 81.53
1980003 1980 01 03 23.24 3.56 0.07 0 1.91 NA NA 76.47
1980004 1980 01 04 27.44 5.4 -12.13 0.91 3.9 NA NA 52.63
1980005 1980 01 05 20.85 14.5 11.24 1.75 6.69 NA NA 89.23
1980006 1980 01 06 8.68 12.93 9.95 0.27 6.24 NA NA 88.68
1980007 1980 01 07 11.59 12.43 6.69 18.3 7.22 NA NA 86.79
1980008 1980 01 08 10.23 12.95 8.32 14.4 7.51 NA NA 89.21
1980009 1980 01 09 17.19 10.71 6.33 1.5 6.7 NA NA 81.33
1980010 1980 01 10 20.4 6.18 3.29 0.28 3.4 NA NA 71.65
1980011 1980 01 11 14.77 9.07 4.73 2.8 3.19 NA NA 83.49
1980012 1980 01 12 16.24 6.29 4.26 0.94 5.35 NA NA 77.13
1980013 1980 01 13 34.29 7.2 2.67 0 1.71 NA NA 65.92
1980014 1980 01 14 42.33 -0.98 -8.61 0 1.78 NA NA 40.54
1980015 1980 01 15 34.81 -2.33 -8.69 4.86 2.17 NA NA 67.56
1980016 1980 01 16 17.62 3.16 -11.61 0.99 2.37 NA NA 53.74
1980017 1980 01 17 16.25 8.92 0.53 2.28 4.3 NA NA 79.68
1980018 1980 01 18 34.2 -1.17 -8.89 0 0.76 NA NA 38.42
1980019 1980 01 19 28.73 7.64 3.25 0.29 2.73 NA NA 85.47
1980020 1980 01 20 51.5 0.83 -3.75 0 1.23 NA NA 60.64
1980021 1980 01 21 33.07 0.65 -5.64 0 1.01 NA NA 65.35
1980022 1980 01 22 54.31 -2.53 -8.22 0 2.76 NA NA 61.13
1980023 1980 01 23 48.92 2.88 -2.57 0 1.73 NA NA 75.24
1980024 1980 01 24 47.4 3.95 -1.47 0 1.58 NA NA 77.86
1980025 1980 01 25 56.6 7.01 0.71 0 3.26 NA NA 85.54
1980026 1980 01 26 57.96 3.63 -1.24 0 2.34 NA NA 76
1980027 1980 01 27 51.21 -4.94 -8.64 0 0.52 NA NA 50
1980028 1980 01 28 62.17 2.73 -2.74 0 1.72 NA NA 74.85
1980029 1980 01 29 39.33 3.58 -2.31 0.31 3.95 NA NA 80.68
1980030 1980 01 30 37.11 -10.9 -13.37 0 3.18 NA NA 45.26
1980031 1980 01 31 53.45 1.43 -8.44 0.58 2.87 NA NA 57.47
1980032 1980 02 01 34.89 7.16 1.05 0 3 NA NA 83.6
1980033 1980 02 02 65.89 3.55 -3.37 0 0.71 NA NA 62.95
1980034 1980 02 03 72.52 7.59 0.8 0 5.06 NA NA 79.05
