*WEATHER DATA - Station:Alexandria - BADJAM DATA - BADJer: ECCC - Method: MBCr - Source model: MPIREMO09
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Alexandria 43.98 25.35 56 10.82 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 39.73 4.38 -0.81 0.16 1.18 NA NA 63.2
1980002 1980 01 02 45.74 5.75 -1.07 0.98 0.89 NA NA 70.55
1980003 1980 01 03 53.16 4.89 -2.1 0 1.24 NA NA 73.43
1980004 1980 01 04 19.44 -0.3 -3.32 9.26 2.47 NA NA 73
1980005 1980 01 05 77.43 -4.59 -11.09 0 2.28 NA NA 26.15
1980006 1980 01 06 61.07 -6.68 -14.25 0 1 NA NA 39.41
1980007 1980 01 07 48.52 -3.81 -10.63 0 1.47 NA NA 73.92
1980008 1980 01 08 66.5 2.96 -3.19 0 1.18 NA NA 83.01
1980009 1980 01 09 69.68 1.04 -4.4 0 2.29 NA NA 74.88
1980010 1980 01 10 87.27 -4.48 -9.15 0 1.57 NA NA 60.43
1980011 1980 01 11 88.74 -6.31 -12.1 0 1.8 NA NA 56.29
1980012 1980 01 12 43.83 -7 -14.58 0 1.19 NA NA 57.59
1980013 1980 01 13 16.2 -9.72 -16.76 0 1.58 NA NA 45.06
1980014 1980 01 14 72.68 -7.43 -14.74 0 0.94 NA NA 36.13
1980015 1980 01 15 44.08 -9.65 -16.8 0 1.86 NA NA 48.39
1980016 1980 01 16 84.92 -5.04 -12.1 0 2.93 NA NA 65.83
1980017 1980 01 17 76.99 -2.11 -10.69 0 1.16 NA NA 77.68
1980018 1980 01 18 100.74 -3.43 -9.97 0 0.92 NA NA 65.86
1980019 1980 01 19 63.65 -3.29 -11.21 0 0.71 NA NA 72.39
1980020 1980 01 20 110.6 0.56 -7.33 0 1.48 NA NA 72.41
1980021 1980 01 21 45.3 -5.53 -13.12 0 3.43 NA NA 75.74
1980022 1980 01 22 104.73 0.14 -7.27 0 2.81 NA NA 75.73
1980023 1980 01 23 120.09 1.14 -6.79 0 2.17 NA NA 73.55
1980024 1980 01 24 125.87 -2.07 -10.19 0 3.08 NA NA 67.34
1980025 1980 01 25 59.46 -3.65 -12.95 0.98 4.93 NA NA 78.99
1980026 1980 01 26 71.11 -1 -12.36 0 2.94 NA NA 78.07
1980027 1980 01 27 110.35 -2.12 -11.26 0 1.33 NA NA 62.9
1980028 1980 01 28 122.69 -3.63 -12.09 1.45 4.1 NA NA 66.49
1980029 1980 01 29 47.15 -0.65 -10.51 0.43 3.3 NA NA 83.98
1980030 1980 01 30 49.43 0.56 -2.84 0 1.79 NA NA 83.56
1980031 1980 01 31 54.49 0.23 -8.79 0.44 3.21 NA NA 89.67
1980032 1980 02 01 70.16 0.57 -10.56 0 1.19 NA NA 79.25
1980033 1980 02 02 56.36 -0.46 -8.49 0 0.9 NA NA 94.76
1980034 1980 02 03 86.4 2.67 -5.6 0 1.07 NA NA 80.38
1980035 1980 02 04 54.09 -0.16 -7.91 0 1.13 NA NA 85.81
1980036 1980 02 05 104.4 3.74 -4.51 0 1.56 NA NA 83.38
1980037 1980 02 06 64.74 0.54 -4.01 0 0.26 NA NA 80.12
1980038 1980 02 07 84.03 5.96 -5.34 1.25 0.39 NA NA 58.8
1980039 1980 02 08 119.28 11.63 -4.5 0 1.65 NA NA 53.92
1980040 1980 02 09 129.45 18.5 -0.97 0 2.42 NA NA 58.87
1980041 1980 02 10 119.3 16.02 0.62 0 2.48 NA NA 59.53
1980042 1980 02 11 73.05 9.32 -0.79 0.07 3.09 NA NA 59.24
1980043 1980 02 12 37.47 5.33 -1.27 0.89 1.51 NA NA 73.21
1980044 1980 02 13 77.58 4.2 -3.95 0.93 2.39 NA NA 62.78
1980045 1980 02 14 122.63 8.03 -3 0 2.22 NA NA 49.51
1980046 1980 02 15 100.54 5.69 -2.6 0 2.99 NA NA 44.38
1980047 1980 02 16 73.26 6.14 -0.87 0 1.5 NA NA 65.53
1980048 1980 02 17 89.53 6.26 -1.79 1.27 1.36 NA NA 73.46
1980049 1980 02 18 136.94 9.4 0.47 0 2.71 NA NA 60.48
1980050 1980 02 19 49.85 1.2 -2.37 0.89 2.6 NA NA 78.5
1980051 1980 02 20 44.81 -0.25 -3.92 0.37 4 NA NA 77.65
1980052 1980 02 21 44.35 -0.18 -5.61 0.59 4.18 NA NA 78.24
1980053 1980 02 22 73.99 1.41 -3.1 0 0.54 NA NA 69.55
1980054 1980 02 23 90.28 1.5 -6.02 0 0.69 NA NA 65.44
