*WEATHER DATA - Station:Estrees-Mons - BADJAM DATA - BADJer: ECCC - Method: MBCr - Source model: NCCNor
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Estrees-Mons 49.88 3 83 10.07 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 29.79 7.28 4 0 4.74 NA NA 81.02
1980002 1980 01 02 23.73 8.09 4.01 0 5.45 NA NA 83.51
1980003 1980 01 03 18.7 7.32 2.69 5.7 5.45 NA NA 74.04
1980004 1980 01 04 21.61 8.7 5.76 0 5.22 NA NA 82.09
1980005 1980 01 05 28.59 9.8 3.96 3.69 3.55 NA NA 81.39
1980006 1980 01 06 21.61 12.02 9.13 7.7 4.12 NA NA 87.55
1980007 1980 01 07 15.19 11.02 9.44 16.69 1.09 NA NA 95.29
1980008 1980 01 08 13.97 10.85 8.43 11.29 1.03 NA NA 94.1
1980009 1980 01 09 13.8 10.07 7.24 7.69 2.04 NA NA 89.63
1980010 1980 01 10 39.29 8.78 3.86 0 2.41 NA NA 83.11
1980011 1980 01 11 18.6 5.66 1.45 6.03 3.04 NA NA 81.99
1980012 1980 01 12 39.78 4.11 -2.16 0 1.66 NA NA 72.3
1980013 1980 01 13 40.62 5.21 -1.33 0 3.87 NA NA 83.65
1980014 1980 01 14 53.44 8.55 3.07 0 4.94 NA NA 79.72
1980015 1980 01 15 17.4 9.25 5.6 9.79 5.56 NA NA 84.69
1980016 1980 01 16 32.49 6.68 3.33 0.58 4.33 NA NA 77.17
1980017 1980 01 17 25.83 2.99 1.27 0 2.69 NA NA 71.29
1980018 1980 01 18 27.55 8.08 0.17 5.69 4.63 NA NA 76
1980019 1980 01 19 15.89 12.85 8.99 16.04 7.67 NA NA 88.98
1980020 1980 01 20 14.41 13.48 8.36 15.86 7.39 NA NA 87.23
1980021 1980 01 21 14.17 13.77 8.8 19.9 7.49 NA NA 89.53
1980022 1980 01 22 30.65 11.36 6.74 0.28 2.62 NA NA 84.49
1980023 1980 01 23 20.95 8.99 2.49 1.2 5.2 NA NA 60.01
1980024 1980 01 24 28.01 11.2 6.23 5.01 5.45 NA NA 77.06
1980025 1980 01 25 65.34 5.43 -0.7 0 2.93 NA NA 52.98
1980026 1980 01 26 50.69 2.06 -2.14 0 2.09 NA NA 57.57
1980027 1980 01 27 35.13 2.43 -0.4 0 4.7 NA NA 68.17
1980028 1980 01 28 30.12 7.19 -3.54 4.76 5.22 NA NA 63.73
1980029 1980 01 29 23 11.71 10.73 5.74 7.03 NA NA 89.03
1980030 1980 01 30 25 10.4 5.15 10.43 7.65 NA NA 83.28
1980031 1980 01 31 44.44 -0.28 -2.08 0.28 2.65 NA NA 51.12
1980032 1980 02 01 69.07 -1.21 -4.88 0 3.6 NA NA 40.58
1980033 1980 02 02 60.91 1.42 -6.2 0 3.09 NA NA 40.83
1980034 1980 02 03 38.29 6.44 -3.72 0 5.12 NA NA 47.33
1980035 1980 02 04 27.63 13.46 8.9 2.94 7.21 NA NA 87.22
1980036 1980 02 05 22.28 12.95 11.4 6.33 4.1 NA NA 95.27
1980037 1980 02 06 36.33 15.93 7.85 0 5.2 NA NA 82.95
1980038 1980 02 07 23.67 12.16 6.72 0 3.38 NA NA 75.83
1980039 1980 02 08 36.99 9.92 3.96 3.42 6.51 NA NA 76.46
1980040 1980 02 09 49.13 2.63 0.86 0.51 4.3 NA NA 62.79
1980041 1980 02 10 68.33 1.8 -3.41 0 4.18 NA NA 61.06
1980042 1980 02 11 66.77 1.91 -3.72 0 1.33 NA NA 67.75
1980043 1980 02 12 77.46 2.28 -3.76 0 3.09 NA NA 68.8
1980044 1980 02 13 86.64 -0.52 -8.33 0 1.26 NA NA 33
1980045 1980 02 14 57.46 -3.59 -3.96 3 3.32 NA NA 37.76
1980046 1980 02 15 45.75 8.1 2.52 0 4.98 NA NA 72.06
1980047 1980 02 16 59.33 7.52 4.94 5.61 6.24 NA NA 76.55
1980048 1980 02 17 100.3 8.25 0.15 0.49 3.66 NA NA 58.2
1980049 1980 02 18 49.45 14.33 8.27 2.94 4.15 NA NA 74.76
1980050 1980 02 19 69.71 13.41 3.13 0 3.69 NA NA 76.78
1980051 1980 02 20 86.88 8.25 0.35 0 1.64 NA NA 56.42
1980052 1980 02 21 103.89 5.75 -3.49 0 1.22 NA NA 53.27
1980053 1980 02 22 82.53 4.57 -0.15 0.75 4.21 NA NA 70.11
1980054 1980 02 23 60.62 7.91 0.61 0 1.92 NA NA 71.61
1980055 1980 02 24 114.55 6.77 -3.74 0 1.83 NA NA 48.71
1980056 1980 02 25 37.51 8.24 2.23 7.02 3.93 NA NA 63.28
1980057 1980 02 26 67.63 11.27 4.25 3.31 0.69 NA NA 84.33
1980058 1980 02 27 91.5 9.67 -0.1 0 1.83 NA NA 58.02
1980059 1980 02 28 107.52 8.99 -1.68 0 1.69 NA NA 41.01
1980060 1980 02 29 0 0 0 0 0 NA NA 0
1980061 1980 03 01 67.2 3.46 -0.55 0 1.29 NA NA 55.41
1980062 1980 03 02 138.86 7.84 -0.78 0 1.75 NA NA 44.26
1980063 1980 03 03 64.52 9.55 2.05 0 3.03 NA NA 66.08
1980064 1980 03 04 77.2 12.69 5.9 2.26 4.42 NA NA 66.9
1980065 1980 03 05 78.14 9.15 1.83 2.96 2.62 NA NA 62.9
1980066 1980 03 06 133.3 8.58 1.19 0 3.83 NA NA 49.13
1980067 1980 03 07 81.38 4.2 -0.26 13.3 2.92 NA NA 65.52
1980068 1980 03 08 101.05 4.99 -0.59 1.26 3.39 NA NA 49.18
1980069 1980 03 09 72.7 2.1 -6.18 0.6 2.03 NA NA 62.39
1980070 1980 03 10 75.87 2.48 -7.75 0.21 3.38 NA NA 62.95
