*WEATHER DATA - Station:Orleans  - BADJAM DATA - BADJer: ECCC - Method: MBCr - Source model: NOAAGFDL
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Orleans  47.83 1.91 116 10.83 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 68.67 10.17 2.41 0.85 2.76 NA NA 72.49
1980002 1980 01 02 50.14 2.89 -1.81 0 1.29 NA NA 70.09
1980003 1980 01 03 30.1 -2.68 -2.95 7.75 3.63 NA NA 70.91
1980004 1980 01 04 73.71 -0.54 -9.06 0 6.1 NA NA 46.69
1980005 1980 01 05 53.49 -4.36 -11.61 0 1.86 NA NA 59.02
1980006 1980 01 06 85.91 3.26 -3.65 4.73 6.29 NA NA 59.36
1980007 1980 01 07 55.37 6.48 2.49 1.57 7.32 NA NA 87.76
1980008 1980 01 08 24.96 3.15 -2.01 0.37 3.65 NA NA 87.83
1980009 1980 01 09 45.97 2.91 -8.26 0 2.95 NA NA 83.06
1980010 1980 01 10 54.54 -2.69 -11.74 0 1.64 NA NA 63.56
1980011 1980 01 11 51.94 -1.86 -12.63 0 0.94 NA NA 65.14
1980012 1980 01 12 52.74 -2.4 -11.06 0 1.26 NA NA 59.52
1980013 1980 01 13 86.75 3 -4.21 0.56 4.78 NA NA 51.23
1980014 1980 01 14 47.65 3.58 -0.68 0 2.56 NA NA 94.2
1980015 1980 01 15 72.67 4.37 -1.63 0 4.65 NA NA 88.2
1980016 1980 01 16 27.12 2.71 0.56 0 2.1 NA NA 95.16
1980017 1980 01 17 37.83 5.17 1.12 0.28 3.53 NA NA 86.53
1980018 1980 01 18 58.18 6.8 0.19 0 2.67 NA NA 78.92
1980019 1980 01 19 35.56 8.53 2.62 1.09 2.27 NA NA 82.92
1980020 1980 01 20 22.1 9.29 2.27 0 1.07 NA NA 85.77
1980021 1980 01 21 23.15 12.16 3.42 6.61 4.01 NA NA 71.87
1980022 1980 01 22 23.32 10.8 0.57 1.64 7.46 NA NA 60.77
1980023 1980 01 23 31.73 10.72 0.43 14.56 4.54 NA NA 57.29
1980024 1980 01 24 23.21 11.37 9.21 5.36 5.59 NA NA 90.64
1980025 1980 01 25 18.03 12.99 8.06 0.98 6.57 NA NA 88.71
1980026 1980 01 26 40.37 12.49 8.27 0.79 5.64 NA NA 81.62
1980027 1980 01 27 43.41 10.41 -0.54 0.67 7.61 NA NA 43.27
1980028 1980 01 28 78.69 6.46 -1.03 2.17 4.64 NA NA 44.13
1980029 1980 01 29 47.21 4.49 0.44 0 3.04 NA NA 75.32
1980030 1980 01 30 23.72 5.86 -0.2 0.84 2.14 NA NA 79.89
1980031 1980 01 31 25.32 6.53 4.61 0 2.04 NA NA 89.01
1980032 1980 02 01 37.8 6.94 3.56 0 1.58 NA NA 77.95
1980033 1980 02 02 68.6 6.68 1.25 0 3.35 NA NA 76.9
1980034 1980 02 03 56.31 7.94 -1.86 11.56 3.5 NA NA 42.06
1980035 1980 02 04 32.4 8.81 7.93 0.49 5.26 NA NA 84.36
1980036 1980 02 05 32.86 8.88 5.12 0 3.72 NA NA 79.38
1980037 1980 02 06 55.19 9.2 0.8 0 1.08 NA NA 68.85
1980038 1980 02 07 61.38 9.35 -1.67 0 1.78 NA NA 51.56
1980039 1980 02 08 79.98 10.17 0.15 0 2.9 NA NA 50
1980040 1980 02 09 29.1 4.85 0.55 1.17 1.73 NA NA 83.71
1980041 1980 02 10 75.05 9.4 0.48 0 0.81 NA NA 63.35
1980042 1980 02 11 82.92 9.67 -1.29 0 1.87 NA NA 62.8
1980043 1980 02 12 36.88 9.35 2.15 0 2.27 NA NA 70.39
1980044 1980 02 13 96.3 10.17 -1.15 0 1.74 NA NA 52.08
1980045 1980 02 14 57.19 6.31 -1.12 0 7.68 NA NA 64.78
1980046 1980 02 15 96.97 2.52 -4.72 0 7.07 NA NA 22.73
1980047 1980 02 16 101.64 2.28 -5.52 0 6.85 NA NA 20.92
1980048 1980 02 17 101.66 2.43 -6.26 0 1.39 NA NA 27.49
1980049 1980 02 18 86.89 0.25 -3.39 2.22 2.76 NA NA 33.95
1980050 1980 02 19 41.54 5.94 0.28 6.15 6.76 NA NA 81.27
1980051 1980 02 20 35.16 7.8 5.69 6.6 3.04 NA NA 90.17
1980052 1980 02 21 31.75 9.11 3.22 9.27 0.3 NA NA 75.45
1980053 1980 02 22 38.61 9.36 7.63 7.7 4.29 NA NA 90.13
1980054 1980 02 23 49.02 9.9 0.34 0.81 7.03 NA NA 65.42
1980055 1980 02 24 114.8 5.37 -2.29 0 1.86 NA NA 47.04
1980056 1980 02 25 104.04 4.45 -2.02 0 1.87 NA NA 38.96
1980057 1980 02 26 84.17 2.22 -2.35 0 5.54 NA NA 41.82
1980058 1980 02 27 68.38 -0.18 -5.2 0 2.51 NA NA 60.64
1980059 1980 02 28 71.86 0.66 -3.2 0 2.06 NA NA 74.28
1980060 1980 02 29 0 0 0 0 0 NA NA 0
1980061 1980 03 01 73.82 1.13 -3.28 0 3.26 NA NA 70.11
