*WEATHER DATA - Station:Jokioinen - BADJAM DATA - BADJer: ECCC - Method: QDM - Source model: CSIRO
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Jokioinen 60.8 23.48 111 1.97 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 5.74 -7.78 -12.52 0 2.02 NA NA 83.95
1980002 1980 01 02 10.34 -8.29 -12.94 0 2.2 NA NA 81.12
1980003 1980 01 03 8.1 -9.46 -15.45 0 1.8 NA NA 77.94
1980004 1980 01 04 10.33 -10.76 -15.57 0.34 1.71 NA NA 79.87
1980005 1980 01 05 8.1 -10.59 -14.59 0 2.2 NA NA 81.22
1980006 1980 01 06 9.26 -10.28 -14.46 0 2.02 NA NA 81.32
1980007 1980 01 07 9.24 -6.29 -17.34 0 1.02 NA NA 44.9
1980008 1980 01 08 8.91 0.84 -9.03 2.64 1.11 NA NA 67.78
1980009 1980 01 09 10.23 0.74 -5.46 0.82 0.31 NA NA 76.59
1980010 1980 01 10 8.07 -0.41 -6.44 0.69 1.1 NA NA 83.64
1980011 1980 01 11 10.34 -4.51 -13.73 0 0.82 NA NA 77.11
1980012 1980 01 12 12.38 2.32 -10.93 6.83 1.48 NA NA 38.55
1980013 1980 01 13 10.18 2.32 -3.46 1.95 1.09 NA NA 74.64
1980014 1980 01 14 13.41 -1.75 -9.97 0.92 0.7 NA NA 83.73
1980015 1980 01 15 8.07 -4.15 -12.58 0.28 0.49 NA NA 74.64
1980016 1980 01 16 14.76 1.41 -9.08 3.07 0.93 NA NA 53.35
1980017 1980 01 17 15.77 0.78 -6.23 1.81 0.8 NA NA 74.93
1980018 1980 01 18 14.73 -0.02 -12.76 1.56 1.19 NA NA 52.52
1980019 1980 01 19 13.51 -7.27 -17.73 0 1.39 NA NA 76.16
1980020 1980 01 20 12.27 -15.82 -21.43 0 1.19 NA NA 84.15
1980021 1980 01 21 13.49 -4.15 -17.37 1.24 0.6 NA NA 72.05
1980022 1980 01 22 17.21 0.01 -15.66 1.3 1.23 NA NA 63.67
1980023 1980 01 23 15.94 -5.43 -24.21 0 0.89 NA NA 40.07
1980024 1980 01 24 14.76 -13.52 -24.67 0 0.52 NA NA 58.87
1980025 1980 01 25 25.5 -11.83 -19.33 0 1.38 NA NA 80.88
1980026 1980 01 26 14.7 -10.76 -19.18 0 1.19 NA NA 84.71
1980027 1980 01 27 23.52 -11.51 -17.36 0 1 NA NA 88.12
1980028 1980 01 28 22.56 -15.67 -21.38 0 1 NA NA 84.7
1980029 1980 01 29 28.47 -5.43 -18.35 0.68 1.58 NA NA 65.06
1980030 1980 01 30 24.81 -5.81 -18.42 0.54 0.97 NA NA 64.83
1980031 1980 01 31 18.37 0 -12.29 3.04 1.69 NA NA 66.95
1980032 1980 02 01 30.12 -4.01 -10.98 0.42 1.75 NA NA 67.1
1980033 1980 02 02 29.26 -7.63 -12.61 0.11 1.46 NA NA 83.58
1980034 1980 02 03 23.62 -8.72 -20.28 0 1.39 NA NA 83
1980035 1980 02 04 37.17 -12.87 -21.29 0 0.6 NA NA 83.66
1980036 1980 02 05 38.17 -11 -21.71 0 0.42 NA NA 47.34
1980037 1980 02 06 27.34 -5.52 -13.65 0.79 1.59 NA NA 75.47
1980038 1980 02 07 29.5 -10.64 -18.73 0 1.59 NA NA 83.29
1980039 1980 02 08 44.1 -4.45 -22.76 1.02 0.67 NA NA 8.85
1980040 1980 02 09 12.48 0.7 -5.13 5.78 1.69 NA NA 72.41
1980041 1980 02 10 36.99 -0.79 -12.95 0 1.76 NA NA 39.64
1980042 1980 02 11 44.69 -7.89 -13.17 0 2.05 NA NA 71.53
1980043 1980 02 12 50.31 -9.3 -14.56 0 1.86 NA NA 76.69
1980044 1980 02 13 36.67 -8.7 -14.65 0 2 NA NA 74.19
1980045 1980 02 14 39.9 -12.74 -22.94 0 1.01 NA NA 74.98
1980046 1980 02 15 47.25 -12.44 -22.87 0 1.41 NA NA 71.93
1980047 1980 02 16 50 -13.09 -22.87 0 1.41 NA NA 79.36
1980048 1980 02 17 54.91 -14.95 -23.06 0 0.4 NA NA 83.19
1980049 1980 02 18 58.79 -11.36 -21.17 1.43 1.02 NA NA 67.74
1980050 1980 02 19 60.24 -8.52 -17.28 0.47 1.6 NA NA 77.52
1980051 1980 02 20 51.42 -11.4 -21.69 0 1.11 NA NA 76.3
1980052 1980 02 21 51.43 -8.92 -21.75 0 1.41 NA NA 63.74
1980053 1980 02 22 55.73 -4.96 -13.07 2.34 1.89 NA NA 70.49
1980054 1980 02 23 59.76 -6.34 -19.7 0 0.22 NA NA 51.29
1980055 1980 02 24 51.41 -12.96 -19.98 0 0.39 NA NA 83.34
1980056 1980 02 25 65.54 0.79 -16.41 0 1.69 NA NA 48.47
1980057 1980 02 26 50.86 0.6 -9.04 0 1.31 NA NA 75.96
1980058 1980 02 27 56.15 0.6 -7.34 13.01 1.87 NA NA 71.38
1980059 1980 02 28 14.08 7.77 -0.71 2.18 1.84 NA NA 83.05
1980060 1980 02 29 0 0 0 0 0 NA NA 0
1980061 1980 03 01 73.18 1.56 -7.47 0 1.96 NA NA 53.07
1980062 1980 03 02 78.9 -4.49 -16.69 0 1.87 NA NA 67.54
1980063 1980 03 03 73.11 0.27 -17.11 0.37 2.16 NA NA 27.15
1980064 1980 03 04 92.34 0.71 -2.33 0 2.49 NA NA 74.19
1980065 1980 03 05 88.93 0.76 -6.93 0 0.8 NA NA 71.66
1980066 1980 03 06 77.39 0.65 -2.31 0.28 1.5 NA NA 79.24
1980067 1980 03 07 58.94 4.79 -3.67 0.66 1.67 NA NA 69.62
1980068 1980 03 08 96.41 -0.31 -6.82 1.12 1 NA NA 69.98
1980069 1980 03 09 76.54 0.35 -11.11 3.89 1.8 NA NA 73.36
1980070 1980 03 10 105.36 -6.07 -20.09 0 1.48 NA NA 47.04
1980071 1980 03 11 107.33 -8.35 -21.46 0 1.29 NA NA 63.23
1980072 1980 03 12 113.53 -10.54 -21.34 0 1.59 NA NA 68.76
1980073 1980 03 13 114.87 -11.97 -23.42 0 0.71 NA NA 60.05
1980074 1980 03 14 100.47 -0.69 -16.93 3.52 1.8 NA NA 59.02
1980075 1980 03 15 124.63 -1.6 -13.97 0.59 1.48 NA NA 74.34
1980076 1980 03 16 124.62 -6.09 -20.17 0 1.3 NA NA 52.28
1980077 1980 03 17 127.43 -10.25 -21.73 0 0.68 NA NA 62.86
1980078 1980 03 18 142.8 -4.86 -18.12 0 0.72 NA NA 57.62
1980079 1980 03 19 131.88 -2.74 -13.24 0 1.4 NA NA 42.04
