*WEATHER DATA - Station:Rothamsted - BADJAM DATA - BADJer: ECCC - Method: QDM - Source model: IPSL
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Rothamsted 51.82 -0.37 105 9.9 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 17.89 7.14 -0.27 2.07 5.18 NA NA 76.81
1980002 1980 01 02 34.59 1.53 -3.3 2.85 3.56 NA NA 64.66
1980003 1980 01 03 36.16 -0.64 -5.04 0 3.39 NA NA 69.63
1980004 1980 01 04 21.59 2.51 -3.01 4.3 2.7 NA NA 88.5
1980005 1980 01 05 28.71 2.2 -4.97 0 2.78 NA NA 84.55
1980006 1980 01 06 41.9 0.71 -6.24 0 3.07 NA NA 81.99
1980007 1980 01 07 37.47 -0.74 -4.72 0 4.42 NA NA 84.55
1980008 1980 01 08 37.51 2.12 -5.68 0.44 2.7 NA NA 70.4
1980009 1980 01 09 15.97 6.9 1.33 12.53 7.07 NA NA 85.06
1980010 1980 01 10 33.49 8.25 4.93 0.43 5.92 NA NA 84.03
1980011 1980 01 11 40.66 6.67 0.64 0 2.9 NA NA 83.96
1980012 1980 01 12 13.97 10.74 -0.39 9.15 3.56 NA NA 62.35
1980013 1980 01 13 27.78 10.82 6.74 2.51 3.64 NA NA 87.33
1980014 1980 01 14 26.29 9.01 5.39 0 3.77 NA NA 84.33
1980015 1980 01 15 16.16 11.16 7.19 3.38 4.44 NA NA 88.46
1980016 1980 01 16 20.82 10.52 6.09 0 3.78 NA NA 85.19
1980017 1980 01 17 20.51 7.43 4.62 10.22 6.13 NA NA 78.52
1980018 1980 01 18 33.49 7.91 2.13 0 5.37 NA NA 59.14
1980019 1980 01 19 41.47 4.89 -1.4 0 1.25 NA NA 84.88
1980020 1980 01 20 29.17 8.1 -0.18 2.01 4.11 NA NA 66.81
1980021 1980 01 21 17.47 8.72 6.1 1.3 4.16 NA NA 88.02
1980022 1980 01 22 15.67 9.66 4.42 5.21 0.99 NA NA 86.3
1980023 1980 01 23 16.29 12.36 8.85 0.79 3.97 NA NA 84.68
1980024 1980 01 24 37.77 10.61 6.1 0 3.52 NA NA 79.19
1980025 1980 01 25 16.55 11.37 7 0 4.96 NA NA 86.05
1980026 1980 01 26 36.97 7.03 1.94 0 6.84 NA NA 44.94
1980027 1980 01 27 44.8 8.97 1.65 3.7 4.49 NA NA 53.99
1980028 1980 01 28 31.2 10.05 4.94 0 6.19 NA NA 75.93
1980029 1980 01 29 40.02 7.13 4.4 0 6.1 NA NA 67.08
1980030 1980 01 30 45.86 6.84 1.45 0 1.7 NA NA 75.55
1980031 1980 01 31 29.97 9.86 1.46 0 3.06 NA NA 79.72
1980032 1980 02 01 20.13 10.06 2.62 0.98 4.15 NA NA 86.45
1980033 1980 02 02 54 7.03 -0.64 0 0.88 NA NA 64.33
1980034 1980 02 03 54.25 6.17 -0.98 0 2.05 NA NA 68.42
1980035 1980 02 04 43.12 10.86 3.95 0 2.87 NA NA 73.27
1980036 1980 02 05 32.33 10.74 6.89 0 2.85 NA NA 85.97
1980037 1980 02 06 40.46 12.11 7.61 0 2.14 NA NA 82.57
1980038 1980 02 07 46.56 11.42 3.26 0 0.88 NA NA 68.74
1980039 1980 02 08 34.96 10.7 3.64 0 0.44 NA NA 68.6
1980040 1980 02 09 37.2 9.82 3.46 0 0.67 NA NA 76.01
1980041 1980 02 10 50.22 8.66 0.69 0 1.04 NA NA 60.72
1980042 1980 02 11 58.18 8.13 -0.28 0 1.77 NA NA 53.2
1980043 1980 02 12 43.69 10.66 0.92 3.47 4.95 NA NA 65.05
1980044 1980 02 13 18.53 12.56 8.28 1.39 7.82 NA NA 82.73
1980045 1980 02 14 50.42 9.1 1.82 0 7.46 NA NA 35.49
1980046 1980 02 15 68.76 5.66 0.1 0 6.35 NA NA 36.67
1980047 1980 02 16 80.02 4.05 -1.36 0 3.6 NA NA 32.34
1980048 1980 02 17 49.03 10.4 -0.32 0.47 3.6 NA NA 61.9
1980049 1980 02 18 35.52 9.82 2.78 2.43 6.95 NA NA 71.22
1980050 1980 02 19 63.31 6.43 0.93 0 7.12 NA NA 44.27
1980051 1980 02 20 73.17 5.24 -0.68 0 4.09 NA NA 49.94
1980052 1980 02 21 78.99 5.23 -1.46 12.07 3.42 NA NA 69.55
1980053 1980 02 22 71.62 4.42 -1.46 0 5.44 NA NA 51.28
1980054 1980 02 23 83.49 4.05 -1.33 0 4.98 NA NA 52.63
1980055 1980 02 24 83.38 2.96 -2.03 0 4.33 NA NA 50.65
1980056 1980 02 25 84.65 2.67 -2.47 0 3.02 NA NA 40.17
1980057 1980 02 26 83.14 3.32 -2.48 0 2.42 NA NA 54.39
1980058 1980 02 27 69.49 4.74 -1.73 0 2.04 NA NA 72.67
1980059 1980 02 28 59.4 6.29 -1.31 1.12 1.55 NA NA 82.43
1980060 1980 02 29 0 0 0 0 0 NA NA 0
1980061 1980 03 01 59.36 6.31 2.37 0.05 2.47 NA NA 82.43
1980062 1980 03 02 98.43 6.98 -0.08 0 1.33 NA NA 62.8
1980063 1980 03 03 57.16 7.06 -0.61 0 1.28 NA NA 75.59
1980064 1980 03 04 43.49 12.15 6.66 0.71 5.02 NA NA 80.69
1980065 1980 03 05 46.44 12.82 7.52 1.67 5.35 NA NA 68.03
1980066 1980 03 06 28.91 11.93 8.19 11.69 6.78 NA NA 87.5
1980067 1980 03 07 58.04 11.31 4.48 3.31 4.02 NA NA 79.2
1980068 1980 03 08 101.43 11.23 3.71 0 3.34 NA NA 53.33
1980069 1980 03 09 95.96 11.15 3.48 0 3.95 NA NA 52.63
1980070 1980 03 10 69.1 13.68 5.13 2.7 3.25 NA NA 61.18
1980071 1980 03 11 102.86 14.53 4.2 3.45 4.81 NA NA 56.63
1980072 1980 03 12 78.17 14.65 8.64 2.75 3.44 NA NA 79.98
1980073 1980 03 13 129.85 16.16 8.81 0 3.94 NA NA 59.33
1980074 1980 03 14 91.54 12.85 5.39 0 5.06 NA NA 54.91
1980075 1980 03 15 50.56 12.06 3.66 3.85 4.88 NA NA 59.64
1980076 1980 03 16 47.96 12.67 5.36 7.12 2.53 NA NA 69.79
1980077 1980 03 17 115.7 11.29 4.37 0 4.65 NA NA 38.57
1980078 1980 03 18 120.36 11.68 2.69 0 3.14 NA NA 43.8
1980079 1980 03 19 56.54 12.33 3.13 1.86 4.33 NA NA 63.86
1980080 1980 03 20 64.04 15.32 9.2 1.47 5.44 NA NA 79.74
1980081 1980 03 21 96.59 12.67 6.73 0 4.94 NA NA 57.56
1980082 1980 03 22 70.49 11.37 5.61 0.7 4.33 NA NA 62.95
1980083 1980 03 23 107.33 10.7 4.06 0 3.44 NA NA 43.82
1980084 1980 03 24 68.57 9.66 2.13 0.74 2.33 NA NA 64.75
1980085 1980 03 25 105.17 11.66 0.5 0 1.54 NA NA 48.98
1980086 1980 03 26 167.65 14.52 1.76 0 1.38 NA NA 37.86
1980087 1980 03 27 58.45 12.11 3.35 0 2.32 NA NA 47.48
1980088 1980 03 28 196.48 10.83 1.02 0 3.4 NA NA 38.06
1980089 1980 03 29 141.2 12.28 2.6 0 4.16 NA NA 55.7
1980090 1980 03 30 106.87 11.81 4.04 1 3.79 NA NA 69.04
1980091 1980 03 31 149.63 15.51 6.78 0 2.89 NA NA 57.93
1980092 1980 04 01 121.33 13.02 4.07 0.74 3.36 NA NA 59.37
1980093 1980 04 02 126.59 11.92 2.29 1.05 0.94 NA NA 53.28
1980094 1980 04 03 110.66 10.62 1.86 4.45 2.89 NA NA 59.26
1980095 1980 04 04 170.02 7.39 -0.33 0 3.36 NA NA 38.63
1980096 1980 04 05 143.24 9.13 1.31 0 2.53 NA NA 47.2
1980097 1980 04 06 88.54 12.55 2.62 5.25 3.43 NA NA 63.76
1980098 1980 04 07 58.52 10.33 6.08 8.2 3.49 NA NA 82.77
1980099 1980 04 08 184.22 13.98 5.34 3.1 1.97 NA NA 53.26
1980100 1980 04 09 174.57 14.66 3.01 0 1.01 NA NA 41.8
1980101 1980 04 10 168.19 14.75 1.99 0 1.07 NA NA 42.42
1980102 1980 04 11 174.46 14.52 1.39 0 1.4 NA NA 44.84
1980103 1980 04 12 217.09 16.16 4.85 0 3.2 NA NA 44.64
1980104 1980 04 13 87.02 10.61 6.02 2.42 3.87 NA NA 76.64
1980105 1980 04 14 48.92 11.53 7.84 16.78 3.53 NA NA 84.91
1980106 1980 04 15 98.67 17.27 8.16 0 2.1 NA NA 69.38
1980107 1980 04 16 127.64 17.18 7.42 0 1.4 NA NA 54
1980108 1980 04 17 144.11 17.12 7.6 0 2.29 NA NA 64.21
1980109 1980 04 18 107.81 19.34 8.9 3.94 2.8 NA NA 62.78
1980110 1980 04 19 120.93 16.18 7.79 0 2.2 NA NA 57.7
1980111 1980 04 20 192.87 16.61 4.14 0 1.04 NA NA 41.09
1980112 1980 04 21 159.57 16.93 2.72 0 0.85 NA NA 45.61
1980113 1980 04 22 247.42 13.28 4.17 0 4.9 NA NA 44.59
1980114 1980 04 23 176.45 11.47 4.01 0 4.22 NA NA 32.72
1980115 1980 04 24 163.43 10.19 2 0 2.49 NA NA 40.76
1980116 1980 04 25 134.05 10.11 2.75 0 2.79 NA NA 55.27
1980117 1980 04 26 173.98 10.73 1.75 0.67 2.19 NA NA 46.13
1980118 1980 04 27 105.31 9.47 5.18 2.4 3.3 NA NA 77.17
1980119 1980 04 28 171.9 12.47 3.66 0 2.2 NA NA 48.41
1980120 1980 04 29 106.58 15.33 5.32 0.56 2.36 NA NA 59.66
1980121 1980 04 30 160.62 16.87 7.95 0 2.2 NA NA 52.71
1980122 1980 05 01 131.06 20.91 8.37 0 1.2 NA NA 49.63
1980123 1980 05 02 272.35 23.09 6.82 0 1.92 NA NA 38.03
1980124 1980 05 03 281.4 24.14 8.43 0 1.84 NA NA 37.38
1980125 1980 05 04 253.32 23.4 9.25 0 2.45 NA NA 40.56
1980126 1980 05 05 235.88 20.16 6.75 0 3.4 NA NA 39.93
1980127 1980 05 06 191.8 14.39 6.49 0 2.99 NA NA 43.59
1980128 1980 05 07 248.27 13.8 4.08 0 1.68 NA NA 35.7
1980129 1980 05 08 160.77 14.28 3.69 1.12 1.39 NA NA 47.02
