*WEATHER DATA - Station:Orleans  - BADJAM DATA - BADJer: ECCC - Method: QDM - Source model: MPICCLM
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Orleans  47.83 1.91 116 11.67 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 22.03 7.95 -0.71 14.08 5.61 NA NA 62
1980002 1980 01 02 43.02 7.58 1.28 10.47 2.11 NA NA 82.28
1980003 1980 01 03 18.96 11.98 0.13 0 4.73 NA NA 57.97
1980004 1980 01 04 49.03 11.43 6.04 0 2.65 NA NA 83.75
1980005 1980 01 05 48.54 10.9 5.02 0 1.35 NA NA 61
1980006 1980 01 06 43.87 10.89 4.83 0 0.99 NA NA 67.38
1980007 1980 01 07 20.05 10.82 5.33 0 2.49 NA NA 79.45
1980008 1980 01 08 44.35 13.8 7.26 0 3.57 NA NA 69.91
1980009 1980 01 09 18.96 14.31 8.13 0 5.08 NA NA 82
1980010 1980 01 10 44.91 11.98 6.25 3.03 2.79 NA NA 75.76
1980011 1980 01 11 22.76 10.95 6.43 2.01 2.86 NA NA 86.15
1980012 1980 01 12 25.2 10.86 7.18 0 4.92 NA NA 88.86
1980013 1980 01 13 27.1 10.67 5.37 0.36 3.48 NA NA 82.06
1980014 1980 01 14 22.42 10.23 1.49 0 3.57 NA NA 85.07
1980015 1980 01 15 58.21 3.66 -2.26 0 2.28 NA NA 78.12
1980016 1980 01 16 29.01 4.92 -2.26 0 0.78 NA NA 50.52
1980017 1980 01 17 30.64 10.4 4.57 0 3.34 NA NA 76.28
1980018 1980 01 18 32.89 6.37 -1.29 0 4.83 NA NA 68
1980019 1980 01 19 54.71 1.48 -5.56 1.29 2.28 NA NA 77.27
1980020 1980 01 20 78.93 -2.73 -7.04 0 2.48 NA NA 52.27
1980021 1980 01 21 56.37 -0.01 -9.94 0.28 2.28 NA NA 53.77
1980022 1980 01 22 54.29 0.4 -6.66 0 1.74 NA NA 50.02
1980023 1980 01 23 82.15 -0.62 -9.79 0 2.94 NA NA 43.91
1980024 1980 01 24 68.47 -0.85 -10.24 0 1.45 NA NA 44.23
1980025 1980 01 25 70.9 -1.51 -9.55 0 0.82 NA NA 44.46
1980026 1980 01 26 86.07 -5.26 -11.24 0 2.63 NA NA 51.08
1980027 1980 01 27 90.01 -8.25 -12.53 0 3.96 NA NA 63.87
1980028 1980 01 28 56.23 1.06 -7.1 0 3.06 NA NA 52.78
1980029 1980 01 29 86.18 1.73 -6.69 0 2.33 NA NA 47.19
1980030 1980 01 30 43.76 3.32 -4.48 1.89 3.04 NA NA 80.14
1980031 1980 01 31 17.52 11.41 1.33 5.13 2.52 NA NA 58.24
1980032 1980 02 01 25.65 11.17 8.46 3.78 5.34 NA NA 92.17
1980033 1980 02 02 24.1 12.7 8.85 12.1 2.97 NA NA 89.93
1980034 1980 02 03 90.75 12.32 7.19 4.55 5.3 NA NA 71.24
1980035 1980 02 04 23.79 9.27 7.36 5.57 3.69 NA NA 91.22
1980036 1980 02 05 31.5 8.42 5.26 0 2.4 NA NA 90.4
1980037 1980 02 06 49.25 10.78 3.91 2.02 3.92 NA NA 78.54
1980038 1980 02 07 53.23 11.22 3.2 7.97 3.92 NA NA 63.87
1980039 1980 02 08 86.26 10.86 2.65 0.85 4.77 NA NA 62.15
1980040 1980 02 09 80.87 9.99 4.12 4.62 5.14 NA NA 77.16
1980041 1980 02 10 72.99 8.82 2.03 1.05 6.38 NA NA 51.98
1980042 1980 02 11 60.28 10.91 3.99 1.64 6.24 NA NA 58.43
1980043 1980 02 12 47.52 11.16 4.34 0.9 6.92 NA NA 58.74
1980044 1980 02 13 65.35 7.63 0.27 0.89 6.98 NA NA 60.84
1980045 1980 02 14 34.97 10.79 -0.03 9.2 3.65 NA NA 56.61
1980046 1980 02 15 68.89 8.91 3.1 1.2 6.83 NA NA 69.59
1980047 1980 02 16 112.58 8.35 -0.58 0 3.5 NA NA 45.64
1980048 1980 02 17 117.44 6.26 -1.74 0 3.58 NA NA 46.09
1980049 1980 02 18 122.25 6.38 -2.67 0 2.33 NA NA 46.8
1980050 1980 02 19 116.37 6.33 -0.67 0 0.4 NA NA 47.73
1980051 1980 02 20 115.99 4.24 -2.71 0.33 2.88 NA NA 53.16
1980052 1980 02 21 85.61 8.77 0.27 0 4.01 NA NA 57.66
1980053 1980 02 22 37.38 10.64 2.91 9.22 5.61 NA NA 74
1980054 1980 02 23 101.03 11.83 0.85 0 2.66 NA NA 43.79
1980055 1980 02 24 132.2 16.26 3.31 0 3.44 NA NA 43.33
1980056 1980 02 25 119.48 16.36 3.22 0 2.98 NA NA 50.09
1980057 1980 02 26 131.97 17.24 6.67 0 2.29 NA NA 53.35
1980058 1980 02 27 143.1 17.25 4.24 0 3.08 NA NA 40.8
1980059 1980 02 28 149.46 17.12 3.19 0 2.67 NA NA 37.68
1980060 1980 02 29 59.06 10.7 4.42 0 2.78 NA NA 73.17
1980061 1980 03 01 80.85 9.26 1.75 5.4 4.97 NA NA 60.39
1980062 1980 03 02 51.12 5.57 0.76 0 4.25 NA NA 74.3
1980063 1980 03 03 162.33 8.61 -1.89 0 1.95 NA NA 41.93
1980064 1980 03 04 82.54 11.49 1.09 0.91 2.59 NA NA 48.74
1980065 1980 03 05 98.27 11.95 5.24 0 2.08 NA NA 54.48
1980066 1980 03 06 167.31 10.47 0.77 0 2.67 NA NA 42.68
1980067 1980 03 07 171.69 12.64 1.89 0 0.39 NA NA 30.15
