*WEATHER DATA - Station:Rothamsted - BADJAM DATA - BADJer: ECCC - Method: QDM - Source model: MPIRCA4
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Rothamsted 51.82 -0.37 105 10.14 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 14.32 3.19 -2.08 1.83 2.48 NA NA 87.83
1980002 1980 01 02 20.89 4.73 -0.27 0.55 3.85 NA NA 84.25
1980003 1980 01 03 14.04 7.86 -0.35 11.61 3.35 NA NA 78.01
1980004 1980 01 04 34.01 12.03 7.29 4.26 5.01 NA NA 82.92
1980005 1980 01 05 39.76 12.43 8.36 0 5.1 NA NA 80
1980006 1980 01 06 37.42 10.41 5.16 0 3.36 NA NA 86.57
1980007 1980 01 07 39.76 13.91 8.17 0 5.52 NA NA 76.52
1980008 1980 01 08 23.38 11.91 9.28 0 6.18 NA NA 80.5
1980009 1980 01 09 8.9 11.67 8.97 1.01 5.62 NA NA 88
1980010 1980 01 10 24.63 9.18 3.79 3.33 3.14 NA NA 77.94
1980011 1980 01 11 26.79 10.07 6.06 0 4.69 NA NA 80.11
1980012 1980 01 12 14.64 8.82 5.06 0.16 3.55 NA NA 85.36
1980013 1980 01 13 20.82 11.26 6.73 4.89 3.81 NA NA 81.75
1980014 1980 01 14 17.26 9.81 6.14 2.3 2.3 NA NA 88.49
1980015 1980 01 15 8.53 11.78 8.66 8.69 3.6 NA NA 89.86
1980016 1980 01 16 8.47 10.97 7.57 5.76 1.62 NA NA 88.49
1980017 1980 01 17 15.02 10.25 6.68 7.14 4.41 NA NA 86.76
1980018 1980 01 18 29.82 7.09 0.45 0 3.52 NA NA 49.34
1980019 1980 01 19 22.35 3.17 -1.13 2.72 1.69 NA NA 87.4
1980020 1980 01 20 25.44 2.65 -1.33 0 1.7 NA NA 87.24
1980021 1980 01 21 38.79 1.9 -2.45 0 1.62 NA NA 85.32
1980022 1980 01 22 31.8 3.27 -1.49 0 0.9 NA NA 86.88
1980023 1980 01 23 30.42 3.42 -1.4 0 0.7 NA NA 86.92
1980024 1980 01 24 43.96 1.36 -3.32 0 1 NA NA 85.23
1980025 1980 01 25 35.18 0.9 -3.98 0 1.29 NA NA 84.95
1980026 1980 01 26 41.67 2.55 -2.49 0 2.44 NA NA 85.04
1980027 1980 01 27 37.82 3.02 -2.01 0 3.26 NA NA 85.71
1980028 1980 01 28 30.78 2.59 -2.7 0 1.69 NA NA 88.07
1980029 1980 01 29 54.61 2.92 -4.05 0 1.91 NA NA 65.44
1980030 1980 01 30 51.25 6.47 -0.25 0 4.85 NA NA 75.57
1980031 1980 01 31 25.07 11.64 6.77 1.19 6.11 NA NA 86.54
1980032 1980 02 01 21.29 10.62 6.78 0.83 5.99 NA NA 86.98
1980033 1980 02 02 15.09 11.64 10.15 12.31 6.83 NA NA 88.06
1980034 1980 02 03 51.96 11.76 6.95 5.69 5.23 NA NA 71.05
