*WEATHER DATA - Station:Krasnodar - BADJAM DATA - BADJer: ECCC - Method: QDM - Source model: MPIRCA4
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Krasnodar 45.02 38.95 45 12.3 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 62.95 13.24 5.52 0 4.28 NA NA 60.08
1980002 1980 01 02 67.68 12.2 4.54 0 2.82 NA NA 59.32
1980003 1980 01 03 67.9 10.51 1.53 0 2.19 NA NA 61.48
1980004 1980 01 04 71.24 7.18 -0.33 0 1.39 NA NA 57.88
1980005 1980 01 05 63 2.3 -2.25 0 2.87 NA NA 65.27
1980006 1980 01 06 35.7 1.96 -1.77 0.24 4.09 NA NA 71.3
1980007 1980 01 07 31.9 1.26 -1.42 0.88 2.35 NA NA 83.89
1980008 1980 01 08 34.34 2.94 -1.71 0 0.58 NA NA 75.29
1980009 1980 01 09 79.18 6.52 -2.21 0 3.24 NA NA 50.49
1980010 1980 01 10 39.95 10.22 3.21 1.88 3.3 NA NA 52.51
1980011 1980 01 11 52.43 7.82 3.92 0 4.18 NA NA 54.4
1980012 1980 01 12 29.58 7.75 1.18 10 3.7 NA NA 61.77
1980013 1980 01 13 30.23 3.8 0.03 6.04 1.58 NA NA 79.63
1980014 1980 01 14 23.96 4.77 1.18 2.74 2.89 NA NA 76.99
1980015 1980 01 15 41.64 4.72 -0.97 1.67 2.77 NA NA 62.13
1980016 1980 01 16 30.08 3.08 -2.05 3.66 1.79 NA NA 81.39
1980017 1980 01 17 51.27 3.07 -2.89 0 1.1 NA NA 64.82
1980018 1980 01 18 68.51 8.7 -0.65 0 4.6 NA NA 40.02
1980019 1980 01 19 60.75 5.82 0.7 0 2.32 NA NA 52.92
1980020 1980 01 20 37.47 4.98 -0.15 2.2 4.58 NA NA 51
1980021 1980 01 21 65.95 3.95 -2.6 0 2.4 NA NA 55.51
1980022 1980 01 22 46.55 3.15 -2.75 0 1.54 NA NA 62.36
1980023 1980 01 23 64.99 2.61 -3.22 0 2.45 NA NA 58.19
1980024 1980 01 24 72.27 1.79 -3.28 0 6.15 NA NA 41.76
1980025 1980 01 25 74.24 2.1 -3.32 0 7.64 NA NA 34.67
1980026 1980 01 26 73.53 0.27 -5.72 0 7.47 NA NA 37
1980027 1980 01 27 51.51 -2.53 -7.15 0 7.5 NA NA 44.37
1980028 1980 01 28 62.77 -3.7 -7.87 0 6.99 NA NA 35.27
1980029 1980 01 29 82.78 -4.17 -8.86 0 7.14 NA NA 27.97
1980030 1980 01 30 85.99 -4.33 -10.11 0 6.66 NA NA 32.78
1980031 1980 01 31 92.1 -2.67 -10.07 0 5.28 NA NA 24.93
1980032 1980 02 01 96.96 -2.58 -9.33 0 4.91 NA NA 24.92
1980033 1980 02 02 98.93 -2.5 -10.1 0 3.46 NA NA 28.2
1980034 1980 02 03 87.17 -1.19 -10.42 0 0.49 NA NA 36.28
1980035 1980 02 04 51.06 0.58 -6.08 0 0.37 NA NA 40.06
1980036 1980 02 05 30.69 -0.94 -7.19 1.52 0.34 NA NA 79.8
1980037 1980 02 06 88.27 0.67 -7.51 0 0.22 NA NA 61.56
1980038 1980 02 07 97.94 2.76 -7.38 0 0.68 NA NA 51.28
1980039 1980 02 08 88.67 0.1 -7.3 0 1.4 NA NA 65.99
1980040 1980 02 09 113.26 -1.04 -7.36 0 2.31 NA NA 40.12
1980041 1980 02 10 101.2 0.1 -7.42 0 2.31 NA NA 25.24
1980042 1980 02 11 103.74 0.81 -7.48 0 3 NA NA 34.34
1980043 1980 02 12 116.78 0.55 -7.45 0 3.71 NA NA 26.99
1980044 1980 02 13 109.08 -1.39 -7.48 0 4.83 NA NA 13.03
1980045 1980 02 14 113.67 0.92 -7.18 0 3.15 NA NA 28.39
1980046 1980 02 15 47.61 1.33 -3.68 4.09 2.29 NA NA 76.97
1980047 1980 02 16 80.67 1.14 -5.92 0 1.2 NA NA 69.74
1980048 1980 02 17 110.22 0.52 -6.42 0 2.84 NA NA 52.74
1980049 1980 02 18 55.84 3.97 -6.46 2.11 3.21 NA NA 51.75
1980050 1980 02 19 115.67 9.41 -0.14 0 2.09 NA NA 55.33
1980051 1980 02 20 103.56 12.8 0.41 0 3.38 NA NA 46.24
1980052 1980 02 21 116.83 14.81 0.02 0 2.39 NA NA 35.26
1980053 1980 02 22 132.81 7.84 -0.2 0 5.69 NA NA 31.73
1980054 1980 02 23 133.78 7.03 -1.1 0 6.28 NA NA 28.94
1980055 1980 02 24 126.39 2.42 -6.01 0 8.25 NA NA 24.92
1980056 1980 02 25 117.63 -0.61 -6.49 0 8.03 NA NA 24.84
1980057 1980 02 26 110.2 1.42 -6.38 0 6.92 NA NA 27.38
1980058 1980 02 27 121.09 3.34 -3.35 0 6.35 NA NA 28.52
1980059 1980 02 28 117.03 3.31 -4.17 0 4.22 NA NA 31.74
1980060 1980 02 29 123.1 3.2 -4.4 0 2.19 NA NA 36.29
1980061 1980 03 01 57.64 7.59 -1.89 0.88 2.86 NA NA 55.09
1980062 1980 03 02 77.87 10.26 3.15 0 4.2 NA NA 58.76
1980063 1980 03 03 139.18 13.21 3.64 0 3.6 NA NA 45.55
1980064 1980 03 04 141.22 13.69 0.94 0 1.59 NA NA 38.5
1980065 1980 03 05 113.08 13.65 0.65 0 2.42 NA NA 36.38
1980066 1980 03 06 69.82 10.97 3.15 5.88 1.63 NA NA 57.75
1980067 1980 03 07 55.83 9.72 3.17 0 1.76 NA NA 66.01
1980068 1980 03 08 134.53 7.3 0 0 5.51 NA NA 38.84
1980069 1980 03 09 137.56 2.9 -2.81 0 7.08 NA NA 32.01
1980070 1980 03 10 68 -0.68 -3.86 0 7.7 NA NA 40.15
1980071 1980 03 11 151.2 3.82 -3.75 3.39 6.33 NA NA 34.13
1980072 1980 03 12 63.36 3.76 -0.51 2.02 2.91 NA NA 59.11
1980073 1980 03 13 70.7 3.79 -0.07 0 2.57 NA NA 56.49
1980074 1980 03 14 115.23 6.24 -0.33 0 2.96 NA NA 40.95
1980075 1980 03 15 165.01 6.57 -2.21 0 2.92 NA NA 29.09
1980076 1980 03 16 159.18 7.74 -2.68 0 1.74 NA NA 35.01
1980077 1980 03 17 166.88 9.22 -1.99 0 1.07 NA NA 38.59
