*WEATHER DATA - Station:Ventas Huelma - BADJAM DATA - BADJer: ECCC - Method: QDM - Source model: MPIREMO09
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Ventas Huelma 37.16 -3.83 740 16.32 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 87.72 11.5 0.05 0 1.48 NA NA 48.35
1980002 1980 01 02 110.67 13.39 0.15 0 1.66 NA NA 47.18
1980003 1980 01 03 119.8 16.06 3.4 0 1.64 NA NA 40.44
1980004 1980 01 04 114.76 17.34 4.23 0 1.86 NA NA 33.87
1980005 1980 01 05 122.4 18.56 5.73 0 1.58 NA NA 29.03
1980006 1980 01 06 115.06 16.6 2.99 0 1.29 NA NA 24.61
1980007 1980 01 07 123.33 16.37 5.06 0 2.28 NA NA 28.42
1980008 1980 01 08 114.61 17.24 4.28 0 2.22 NA NA 26.99
1980009 1980 01 09 129.09 16.39 5.39 0 3.05 NA NA 25.52
1980010 1980 01 10 130.22 16.59 4.58 0 2.53 NA NA 21.41
1980011 1980 01 11 122.41 15.86 4.12 0 2.35 NA NA 24.7
1980012 1980 01 12 128.79 16.45 3.94 0 2.11 NA NA 25.78
1980013 1980 01 13 132.03 16.4 3.76 0 2.17 NA NA 19.79
1980014 1980 01 14 109 14.53 3.81 0 2.14 NA NA 29.2
1980015 1980 01 15 131.18 14.82 2.54 0 1.58 NA NA 34.62
1980016 1980 01 16 132.05 13.23 1.1 0 1.37 NA NA 31.98
1980017 1980 01 17 134.79 14.84 0.9 0 1.93 NA NA 25.16
1980018 1980 01 18 134.51 15.87 2.37 0 2.37 NA NA 23.74
1980019 1980 01 19 138.88 14.69 0.84 0 0.92 NA NA 24.29
1980020 1980 01 20 122.2 14.81 1.2 0 1.5 NA NA 30.46
1980021 1980 01 21 130.51 15.28 2.62 0 1.07 NA NA 30.01
1980022 1980 01 22 139.98 15.37 0.88 0 0.42 NA NA 32.08
1980023 1980 01 23 119.06 14.51 1.3 0 1.58 NA NA 33.62
1980024 1980 01 24 42.76 14.13 6.31 2.57 3.89 NA NA 78.34
1980025 1980 01 25 68.67 13.85 9.31 0.58 3.93 NA NA 78.47
1980026 1980 01 26 73.25 13.27 4.21 7.76 3.03 NA NA 57.88
1980027 1980 01 27 57.89 6.95 2.1 0.76 3.89 NA NA 67.97
1980028 1980 01 28 150.26 11.68 0.51 0 3.3 NA NA 33.53
1980029 1980 01 29 82.18 7.2 -0.13 0 3.35 NA NA 52.33
1980030 1980 01 30 105.7 12.21 1.85 0 1.87 NA NA 54.36
1980031 1980 01 31 110.37 14.96 6.01 0 2.21 NA NA 53.78
1980032 1980 02 01 48.32 14.17 7.52 1.72 2.84 NA NA 78.44
1980033 1980 02 02 45.01 14.98 10.19 3.67 3.35 NA NA 92.5
1980034 1980 02 03 15.03 15.96 10.41 14.05 4.5 NA NA 78.16
1980035 1980 02 04 79.93 14.76 6.55 2.24 4.77 NA NA 53.83
1980036 1980 02 05 134.99 12.9 4.57 0.28 4.19 NA NA 48.46
1980037 1980 02 06 52.51 15.12 7.84 4.55 3.95 NA NA 78.16
1980038 1980 02 07 130.72 14.55 4.25 9.66 4.52 NA NA 47.96
1980039 1980 02 08 119.35 12.87 2.31 0 2.16 NA NA 50.63
1980040 1980 02 09 133.35 16.25 7.26 1.52 3.05 NA NA 51.74
1980041 1980 02 10 43.1 15.31 7.14 2.5 4.21 NA NA 72.66
1980042 1980 02 11 93.84 15.71 6.02 0 2.05 NA NA 58.55
1980043 1980 02 12 152.39 18.41 8.92 0 2.45 NA NA 49.45
1980044 1980 02 13 111.66 15.61 6.57 0 1.56 NA NA 45.34
1980045 1980 02 14 146.18 19.5 8.53 0 2.56 NA NA 32.4
1980046 1980 02 15 161.63 19.04 10.21 3 3.02 NA NA 40.87
1980047 1980 02 16 168.63 15.7 7.89 0.49 3.24 NA NA 47.37
1980048 1980 02 17 95.05 12.78 5.73 1.97 4.3 NA NA 67.52
1980049 1980 02 18 191.93 9.44 1.88 0 3.98 NA NA 36.19
1980050 1980 02 19 124.67 7.2 0.2 0 2.05 NA NA 34.9
1980051 1980 02 20 23.6 13.1 2.63 13.17 2.47 NA NA 62.89
1980052 1980 02 21 180.84 13.22 3.64 0 3.05 NA NA 44.09
1980053 1980 02 22 180.38 16.29 1.49 0 1.07 NA NA 31.06
1980054 1980 02 23 153.04 16.26 6.13 0 1.56 NA NA 33.4
1980055 1980 02 24 193 17.9 5.29 0 1.38 NA NA 29.52
