*WEATHER DATA - Station:Thessaloniki - BADJAM DATA - BADJer: ECCC - Method: QDM - Source model: NCCNor
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Thessaloniki 41.08 22.15 631 9.36 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 81.45 1.93 -5.8 0 1.69 NA NA 61.88
1980002 1980 01 02 16.63 0.95 -5.96 27.45 1.49 NA NA 78.42
1980003 1980 01 03 33.2 5.39 2.08 7.91 2.87 NA NA 85.88
1980004 1980 01 04 29.7 5.2 3.14 0 0.76 NA NA 86.14
1980005 1980 01 05 53.5 7.34 -1.73 0 0.35 NA NA 78.51
1980006 1980 01 06 96.74 6.29 -3.03 0 0.49 NA NA 61.19
1980007 1980 01 07 107.46 5.12 -3.49 0 0.58 NA NA 59.31
1980008 1980 01 08 88.68 4.46 -3.41 0 1.07 NA NA 61.25
1980009 1980 01 09 74.32 4.14 -4.87 0 0.42 NA NA 63.83
1980010 1980 01 10 109.43 3.32 -5.72 0 0.37 NA NA 61.9
1980011 1980 01 11 91.76 2.3 -5.79 0 0.33 NA NA 65.86
1980012 1980 01 12 86.36 3.49 -4.64 0 0.55 NA NA 63.71
1980013 1980 01 13 107.02 4.48 -3.93 6.73 1.25 NA NA 65.33
1980014 1980 01 14 60.06 1.93 -4.29 0.46 1.77 NA NA 74.41
1980015 1980 01 15 110.49 0.54 -5.48 0 1.21 NA NA 57.97
1980016 1980 01 16 97.3 1.32 -6.42 0 0.12 NA NA 63.5
1980017 1980 01 17 60.86 3.51 -3.74 0 0.66 NA NA 61.3
1980018 1980 01 18 42.74 2.64 -3.18 6.75 1.84 NA NA 71.13
1980019 1980 01 19 105.7 1.61 -5.2 0 1.57 NA NA 54.87
1980020 1980 01 20 88.88 7.78 -1.98 0 2.24 NA NA 55.33
1980021 1980 01 21 101.39 11.38 1.48 0 1.75 NA NA 55.1
1980022 1980 01 22 106.09 9.33 -1.11 0 1.3 NA NA 55.35
1980023 1980 01 23 95.28 6.93 -2.11 0 1.32 NA NA 55.19
1980024 1980 01 24 106.92 5.32 -3.31 0 1.24 NA NA 52.83
1980025 1980 01 25 109.88 8.93 -1.88 0 2.5 NA NA 50.35
1980026 1980 01 26 72.95 9.5 -0.87 0 3.38 NA NA 52.52
1980027 1980 01 27 119.38 0.02 -5.58 0 2.45 NA NA 36.98
1980028 1980 01 28 104.5 -0.64 -7.21 0 1.1 NA NA 50.47
1980029 1980 01 29 122.05 -1.91 -9.94 0 3.56 NA NA 36.64
1980030 1980 01 30 118.4 4.9 -2.1 0 3.37 NA NA 55.02
1980031 1980 01 31 108.93 7.29 1.22 0 3.59 NA NA 56.86
1980032 1980 02 01 94.46 1.82 -5.61 0 3.59 NA NA 52.51
1980033 1980 02 02 129.49 -2.61 -8.06 0 1.68 NA NA 25.02
1980034 1980 02 03 112.49 -3.69 -10.2 0 2.73 NA NA 32.25
1980035 1980 02 04 53.63 -0.64 -6.74 0 1.67 NA NA 70.56
1980036 1980 02 05 80.11 4.4 -2.1 0 2.62 NA NA 66.17
1980037 1980 02 06 74.65 1.39 -3.69 0 2.99 NA NA 68.74
1980038 1980 02 07 127.86 -2.24 -7.81 0 3.26 NA NA 44.13
1980039 1980 02 08 120.83 -1.35 -8.75 0 1.95 NA NA 36.29
1980040 1980 02 09 83.13 5.18 -4.35 1.84 2.61 NA NA 57.49
1980041 1980 02 10 133.83 2.73 -2.25 3.13 3.34 NA NA 45.64
1980042 1980 02 11 109.79 0.67 -5.22 0 2.55 NA NA 50.3
1980043 1980 02 12 143.3 -2.31 -8.15 0 1.57 NA NA 37.49
1980044 1980 02 13 147.11 -5.37 -10.67 0 2.25 NA NA 23.66
1980045 1980 02 14 143.28 -8.24 -14.38 0 1.87 NA NA 23.96
1980046 1980 02 15 151.86 -3.57 -15.49 0 1.57 NA NA 23.7
1980047 1980 02 16 59.44 5.72 -4.06 1.3 2.56 NA NA 62.46
1980048 1980 02 17 64.02 6.53 -0.89 4.91 1.67 NA NA 78.14
1980049 1980 02 18 117.28 4.38 -3.78 1.88 2.56 NA NA 64.83
1980050 1980 02 19 35.29 1.98 0.01 3.14 3.49 NA NA 84.71
1980051 1980 02 20 150.67 7.31 -1.55 0 1.46 NA NA 56.75
1980052 1980 02 21 124.35 6.22 -3.25 0 0.4 NA NA 57.63
1980053 1980 02 22 130.63 7.96 -3.97 0 1.04 NA NA 57.55
1980054 1980 02 23 46.94 5.1 0.22 0 2.46 NA NA 82
1980055 1980 02 24 57.55 4.58 -0.09 0 1.79 NA NA 76.19
1980056 1980 02 25 110.58 5.27 0.58 0 1.19 NA NA 67.04
1980057 1980 02 26 118.45 3.63 -4.06 0 0.8 NA NA 60.31
1980058 1980 02 27 153.27 3.39 -5.29 0 0.65 NA NA 50.95
1980059 1980 02 28 138.24 4.51 -5.6 0 0.7 NA NA 59.98
1980060 1980 02 29 0 0 0 0 0 NA NA 0
1980061 1980 03 01 163.66 7.16 -3.64 0 1.39 NA NA 48.55
1980062 1980 03 02 178.54 4.68 -5.43 0 0.4 NA NA 44.17
1980063 1980 03 03 132.45 5.75 -3.05 0 0.61 NA NA 61.86
1980064 1980 03 04 49.11 6.47 1.26 8.4 1.49 NA NA 74.72
1980065 1980 03 05 136.69 5.7 0.5 1.71 1.41 NA NA 71.95
1980066 1980 03 06 89.01 8.08 1.14 8.37 1.1 NA NA 73.67
1980067 1980 03 07 69.57 6.35 0.24 0 1.59 NA NA 61.06
1980068 1980 03 08 143.29 8.15 -1.32 0 1.72 NA NA 53.93
1980069 1980 03 09 125.99 11.23 2.28 1.39 2.01 NA NA 51.57
1980070 1980 03 10 102.18 13.39 2.38 8.03 3.79 NA NA 55.25
1980071 1980 03 11 204.08 10.71 0.14 0 1.61 NA NA 38.32
1980072 1980 03 12 211.03 14.91 -0.26 0 2.33 NA NA 36.77
1980073 1980 03 13 184.29 16.07 4.73 0 3.43 NA NA 49.07
1980074 1980 03 14 138.13 14.98 6.79 11.1 2.68 NA NA 62.53
1980075 1980 03 15 56.31 11.3 4.64 22.4 2.01 NA NA 74.56
1980076 1980 03 16 88.18 5.33 0.73 4.34 1.81 NA NA 68.83
1980077 1980 03 17 56.31 4.7 -0.5 3.41 2.5 NA NA 65.14
1980078 1980 03 18 107.75 6.27 -2.18 1.64 0.96 NA NA 63.13
1980079 1980 03 19 176 8.21 -1.78 0 1.53 NA NA 48.74
1980080 1980 03 20 160.22 9.12 -3.33 0 0.73 NA NA 48.98
1980081 1980 03 21 97.84 8.16 -1 2.63 1.4 NA NA 61.62
1980082 1980 03 22 97.01 8.33 3.15 6.52 1.83 NA NA 68.98
1980083 1980 03 23 183.6 9.73 1.83 0 1.92 NA NA 46.62
1980084 1980 03 24 184.52 16.59 3.85 0 3.13 NA NA 39.62
1980085 1980 03 25 161.05 12.59 4.33 0 2.41 NA NA 51.03
1980086 1980 03 26 172.53 7.02 1.47 0 4.03 NA NA 39.99
1980087 1980 03 27 193.54 9.4 -0.89 0 2.02 NA NA 33.5
1980088 1980 03 28 58.94 10.14 3.56 4.92 2.12 NA NA 69.45
1980089 1980 03 29 104.11 3.64 -1.19 4.85 2.23 NA NA 65.54
1980090 1980 03 30 110.19 2.35 -3.56 0.79 2.4 NA NA 59.04
1980091 1980 03 31 53.44 2.72 -0.36 5.08 1.02 NA NA 69.51
1980092 1980 04 01 56.63 3.39 -0.44 3.37 1.42 NA NA 75.59
1980093 1980 04 02 197.04 9.89 -1.81 0 2.02 NA NA 44.44
1980094 1980 04 03 231.84 14.56 2.68 0 1.52 NA NA 41.7
1980095 1980 04 04 89 10.4 3.08 1.13 1.72 NA NA 63.33
1980096 1980 04 05 174.38 16.03 4.01 1.79 2.45 NA NA 43.9
1980097 1980 04 06 263.63 14.26 2.71 0 2.63 NA NA 40.26
1980098 1980 04 07 82.94 10.93 1.1 5.14 1.08 NA NA 65.31
1980099 1980 04 08 171.13 16.04 5.21 7.16 0.91 NA NA 60.57
1980100 1980 04 09 201.89 18.55 10.18 2.13 2.52 NA NA 54.32
1980101 1980 04 10 70.71 14.62 6.09 8.24 1.42 NA NA 69.32
1980102 1980 04 11 89.22 10.32 5.51 8.74 1.64 NA NA 71.47
1980103 1980 04 12 77.39 9.52 7.32 12.05 0.81 NA NA 77.84
1980104 1980 04 13 109.85 12.31 6.96 8.3 1.52 NA NA 64.97
1980105 1980 04 14 70.77 9.78 5.66 8.29 1.81 NA NA 71.08
1980106 1980 04 15 113.63 11.55 5.45 0.11 2.37 NA NA 61.7
1980107 1980 04 16 138.52 12.79 6.16 0 1.72 NA NA 57.71
1980108 1980 04 17 156.85 13.25 3.79 0 0.72 NA NA 54.42
1980109 1980 04 18 163.37 11.61 3.05 4.21 1.71 NA NA 60.74
1980110 1980 04 19 138.45 11.74 4 0.52 1.12 NA NA 57.72
1980111 1980 04 20 208.97 14.29 3.29 2.04 0.9 NA NA 46
1980112 1980 04 21 201.96 13.77 5.09 0 1.83 NA NA 50.64
1980113 1980 04 22 227.27 15.26 5.15 0 1.91 NA NA 45.8
1980114 1980 04 23 210.61 10.86 3.37 0 2.49 NA NA 50.3
1980115 1980 04 24 195.98 13.44 1.77 0 1.51 NA NA 46.08
1980116 1980 04 25 215.8 17.26 5.4 1.33 1.31 NA NA 42.87
1980117 1980 04 26 61.31 11.93 6.24 6.74 2.32 NA NA 70.13
1980118 1980 04 27 89.59 9.38 4.8 8.32 1.51 NA NA 70.43
1980119 1980 04 28 153.1 15.81 5.24 0 1.83 NA NA 53.17
1980120 1980 04 29 136.69 16.41 3.88 0 0.6 NA NA 53.68
1980121 1980 04 30 260.33 18.99 5.66 0 0.7 NA NA 39.36
1980122 1980 05 01 262.9 19.49 7.73 0 1.79 NA NA 36.83
1980123 1980 05 02 131.69 16.65 7.22 2.32 1.75 NA NA 52.87
1980124 1980 05 03 184.44 15 4.34 2.21 0.57 NA NA 52.44
1980125 1980 05 04 81.55 11.55 7.39 11.81 2.26 NA NA 69.36
1980126 1980 05 05 85.13 8.54 7.77 12.38 3.86 NA NA 77.81
1980127 1980 05 06 101.44 12.93 7.73 6.78 2.32 NA NA 70.26
1980128 1980 05 07 202.95 15.55 6.63 1.14 1.7 NA NA 59.1
1980129 1980 05 08 143.4 17.54 9.42 0.97 1.49 NA NA 62.17
1980130 1980 05 09 91.29 17.91 11.23 11.45 2.32 NA NA 64.43
1980131 1980 05 10 193.16 17.17 8.53 0.68 1.69 NA NA 56.65
1980132 1980 05 11 283.25 17.29 7.44 0 2.21 NA NA 46.49
1980133 1980 05 12 230.04 17.37 8.09 0 1.17 NA NA 48.47
1980134 1980 05 13 204.63 18.84 6.46 0.89 0.87 NA NA 46.53
1980135 1980 05 14 258.01 22.85 9.5 0 1.46 NA NA 45.5
1980136 1980 05 15 267.75 23.54 11.07 0.69 1.47 NA NA 43.49
1980137 1980 05 16 213.92 17.1 11.53 0 3.05 NA NA 57.69
1980138 1980 05 17 168.38 16.54 11.44 0.44 3.09 NA NA 56.92
1980139 1980 05 18 207.22 17.38 9.16 0 0.67 NA NA 51.17
