*WEATHER DATA - Station:Krasnodar - BADJAM DATA - BADJer: ECCC - Method: QDM - Source model: NOAAGFDL
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Krasnodar 45.02 38.95 45 11.91 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 52.31 -0.41 -7.45 0 0.72 NA NA 49.41
1980002 1980 01 02 50.2 1.45 -3.75 0 1.8 NA NA 52.88
1980003 1980 01 03 67.7 4.52 -3.49 0 2.73 NA NA 54.16
1980004 1980 01 04 62.63 6.28 1.18 1.47 2.94 NA NA 56.3
1980005 1980 01 05 46.37 3.5 0.23 0 3.44 NA NA 59.48
1980006 1980 01 06 38.05 7.46 4.22 0 5.07 NA NA 57.75
1980007 1980 01 07 53.36 9.26 4.59 0 4.89 NA NA 46.69
1980008 1980 01 08 54.61 11.66 5.69 0.25 5.61 NA NA 45.43
1980009 1980 01 09 46.63 5.69 3.05 0 2.82 NA NA 72.9
1980010 1980 01 10 35.99 7.49 -1.46 0 2.54 NA NA 58.94
1980011 1980 01 11 77.76 8.38 -1.1 0 3.08 NA NA 52.23
1980012 1980 01 12 55.05 11.65 4.14 0 4.23 NA NA 50.16
1980013 1980 01 13 63.41 11.69 4.26 0 4.58 NA NA 43.31
1980014 1980 01 14 69.17 12.56 4.48 0 5.12 NA NA 38.38
1980015 1980 01 15 44.15 7.09 2.98 0 3.77 NA NA 61.88
1980016 1980 01 16 25.51 5.56 -0.82 2.32 4.08 NA NA 60.74
1980017 1980 01 17 47.63 3.3 -2.55 0 1.47 NA NA 55.35
1980018 1980 01 18 63.68 3.13 -2.95 0 1.29 NA NA 62.19
1980019 1980 01 19 40.33 9.21 0.14 0 2.01 NA NA 57.76
1980020 1980 01 20 0 6.18 5.18 14.55 4.16 NA NA 87.68
1980021 1980 01 21 69.12 11.87 5.29 0 4.58 NA NA 52.29
1980022 1980 01 22 25.72 5.64 3.75 3.54 2.51 NA NA 82.64
1980023 1980 01 23 36.39 2.73 0.52 0.87 1.89 NA NA 80.27
1980024 1980 01 24 39.73 4.17 -1.18 2.75 4.04 NA NA 63.26
1980025 1980 01 25 26.57 4.31 -1.18 9.4 1.37 NA NA 80.65
1980026 1980 01 26 40.86 5.34 1.98 2.89 1.59 NA NA 75.24
1980027 1980 01 27 46.8 4.15 1.24 0 2.45 NA NA 68.03
