*WEATHER DATA - Station:Jokioinen - BADJAM DATA - BADJer: ECCC - Method: QDM - Source model: NOAAGFDL
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Jokioinen 60.8 23.48 111 3.82 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 5.72 -9.16 -16.25 0 0.78 NA NA 76.77
1980002 1980 01 02 5.64 -13.57 -16.82 0 1.37 NA NA 86.55
1980003 1980 01 03 10.4 -11.5 -15.83 0 1.63 NA NA 84.03
1980004 1980 01 04 10.38 -7.27 -12.74 1.65 2.14 NA NA 70.34
1980005 1980 01 05 8.15 -4.28 -8.42 5.5 1.75 NA NA 79.52
1980006 1980 01 06 9.22 -2.85 -5.39 0.9 0.79 NA NA 85.23
1980007 1980 01 07 9.21 -3.8 -6.02 0.6 0.98 NA NA 84.89
1980008 1980 01 08 10.42 -3.75 -11.2 0.47 1.28 NA NA 81.48
1980009 1980 01 09 13.28 -8.08 -11.39 0.4 1.48 NA NA 84.05
1980010 1980 01 10 10.4 -6.63 -9.26 1.13 1.88 NA NA 83.2
1980011 1980 01 11 9.22 -6.82 -9.96 0.38 1.41 NA NA 82.92
1980012 1980 01 12 11.56 -1.63 -7.89 1.15 0.99 NA NA 73.2
1980013 1980 01 13 6.93 1.13 -7.56 5.51 1.98 NA NA 61.76
1980014 1980 01 14 9.27 0.31 -16.59 0.23 1.19 NA NA 19.32
1980015 1980 01 15 15.12 1.11 -16.86 0.92 1.39 NA NA 31.23
1980016 1980 01 16 17.3 0.77 -0.65 0 2.16 NA NA 80.98
1980017 1980 01 17 13.91 0.3 -3.76 0 1.68 NA NA 59.55
1980018 1980 01 18 17.34 0.2 -2.52 1.02 1.59 NA NA 74.23
1980019 1980 01 19 12.83 0.7 -0.95 0.42 0.42 NA NA 84.39
1980020 1980 01 20 6.94 1.59 -0.96 5.58 2.16 NA NA 80.02
1980021 1980 01 21 16.18 1.16 -0.32 0 2.27 NA NA 60.57
1980022 1980 01 22 16.11 0.79 -8.75 0 1.38 NA NA 28.41
1980023 1980 01 23 11.75 -0.23 -5.98 5.7 1.83 NA NA 75.4
1980024 1980 01 24 16.33 -0.98 -19.45 0 1.48 NA NA 42.18
1980025 1980 01 25 20.04 -0.2 -19.28 3.79 1.88 NA NA 31.75
1980026 1980 01 26 16.21 0.49 -1.19 0.81 1.28 NA NA 83.03
1980027 1980 01 27 13.49 0.72 -0.97 1.25 1.46 NA NA 83.11
1980028 1980 01 28 16.29 0.06 -1.61 3.13 2.08 NA NA 81.87
1980029 1980 01 29 27.31 -0.88 -6.09 0.25 2.43 NA NA 70.48
1980030 1980 01 30 30.66 -5.2 -12.8 0 1.28 NA NA 69.13
1980031 1980 01 31 32.43 0.43 -14.7 2.5 0.99 NA NA 10.79
1980032 1980 02 01 15.25 1.49 -1.49 2.23 1.97 NA NA 83.27
1980033 1980 02 02 29.62 -0.89 -13.19 0.24 1.22 NA NA 36.86
1980034 1980 02 03 26.06 -7.87 -21.66 0 1.28 NA NA 70.42
1980035 1980 02 04 34.36 -16.07 -23.9 0 0.51 NA NA 91.24
1980036 1980 02 05 34.43 -15.06 -24.41 0 0.53 NA NA 87.05
1980037 1980 02 06 33.58 -18.01 -24.67 0 0.7 NA NA 97.45
1980038 1980 02 07 29.54 -16.95 -24.92 0 0.7 NA NA 83.58
1980039 1980 02 08 46.23 -12.43 -21.75 0 0.79 NA NA 83.66
1980040 1980 02 09 46.84 -11.94 -17.26 0 0.25 NA NA 84.91
1980041 1980 02 10 34.35 -8.1 -17.12 0 1.38 NA NA 63.49
1980042 1980 02 11 47.91 -8.12 -13.36 0 1.18 NA NA 84.31
1980043 1980 02 12 37.37 -9.9 -14.66 0 1.48 NA NA 84.8
1980044 1980 02 13 43.26 -11.42 -19.38 0 1.59 NA NA 84.6
1980045 1980 02 14 57.81 -16.13 -24.7 0 0.92 NA NA 84.06
1980046 1980 02 15 60.96 -14.32 -24.66 0 0.46 NA NA 71.86
1980047 1980 02 16 57.38 -9.35 -24.74 0 0.49 NA NA 37.42
1980048 1980 02 17 46.68 -1.82 -11.5 0.66 2.05 NA NA 62.49
1980049 1980 02 18 39.42 -0.53 -6.05 0.5 1.78 NA NA 76.69
1980050 1980 02 19 37.96 -0.17 -1.85 4.05 2.74 NA NA 81.26
1980051 1980 02 20 39.37 -1.84 -3.67 2.35 2.54 NA NA 80.62
1980052 1980 02 21 25.5 -0.47 -3.63 4.73 1.67 NA NA 79.59
1980053 1980 02 22 32.6 -0.32 -12.85 1.33 1.17 NA NA 77.7
1980054 1980 02 23 58.53 -1.82 -15.1 0 1.09 NA NA 64.87
1980055 1980 02 24 40.09 3.46 -3.34 0.9 1.77 NA NA 77.61
1980056 1980 02 25 28.57 2.22 1.93 0.48 1.61 NA NA 84.63
1980057 1980 02 26 73.34 1.12 -7.45 0 1.5 NA NA 78.12
1980058 1980 02 27 81.77 -2.29 -10.97 0 1.08 NA NA 65.27
1980059 1980 02 28 84.43 -3.3 -13.06 0 0.81 NA NA 66.2
1980060 1980 02 29 0 0 0 0 0 NA NA 0
1980061 1980 03 01 73.22 -4.83 -14.84 0 0.82 NA NA 70.02
1980062 1980 03 02 89.94 -3.29 -15.16 0 0.31 NA NA 56.76
1980063 1980 03 03 81.82 -2.25 -12.43 0 0.71 NA NA 64.54
1980064 1980 03 04 85.18 -3.31 -14.69 0 0.8 NA NA 65.19
1980065 1980 03 05 78.1 -0.49 -6.75 0 1.4 NA NA 74.07
1980066 1980 03 06 85.72 -2.48 -11.18 0 1.29 NA NA 71.53
1980067 1980 03 07 82.23 -0.17 -8.1 0 1.59 NA NA 70.61
1980068 1980 03 08 63.32 0.85 -1.93 0.85 1.69 NA NA 81.01
1980069 1980 03 09 46.77 1.38 -0.31 7.15 1.89 NA NA 84.04
1980070 1980 03 10 45.97 1.74 -2.34 6.2 2.09 NA NA 83.24
1980071 1980 03 11 80.87 -0.95 -8.11 0 1.01 NA NA 73.97
1980072 1980 03 12 112.77 -0.37 -12.31 0.64 1.49 NA NA 40.18
1980073 1980 03 13 74.18 0.87 -5.86 0.84 1.19 NA NA 77.13
1980074 1980 03 14 112.87 -3.26 -13.85 0 1 NA NA 73.85
1980075 1980 03 15 113.88 -4.74 -16 0 0.91 NA NA 71.45
1980076 1980 03 16 120.36 -4.9 -13.82 0 0.84 NA NA 77.12
1980077 1980 03 17 64.13 1.03 -7.51 2.73 2.11 NA NA 64.36
1980078 1980 03 18 75.54 3.15 -1.55 0 1.69 NA NA 78.98
1980079 1980 03 19 72.64 1.93 -4.49 0.06 1.69 NA NA 68.12
1980080 1980 03 20 126.44 0.83 -6.47 0 1.19 NA NA 39.75
1980081 1980 03 21 125.05 0.97 -6.18 0 1.36 NA NA 37.09
1980082 1980 03 22 114.78 1.12 -5.52 0.58 1.55 NA NA 63.36
1980083 1980 03 23 49.78 3.5 -0.74 2.23 1.5 NA NA 83.92
1980084 1980 03 24 60.96 4.09 -3.79 0.42 0.92 NA NA 83.95
1980085 1980 03 25 158.74 2.56 -3.86 0 0.33 NA NA 68.77
1980086 1980 03 26 96.77 3.06 -2.12 0 1.4 NA NA 75.22
1980087 1980 03 27 155.45 1.05 -3.87 0 1.5 NA NA 70.14
1980088 1980 03 28 165.43 0.61 -7.11 0 1.09 NA NA 45.54
1980089 1980 03 29 177.6 1.59 -6.74 0 0.34 NA NA 29.55
1980090 1980 03 30 151.57 1.5 -8.31 0.25 0.39 NA NA 37.5
1980091 1980 03 31 117.22 1.72 -3.86 0.37 1.18 NA NA 47.88
1980092 1980 04 01 171.82 0.44 -6.44 0 0.88 NA NA 58.69
1980093 1980 04 02 170.92 0.85 -6.34 0 0.39 NA NA 58.95
1980094 1980 04 03 175.87 1.29 -5.41 0 0.49 NA NA 49.17
1980095 1980 04 04 162.6 1.72 -8.14 0.35 0.88 NA NA 32.6
1980096 1980 04 05 210.2 1.28 -5.85 0 0.79 NA NA 52.34
1980097 1980 04 06 178.37 1.26 -5.39 0 1.09 NA NA 40.46
1980098 1980 04 07 72.64 6.08 -4.01 7.99 2.14 NA NA 63.01
1980099 1980 04 08 173.01 4.7 -2.2 0 1.28 NA NA 80.84
1980100 1980 04 09 182.44 4.21 -3.94 0 0.46 NA NA 54.01
1980101 1980 04 10 216.6 6.45 -3.58 0 1.17 NA NA 37.54
1980102 1980 04 11 214.78 5.98 -3.91 0 1.07 NA NA 38.98
1980103 1980 04 12 205.68 7.07 -0.81 0 1.16 NA NA 61.82
1980104 1980 04 13 85.06 5.25 1.98 4.4 0.87 NA NA 85.09
1980105 1980 04 14 183.18 6.84 -2.48 0 1.17 NA NA 64.05
1980106 1980 04 15 115.23 7.4 -2.53 0 1.17 NA NA 55.99
1980107 1980 04 16 205.5 8.56 -0.48 0 1.38 NA NA 55.63
1980108 1980 04 17 228.85 4.65 -1.27 0 0.68 NA NA 76.88
1980109 1980 04 18 179.54 10.23 -0.52 0 0.97 NA NA 56.01
1980110 1980 04 19 242.58 13.45 -0.44 0 0.77 NA NA 41.23
1980111 1980 04 20 222.94 15.39 -2.05 0 0.66 NA NA 31.76
1980112 1980 04 21 211.61 17.24 1.59 0 0.78 NA NA 35.55
1980113 1980 04 22 223.84 10.92 0.39 0 1.71 NA NA 33.07
1980114 1980 04 23 242 10.84 -1.34 0 0.67 NA NA 19.95
1980115 1980 04 24 233.96 13.4 -0.42 0.57 1.07 NA NA 30.85
1980116 1980 04 25 238.24 13.63 1.46 0 1.07 NA NA 36.16
1980117 1980 04 26 158.67 14.21 0.33 0 0.87 NA NA 36.14
1980118 1980 04 27 236.78 14.47 0.89 0 0.87 NA NA 34.12
1980119 1980 04 28 65.86 8.73 0.36 6.29 0.58 NA NA 75.59
1980120 1980 04 29 258.57 8.59 -1.73 0 0.88 NA NA 25.85
1980121 1980 04 30 204.75 8.16 -2.36 0 0.3 NA NA 33.14
1980122 1980 05 01 264.88 10.92 -2.14 0 0.4 NA NA 23.46
1980123 1980 05 02 230.42 8.18 -0.69 1.54 1.18 NA NA 41.8
1980124 1980 05 03 241.56 10.01 -1.74 0 0.92 NA NA 28.6
1980125 1980 05 04 265.2 10.44 -1.41 0 0.87 NA NA 26.39
1980126 1980 05 05 257.19 11.47 -1.81 0 0.78 NA NA 28.79
1980127 1980 05 06 290.99 14.03 -0.75 0 1.07 NA NA 25.27
1980128 1980 05 07 225.95 15.33 1.43 0 0.87 NA NA 34.81
1980129 1980 05 08 275.61 16.78 0.39 0 0.49 NA NA 27.1
1980130 1980 05 09 284.55 18.22 0.09 0 0.4 NA NA 24.65
1980131 1980 05 10 234.67 18.26 1.58 0 0.88 NA NA 28.17
1980132 1980 05 11 300.79 14.06 1.44 0 0.91 NA NA 23.53
1980133 1980 05 12 303.15 13.19 -1.27 0 0.79 NA NA 22.06
1980134 1980 05 13 293.77 15.85 -0.18 0 0.59 NA NA 25.37
1980135 1980 05 14 273.46 17.71 0.29 0 0.4 NA NA 28.42
1980136 1980 05 15 298.99 18.2 -0.23 0 0.4 NA NA 27.53
1980137 1980 05 16 203.58 20.35 3.58 3.13 1.18 NA NA 39.09
1980138 1980 05 17 30.61 15.68 10.63 7.92 1.28 NA NA 90.69
1980139 1980 05 18 76.78 15.49 5.8 16 1.18 NA NA 90.61
1980140 1980 05 19 266.6 11.54 4.14 0 1.37 NA NA 41.1
1980141 1980 05 20 315.4 12.48 0.05 0 0.99 NA NA 30.98
1980142 1980 05 21 327.6 16.13 -1.82 0 0.62 NA NA 25.54
1980143 1980 05 22 333.27 20.52 3.2 0 1.17 NA NA 24.68
1980144 1980 05 23 310.92 20.66 7.79 0 1.38 NA NA 26.57
1980145 1980 05 24 316.67 21.13 4.79 0 1.09 NA NA 26.81
1980146 1980 05 25 264.04 22.98 3.84 0 0.7 NA NA 31.38
1980147 1980 05 26 174.71 17.9 6.76 0 0.9 NA NA 50.36
1980148 1980 05 27 316.66 17.03 5.92 0 0.89 NA NA 39.76
1980149 1980 05 28 239.52 17.24 6.52 0 0.8 NA NA 42.31
1980150 1980 05 29 244.33 18.8 4.55 0 0.46 NA NA 37.22
1980151 1980 05 30 68.53 11.68 10.16 4.87 1.19 NA NA 90.92
1980152 1980 05 31 178.5 15.08 5.84 0 0.4 NA NA 57.97
1980153 1980 06 01 166.49 15.49 5.49 0 0.4 NA NA 44.66
1980154 1980 06 02 152.63 17.15 7.79 6.73 1.1 NA NA 50.51
1980155 1980 06 03 97.95 15.18 6.36 1.61 0.9 NA NA 85.39
1980156 1980 06 04 117.94 14.5 4.49 2.55 0.5 NA NA 66.25
1980157 1980 06 05 306.63 18.68 3.9 0 0.61 NA NA 35.78
1980158 1980 06 06 283.91 21.68 6.65 0 0.8 NA NA 38.29
1980159 1980 06 07 210.56 21.74 13.32 0 1.11 NA NA 43.11
1980160 1980 06 08 215.01 23.8 12.39 6.47 1.4 NA NA 40.35
1980161 1980 06 09 88.82 16.22 8.09 11.34 1 NA NA 85.57
1980162 1980 06 10 136.22 17.91 8.04 4.3 0.8 NA NA 53.63
1980163 1980 06 11 207.07 15.13 5.19 0 0.81 NA NA 49.34
1980164 1980 06 12 269.94 16.15 3.84 0.97 0.61 NA NA 41.13
1980165 1980 06 13 77.76 13.04 5.71 17.01 1.01 NA NA 84.98
1980166 1980 06 14 201.04 16.28 3.85 5.63 0.81 NA NA 52.16
1980167 1980 06 15 226.15 18.28 3.73 1.7 0.61 NA NA 42.62
1980168 1980 06 16 260.55 19.17 5.04 0 0.61 NA NA 40.32
1980169 1980 06 17 312.03 21.66 9.01 0 0.9 NA NA 37.55
1980170 1980 06 18 258.02 19.57 9.04 0 1.01 NA NA 42.06
1980171 1980 06 19 312.78 16.8 5.06 0 1.11 NA NA 35.98
1980172 1980 06 20 243.33 16.33 2.52 0.54 0.51 NA NA 43.66
1980173 1980 06 21 137.4 14.73 8.1 0 0.39 NA NA 59.36
1980174 1980 06 22 88.71 16.6 9.74 7.06 0.8 NA NA 81.7
1980175 1980 06 23 129.51 17.16 8.32 6.96 0.71 NA NA 86.72
1980176 1980 06 24 340.7 19.16 6.03 0 0.61 NA NA 36.66
1980177 1980 06 25 345.29 20.7 4.96 0 0.4 NA NA 35.16
1980178 1980 06 26 307.15 17.26 3.82 0 0.9 NA NA 40.64
1980179 1980 06 27 345 22.29 3.13 0 0.41 NA NA 34.65
1980180 1980 06 28 130.56 20.62 13 5.04 0.9 NA NA 66.01
1980181 1980 06 29 212.65 17 9.12 0 1.4 NA NA 56.1
1980182 1980 06 30 337.61 21.57 7.61 0 0.31 NA NA 37.23
1980183 1980 07 01 146.31 18.78 7.63 1.53 1.11 NA NA 56.27
1980184 1980 07 02 262.8 25.16 14.82 1.23 1.54 NA NA 51.13
1980185 1980 07 03 127.2 22.27 14.07 3.39 0.61 NA NA 59.35
1980186 1980 07 04 249.57 22.33 12.83 0 1.02 NA NA 43.65
1980187 1980 07 05 255.52 23.67 10.64 0 0.78 NA NA 43.4
1980188 1980 07 06 253.67 23.88 10.23 0 0.61 NA NA 43.53
