*WEATHER DATA - Station:Izmir - BADJAM DATA - BADJer: IPSL - Method: CDFt - Source model: ICHEC
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Izmir 38.6 27.06 300.92 17.22 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 51.85 16 8.95 0 1.05 NA NA 60.72
1980002 1980 01 02 89.39 16.3 7.93 0 0.99 NA NA 53.47
1980003 1980 01 03 117.78 14.47 6.15 0 2.08 NA NA 40.05
1980004 1980 01 04 112.85 12.04 3.55 0 2.66 NA NA 43.25
1980005 1980 01 05 112.85 13.11 5.88 0 4.69 NA NA 28.76
1980006 1980 01 06 107.45 10.46 2.71 0 3.2 NA NA 30.59
1980007 1980 01 07 104.4 9.7 -0.58 0 0.8 NA NA 45.69
1980008 1980 01 08 86.34 11.96 0.56 0.01 0.88 NA NA 49.35
1980009 1980 01 09 94.31 11.13 1.26 0.01 2.25 NA NA 54.01
1980010 1980 01 10 108.86 10.06 4.33 0 3.08 NA NA 43.79
1980011 1980 01 11 112.14 9.55 3.04 0 3.02 NA NA 36.7
1980012 1980 01 12 89.15 10.1 0.73 0 1.36 NA NA 47.83
1980013 1980 01 13 82.35 11.13 -1.09 0.01 1.26 NA NA 53.93
1980014 1980 01 14 82.35 12.79 7.95 0.61 2.66 NA NA 67.12
1980015 1980 01 15 81.64 11.39 0.01 4.43 4.91 NA NA 53.32
1980016 1980 01 16 122 1.65 -1.71 0 4.91 NA NA 23.43
1980017 1980 01 17 78.83 6.28 -2.22 0.01 1.74 NA NA 54.46
1980018 1980 01 18 97.36 11.53 2.79 0 1.43 NA NA 53.78
1980019 1980 01 19 116.6 13.54 1.53 0 1.26 NA NA 46.08
1980020 1980 01 20 101.12 13.19 2.71 0.01 0.49 NA NA 53.62
1980021 1980 01 21 38.95 12.28 5.68 0.01 2.08 NA NA 69.87
1980022 1980 01 22 73.43 13.19 6.7 2.83 1.36 NA NA 68.8
1980023 1980 01 23 66.16 12.46 6.43 0.01 1.65 NA NA 64.83
1980024 1980 01 24 15.72 11.59 5.8 11.32 3.45 NA NA 80.54
1980025 1980 01 25 105.81 10.99 0.73 0 0.4 NA NA 51.49
1980026 1980 01 26 85.63 11.7 2.55 0.01 1.86 NA NA 54.39
1980027 1980 01 27 73.44 14.47 9.42 0.01 4.94 NA NA 61.63
1980028 1980 01 28 51.85 12.79 7.93 18.31 3.2 NA NA 76.88
1980029 1980 01 29 135.37 14.63 3.98 0 1.74 NA NA 42.26
1980030 1980 01 30 51.85 13.86 4.74 13.84 3.75 NA NA 73.45
1980031 1980 01 31 143.58 12.28 3.73 0.01 2.52 NA NA 55.76
1980032 1980 02 01 128.11 9.07 -0.44 0 0.39 NA NA 38.33
