*WEATHER DATA - Station:Alexandria - BADJAM DATA - BADJer: IPSL - Method: CDFt - Source model: IPSL
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Alexandria 43.98 25.35 83.93 10.94 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 53.92 0.68 -5.17 0 2.2 NA NA 54.16
1980002 1980 01 02 50.02 7.68 -0.88 0 3.99 NA NA 48.54
1980003 1980 01 03 48.08 9.89 2.67 0 3.55 NA NA 50.28
1980004 1980 01 04 42.04 5.95 -2.78 0 3.99 NA NA 58.74
1980005 1980 01 05 65.4 3.96 -6.18 0 1.7 NA NA 59.85
1980006 1980 01 06 44.96 10.79 1.01 13.08 3.15 NA NA 67.68
1980007 1980 01 07 45.55 4.27 0.22 0.28 3.42 NA NA 73.78
1980008 1980 01 08 64.43 3.06 -3.39 0 2.51 NA NA 73.94
1980009 1980 01 09 60.53 -0.38 -5.11 0 3.04 NA NA 65.39
1980010 1980 01 10 62.48 -1.46 -8.9 0 2.41 NA NA 67.61
1980011 1980 01 11 76.69 -0.53 -10.49 0 0.97 NA NA 64.05
1980012 1980 01 12 62.48 3.03 -2.72 0.82 2.69 NA NA 73.78
1980013 1980 01 13 66.57 0.58 -5.17 0 2.69 NA NA 68.16
1980014 1980 01 14 69.1 -1.46 -8.47 0 0.97 NA NA 78.53
1980015 1980 01 15 77.66 0.83 -8.47 1.51 0.51 NA NA 75.91
1980016 1980 01 16 44.96 2.26 -3.39 4.46 1.54 NA NA 78.45
1980017 1980 01 17 82.53 1.95 -5.87 0 1.48 NA NA 75.99
1980018 1980 01 18 67.73 5.79 -2.54 0 2.1 NA NA 64.44
1980019 1980 01 19 76.69 4.49 -1.1 0 2.31 NA NA 73.86
1980020 1980 01 20 82.53 11.9 -1.1 0 3.42 NA NA 47.51
1980021 1980 01 21 77.66 4.15 0.31 0 4.39 NA NA 54.23
1980022 1980 01 22 53.92 3.96 -0.24 0.99 3.99 NA NA 64.2
1980023 1980 01 23 89.34 2.35 -3.54 0 2.51 NA NA 64.05
1980024 1980 01 24 87.39 0.83 -6.05 0 1.88 NA NA 58.74
1980025 1980 01 25 87.39 0.3 -8.04 0 2.97 NA NA 69.19
1980026 1980 01 26 85.64 4.49 -1.34 0 3.3 NA NA 67.29
1980027 1980 01 27 32.31 2.26 -3.54 2.69 3.15 NA NA 78.52
1980028 1980 01 28 101.6 -1.37 -7.74 0 2.69 NA NA 48.06
1980029 1980 01 29 51.39 -2.3 -11.47 0 1.7 NA NA 74.33
1980030 1980 01 30 122.43 -0.16 -8.47 0 0.73 NA NA 70.14
1980031 1980 01 31 123.6 -1.28 -9.85 0 0.73 NA NA 65.86
1980032 1980 02 01 57.76 -1.03 -7.83 0 1.16 NA NA 61.59
1980033 1980 02 02 79.52 -1.62 -9.5 0 1.57 NA NA 49.18
1980034 1980 02 03 80.97 -0.91 -9.5 0 1.07 NA NA 44.63
1980035 1980 02 04 82.13 -0.87 -9.75 0 0.78 NA NA 55.79
1980036 1980 02 05 84.75 -0.87 -6.7 0 1.28 NA NA 46.32
1980037 1980 02 06 80.39 -0.84 -8.21 0 0.64 NA NA 65.04
1980038 1980 02 07 93.16 0.18 -9.66 0 1.66 NA NA 38.98
1980039 1980 02 08 49.34 3.62 -5.55 0 3.05 NA NA 55.06
1980040 1980 02 09 65.3 4.56 -2.62 0 2.75 NA NA 64.75
1980041 1980 02 10 107.38 -0.35 -7.25 0 0.89 NA NA 41.25
1980042 1980 02 11 99.26 0.58 -8.28 0 2.47 NA NA 47.5
1980043 1980 02 12 93.74 2.94 -4.78 0 1.57 NA NA 60.64
1980044 1980 02 13 105.93 3.72 -5.29 0 1.88 NA NA 57.7
1980045 1980 02 14 57.76 6.29 -2.14 0.81 4.99 NA NA 58.44
1980046 1980 02 15 79.52 5.05 -3.81 3.47 4.46 NA NA 63.43
1980047 1980 02 16 117.54 0.86 -6 0 3.12 NA NA 47.5
1980048 1980 02 17 125.09 -1 -6.64 0 3.77 NA NA 34.72
1980049 1980 02 18 129.73 -1 -8.18 0 3.12 NA NA 32.96
1980050 1980 02 19 121.02 4.71 -6.38 0 2.66 NA NA 38.76
1980051 1980 02 20 126.54 8.56 -1.11 0 4.46 NA NA 38.32
1980052 1980 02 21 66.17 6.85 -3.11 0.81 2.66 NA NA 58.88
1980053 1980 02 22 167.46 6.17 -5.29 0 0.89 NA NA 42.8
1980054 1980 02 23 144.82 10.23 -2.11 3.2 3.89 NA NA 49.7
1980055 1980 02 24 61.82 6.79 -0.92 2.25 2.82 NA NA 57.7
1980056 1980 02 25 136.98 5.89 -1.79 0 3.54 NA NA 34.35
1980057 1980 02 26 154.69 4.74 -3.11 0 2.47 NA NA 36.77
1980058 1980 02 27 132.92 5.89 -4.61 6.22 1.32 NA NA 54.25
1980059 1980 02 28 39.18 3.38 1 21.69 1.73 NA NA 91.04
1980060 1980 02 29 0 0 0 0 0 NA NA 0
1980061 1980 03 01 54.32 2.51 -1.31 2.33 5.05 NA NA 64.86
1980062 1980 03 02 116.8 4.95 -2.86 0 3.33 NA NA 42.38
1980063 1980 03 03 104.55 8.9 -1.8 0 1.82 NA NA 55.35
1980064 1980 03 04 77.19 9.31 -1.65 0.63 0.93 NA NA 61.47
1980065 1980 03 05 59.22 7.38 0.76 0 0.58 NA NA 70.57
1980066 1980 03 06 66.57 7.95 -1.45 0 0.21 NA NA 68.5
1980067 1980 03 07 136.4 10.64 -3.32 0 0.41 NA NA 50.56
1980068 1980 03 08 144.98 12.54 -2.37 0 1.05 NA NA 47.17
1980069 1980 03 09 80.46 10.57 -1.19 2.31 2.15 NA NA 64.86
1980070 1980 03 10 151.52 11.1 0.76 0 3 NA NA 47.09
1980071 1980 03 11 159.28 16.07 2.58 0 3.56 NA NA 46.43
1980072 1980 03 12 161.73 13.83 0.88 0 3.12 NA NA 42.29
1980073 1980 03 13 139.26 17.1 0.71 0 1.94 NA NA 43.86
1980074 1980 03 14 68.2 15.58 7.01 0 0.58 NA NA 67.18
1980075 1980 03 15 137.22 17.1 5.37 0 2.68 NA NA 59.82
1980076 1980 03 16 128.65 16.45 5.34 0 3.2 NA NA 59.08
1980077 1980 03 17 169.89 16.42 1.74 0 0.52 NA NA 51.3
1980078 1980 03 18 131.51 17.1 1.63 0 0.58 NA NA 48.16
1980079 1980 03 19 64.94 10.95 3.84 0.54 2.27 NA NA 69.99
1980080 1980 03 20 198.07 8.78 -1.05 0 2.27 NA NA 41.88
1980081 1980 03 21 205.83 10 -4.59 0 0.21 NA NA 37
1980082 1980 03 22 182.55 13.57 -3.41 0 0.52 NA NA 36.42
1980083 1980 03 23 89.44 9.01 -0.65 0 1.45 NA NA 41.3
1980084 1980 03 24 211.14 11.18 -3.15 0 0.68 NA NA 30.72
1980085 1980 03 25 190.72 16.08 -1.08 0 0.32 NA NA 35.02
1980086 1980 03 26 134.77 16.8 0.76 0 0.81 NA NA 47.17
1980087 1980 03 27 85.35 10.57 1.57 4.88 2.15 NA NA 64.95
1980088 1980 03 28 87.8 7.64 -0.96 6.55 1.56 NA NA 67.26
1980089 1980 03 29 119.66 9.09 2.69 10.2 3.33 NA NA 61.64
1980090 1980 03 30 143.35 12.28 3.84 0 1.72 NA NA 43.7
1980091 1980 03 31 150.29 12.39 2.84 0 1.65 NA NA 48.58
1980092 1980 04 01 106.29 15.4 5.63 0.06 0.67 NA NA 58.34
1980093 1980 04 02 166.2 18.18 2.68 0.06 0.67 NA NA 47.27
1980094 1980 04 03 159.43 20.42 5.47 5.56 2.51 NA NA 48.17
1980095 1980 04 04 184.07 19.66 7.02 0.06 2.13 NA NA 45.3
1980096 1980 04 05 50.73 17.7 6.17 21.88 0.88 NA NA 74.26
1980097 1980 04 06 167.64 15.19 4.61 19.58 3.03 NA NA 66.14
1980098 1980 04 07 200.5 11.19 2.5 0.06 2.68 NA NA 46.78
1980099 1980 04 08 211.61 13.4 1.51 0.91 3.03 NA NA 49.89
1980100 1980 04 09 232.38 15.19 -2.58 12.86 1.46 NA NA 53.75
1980101 1980 04 10 48.31 5.89 3.71 37.68 3.81 NA NA 80.01
1980102 1980 04 11 122.71 11.25 1.13 0.06 0.67 NA NA 67.12
1980103 1980 04 12 99.52 13.67 4.52 0.06 0.29 NA NA 68.19
1980104 1980 04 13 225.62 16.27 2.27 0.06 0.58 NA NA 57.28
1980105 1980 04 14 50.73 9.83 4.25 2.51 0.67 NA NA 78.37
1980106 1980 04 15 184.07 18.97 4.61 0.59 2.41 NA NA 66.39
1980107 1980 04 16 165.71 20.06 8.37 7.74 2.68 NA NA 68.03
1980108 1980 04 17 107.25 18.64 6.37 7.1 0.58 NA NA 74.18
