*WEATHER DATA - Station:Thessaloniki - BADJAM DATA - BADJer: IPSL - Method: CDFt - Source model: MPICCLM
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Thessaloniki 41.08 22.15 798.54 9.98 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 80.8 7.05 -0.52 2.98 1.21 NA NA 67.57
1980002 1980 01 02 88.68 6.58 -2.02 0.01 1.61 NA NA 65.35
1980003 1980 01 03 40.07 2.41 -4.84 2.98 3.44 NA NA 60.57
1980004 1980 01 04 50.36 -2.87 -7.72 0.01 4.34 NA NA 74.21
1980005 1980 01 05 93.28 -2.58 -9.04 0 4 NA NA 61.01
1980006 1980 01 06 52.12 -3.9 -9.79 0.01 4.07 NA NA 66.33
1980007 1980 01 07 97.66 -2.39 -10.99 0.01 3.09 NA NA 52.15
1980008 1980 01 08 50.36 -0.39 -5.32 0.01 2.11 NA NA 74.3
1980009 1980 01 09 58.03 -0.51 -5.56 0.01 1.01 NA NA 69.43
1980010 1980 01 10 35.48 -1.27 -4.33 3.85 1.8 NA NA 89.01
1980011 1980 01 11 49.27 -1.55 -8.83 14.16 3.88 NA NA 76.25
1980012 1980 01 12 66.35 -2.43 -9.22 3.16 1.8 NA NA 71.38
1980013 1980 01 13 70.95 -2.68 -10.21 0.01 2.2 NA NA 69.16
1980014 1980 01 14 107.08 -3.62 -11.02 0.01 2.78 NA NA 66.86
1980015 1980 01 15 110.58 -5.19 -13.27 0 2.48 NA NA 63.76
1980016 1980 01 16 102.26 -4.9 -11.11 0.01 3.09 NA NA 69.43
1980017 1980 01 17 111.46 -5.19 -12.82 0 2.78 NA NA 66.33
1980018 1980 01 18 88.25 -3.96 -12.67 6.69 1.51 NA NA 62.16
1980019 1980 01 19 69.63 -5.5 -15.22 12.95 4 NA NA 48.34
1980020 1980 01 20 121.09 -6.82 -17.59 0 3.23 NA NA 60.12
1980021 1980 01 21 126.35 -6.47 -16.27 0 2.39 NA NA 47.28
1980022 1980 01 22 130.29 -6.47 -17.2 0 2.96 NA NA 53.83
1980023 1980 01 23 111.46 -6 -14.2 3.85 1.51 NA NA 63.58
1980024 1980 01 24 67.44 -4.68 -11.71 13.08 1.11 NA NA 76.25
1980025 1980 01 25 131.38 -4.81 -13.15 0.01 3.65 NA NA 69.43
1980026 1980 01 26 141.89 -4.31 -13.27 0 2.65 NA NA 53.48
1980027 1980 01 27 88.25 -4.09 -13.15 0.01 1.39 NA NA 61.72
1980028 1980 01 28 37.66 -2.43 -6.67 2.42 2.39 NA NA 84.93
1980029 1980 01 29 35.48 -1.27 -4.96 0.01 1.98 NA NA 90.69
1980030 1980 01 30 26.5 -1.17 -2.68 5.32 1.69 NA NA 94.94
1980031 1980 01 31 67.44 -0.1 -4.39 13.21 1.8 NA NA 83.6
1980032 1980 02 01 125.57 1.84 -6.06 0 1 NA NA 60.48
1980033 1980 02 02 75.91 2.03 -6.45 0 2.03 NA NA 73.05
1980034 1980 02 03 127.47 2.26 -6.08 0 1.3 NA NA 70.11
1980035 1980 02 04 126.52 -0.35 -6.48 0 1.53 NA NA 69.1
1980036 1980 02 05 44.91 1.37 -2.09 4.35 1.98 NA NA 85.63
1980037 1980 02 06 59.15 5.51 -1.3 0.21 2.03 NA NA 61.41
1980038 1980 02 07 79.7 10.19 2.56 0 1.62 NA NA 64.75
1980039 1980 02 08 103.75 9.77 2.56 0 0.07 NA NA 58.08
1980040 1980 02 09 68 9.24 2.61 0 1.62 NA NA 63.04
1980041 1980 02 10 47.44 6.68 2.58 0.32 1.53 NA NA 83.69
1980042 1980 02 11 44.91 4.72 -0.16 5.84 3.09 NA NA 80.5
1980043 1980 02 12 129.68 8.81 -1.12 0 1.11 NA NA 47.14
1980044 1980 02 13 107.86 9.24 -1.59 1.5 2.37 NA NA 48.07
1980045 1980 02 14 73.06 4.75 -4.29 3.4 3.67 NA NA 49.7
1980046 1980 02 15 137.59 6.7 -4.31 0 1.11 NA NA 39.61
1980047 1980 02 16 112.92 8.39 0.28 0 0.75 NA NA 53.73
1980048 1980 02 17 54.4 8 0.52 2.18 2.15 NA NA 80.74
1980049 1980 02 18 137.59 9.24 -1.75 0 2.03 NA NA 47.29
1980050 1980 02 19 148.34 9.69 -0.64 0 2.27 NA NA 52.02
1980051 1980 02 20 18.66 7.1 2.74 0 0.89 NA NA 88.03
1980052 1980 02 21 73.7 7.81 -0.96 0.01 2.98 NA NA 61.96
1980053 1980 02 22 177.75 5.33 -3.89 0 2.27 NA NA 41.63
1980054 1980 02 23 182.5 4.88 -4.6 0 2.73 NA NA 36.04
1980055 1980 02 24 99 3.32 -5.08 0.77 2.62 NA NA 53.11
1980056 1980 02 25 108.17 2.11 -5.08 0 3.93 NA NA 54.74
1980057 1980 02 26 193.89 3.11 -6.74 0 3.22 NA NA 36.74
1980058 1980 02 27 140.12 4.17 -6.45 0.01 4.16 NA NA 37.51
1980059 1980 02 28 200.84 4.35 -4.58 0 3.6 NA NA 37.28
1980060 1980 02 29 207.8 9.45 -5.61 0 1.45 NA NA 20.52
1980061 1980 03 01 169.69 11.97 1.86 0 1 NA NA 26.5
1980062 1980 03 02 144.98 10.27 2.53 0 1.63 NA NA 39.14
1980063 1980 03 03 39.95 6.48 2.94 2.62 2.32 NA NA 77.22
1980064 1980 03 04 94.32 6.99 -0.18 11.32 2.42 NA NA 69.73
1980065 1980 03 05 161.45 8.91 -1.33 0 2.03 NA NA 45.15
1980066 1980 03 06 150.33 10.94 1.24 0 1.56 NA NA 46.87
1980067 1980 03 07 79.9 7.08 1.72 18.27 2.6 NA NA 66.76
1980068 1980 03 08 59.72 6.48 2.12 4.83 2.42 NA NA 74.49
1980069 1980 03 09 83.61 7.24 0.76 8.02 2.21 NA NA 64.42
1980070 1980 03 10 82.79 5.6 1.72 6.06 0.86 NA NA 68.4
1980071 1980 03 11 59.72 3.75 0.39 1.96 1.63 NA NA 73.24
1980072 1980 03 12 80.73 2.71 -0.9 0 1.43 NA NA 68.25
1980073 1980 03 13 72.49 3.2 -2.76 1.31 1.43 NA NA 61.38
1980074 1980 03 14 141.27 1.2 -4.07 0 2.32 NA NA 59.12
1980075 1980 03 15 218.71 2.65 -4.69 0 2.03 NA NA 48.9
1980076 1980 03 16 168.04 5.72 -4.71 0 1.73 NA NA 47.57
1980077 1980 03 17 75.78 4.17 0.07 2.62 1 NA NA 67.93
1980078 1980 03 18 156.93 6.48 -0.37 0 0.51 NA NA 53.5
1980079 1980 03 19 167.22 7.54 -2.25 1.96 1.85 NA NA 52.49
1980080 1980 03 20 186.58 8.45 -0.46 0 2.6 NA NA 47.02
1980081 1980 03 21 234.77 12.58 -0.78 0 1 NA NA 37.12
1980082 1980 03 22 101.73 9.06 -0.97 6.44 2.21 NA NA 52.49
1980083 1980 03 23 130.56 2.17 -4.3 1.31 3.6 NA NA 61.15
1980084 1980 03 24 245.89 11.15 -4.76 0 1.43 NA NA 36.73
1980085 1980 03 25 219.53 15.46 -1.24 0 1.85 NA NA 36.34
1980086 1980 03 26 218.71 16.49 2.6 0 2.32 NA NA 36.26
1980087 1980 03 27 67.14 11.54 2.6 1.07 1.3 NA NA 59.12
1980088 1980 03 28 141.68 12.79 1.06 0 2.32 NA NA 41.25
