*WEATHER DATA - Station:Martonvásár - BADJAM DATA - BADJer: IPSL - Method: CDFt - Source model: MPICCLM
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Martonvásár 47.35 18.81 185.9 11.33 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 54.9 3.75 -1.72 0 2.25 NA NA 61.37
1980002 1980 01 02 41.29 7.45 -0.15 0 4.17 NA NA 58.8
1980003 1980 01 03 37.07 3.39 -3.53 0 4.6 NA NA 58.87
1980004 1980 01 04 53.02 2.4 -4.36 0 0.94 NA NA 51.54
1980005 1980 01 05 17.99 1.25 -4.16 2.01 0.5 NA NA 82.22
1980006 1980 01 06 12.2 2.84 -1.56 8.36 0.73 NA NA 83.54
1980007 1980 01 07 30.34 5.19 0.65 0.44 3.83 NA NA 80.73
1980008 1980 01 08 21.12 3.75 -1.56 2.43 2.19 NA NA 81.83
1980009 1980 01 09 24.87 1.16 -2.19 2.37 3.01 NA NA 88.15
1980010 1980 01 10 34.88 2.4 -1.89 2.01 0.73 NA NA 83.31
1980011 1980 01 11 41.29 3.07 -3.66 0 0.8 NA NA 76.28
1980012 1980 01 12 68.66 0.69 -6.2 0.31 2.19 NA NA 66.06
1980013 1980 01 13 37.07 2.98 -3.66 0 4.9 NA NA 77.22
1980014 1980 01 14 57.87 -0.48 -6.97 0 4.06 NA NA 58.25
1980015 1980 01 15 41.29 1.51 -6.97 0.44 3.83 NA NA 66.84
1980016 1980 01 16 71.63 0.96 -4.86 0 4.17 NA NA 70.04
1980017 1980 01 17 27.06 0.57 -7.4 0.85 3.01 NA NA 79.56
1980018 1980 01 18 38.32 -3.98 -11.71 0 3.47 NA NA 43.5
1980019 1980 01 19 66.47 -5.01 -10.71 0 4.17 NA NA 54.27
1980020 1980 01 20 69.45 -3.86 -11.24 0 3.83 NA NA 45.14
1980021 1980 01 21 80.86 -3.51 -12.51 0 1.71 NA NA 42.56
1980022 1980 01 22 49.74 -3.51 -12.58 0 3.62 NA NA 55.05
1980023 1980 01 23 47.24 -0.1 -6.97 0.62 2.25 NA NA 69.34
1980024 1980 01 24 70.23 -2.07 -9.71 0 3.47 NA NA 60.2
1980025 1980 01 25 65.22 -0.95 -9.44 0 2 NA NA 42.95
1980026 1980 01 26 68.66 -0.83 -8.24 0 2.19 NA NA 54.97
1980027 1980 01 27 81.96 -1.36 -9.11 0 2.67 NA NA 49.51
1980028 1980 01 28 15.95 1.43 -6.43 5.22 6.18 NA NA 65.12
1980029 1980 01 29 15.95 2.34 -1.25 7.36 4.29 NA NA 89.09
1980030 1980 01 30 15.49 3.25 -0.89 1.48 3.28 NA NA 84.71
1980031 1980 01 31 39.73 4.89 0.38 0.44 3.01 NA NA 77.22
1980032 1980 02 01 45.36 7.41 0.64 0 1.3 NA NA 74.31
1980033 1980 02 02 65.95 11 2.27 0 1.98 NA NA 65.69
1980034 1980 02 03 58.13 11.73 3.94 0.49 2.79 NA NA 66.92
1980035 1980 02 04 66.47 11.86 4.44 4.23 4.84 NA NA 65.22
1980036 1980 02 05 91.24 15.67 3.94 0 3.49 NA NA 52.43
1980037 1980 02 06 23.46 7.19 1.77 5.04 2.28 NA NA 82.51
1980038 1980 02 07 75.08 11.83 1.27 0 2.48 NA NA 60.57
1980039 1980 02 08 72.99 12.56 2.43 0 2.79 NA NA 66.86
1980040 1980 02 09 92.8 11.25 3.81 0 3.49 NA NA 70
1980041 1980 02 10 52.4 9.6 3.94 0.69 4.61 NA NA 75.88
1980042 1980 02 11 34.67 6.75 2.09 1.9 3.03 NA NA 80.87
1980043 1980 02 12 102.19 10.14 2.24 0 1.84 NA NA 60.09
1980044 1980 02 13 89.41 8.59 1.24 2.31 4.6 NA NA 59.4
1980045 1980 02 14 102.19 6.27 0.14 0 3.03 NA NA 48.33
1980046 1980 02 15 112.61 7.41 -0.05 0 2.48 NA NA 50.31
1980047 1980 02 16 52.4 7.29 2.24 4.16 2.28 NA NA 77.86
1980048 1980 02 17 43.8 5.03 -0.92 18.2 4.98 NA NA 70.89
1980049 1980 02 18 112.61 5.95 -0.89 0.69 4.52 NA NA 46.96
1980050 1980 02 19 100.62 4.65 -3.78 0 2.16 NA NA 49.42
1980051 1980 02 20 103.23 2.81 -4.16 0 2.16 NA NA 60.16
1980052 1980 02 21 144.16 2.9 -4.91 0 1.84 NA NA 53.46
1980053 1980 02 22 120.95 5.32 -4.91 0 0.5 NA NA 36.84
1980054 1980 02 23 81.59 7.03 -1.58 0 1.53 NA NA 50.11
1980055 1980 02 24 131.12 7.54 -1.46 0 2.7 NA NA 42.79
1980056 1980 02 25 151.19 6.37 -3.22 0 1.09 NA NA 36.71
1980057 1980 02 26 123.82 7.79 -0.93 0 1.3 NA NA 39.17
1980058 1980 02 27 123.04 13.38 2.43 0 1.64 NA NA 46.89
1980059 1980 02 28 160.06 14.81 1.43 0 0.5 NA NA 39.99
1980060 1980 02 29 166.31 15.86 1.46 0 2.28 NA NA 40.74
1980061 1980 03 01 91.24 14.48 1.87 0 2.98 NA NA 46.34
1980062 1980 03 02 116.42 14.42 4.57 0 2.52 NA NA 52.67
1980063 1980 03 03 122.26 13.52 3.25 0 2.52 NA NA 55.58
1980064 1980 03 04 109.49 13.91 2.86 0 2.36 NA NA 56.88
1980065 1980 03 05 49.27 10.49 5.47 3.03 1.39 NA NA 77.8
1980066 1980 03 06 98.17 13.91 2.49 0 1.92 NA NA 48.94
1980067 1980 03 07 161.67 13.49 0.94 0 1.59 NA NA 42.86
1980068 1980 03 08 112.77 13.91 2.34 0 2.82 NA NA 52.67
1980069 1980 03 09 99.27 8.95 -1.44 0 3.27 NA NA 59.31
1980070 1980 03 10 83.21 5.69 -1.81 3.63 2.36 NA NA 60.69
1980071 1980 03 11 103.28 4.72 0.37 1.98 3.19 NA NA 70.26
1980072 1980 03 12 155.11 7.56 -1.37 0 1.59 NA NA 46.51
1980073 1980 03 13 181.02 8.92 -1.88 0 1.02 NA NA 34.34
1980074 1980 03 14 182.47 6.69 -2.32 0 2.36 NA NA 43.34
1980075 1980 03 15 182.48 8.23 -2.45 0 1.21 NA NA 36.61
1980076 1980 03 16 180.29 12.37 -0.36 0 1.02 NA NA 40.83
1980077 1980 03 17 183.2 14.27 0.94 0 0.5 NA NA 37.59
1980078 1980 03 18 180.29 15.09 2.7 0 1.39 NA NA 36.45
1980079 1980 03 19 177.73 13.76 1.82 0 3.6 NA NA 38.64
1980080 1980 03 20 197.44 16.09 1.54 0 2.36 NA NA 25.67
1980081 1980 03 21 181.02 17.39 2.03 0 2.62 NA NA 33.7
1980082 1980 03 22 90.88 12.97 0.37 0.23 4.35 NA NA 41.48
1980083 1980 03 23 191.6 8.59 -1.16 0 5.14 NA NA 29.72
1980084 1980 03 24 105.11 14.64 2.34 0.23 4.91 NA NA 34.83
1980085 1980 03 25 133.58 18.14 5.47 0 4.07 NA NA 35.8
1980086 1980 03 26 133.57 22.13 7.96 0.31 4.84 NA NA 29.72
1980087 1980 03 27 160.58 15.96 6.61 0 3.86 NA NA 43.18
1980088 1980 03 28 97.81 14.64 7.03 3.71 2.24 NA NA 56.23
1980089 1980 03 29 83.94 13.58 6.07 1.09 2.36 NA NA 66.77
1980090 1980 03 30 86.86 11.7 1.35 0 3.27 NA NA 59.31
1980091 1980 03 31 221.52 11.28 -0.17 0 2.9 NA NA 35.97
1980092 1980 04 01 130.9 11.86 0.32 6.45 3.23 NA NA 51.26
1980093 1980 04 02 125.75 12.04 2.91 0 2.85 NA NA 53.96
1980094 1980 04 03 165.96 14.86 3.04 0 2.75 NA NA 41.6
1980095 1980 04 04 228.6 12.46 1.01 0 3.59 NA NA 36.27
1980096 1980 04 05 179.98 15.13 2.28 0 2.06 NA NA 38.4
1980097 1980 04 06 234.21 19.84 3.17 0 2.06 NA NA 32.42
1980098 1980 04 07 235.61 20.84 3.73 0 2.47 NA NA 33.16
1980099 1980 04 08 122.48 9.96 0.69 1.07 5.16 NA NA 44.63
1980100 1980 04 09 195.88 13.65 -0.65 0.27 2.85 NA NA 38.89
1980101 1980 04 10 199.15 15.78 3.3 1.17 2.68 NA NA 36.27
1980102 1980 04 11 129.5 14.86 1.74 0 2.85 NA NA 45.2
1980103 1980 04 12 165.02 10.7 1.57 0 6.06 NA NA 33.57
1980104 1980 04 13 158.48 9.59 1.01 2.95 2.68 NA NA 43.89
1980105 1980 04 14 207.1 11.46 1.27 1.87 1.59 NA NA 39.06
1980106 1980 04 15 54.23 14.36 2.07 1.17 1.8 NA NA 58.13
1980107 1980 04 16 211.77 22.24 7.73 8.54 2.75 NA NA 37.17
1980108 1980 04 17 102.85 16.76 7.28 0 1.68 NA NA 53.39
1980109 1980 04 18 254.31 24.19 8.68 0 3.32 NA NA 32.92
1980110 1980 04 19 238.88 25.56 9.39 1.46 3.51 NA NA 30.87
1980111 1980 04 20 237.48 21.42 7.73 0 0.3 NA NA 38.24
1980112 1980 04 21 243.09 23.69 11.18 0 2.47 NA NA 33.16
1980113 1980 04 22 277.68 25.51 8.4 0 3.32 NA NA 24.15
1980114 1980 04 23 224.86 23.66 8.81 0 2.57 NA NA 30.87
1980115 1980 04 24 221.59 24.9 10.98 0 2.57 NA NA 29.23
1980116 1980 04 25 243.56 23.95 9.39 0 3.59 NA NA 26.53
1980117 1980 04 26 120.14 19.1 11.46 0.78 4.88 NA NA 46.26
1980118 1980 04 27 78.07 18.05 10.66 5.33 3.59 NA NA 50.68
1980119 1980 04 28 127.15 18.81 7.58 0 3.32 NA NA 46.51
1980120 1980 04 29 273.01 19.37 6.18 0 3.01 NA NA 36.27
1980121 1980 04 30 248.7 19.37 5.84 0 3.23 NA NA 35.29
1980122 1980 05 01 118.2 16.04 5.59 6.19 2.89 NA NA 58.11
1980123 1980 05 02 196.99 20.17 7.59 1.63 0.76 NA NA 50.87
1980124 1980 05 03 100.39 18.18 10.52 10.81 2.81 NA NA 68.23
1980125 1980 05 04 95.53 19.04 12.19 2.54 2.52 NA NA 66.97
1980126 1980 05 05 144.64 21.03 11.99 2.38 0.3 NA NA 57.12
1980127 1980 05 06 189.98 20.5 11.67 2.73 1.91 NA NA 55.44
1980128 1980 05 07 212.1 21.14 10.73 3.73 3.01 NA NA 51.57
1980129 1980 05 08 132.23 20.06 11.32 4.16 2.61 NA NA 63.1
1980130 1980 05 09 122.51 18.18 9.93 0 2.81 NA NA 58.67
1980131 1980 05 10 134.39 18.18 9.45 0 2.32 NA NA 57.97
1980132 1980 05 11 178.64 19.12 8.96 0 3.34 NA NA 48.12
1980133 1980 05 12 272.01 20.75 5.03 0 3.54 NA NA 33.99
1980134 1980 05 13 236.93 16.57 3.53 0 2.24 NA NA 35.75
1980135 1980 05 14 207.78 18.01 6.92 0 1.49 NA NA 42.36
1980136 1980 05 15 291.44 21.48 5.24 0 0.5 NA NA 34.97
1980137 1980 05 16 289.82 24.28 10.82 0 0.4 NA NA 30.33
1980138 1980 05 17 263.38 25.02 9.28 0 2.32 NA NA 35.04
1980139 1980 05 18 71.24 20.89 13.43 6.19 1.91 NA NA 66.55
1980140 1980 05 19 255.28 23.97 10.82 0 2.1 NA NA 47.07
1980141 1980 05 20 274.17 26.91 13.86 0 1.61 NA NA 43.27
1980142 1980 05 21 134.39 22.53 15.18 6.3 0.55 NA NA 61.34
1980143 1980 05 22 100.38 19.84 11.17 16.12 1.37 NA NA 60.29
1980144 1980 05 23 167.85 20.34 12.19 0.9 0.4 NA NA 58.11
1980145 1980 05 24 267.69 24.52 10.73 0 0.5 NA NA 43.83
1980146 1980 05 25 294.14 26.08 12.04 0 2.1 NA NA 39.19
1980147 1980 05 26 269.32 26.58 12.51 0 3.18 NA NA 37.5
1980148 1980 05 27 126.83 22.78 14.49 8.86 2.45 NA NA 60.5
1980149 1980 05 28 93.91 19.56 12.19 8.69 5.3 NA NA 66.97
1980150 1980 05 29 220.2 20.92 11.32 1.63 4.68 NA NA 53.82
1980151 1980 05 30 277.4 21.53 9.78 0 4.68 NA NA 46.08
1980152 1980 05 31 273.09 21.56 8.57 0 2.89 NA NA 44.61
1980153 1980 06 01 288.64 23.63 9.07 0 1.1 NA NA 35.38
1980154 1980 06 02 230.48 23.1 9.93 2 1.83 NA NA 45.44
1980155 1980 06 03 221.95 22.79 13.04 3.17 2.07 NA NA 57.23
1980156 1980 06 04 185.67 22.53 13.31 4.91 2.3 NA NA 59.55
1980157 1980 06 05 207.01 21.94 12.5 2.88 2.55 NA NA 59.12
1980158 1980 06 06 228.88 22.79 12.83 0 2.89 NA NA 49.57
1980159 1980 06 07 101.37 21.1 12.43 4.62 2.3 NA NA 59.04
1980160 1980 06 08 105.1 21.86 12.38 1.43 2.89 NA NA 60.93
1980161 1980 06 09 188.87 24.51 13.08 11.54 1.36 NA NA 58.52
1980162 1980 06 10 236.88 24.08 11.34 0 2.46 NA NA 45.36
1980163 1980 06 11 313.18 22.65 10.05 0 2.55 NA NA 37.1
1980164 1980 06 12 307.31 21.44 9.8 0 2.46 NA NA 34.6
1980165 1980 06 13 165.39 19.47 9.82 0 2.3 NA NA 47.16
1980166 1980 06 14 182.47 18.59 8.12 0 2.36 NA NA 46.22
1980167 1980 06 15 271.03 22.7 7.99 0 1.83 NA NA 26.86
1980168 1980 06 16 244.35 26.62 9.75 0 2.3 NA NA 25.39
1980169 1980 06 17 260.89 24.73 12.74 0 2.3 NA NA 35.72
1980170 1980 06 18 321.18 27.32 12.5 0 1.49 NA NA 27.8
1980171 1980 06 19 270.5 28.79 14.51 0 1.96 NA NA 32.79
1980172 1980 06 20 225.15 30.28 16.93 32.4 2.3 NA NA 40.97
1980173 1980 06 21 266.23 30.93 17 0 2.89 NA NA 36.06
1980174 1980 06 22 270.49 30.5 16.27 0 2.46 NA NA 33.83
1980175 1980 06 23 120.58 21.44 15.03 1.25 2.36 NA NA 62.05
1980176 1980 06 24 177.66 24.45 14.99 0.84 0.46 NA NA 56.03
1980177 1980 06 25 166.46 23.86 14.94 0.01 1.67 NA NA 56.03
1980178 1980 06 26 271.03 24.08 13.76 0 2.55 NA NA 35.37
1980179 1980 06 27 171.26 23.77 14.26 0 3.82 NA NA 33.05
