*WEATHER DATA - Station:Estrees-Mons - BADJAM DATA - BADJer: IPSL - Method: CDFt - Source model: MPIRCA4
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Estrees-Mons 49.88 3 96.16 10.61 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 25.62 5.98 -0.79 2.05 4.74 NA NA 66.99
1980002 1980 01 02 26.16 4.84 0.97 0.01 4.74 NA NA 82.86
1980003 1980 01 03 4.47 10.94 -0.76 14.3 4.26 NA NA 47.01
1980004 1980 01 04 25.62 11.02 8.95 0.39 4.56 NA NA 88.94
1980005 1980 01 05 34.71 10.12 6.59 0.01 2.74 NA NA 85.02
1980006 1980 01 06 28.2 11.02 6.07 0.01 2.09 NA NA 77.66
1980007 1980 01 07 27.11 11.96 6.47 0.92 4.82 NA NA 77.26
1980008 1980 01 08 28.2 11.44 8.11 0.01 5.47 NA NA 79.96
1980009 1980 01 09 9.76 11.04 9.06 2.4 5.79 NA NA 90.62
1980010 1980 01 10 56.93 9.68 5.84 2.05 3.55 NA NA 63.28
1980011 1980 01 11 21.15 9.83 6.47 0.7 4.6 NA NA 84.21
1980012 1980 01 12 22.1 7.62 5.55 0.78 3.67 NA NA 87.65
1980013 1980 01 13 8.81 9.08 7.08 6.23 1.61 NA NA 90.96
1980014 1980 01 14 23.18 9.78 7.85 0.26 2.63 NA NA 90.22
1980015 1980 01 15 11.25 10.62 6.99 5.21 2.95 NA NA 91.37
1980016 1980 01 16 27.11 6.63 2.26 0.01 1.61 NA NA 44.78
1980017 1980 01 17 19.25 9.08 2.95 1.37 2.23 NA NA 77.86
1980018 1980 01 18 58.97 4.3 -4.05 0.01 4.35 NA NA 41.54
1980019 1980 01 19 60.86 -1.13 -5.46 0.01 1.39 NA NA 63.89
1980020 1980 01 20 60.05 -1.3 -5.83 0.01 1.93 NA NA 61.86
1980021 1980 01 21 60.86 -0.59 -7.25 0.01 1.71 NA NA 65.44
1980022 1980 01 22 45.01 0.21 -5.52 0.01 0.3 NA NA 89.34
1980023 1980 01 23 58.15 -1.21 -7.22 0.01 1.02 NA NA 80.7
1980024 1980 01 24 66.01 -1.03 -7.97 0.01 1.76 NA NA 74.22
1980025 1980 01 25 68.86 -6.02 -10.33 0.01 0.98 NA NA 70.98
1980026 1980 01 26 63.44 -5.05 -11.71 0.01 1.71 NA NA 66.59
1980027 1980 01 27 69.81 -0.56 -8.4 0.01 3.55 NA NA 76.78
1980028 1980 01 28 46.22 1.1 -5.52 0.62 1.5 NA NA 86.3
1980029 1980 01 29 69.81 1.79 -8.54 0.01 1.39 NA NA 82.93
1980030 1980 01 30 84.45 1.67 -9.47 0.01 1.27 NA NA 58.62
1980031 1980 01 31 84.45 3.03 -3.93 0.01 3.37 NA NA 68.41
1980032 1980 02 01 66.43 4.08 0.69 0.02 4.41 NA NA 81.88
1980033 1980 02 02 76.58 7.16 2.27 1.65 5.6 NA NA 71.04
1980034 1980 02 03 49.28 11.94 7.6 2.06 5.2 NA NA 76.97
1980035 1980 02 04 35.75 9.95 7.85 3.9 8.11 NA NA 85.78
1980036 1980 02 05 74.16 10.26 6.14 0.03 5.6 NA NA 63.25
1980037 1980 02 06 26.57 10.1 5.69 5.98 6.39 NA NA 74.08
1980038 1980 02 07 28.02 13.21 5.53 6 5.38 NA NA 77.59
1980039 1980 02 08 80.44 10.6 3.56 1.45 5.6 NA NA 57.48
1980040 1980 02 09 49.28 10.1 6.47 0.56 6.13 NA NA 71.51
1980041 1980 02 10 37.45 9.05 3.32 2.92 7.24 NA NA 49.21
1980042 1980 02 11 72.23 9.87 2.82 4.89 5.72 NA NA 60.05
1980043 1980 02 12 46.38 10.18 4.15 1.32 7.61 NA NA 57.79
1980044 1980 02 13 66.43 7.16 4.15 1.32 8.11 NA NA 52.17
1980045 1980 02 14 48.8 8.08 3.84 3.23 6.39 NA NA 75.96
1980046 1980 02 15 40.1 10.18 5.22 1.41 7.41 NA NA 53.5
1980047 1980 02 16 71.5 8.63 4.23 0.02 4.62 NA NA 56.15
1980048 1980 02 17 86.96 7.63 0.8 0.02 1.98 NA NA 63.17
1980049 1980 02 18 78.03 5.45 -1.19 0.02 2.87 NA NA 60.98
1980050 1980 02 19 117.88 5.64 -3.35 0.02 1.6 NA NA 49.21
1980051 1980 02 20 104.84 5.9 -0.39 0.02 3.24 NA NA 47.88
1980052 1980 02 21 35.99 7.06 -0.61 1.19 3.23 NA NA 61.22
1980053 1980 02 22 34.06 9.53 1.74 2.34 4.88 NA NA 61.22
1980054 1980 02 23 82.37 8.92 2.4 0.02 3.66 NA NA 53.5
1980055 1980 02 24 110.39 14.26 4.59 0.03 6.13 NA NA 49.21
1980056 1980 02 25 116.19 12.23 7.77 0.46 4.41 NA NA 66.44
1980057 1980 02 26 104.84 14.42 4.03 0.02 3.83 NA NA 60.67
1980058 1980 02 27 20.29 11.29 9.15 4.77 3.24 NA NA 93.19
1980059 1980 02 28 29.71 12.6 8.6 2.34 2.95 NA NA 83.83
1980060 1980 02 29 63.29 8.95 5.89 0.02 4.71 NA NA 72.06
1980061 1980 03 01 46.46 7.37 4.34 2.84 3.93 NA NA 74.3
1980062 1980 03 02 54.14 8.79 3.63 4.97 3.87 NA NA 71.78
1980063 1980 03 03 105.84 11.02 2.45 0.02 1.24 NA NA 51.88
1980064 1980 03 04 65.67 10.2 3.55 0.7 2.52 NA NA 56.21
1980065 1980 03 05 100.6 11.39 3.63 0.02 1.96 NA NA 49.93
1980066 1980 03 06 114.22 10.51 0.73 0.02 2.87 NA NA 52.67
1980067 1980 03 07 121.21 10.58 -0.73 0.02 1.76 NA NA 45.9
1980068 1980 03 08 45.06 11.77 5.56 10.16 2.97 NA NA 77.69
1980069 1980 03 09 112.48 12.39 6.5 0.02 3.27 NA NA 61.54
1980070 1980 03 10 68.46 15.24 6.7 4.33 2.8 NA NA 67.67
1980071 1980 03 11 50.3 14.91 9.61 0.53 1 NA NA 80.29
1980072 1980 03 12 112.48 13.01 4.88 0.02 1.96 NA NA 53.32
1980073 1980 03 13 174.66 11.11 1.14 0.02 2.3 NA NA 32.7
1980074 1980 03 14 159.64 10.51 -0.96 0.02 2.69 NA NA 27.8
1980075 1980 03 15 164.53 7.62 -2.41 0.02 1.76 NA NA 32.7
1980076 1980 03 16 154.4 13.14 -1.52 0.02 2.97 NA NA 33.93
1980077 1980 03 17 52.05 9.34 4.34 1.12 3.06 NA NA 75.67
1980078 1980 03 18 131.34 12.06 2.66 0.02 2.87 NA NA 47.63
1980079 1980 03 19 78.95 11.66 4.11 0.02 2.52 NA NA 55.05
1980080 1980 03 20 139.37 9.43 4.38 0.47 3.46 NA NA 61.61
1980081 1980 03 21 104.45 10.11 4.03 0.02 3.46 NA NA 59.31
1980082 1980 03 22 61.48 8.79 5.87 0.62 3.72 NA NA 75.67
1980083 1980 03 23 61.13 10.82 5.87 4.01 4.19 NA NA 72.72
1980084 1980 03 24 61.48 12.3 7.16 4.97 4.32 NA NA 71.78
1980085 1980 03 25 50.3 10.69 2.34 3.55 2.52 NA NA 74.66
1980086 1980 03 26 68.47 8.79 0.97 3.92 2.87 NA NA 66.95
1980087 1980 03 27 61.14 5.05 3.22 0.91 3.62 NA NA 78.63
1980088 1980 03 28 74.06 6.2 2.66 0.02 2.41 NA NA 62.05
1980089 1980 03 29 95.01 11.31 2.66 0.02 1.89 NA NA 62.05
1980090 1980 03 30 171.51 13.87 3.63 0.02 1.89 NA NA 53.03
1980091 1980 03 31 136.23 14.4 2.34 0.91 1.96 NA NA 53.18
1980092 1980 04 01 111.26 14.88 4.35 0 2.27 NA NA 58.37
1980093 1980 04 02 108.93 13.13 3.31 0 2.79 NA NA 53.23
1980094 1980 04 03 180.92 10.25 2 0 2.91 NA NA 42.73
1980095 1980 04 04 133.7 12.74 0.87 0 1.78 NA NA 46.87
1980096 1980 04 05 109.86 13.82 3.87 0 1.88 NA NA 52.73
1980097 1980 04 06 230.94 15.08 2.83 0 4.03 NA NA 41.23
1980098 1980 04 07 132.77 9.5 1.57 5.08 5.77 NA NA 49.87
1980099 1980 04 08 193.07 8.78 -1.7 3.13 2.14 NA NA 34.22
1980100 1980 04 09 147.26 14.01 4.26 1.42 3.8 NA NA 52.73
1980101 1980 04 10 104.25 16.43 8.98 0.46 4.03 NA NA 61.16
1980102 1980 04 11 201.48 16.81 7.98 0 4.48 NA NA 54.37
1980103 1980 04 12 130.9 16.18 9.57 0 3.01 NA NA 60.3
1980104 1980 04 13 150.53 16.06 9.64 0.24 4.77 NA NA 56.8
1980105 1980 04 14 122.95 16.7 10.88 0 4.53 NA NA 61.73
1980106 1980 04 15 165.96 16.35 7.14 0 4.94 NA NA 52.73
1980107 1980 04 16 129.03 11.43 5.92 0 4.84 NA NA 56.87
1980108 1980 04 17 122.95 11.97 4.42 2.05 3.23 NA NA 51.94
1980109 1980 04 18 170.63 14.36 2.61 0.53 1.57 NA NA 43.01
1980110 1980 04 19 167.36 12.06 5.5 1.39 5.64 NA NA 55.59
1980111 1980 04 20 55.63 10.81 6.05 6.59 3.32 NA NA 75.45
1980112 1980 04 21 189.33 15.6 5.57 0 3.45 NA NA 50.16
1980113 1980 04 22 210.37 18.49 6.9 0 0.92 NA NA 40.44
1980114 1980 04 23 138.84 18.88 9.05 2.93 3.23 NA NA 52.3
1980115 1980 04 24 181.85 18.88 10.55 0.24 1.29 NA NA 55.87
