*WEATHER DATA - Station:Libertinia - BADJAM DATA - BADJer: IPSL - Method: CDFt - Source model: MPIRCA4
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Libertinia 37.5 14.58 441.24 15.87 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 76.47 11.47 3.56 0.03 1.59 NA NA 66.05
1980002 1980 01 02 85.08 11.45 2.95 0.03 1.41 NA NA 48.08
1980003 1980 01 03 43.55 11.89 4.76 1 2.74 NA NA 65.44
1980004 1980 01 04 113.44 11.45 3.37 0.02 2.4 NA NA 41.3
1980005 1980 01 05 113.19 11 5.65 0.02 3.38 NA NA 50.25
1980006 1980 01 06 113.19 9.64 3.56 0.02 3.89 NA NA 39
1980007 1980 01 07 114.71 9.3 3.06 0.03 3.38 NA NA 38.52
1980008 1980 01 08 64.06 11.24 7.22 0.03 3.45 NA NA 65.44
1980009 1980 01 09 44.06 12.33 7.85 0.91 3.18 NA NA 67.27
1980010 1980 01 10 101.28 12.85 6.71 0.02 3.98 NA NA 48.08
1980011 1980 01 11 93.18 9.3 5.16 0.02 3.89 NA NA 27.2
1980012 1980 01 12 77.99 9.64 5.32 0.66 1.9 NA NA 60.42
1980013 1980 01 13 67.61 10.25 6.59 0.02 3.81 NA NA 49.3
1980014 1980 01 14 116.73 8.29 2.52 0.02 2.74 NA NA 33.64
1980015 1980 01 15 111.16 5.62 0.99 0.02 2.74 NA NA 31.94
1980016 1980 01 16 68.62 9.25 -0.27 7.4 5.24 NA NA 37.98
1980017 1980 01 17 79 3.89 -0.43 1.34 6.18 NA NA 48.28
1980018 1980 01 18 85.08 6.11 1.68 24.24 2.16 NA NA 59.27
1980019 1980 01 19 103.56 6.68 1.49 2.29 1.16 NA NA 57.3
1980020 1980 01 20 101.28 7.97 1.56 0.49 0.51 NA NA 56.96
1980021 1980 01 21 36.21 7.73 2.45 33.53 1.7 NA NA 82.93
1980022 1980 01 22 73.18 10.69 2.79 4.31 2.09 NA NA 60.76
1980023 1980 01 23 77.99 7.36 2.25 1.82 5.81 NA NA 51.61
1980024 1980 01 24 81.53 5.48 2 7.21 1.9 NA NA 68.56
1980025 1980 01 25 76.47 8.21 2.7 1 0.99 NA NA 62.39
1980026 1980 01 26 29.88 11.24 3.96 7.06 2 NA NA 71.07
1980027 1980 01 27 103.05 14.2 8.66 0.03 4.13 NA NA 63.47
1980028 1980 01 28 68.62 14.92 11.13 0.03 6.18 NA NA 59.67
1980029 1980 01 29 46.08 12.43 11.04 0.66 6.87 NA NA 79.13
1980030 1980 01 30 33.68 11.45 7.93 35.55 6.87 NA NA 80.29
1980031 1980 01 31 28.61 9.3 6.14 34.87 6.86 NA NA 83.27
1980032 1980 02 01 98.78 7.98 3.89 0 4.32 NA NA 48.22
1980033 1980 02 02 106.59 5.19 3.02 0 2.99 NA NA 46.74
1980034 1980 02 03 68.57 7.9 3.12 0.35 3.37 NA NA 54.7
1980035 1980 02 04 87.41 9.36 3.79 0 1.4 NA NA 52.54
1980036 1980 02 05 65.38 9.61 4.43 8.2 4.12 NA NA 79.02
1980037 1980 02 06 77.1 11.3 8.26 0 4.85 NA NA 67.05
1980038 1980 02 07 91.32 11.8 8.17 0 3.1 NA NA 60.35
1980039 1980 02 08 87.05 12.03 7.47 0 2.26 NA NA 66.45
1980040 1980 02 09 142.13 11.43 4.67 0 1.81 NA NA 50.83
1980041 1980 02 10 148.17 11.93 0.85 0 0.69 NA NA 45.4
1980042 1980 02 11 45.48 13.53 6.14 1.24 2.8 NA NA 60.28
1980043 1980 02 12 166.64 14.53 5.18 0 2.2 NA NA 39.67
1980044 1980 02 13 109.08 14.99 7.47 0 2.8 NA NA 53.65
1980045 1980 02 14 171.97 13.24 5.65 0 3.16 NA NA 42.72
1980046 1980 02 15 166.64 13.93 2.57 0 2.09 NA NA 37.66
1980047 1980 02 16 178.72 15.95 6.14 0 3.49 NA NA 41.23
1980048 1980 02 17 117.61 14.99 4.94 0.42 2.5 NA NA 58.27
1980049 1980 02 18 189.02 14.99 1.64 0 1.24 NA NA 34.01
1980050 1980 02 19 116.54 14.47 6.16 0.42 1.49 NA NA 55.22
1980051 1980 02 20 60.76 10.8 7.33 5.28 3.16 NA NA 82.52
1980052 1980 02 21 142.12 11.18 3.21 0 3.27 NA NA 44.28
1980053 1980 02 22 109.08 10.82 2.79 1.61 1.81 NA NA 53.95
1980054 1980 02 23 148.16 11.8 4.24 0 3.37 NA NA 41.08
1980055 1980 02 24 130.75 12.47 3.12 1.54 2.01 NA NA 46.96
1980056 1980 02 25 113.7 10.61 4.67 0 2.9 NA NA 50.46
1980057 1980 02 26 164.16 10.72 2.93 0 2.5 NA NA 41.75
1980058 1980 02 27 138.93 10.13 2.78 0 2.9 NA NA 45.62
1980059 1980 02 28 198.26 12.16 1.99 0 2.26 NA NA 30.59
1980060 1980 02 29 196.49 13.07 0.06 0 0.69 NA NA 35.87
1980061 1980 03 01 195.76 12.77 3.72 0.02 3.13 NA NA 40.78
1980062 1980 03 02 102.48 15.76 7.76 6.26 3.16 NA NA 48.51
1980063 1980 03 03 93.28 10.08 3.82 5.04 1.9 NA NA 52.22
1980064 1980 03 04 134.01 10.08 3.82 0.02 2.08 NA NA 45.86
1980065 1980 03 05 109.92 12.82 6.28 3 2.87 NA NA 57.98
1980066 1980 03 06 102.48 12.41 6.95 17.48 1 NA NA 63.67
1980067 1980 03 07 63.5 7.94 7.37 35.74 5.49 NA NA 74.81
1980068 1980 03 08 225.54 14.11 7.91 0.02 4.54 NA NA 48.06
1980069 1980 03 09 215.9 13.67 4.95 0.01 2.77 NA NA 42.45
1980070 1980 03 10 179.56 13.18 4.31 0.02 0.88 NA NA 42.45
1980071 1980 03 11 157.66 12.1 4.31 2.1 1.38 NA NA 51.92
1980072 1980 03 12 116.05 12.64 4.71 4.78 2.58 NA NA 57.15
