*WEATHER DATA - Station:Orleans  - BADJAM DATA - BADJer: IPSL - Method: CDFt - Source model: MPIREMO09
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Orleans  47.83 1.91 123.08 10.9 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 21.81 7.36 -0.34 9.91 5.07 NA NA 68.97
1980002 1980 01 02 36.5 7.7 0.04 6.12 3.15 NA NA 76.05
1980003 1980 01 03 26.17 10.66 -0.34 9.97 2.46 NA NA 49.12
1980004 1980 01 04 34.67 10.79 8.35 0.29 3.56 NA NA 89.23
1980005 1980 01 05 44.31 10.79 5.76 0 1.85 NA NA 82.15
1980006 1980 01 06 58.77 10.79 3.15 0 1.38 NA NA 72.39
1980007 1980 01 07 42.47 10.87 6.2 0 2.83 NA NA 71.66
1980008 1980 01 08 43.85 10.79 5.76 0 4.09 NA NA 69.13
1980009 1980 01 09 21.81 11.49 7.47 0.29 5.07 NA NA 82.8
1980010 1980 01 10 44.31 10.87 6.59 0.29 2.62 NA NA 73.45
1980011 1980 01 11 33.06 9.09 5.15 3.24 3.05 NA NA 82.8
1980012 1980 01 12 33.06 10.74 7.41 0.4 3.65 NA NA 82.64
1980013 1980 01 13 21.81 8.53 6.23 0.65 2.46 NA NA 82.56
1980014 1980 01 14 30.07 8.53 1.39 0 2.38 NA NA 82.23
1980015 1980 01 15 47.06 4.32 -0.63 0 2.09 NA NA 65.23
1980016 1980 01 16 41.32 7.28 -0.28 0.18 3.15 NA NA 69.13
1980017 1980 01 17 35.12 8 3.68 0.5 4.3 NA NA 77.68
1980018 1980 01 18 34.67 6.34 -0.19 0.29 5.07 NA NA 69.62
1980019 1980 01 19 27.78 4.32 -0.28 0.86 1.01 NA NA 85.16
1980020 1980 01 20 53.95 4.26 -3.45 0 1.52 NA NA 73.45
1980021 1980 01 21 50.28 -1.36 -5.06 0 1.12 NA NA 82.48
1980022 1980 01 22 41.33 -0.72 -3.89 0 1.01 NA NA 87.68
1980023 1980 01 23 30.53 -0.16 -3.54 4.78 2.19 NA NA 94.11
1980024 1980 01 24 80.81 -0.24 -6.03 0 1.69 NA NA 79.71
1980025 1980 01 25 49.82 -4.72 -6.71 0 1.25 NA NA 90.45
1980026 1980 01 26 57.85 -5.6 -7.71 0 3.42 NA NA 88.5
1980027 1980 01 27 100.78 -4.72 -7.76 0 4.85 NA NA 76.29
