*WEATHER DATA - Station:Poltava - BADJAM DATA - BADJer: IPSL - Method: CDFt - Source model: MPIREMO09
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Poltava 49.37 33.17 98.61 8.59 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 48.03 6.83 -0.15 0 4.07 NA NA 61.04
1980002 1980 01 02 39.23 1.09 -4.49 0 1.28 NA NA 71.07
1980003 1980 01 03 24.75 4.16 -3.36 4.48 2 NA NA 63.46
1980004 1980 01 04 11.54 4.16 -2.92 5.4 4.07 NA NA 55.34
1980005 1980 01 05 36.5 -1.41 -6.89 1.17 6.8 NA NA 59.92
1980006 1980 01 06 53.49 -5.92 -10.95 0 4.73 NA NA 69.86
1980007 1980 01 07 60.41 -6.17 -12.03 0 1.03 NA NA 59.75
1980008 1980 01 08 47.61 -4.14 -8.1 0 2.38 NA NA 77.9
1980009 1980 01 09 53.49 -8.33 -12.07 0 3.67 NA NA 75.56
1980010 1980 01 10 55.59 -8.61 -12.07 0 5.93 NA NA 74.27
1980011 1980 01 11 43.63 -10.34 -14.48 0.39 6.13 NA NA 75.31
1980012 1980 01 12 63.77 -13.64 -15.25 0 2.63 NA NA 75.31
1980013 1980 01 13 42.79 -14.53 -15.65 0 5.5 NA NA 84.38
1980014 1980 01 14 39.22 -9.65 -15.09 1.17 5.96 NA NA 61.39
1980015 1980 01 15 48.03 -5.14 -10.71 1.34 4.07 NA NA 71.67
1980016 1980 01 16 51.18 -5.31 -14.64 0.68 1.74 NA NA 65.28
1980017 1980 01 17 50.76 -7.67 -18.14 0 1.08 NA NA 41.25
1980018 1980 01 18 51.81 -10.28 -19.9 0 1.74 NA NA 51.28
1980019 1980 01 19 26.22 -5.05 -12.68 9.04 4.07 NA NA 64.16
1980020 1980 01 20 51.18 -7.87 -19.78 0 2.15 NA NA 44.02
1980021 1980 01 21 38.39 -7.67 -12.03 1.65 3.67 NA NA 77.21
1980022 1980 01 22 42.79 -8.9 -17.82 1.88 2 NA NA 70.46
1980023 1980 01 23 43.63 0.46 -15.25 3.54 2.79 NA NA 68.56
1980024 1980 01 24 32.09 -0.12 -7.22 1.71 3.96 NA NA 67.35
1980025 1980 01 25 56.84 -5.94 -8.06 0 8 NA NA 75.65
1980026 1980 01 26 72.99 -7.64 -12.07 0 8.57 NA NA 55.34
1980027 1980 01 27 72.99 -9.76 -14.48 0 7.08 NA NA 65.71
1980028 1980 01 28 81.59 -11.23 -16.53 0 3.96 NA NA 74.35
1980029 1980 01 29 54.54 -7.64 -12.64 0 6.8 NA NA 73.58
1980030 1980 01 30 42.79 -5.92 -8.06 0 7.02 NA NA 71.59
