*WEATHER DATA - Station:Jokioinen - BADJAM DATA - BADJer: IPSL - Method: CDFt - Source model: MPIREMO09
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Jokioinen 60.8 23.48 99.43 4.01 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 7.52 2.29 -0.33 0.85 1.03 NA NA 82.01
1980002 1980 01 02 8.4 0.72 -1.78 0.34 0.73 NA NA 81.25
1980003 1980 01 03 8.4 -0.17 -3.56 0.34 0.47 NA NA 81.34
1980004 1980 01 04 13.83 -2.16 -5.38 0 0.92 NA NA 81
1980005 1980 01 05 5.28 0.11 -4.92 5.52 1.73 NA NA 82.86
1980006 1980 01 06 5.28 0.72 -2.44 8.03 1.21 NA NA 79.56
1980007 1980 01 07 12.39 0.72 -8.31 0.54 1.82 NA NA 55.74
1980008 1980 01 08 14.63 -7.53 -17.67 0 1.21 NA NA 68.24
1980009 1980 01 09 14.64 -22.41 -29.88 0 0.47 NA NA 49.99
1980010 1980 01 10 10.24 -6.4 -29.88 0 0.73 NA NA 19.83
1980011 1980 01 11 14.63 -3 -8.52 0 1.73 NA NA 79.14
1980012 1980 01 12 16.87 -10.04 -20.9 0 1.21 NA NA 48.22
1980013 1980 01 13 11.27 -12.83 -18.83 0 1.31 NA NA 64.52
1980014 1980 01 14 12.4 -15.62 -26.61 0 0.37 NA NA 20.67
1980015 1980 01 15 18.55 -11.98 -16.34 0 1.13 NA NA 69.17
1980016 1980 01 16 10.24 -4.26 -11.96 1.1 1.82 NA NA 70.27
1980017 1980 01 17 19.51 -5.03 -11.75 0 1.4 NA NA 57.17
1980018 1980 01 18 10.24 -3.37 -10.47 0.85 1.6 NA NA 73.56
1980019 1980 01 19 10.23 -5.47 -15.56 0 1.13 NA NA 56.07
1980020 1980 01 20 20.63 -7.53 -15.93 0 1.52 NA NA 52.53
1980021 1980 01 21 8.4 -4.06 -22.3 0.64 0.92 NA NA 30.98
1980022 1980 01 22 16.87 -0.94 -5.58 0 1.52 NA NA 79.9
1980023 1980 01 23 7.52 -3.21 -7.32 0.34 2.01 NA NA 79.98
1980024 1980 01 24 14.63 -2.07 -7.32 0.42 2.01 NA NA 80.58
1980025 1980 01 25 8.4 -1.31 -5.62 1.24 2.11 NA NA 80.41
1980026 1980 01 26 19.51 -4.82 -8.31 0.54 1.9 NA NA 77.7
1980027 1980 01 27 23.82 -5.63 -11.5 0 1.6 NA NA 73.39
1980028 1980 01 28 18.55 -7.82 -12.79 0 1.52 NA NA 73.39
1980029 1980 01 29 23.83 -6.56 -10.72 0.34 2.49 NA NA 77.7
1980030 1980 01 30 11.27 -1.63 -7.32 3.03 2.58 NA NA 73.39
1980031 1980 01 31 19.51 -1.71 -8.31 0.54 1.73 NA NA 70.86
1980032 1980 02 01 11.54 1.89 -3.58 3.46 2.2 NA NA 80.72
1980033 1980 02 02 34.81 1.2 -7.23 0.86 1.8 NA NA 69.3
1980034 1980 02 03 43.6 -0.34 -14.27 0 1.59 NA NA 46.55
1980035 1980 02 04 34.81 0.64 -13.92 0 0.92 NA NA 53.04
1980036 1980 02 05 31.88 -2.84 -10.14 0 1.49 NA NA 65.75
1980037 1980 02 06 13.1 0.68 -2.79 0.73 1.8 NA NA 83.05
1980038 1980 02 07 13.1 0.74 -0.58 2.3 1.7 NA NA 84.87
1980039 1980 02 08 27.96 1.14 -0.58 7.36 2.21 NA NA 82.36
1980040 1980 02 09 26.4 1.2 0.25 1.44 1.26 NA NA 82.44
1980041 1980 02 10 10.76 1.33 0.43 2.41 2.2 NA NA 83.05
1980042 1980 02 11 20.14 1.17 -0.1 4.83 1.89 NA NA 82.7
1980043 1980 02 12 8.02 1.04 -0.67 5.01 2.28 NA NA 82.36
1980044 1980 02 13 22.3 -0.77 -4.99 1.65 2.44 NA NA 80.97
1980045 1980 02 14 34.81 -6.68 -7.41 0.73 2.44 NA NA 83.31
1980046 1980 02 15 18.58 -9.63 -8.73 2.3 2.29 NA NA 85.21
1980047 1980 02 16 38.72 -3.85 -7.49 0.86 2.44 NA NA 77.77
1980048 1980 02 17 15.64 -7.3 -8.33 3.22 2.28 NA NA 82.88
1980049 1980 02 18 29.14 -2.67 -8.24 0.8 1.36 NA NA 81.49
1980050 1980 02 19 38.72 -1.2 -3.89 0 0.86 NA NA 81.58
1980051 1980 02 20 44.78 -2.61 -13.96 0 1.31 NA NA 75.09
1980052 1980 02 21 28.35 -3.72 -16.16 2.2 1.59 NA NA 68.43
1980053 1980 02 22 34.81 -3.07 -6.57 0.64 1.8 NA NA 83.31
1980054 1980 02 23 71.37 1.14 -3.58 0 2.36 NA NA 67.14
1980055 1980 02 24 62.96 0.35 -4.99 0 2.14 NA NA 74.31
1980056 1980 02 25 38.13 1.14 -4.99 0.8 2.61 NA NA 69.56
1980057 1980 02 26 23.46 1.17 0.16 4.36 2.36 NA NA 83.4
1980058 1980 02 27 23.47 2.61 0.25 7.11 2.28 NA NA 84
1980059 1980 02 28 37.74 1.89 1.13 3.11 2.44 NA NA 84.52
1980060 1980 02 29 21.51 2.38 1.26 2.3 2.03 NA NA 85.3
1980061 1980 03 01 44.77 2.51 0.32 0.5 1.62 NA NA 85.31
1980062 1980 03 02 70.34 1.92 -2.46 0.41 1.74 NA NA 78.6
1980063 1980 03 03 103.92 4.4 -2.12 0 1.53 NA NA 78.6
1980064 1980 03 04 78.34 1.68 -4.56 0 0.86 NA NA 75.81
1980065 1980 03 05 81.54 1.77 -3.93 0 1.26 NA NA 76.53
1980066 1980 03 06 97.92 1.92 -2.46 0 1.44 NA NA 76.53
1980067 1980 03 07 73.54 1.68 -3.46 0 1.44 NA NA 75.31
1980068 1980 03 08 109.51 0.53 -4.94 0 1.93 NA NA 68.24
1980069 1980 03 09 133.09 -1.45 -6.45 0 1.93 NA NA 66.32
1980070 1980 03 10 137.09 -0.59 -7.92 0 1.62 NA NA 54.46
1980071 1980 03 11 139.49 1.27 -11.62 0 0.93 NA NA 35.33
1980072 1980 03 12 125.5 0.96 -12.04 0 1.26 NA NA 51.61
1980073 1980 03 13 114.31 1.83 -1.7 0 1.53 NA NA 78.24
1980074 1980 03 14 77.14 1.83 -1.7 0 1.35 NA NA 82.38
1980075 1980 03 15 160.27 4.87 -9.02 0 1.14 NA NA 61.68
1980076 1980 03 16 119.5 1.68 -7.67 0 1.14 NA NA 73.67
1980077 1980 03 17 53.56 2.51 -1.03 3.27 1.14 NA NA 84.6
1980078 1980 03 18 38.77 4.59 -0.56 1.46 1.44 NA NA 84.95
1980079 1980 03 19 89.53 2.02 -6.7 0 1.05 NA NA 74.24
1980080 1980 03 20 119.51 -0.21 -4.98 0.95 2.04 NA NA 73.03
1980081 1980 03 21 166.67 -1.89 -19.19 0 1.35 NA NA 35.33
1980082 1980 03 22 58.35 -3.31 -16.63 6.84 1.74 NA NA 74.74
1980083 1980 03 23 75.14 -3.22 -8.68 0.71 1.81 NA NA 77.88
