*WEATHER DATA - Station:Schleswig - BADJAM DATA - BADJer: IPSL - Method: CDFt - Source model: NCCNor
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Schleswig 54.53 9.55 17.85 7.58 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 17.39 1.48 -0.82 0.02 3.44 NA NA 88.39
1980002 1980 01 02 21.21 2.5 0.52 0.02 3.44 NA NA 88.16
1980003 1980 01 03 20.25 3.03 0.68 1.21 4.86 NA NA 87.12
1980004 1980 01 04 9.86 5.22 2 10.39 8.33 NA NA 83.89
1980005 1980 01 05 30.74 4.35 0.63 0.02 3.35 NA NA 84.98
1980006 1980 01 06 9.86 7.17 0.49 6.51 2.81 NA NA 80.48
1980007 1980 01 07 18.87 7.96 5.04 0.02 4.69 NA NA 82.33
1980008 1980 01 08 25.87 4.5 -1.48 0.02 1 NA NA 81.98
1980009 1980 01 09 24.7 2.74 -0.41 0.02 0.8 NA NA 88.34
1980010 1980 01 10 16.43 7.51 0.52 0.02 2.53 NA NA 83.94
1980011 1980 01 11 31.27 5.03 1.94 4.42 4.69 NA NA 84.87
1980012 1980 01 12 21.2 3.82 0.68 0.6 4.46 NA NA 79.5
1980013 1980 01 13 30.75 1.92 -0.41 0.98 3.35 NA NA 80.65
1980014 1980 01 14 16.44 4.91 1.29 0.02 5.06 NA NA 82.04
1980015 1980 01 15 10.92 5.84 2.19 11.57 5.89 NA NA 84.06
1980016 1980 01 16 20.25 4.66 3.07 2.76 6.06 NA NA 82.79
1980017 1980 01 17 21.2 5.94 3.32 5.41 8.32 NA NA 71.06
1980018 1980 01 18 20.25 3.7 1.37 10.39 3.94 NA NA 84.06
1980019 1980 01 19 21.2 4.35 2.77 2.45 4.23 NA NA 87.01
1980020 1980 01 20 25.87 5.68 3.59 1.96 5.57 NA NA 81.75
1980021 1980 01 21 21.84 6.9 4.52 0.02 4.23 NA NA 86.14
1980022 1980 01 22 44.31 6.88 4.05 0.02 4.31 NA NA 81.81
1980023 1980 01 23 23.22 8.25 1.86 15.23 5.89 NA NA 74.13
1980024 1980 01 24 10.92 7.34 5.59 12.5 9.11 NA NA 86.72
1980025 1980 01 25 21.84 5.53 2.14 0.02 7.68 NA NA 65.58
1980026 1980 01 26 38.59 3.03 -0.11 0.02 7.07 NA NA 58.24
1980027 1980 01 27 45.59 2.26 -1.07 0.02 4.86 NA NA 55.01
1980028 1980 01 28 36.04 4.9 -1.18 3.49 3.94 NA NA 71.99
1980029 1980 01 29 21.2 4.5 0.52 9.1 7.07 NA NA 75.74
