*WEATHER DATA - Station:Ankara - BADJAM DATA - BADJer: IPSL - Method: CDFt - Source model: NOAAGFDL
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Ankara 39.92 32.85 1068.57 10.29 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 91.92 2.55 -6.52 0 0.68 NA NA 57.6
1980002 1980 01 02 79.36 4.82 -5.73 0 1.38 NA NA 62.6
1980003 1980 01 03 72.86 6.33 -0.66 0 4.23 NA NA 66.43
1980004 1980 01 04 37.89 2.08 -4.23 1.48 3.9 NA NA 64.85
1980005 1980 01 05 80.93 3.36 -4.69 0 2.4 NA NA 50.41
1980006 1980 01 06 76.45 6.04 -0.56 0 2.59 NA NA 64.24
1980007 1980 01 07 80.93 7.34 -0.46 0 3.62 NA NA 49.86
1980008 1980 01 08 39.23 6.75 -1.25 1.02 2.94 NA NA 66.07
1980009 1980 01 09 75.1 5.55 -1.7 0.35 1.85 NA NA 54.98
1980010 1980 01 10 69.05 7.24 -0.77 2.45 1.47 NA NA 63.69
1980011 1980 01 11 76.45 7.34 -1.25 0 1.47 NA NA 63.2
1980012 1980 01 12 92.59 7.66 -0.52 0 2.59 NA NA 54.92
1980013 1980 01 13 107.61 9.12 0.34 0 4.31 NA NA 43.1
1980014 1980 01 14 34.3 5.94 -0.21 0.73 3.42 NA NA 68.45
1980015 1980 01 15 103.57 6.04 -1.95 0.92 3.42 NA NA 58.63
1980016 1980 01 16 63.22 6.04 -2.19 0 1.27 NA NA 64.36
1980017 1980 01 17 110.97 6.75 -3.13 0 1.27 NA NA 59.55
1980018 1980 01 18 89.68 9.04 1.28 0 3.37 NA NA 49.37
1980019 1980 01 19 63.22 8.96 1.04 0 4.16 NA NA 56.56
1980020 1980 01 20 112.77 10.11 1.28 0 3.62 NA NA 44.31
1980021 1980 01 21 74.88 8.44 0.48 0.84 3.62 NA NA 53.09
1980022 1980 01 22 43.94 5.78 -0.46 7.67 1.9 NA NA 70.76
1980023 1980 01 23 102.45 3.51 -2.61 0 1.27 NA NA 46.45
1980024 1980 01 24 64.34 5.23 -2.67 0.59 2.1 NA NA 54.49
1980025 1980 01 25 39.23 7.16 0.34 11.72 3.02 NA NA 73.69
1980026 1980 01 26 72.86 3.17 -3.13 0 1.85 NA NA 62.66
1980027 1980 01 27 102 0.15 -3.96 0 2.33 NA NA 53.7
1980028 1980 01 28 67.48 7.35 -0.21 1.02 5.4 NA NA 62.47
1980029 1980 01 29 105.59 4.48 -6.97 0.92 4.32 NA NA 43.1
1980030 1980 01 30 129.35 -1.05 -7.6 0 3.02 NA NA 31.03
1980031 1980 01 31 30.94 1.29 -1.32 14.68 3.9 NA NA 79.47
1980032 1980 02 01 55.04 0.58 -8.51 1.99 3.89 NA NA 67.25
1980033 1980 02 02 101.53 -2.08 -10.22 0.02 2.18 NA NA 47.16
1980034 1980 02 03 98.37 -2.38 -9.39 0.02 3.42 NA NA 47.23
1980035 1980 02 04 52.19 1.01 -9.21 14.14 6.13 NA NA 50.48
1980036 1980 02 05 112.92 -3.23 -12.03 0.02 3.3 NA NA 51.47
1980037 1980 02 06 82.55 -1 -12.03 4.55 4.07 NA NA 45.44
1980038 1980 02 07 123.67 -2.7 -13.5 0.02 3.13 NA NA 51.14
1980039 1980 02 08 132.53 -3.43 -13.67 0.02 1.65 NA NA 44.71
1980040 1980 02 09 145.18 -3.53 -13.71 0.02 0.86 NA NA 41.06
1980041 1980 02 10 141.7 -4.55 -13.46 0.02 1.86 NA NA 49.68
1980042 1980 02 11 139.48 -3.82 -13.15 0.02 2.18 NA NA 49.75
1980043 1980 02 12 141.7 -3.3 -13.25 0.02 2.18 NA NA 46.63
1980044 1980 02 13 144.23 -2.41 -13.46 0.02 2.26 NA NA 42.32
1980045 1980 02 14 146.44 -2.54 -13.5 0.02 1.26 NA NA 46.43
1980046 1980 02 15 128.73 -0.27 -12.14 14.32 2.68 NA NA 61.88
1980047 1980 02 16 112.92 -0.04 -11.3 2.42 3.3 NA NA 60.42
1980048 1980 02 17 154.67 -2.34 -12 2.51 2.47 NA NA 63.67
1980049 1980 02 18 150.56 -2.34 -10.71 1.25 3.73 NA NA 64.93
1980050 1980 02 19 158.46 -2.93 -13.6 1.85 3.98 NA NA 60.49
1980051 1980 02 20 170.48 -5.01 -13.85 0.02 1.35 NA NA 47.42
1980052 1980 02 21 191.35 -5.3 -16.04 0.02 0.59 NA NA 48.09
1980053 1980 02 22 128.73 0.85 -13.71 0.02 1.72 NA NA 42.85
1980054 1980 02 23 129.36 0.94 -10.22 0.02 1.26 NA NA 56.24
1980055 1980 02 24 179.02 -1.26 -12.91 0.02 1.14 NA NA 54.98
1980056 1980 02 25 175.54 -1.26 -12.98 0.02 2.18 NA NA 51.87
1980057 1980 02 26 154.67 1.17 -6.98 3.87 3.69 NA NA 72.43
1980058 1980 02 27 174.28 1.14 -5.34 0.02 2.68 NA NA 71.5
1980059 1980 02 28 195.15 1.24 -3.98 1.65 3.64 NA NA 67.25
1980060 1980 02 29 0 0 0 0 0 NA NA 0
1980061 1980 03 01 154.33 3.34 -5.68 0.01 2.22 NA NA 72.6
1980062 1980 03 02 141.94 3.15 -3.52 2.04 2.33 NA NA 82.92
1980063 1980 03 03 123.13 4.6 -3.52 1.54 2.61 NA NA 79.55
1980064 1980 03 04 136.8 5.7 -4.91 0.01 2.42 NA NA 69.83
1980065 1980 03 05 166.3 5.35 -3.09 0.01 1.68 NA NA 61.27
1980066 1980 03 06 111.15 8.03 -0.87 7.01 2.92 NA NA 68.35
1980067 1980 03 07 146.21 8.42 -1.75 0.01 1.43 NA NA 60.86
1980068 1980 03 08 88.5 8.91 -2.55 0.79 1.02 NA NA 56.75
1980069 1980 03 09 123.12 5.8 -2.86 0.01 2.22 NA NA 51.89
1980070 1980 03 10 197.51 3.44 -4.26 0.01 1.14 NA NA 36.85
1980071 1980 03 11 98.76 5.45 -3.8 3.3 2.73 NA NA 57.02
1980072 1980 03 12 191.95 7.48 -3.86 6.69 2.22 NA NA 55.26
1980073 1980 03 13 205.63 8.26 -0.7 0.01 2.33 NA NA 45.01
1980074 1980 03 14 145.78 5.7 -1.15 1.37 3.54 NA NA 59.11
1980075 1980 03 15 144.07 4.34 -3 1.1 4.2 NA NA 62.75
1980076 1980 03 16 206.92 3.96 -3.86 0.01 3 NA NA 44.47
1980077 1980 03 17 178.27 7.26 -3.2 0.01 1.55 NA NA 49.33
1980078 1980 03 18 141.08 9.17 -3.86 0.01 0.74 NA NA 47.71
1980079 1980 03 19 213.76 14.18 -1.27 0.01 0.55 NA NA 44.07
1980080 1980 03 20 135.09 14.73 -0.78 0.71 1.25 NA NA 47.71
1980081 1980 03 21 136.81 12.89 -0.64 0.61 2.92 NA NA 52.77
1980082 1980 03 22 247.1 6.61 -2.63 0.01 2.42 NA NA 33.14
1980083 1980 03 23 237.7 8.91 -3.52 0.01 1.43 NA NA 24.03
1980084 1980 03 24 232.57 11.92 -2.18 0.01 1.43 NA NA 27.07
1980085 1980 03 25 243.68 13.7 -2.18 0.01 1.25 NA NA 36.65
1980086 1980 03 26 155.61 13.34 3.37 7.06 3.25 NA NA 51.28
1980087 1980 03 27 247.1 11.92 0.95 0.01 2.61 NA NA 38.53
1980088 1980 03 28 252.66 15.31 -0.64 0.01 1.93 NA NA 33.81
1980089 1980 03 29 179.55 18.06 3.77 1.1 3.25 NA NA 33.81
1980090 1980 03 30 119.28 13.34 0.81 0.01 2.73 NA NA 53.11
1980091 1980 03 31 228.29 13.18 -1.15 0.01 0.92 NA NA 41.44
1980092 1980 04 01 206.93 16.22 -1.26 0.02 1.77 NA NA 36.81
1980093 1980 04 02 158.9 13.6 1.02 0.88 2.27 NA NA 58.65
1980094 1980 04 03 202.33 14.27 -1.43 0.02 1.53 NA NA 40.44
1980095 1980 04 04 80.73 12.08 4.09 12.1 3.49 NA NA 62.54
1980096 1980 04 05 211.02 15.2 2.14 0.02 2.53 NA NA 41.89
1980097 1980 04 06 74.08 13.63 6.98 17.72 2.07 NA NA 66.83
1980098 1980 04 07 142.04 13.38 4.58 0.02 2.53 NA NA 60.5
1980099 1980 04 08 214.08 16.74 3.19 0.02 1.09 NA NA 43.74
1980100 1980 04 09 226.85 20.08 3.38 0.02 1.53 NA NA 37.47
1980101 1980 04 10 198.75 21.53 7.93 0.02 1.65 NA NA 37.41
1980102 1980 04 11 190.58 15.6 4.16 0.02 2.16 NA NA 50.47
1980103 1980 04 12 246.27 15.45 2 0.02 0.95 NA NA 35.49
1980104 1980 04 13 188.53 20.48 5.99 0.02 3.59 NA NA 28.23
1980105 1980 04 14 211.02 16.65 8.78 3.6 3.86 NA NA 45.52
1980106 1980 04 15 54.67 11.59 5.01 1.4 2.93 NA NA 63.8
1980107 1980 04 16 212.04 14.28 2.14 1.11 0.79 NA NA 49.22
1980108 1980 04 17 84.3 12.08 3.24 2.42 1.09 NA NA 64.06
1980109 1980 04 18 173.21 14.4 4.09 0.02 0.87 NA NA 50.47
1980110 1980 04 19 151.24 14.49 4.16 0.64 1.65 NA NA 59.84
1980111 1980 04 20 174.74 17.82 3.99 0.02 1.53 NA NA 44.66
1980112 1980 04 21 202.33 21.74 7.93 1.85 2.43 NA NA 35.49
1980113 1980 04 22 190.58 23.04 7.49 1.47 2.61 NA NA 31.34
1980114 1980 04 23 293.78 22.61 7.93 0.02 2.61 NA NA 32.26
1980115 1980 04 24 220.21 22.21 7.28 3.88 1.77 NA NA 38.86
1980116 1980 04 25 131.82 20.48 7.28 4.31 0.6 NA NA 48.75
1980117 1980 04 26 256.49 23.16 7.49 0.02 0.68 NA NA 39.39
1980118 1980 04 27 190.07 22.24 8.78 1.52 1.65 NA NA 44.99
1980119 1980 04 28 112.41 21.53 8.88 1.23 2.36 NA NA 44.73
1980120 1980 04 29 287.14 17.85 6.45 0.02 2.61 NA NA 39.71
1980121 1980 04 30 281.01 20.6 5.82 0.02 1.44 NA NA 37.87
1980122 1980 05 01 280.48 24.17 8.05 0.02 2.11 NA NA 30.78
1980123 1980 05 02 264.11 24.76 9.26 0.02 2.35 NA NA 29.35
1980124 1980 05 03 264.12 20.78 7.75 0.02 2.57 NA NA 39.91
1980125 1980 05 04 221 18.99 5.25 3.15 0.4 NA NA 51.77
1980126 1980 05 05 213.36 21.86 5.75 1.82 0.4 NA NA 44.75
1980127 1980 05 06 211.73 20.78 6.77 1.82 0.66 NA NA 51.16
1980128 1980 05 07 256.47 22.78 5.48 1.82 0.4 NA NA 45.84
1980129 1980 05 08 150.06 19.13 12.2 15.04 2.57 NA NA 65.33
1980130 1980 05 09 150.06 20.14 11.7 1.43 3.73 NA NA 56.88
1980131 1980 05 10 233.55 18.91 8.88 0.74 3.73 NA NA 42.91
1980132 1980 05 11 270.12 18.69 6.36 0.02 1.68 NA NA 47.68
1980133 1980 05 12 276.66 20.89 5.81 0.02 0.86 NA NA 42.09
1980134 1980 05 13 203 19.63 8 0.45 1.07 NA NA 50.75
1980135 1980 05 14 203 19.63 8.69 3.69 1.37 NA NA 52.79
1980136 1980 05 15 244.47 20.66 8.61 0.02 1.07 NA NA 44.75
1980137 1980 05 16 306.13 22.89 7.15 0.02 0.66 NA NA 33.91
1980138 1980 05 17 221 25.51 8.3 7.36 0.86 NA NA 39.5
1980139 1980 05 18 284.3 24.12 9.94 0.02 1.27 NA NA 40.52
1980140 1980 05 19 286.49 26.15 8.8 0.02 1.78 NA NA 30.17
1980141 1980 05 20 310.5 28.85 12.43 0.02 3.72 NA NA 21.1
1980142 1980 05 21 242.83 21.08 10.2 2.15 3.04 NA NA 40.18
1980143 1980 05 22 120.6 15.79 10.05 9.48 2.47 NA NA 63.56
1980144 1980 05 23 296.31 22.78 10.47 0.02 2.47 NA NA 44.41
1980145 1980 05 24 267.93 23.92 8.96 0.26 1.48 NA NA 41.27
1980146 1980 05 25 237.92 23.39 8.8 1.49 1.48 NA NA 43.32
1980147 1980 05 26 317.59 24.76 9.26 0.02 1.37 NA NA 38.41
1980148 1980 05 27 241.74 25.67 11.82 2.27 0.4 NA NA 45.02
