*WEATHER DATA - Station:Aswan  - BADJAM DATA - BADJer: IPSL - Method: R2D2 - Source model: CSIRO
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Aswan  23.9 32.9 181 25.76 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 192.11 28.63 11.29 0 1.59 NA NA 19.98
1980002 1980 01 02 178.15 21.33 7.74 0 3.9 NA NA 15.22
1980003 1980 01 03 182.58 27.75 11.85 0 2.21 NA NA 8.38
1980004 1980 01 04 199.6 26.12 9.69 0 2.62 NA NA 11.76
1980005 1980 01 05 199.6 29.21 13.08 0 3.14 NA NA 6.46
1980006 1980 01 06 197.9 29.95 15.75 0 1.8 NA NA 14.53
1980007 1980 01 07 198.24 22.52 8.1 0 3.8 NA NA 15.18
1980008 1980 01 08 180.2 26.97 8.82 0 3.9 NA NA 19.59
1980009 1980 01 09 180.2 24.34 8.21 0 2.91 NA NA 13.64
1980010 1980 01 10 188.71 22.96 8.21 0 3.47 NA NA 22.24
1980011 1980 01 11 194.16 20.93 6.73 0 4.43 NA NA 20.59
1980012 1980 01 12 192.12 20.15 8.77 0 4.63 NA NA 19.25
1980013 1980 01 13 198.92 27.75 12.34 0 1.8 NA NA 9.38
1980014 1980 01 14 189.73 29.55 13.73 0 3.14 NA NA 9.3
1980015 1980 01 15 171 22.52 8.01 0 2.62 NA NA 14.37
1980016 1980 01 16 193.14 23.66 8.36 0 2.42 NA NA 14.83
1980017 1980 01 17 198.92 24.68 8.1 0 2.83 NA NA 15.18
1980018 1980 01 18 184.96 22.94 7.81 0 3.14 NA NA 25.74
1980019 1980 01 19 180.2 24.42 9.78 0 2.21 NA NA 17.02
1980020 1980 01 20 160.09 23.66 9.53 0 3.47 NA NA 11.53
1980021 1980 01 21 159.75 28.75 14.94 0 0.9 NA NA 23.9
1980022 1980 01 22 178.15 20.93 7.38 0 4.2 NA NA 21.48
1980023 1980 01 23 183.94 23.44 8.63 0 3.03 NA NA 14.53
1980024 1980 01 24 184.96 29.33 13.73 0 3.47 NA NA 19.25
1980025 1980 01 25 162.48 24.18 9.13 0 3.8 NA NA 21.21
1980026 1980 01 26 193.14 25.4 8.63 0 2.83 NA NA 14.79
1980027 1980 01 27 178.14 26.12 11.19 0 3.31 NA NA 16.22
1980028 1980 01 28 183.94 20.73 5.9 0 4.31 NA NA 16.41
1980029 1980 01 29 166.91 21.98 8.52 0 4.19 NA NA 13.49
1980030 1980 01 30 176.78 17.18 4.68 0 4.19 NA NA 17.29
1980031 1980 01 31 172.35 26.18 8.1 0 3.64 NA NA 19.63
1980032 1980 02 01 217.56 27.37 11.21 0 2.08 NA NA 9.85
1980033 1980 02 02 160.63 20.96 6.17 0 3.45 NA NA 14.51
1980034 1980 02 03 198.45 22.62 9.83 0 4.17 NA NA 12.15
1980035 1980 02 04 152.09 23.31 11.14 0.6 2.61 NA NA 18.25
1980036 1980 02 05 214.32 18.71 6.33 0 3.88 NA NA 11.82
1980037 1980 02 06 194.38 22.67 11.04 0 4.51 NA NA 12.21
1980038 1980 02 07 235.46 26.36 8.65 0 1.84 NA NA 9.1
1980039 1980 02 08 211.87 33.53 14.72 0 1.16 NA NA 7.16
1980040 1980 02 09 209.43 29.52 12.8 0 2.91 NA NA 3.51
1980041 1980 02 10 202.11 24.15 8.44 0 1.57 NA NA 16.84
1980042 1980 02 11 216.35 21.75 7.62 0 4.51 NA NA 17.27
1980043 1980 02 12 224.89 28.35 12.13 0 2.61 NA NA 9.16
1980044 1980 02 13 224.88 26.91 11.29 0 2.47 NA NA 5.68
1980045 1980 02 14 223.67 27.49 10.77 0 0.76 NA NA 6.7
1980046 1980 02 15 255.4 26.69 11.14 0 3.88 NA NA 12.15
1980047 1980 02 16 255.39 23.82 6.23 0 4.17 NA NA 12.61
1980048 1980 02 17 239.52 25.83 9.12 0 3.33 NA NA 15.14
1980049 1980 02 18 136.64 30.12 12.8 0.3 2.29 NA NA 17.89
1980050 1980 02 19 200.89 20.51 7.91 0 4.77 NA NA 12.48
1980051 1980 02 20 223.66 25.09 10.43 0 4.29 NA NA 18.81
1980052 1980 02 21 233.02 27.32 10.02 0 1.9 NA NA 8.73
1980053 1980 02 22 226.91 32.57 15.83 0 2.81 NA NA 9.39
1980054 1980 02 23 217.57 27.99 11.98 0 2.29 NA NA 4.3
1980055 1980 02 24 255.39 24.44 6.81 0 3.45 NA NA 11.82
1980056 1980 02 25 193.98 23.05 8.01 0 3.69 NA NA 15.37
1980057 1980 02 26 244 24.94 9.44 0 4.85 NA NA 11.16
1980058 1980 02 27 244 25.66 7.71 0 3.88 NA NA 11.39
1980059 1980 02 28 233.02 22.59 7.28 0 4.42 NA NA 15.1
1980060 1980 02 29 0 0 0 0 0 NA NA 0
1980061 1980 03 01 260.29 30.9 15.71 0 2.49 NA NA 5.93
1980062 1980 03 02 259.31 30.95 15.04 0 4.39 NA NA 8.29
1980063 1980 03 03 228.05 30.62 16.43 0 3.6 NA NA 9.65
1980064 1980 03 04 260.28 37.16 18.54 0 2.19 NA NA 12.88
1980065 1980 03 05 284.21 27.25 10.22 0 3.46 NA NA 7.54
1980066 1980 03 06 278.84 24.53 10.6 0 3.69 NA NA 5.49
1980067 1980 03 07 278.84 26.6 10.94 0 3.8 NA NA 11.39
1980068 1980 03 08 281.28 22.85 7.81 0 3.25 NA NA 8.41
1980069 1980 03 09 307.16 28.39 12.25 0 3.15 NA NA 6.24
1980070 1980 03 10 266.15 28.86 14.58 0 3.99 NA NA 12.45
1980071 1980 03 11 284.22 32.97 14.28 0 4.32 NA NA 5.93
1980072 1980 03 12 267.13 27.79 12.35 0 4.23 NA NA 6.3
1980073 1980 03 13 261.75 30.3 12.37 0 3.8 NA NA 7.98
1980074 1980 03 14 251.01 31.67 13.19 0 2.58 NA NA 6.3
1980075 1980 03 15 255.9 35 16.13 0 1.34 NA NA 2.45
1980076 1980 03 16 232.45 29.55 13.43 0 2.05 NA NA 12.45
1980077 1980 03 17 286.66 29.97 13.05 0 3.84 NA NA 8.91
1980078 1980 03 18 267.13 32.97 12.85 0 2.49 NA NA 5.18
1980079 1980 03 19 244.66 24.69 9.94 0 3.99 NA NA 17.73
