*WEATHER DATA - Station:Estrees-Mons - BADJAM DATA - BADJer: IPSL - Method: R2D2 - Source model: CSIRO
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Estrees-Mons 49.88 3 83 10.05 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 61.86 5.28 -1.67 0.01 2.89 NA NA 85.06
1980002 1980 01 02 53.52 5.28 -2.26 0.01 3.62 NA NA 73.13
1980003 1980 01 03 4.31 1.82 -1.55 3.57 3.07 NA NA 74.92
1980004 1980 01 04 27.81 2.19 -3.42 2.77 2.58 NA NA 76.39
1980005 1980 01 05 49.35 4.08 -2.26 0.01 2.68 NA NA 75.69
1980006 1980 01 06 70.9 0.23 -3.72 0.01 1.74 NA NA 69.65
1980007 1980 01 07 70.9 1.26 -3.12 0.01 2.78 NA NA 43.46
1980008 1980 01 08 46.85 3.45 -0.36 0.01 3.62 NA NA 68.95
1980009 1980 01 09 49.35 4.18 0.12 0.01 3.99 NA NA 65.7
1980010 1980 01 10 41.43 3.88 -0.51 0.01 1.47 NA NA 71.82
1980011 1980 01 11 46.02 5.24 0.83 0.01 2.89 NA NA 66.55
1980012 1980 01 12 33.92 8.17 2.1 0.01 2.68 NA NA 72.05
1980013 1980 01 13 40.04 6.14 0.16 0.41 2.78 NA NA 90.8
1980014 1980 01 14 35.87 8.1 5.38 1.2 3.99 NA NA 88.55
1980015 1980 01 15 59.5 4.65 -0.99 0.01 2.78 NA NA 79.8
1980016 1980 01 16 61.86 4.18 -1.85 0.01 1.99 NA NA 56.4
1980017 1980 01 17 47.82 4.78 -2.56 0.01 3.16 NA NA 71.2
1980018 1980 01 18 37.81 5.68 0.05 0.01 0.9 NA NA 71.82
1980019 1980 01 19 46.85 8.77 1.8 0.01 3.27 NA NA 58.11
1980020 1980 01 20 35.87 6.87 0.16 2.44 5.78 NA NA 68.87
1980021 1980 01 21 60.47 3.25 -2.45 0.01 1.26 NA NA 58.26
1980022 1980 01 22 30.17 2.45 -1.67 0.01 3.52 NA NA 66.63
1980023 1980 01 23 73.12 1.99 -4.65 0.01 0.87 NA NA 57.87
1980024 1980 01 24 26.69 1.02 -7.14 1.97 2.07 NA NA 72.82
1980025 1980 01 25 46.02 2.45 -1.55 0.01 4.29 NA NA 55.47
1980026 1980 01 26 65.06 5.61 -0.51 0.01 2.89 NA NA 65.08
1980027 1980 01 27 16.13 1.62 -0.03 1.66 2.39 NA NA 84.13
1980028 1980 01 28 22.66 10.79 7.24 0.41 4.69 NA NA 80.42
1980029 1980 01 29 49.35 7.8 2.81 3.73 2.97 NA NA 85.84
1980030 1980 01 30 46.01 5.87 0.64 0.01 2.39 NA NA 78.79
1980031 1980 01 31 64.36 4.78 -0.36 0.98 4.69 NA NA 66.63
1980032 1980 02 01 82.86 0.86 -4.22 0 2.72 NA NA 47.58
1980033 1980 02 02 37.44 1.26 -3.52 0 2.41 NA NA 60.64
1980034 1980 02 03 30.2 6.22 3.97 0.69 2.57 NA NA 86.63
1980035 1980 02 04 37.68 9.29 2.25 5.17 3.99 NA NA 78.94
1980036 1980 02 05 42.27 5.85 3.19 4.4 6.36 NA NA 67.66
1980037 1980 02 06 60.63 3.59 -1.69 1.39 1.27 NA NA 57.13
1980038 1980 02 07 50.01 4.89 0.42 0.69 4.99 NA NA 57.51
1980039 1980 02 08 41.07 7.92 -1.18 0.53 4.15 NA NA 63.86
1980040 1980 02 09 87.45 8.62 2.25 0.98 4.73 NA NA 68.19
1980041 1980 02 10 73.68 7.99 -0.21 0 2.08 NA NA 67.74
1980042 1980 02 11 95.66 10.29 1.9 0 3.08 NA NA 73.34
1980043 1980 02 12 71.26 8.4 1.43 0 0.83 NA NA 69.31
1980044 1980 02 13 79.48 10.51 2.25 0 1.32 NA NA 54.75
1980045 1980 02 14 45.9 8.33 4.12 7.94 6.85 NA NA 72.97
1980046 1980 02 15 104.6 11.95 1.78 0.8 2.22 NA NA 52.95
1980047 1980 02 16 98.32 6.55 2.25 0.23 1.73 NA NA 80.36
1980048 1980 02 17 49.28 11.06 7.48 0 4.99 NA NA 68.93
1980049 1980 02 18 85.76 8.92 2.64 0.53 5.2 NA NA 71.92
1980050 1980 02 19 89.14 10.51 0.22 0 1.88 NA NA 52.73
1980051 1980 02 20 49.52 6.44 0.73 0 4.35 NA NA 71.92
1980052 1980 02 21 40.82 7.07 1.04 0 1.82 NA NA 64.45
1980053 1980 02 22 31.89 1.82 -4.07 0 1.57 NA NA 64.68
1980054 1980 02 23 29.47 6.18 2.25 1.39 5.3 NA NA 83.5
1980055 1980 02 24 143.25 14.91 3.11 0 3.58 NA NA 43.84
1980056 1980 02 25 55.32 13.87 8.06 5.74 6.85 NA NA 62.51
1980057 1980 02 26 39.13 13.91 9.9 2.25 8.27 NA NA 74.46
1980058 1980 02 27 47.59 13.65 9.43 8.42 7.7 NA NA 79.17
1980059 1980 02 28 53.14 13.43 8.26 1.6 5.46 NA NA 55.19
