*WEATHER DATA - Station:Ventas Huelma - BADJAM DATA - BADJer: IPSL - Method: R2D2 - Source model: ICHEC
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Ventas Huelma 37.16 -3.83 740 16.16 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 123.96 14.51 2.53 0 0.5 NA NA 28.57
1980002 1980 01 02 117.41 10.7 1.72 0 2.7 NA NA 48.59
1980003 1980 01 03 119.83 12.62 1.89 0.6 3.91 NA NA 47.23
1980004 1980 01 04 135.36 14.86 0.51 0 2.66 NA NA 28.91
1980005 1980 01 05 125.65 15.67 2.85 0 1.46 NA NA 37.14
1980006 1980 01 06 64.04 15.12 5.45 0 2.7 NA NA 47.32
1980007 1980 01 07 110.37 17.16 5.9 0 2.22 NA NA 34.93
1980008 1980 01 08 64.04 13.24 4.19 4.13 2.66 NA NA 69.97
1980009 1980 01 09 78.11 11.07 2.85 1.25 2.61 NA NA 55.12
1980010 1980 01 10 120.8 12.52 2.7 0 1.85 NA NA 41.21
1980011 1980 01 11 87.81 17.16 6.33 0 2.04 NA NA 56.9
1980012 1980 01 12 80.78 13.57 5.69 1.22 1.66 NA NA 67.17
1980013 1980 01 13 81.75 14.63 5.45 3.61 3.37 NA NA 62.42
1980014 1980 01 14 117.41 12.34 2.3 0 4.25 NA NA 44.26
1980015 1980 01 15 75.92 12.52 2.85 0 2.22 NA NA 70.05
1980016 1980 01 16 50.7 13.24 2.75 3.91 3.49 NA NA 49.52
1980017 1980 01 17 123.96 15.74 1.59 0 1.85 NA NA 41.29
1980018 1980 01 18 124.93 19.73 6.55 0 0.77 NA NA 38.49
1980019 1980 01 19 64.52 14.63 6.33 0 2.8 NA NA 73.53
1980020 1980 01 20 143.6 14.51 3.82 0 1.75 NA NA 43.84
1980021 1980 01 21 135.36 16.86 3.18 0 2.61 NA NA 27.46
1980022 1980 01 22 101.15 11.53 1.44 0.35 2.97 NA NA 51.22
1980023 1980 01 23 124.93 14.63 2.92 0 1.35 NA NA 50.8
1980024 1980 01 24 115.47 14.37 3.37 0 3.19 NA NA 41.12
1980025 1980 01 25 127.11 16.44 2.53 0 1.46 NA NA 38.66
1980026 1980 01 26 101.15 18.34 8.29 1 0.5 NA NA 57.84
1980027 1980 01 27 53.13 15.67 9.25 3.61 4.68 NA NA 74.97
1980028 1980 01 28 130.02 17.46 2.59 0 2.47 NA NA 30.09
1980029 1980 01 29 112.8 16.44 6.65 0 3.23 NA NA 42.57
1980030 1980 01 30 111.83 13.24 1.8 0 0.77 NA NA 35.69
1980031 1980 01 31 147.48 15.54 1.18 0 2.11 NA NA 23.14
1980032 1980 02 01 186.55 16.26 1.92 0.01 1.53 NA NA 27.89
1980033 1980 02 02 136.42 16.92 8.63 0.01 0.6 NA NA 54.86
1980034 1980 02 03 145.39 16.96 6.4 0.01 3.56 NA NA 49.81
1980035 1980 02 04 166.63 18.33 7.95 0.01 1.13 NA NA 41.38
1980036 1980 02 05 185.55 15.11 5.79 0.01 3.93 NA NA 42.24
1980037 1980 02 06 120.16 16.57 5.05 0.01 2.43 NA NA 39.33
1980038 1980 02 07 112.86 15.89 5.24 0.01 3.38 NA NA 46.97
1980039 1980 02 08 153.68 14.51 2.58 0.01 2.34 NA NA 29.31
1980040 1980 02 09 176.59 18.15 5.55 0 1.21 NA NA 49.89
1980041 1980 02 10 145.39 16.92 7.63 0.01 2.05 NA NA 54.31
1980042 1980 02 11 169.28 17.64 6.8 0.01 2.34 NA NA 37.04
1980043 1980 02 12 190.86 16.57 4.04 0.01 1.13 NA NA 31.21
1980044 1980 02 13 178.25 17.57 3.1 0.01 1.45 NA NA 39.41
