*WEATHER DATA - Station:Orleans  - BADJAM DATA - BADJer: IPSL - Method: R2D2 - Source model: IPSL
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Orleans  47.83 1.91 116 11.04 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 46.55 9.36 2.68 2.27 3.96 NA NA 62.7
1980002 1980 01 02 63.52 5.33 -1.56 0 3.32 NA NA 52.36
1980003 1980 01 03 55.44 1.93 -3.5 0 2.61 NA NA 70.96
1980004 1980 01 04 48 5.19 1.14 0 3.27 NA NA 63.34
1980005 1980 01 05 32.65 3.69 -0.54 0 4.7 NA NA 57.97
1980006 1980 01 06 81.78 4.91 -2.45 0 2.78 NA NA 50.68
1980007 1980 01 07 84.85 4.77 -0.99 0 3.62 NA NA 53.08
1980008 1980 01 08 63.52 4.14 -5.34 0 4.54 NA NA 50.12
1980009 1980 01 09 56.73 6.3 -0.65 0 3.62 NA NA 57.65
1980010 1980 01 10 33.14 9.54 4.99 2.78 5.34 NA NA 76.49
1980011 1980 01 11 52.04 8.09 1.03 0 0.56 NA NA 57.89
1980012 1980 01 12 46.55 5.09 2.32 0 2.14 NA NA 83.87
1980013 1980 01 13 49.62 10.47 5.46 11.8 3.88 NA NA 89
1980014 1980 01 14 31.19 7.99 3.84 6.75 2.91 NA NA 80.9
1980015 1980 01 15 18.91 7.46 5.25 10.3 1.98 NA NA 85.55
1980016 1980 01 16 65.94 10.68 4.83 0 5.02 NA NA 72.8
1980017 1980 01 17 19.56 8.49 5.51 4.78 2.61 NA NA 82.75
1980018 1980 01 18 61.42 5.75 0.85 1.75 6.27 NA NA 56.13
1980019 1980 01 19 31.19 6.35 1.03 1.42 5.15 NA NA 85.39
1980020 1980 01 20 45.26 3.32 -0.86 0 1.23 NA NA 76.65
1980021 1980 01 21 32.65 8.88 6.27 2.69 5.56 NA NA 75.77
1980022 1980 01 22 19.56 10.97 8.53 12.3 4.9 NA NA 82.67
1980023 1980 01 23 23.28 14.76 8.42 13.58 6.23 NA NA 82.67
1980024 1980 01 24 32.65 11.78 7.53 1.75 5.56 NA NA 64.87
1980025 1980 01 25 26.51 12.73 5.64 8.8 7.29 NA NA 79.94
1980026 1980 01 26 38.79 10.65 5.46 1.24 5.02 NA NA 79.86
1980027 1980 01 27 41.7 6.01 -0.96 0 4.3 NA NA 67.19
1980028 1980 01 28 24.25 10.31 3.52 1.75 6.89 NA NA 89.88
1980029 1980 01 29 55.44 5.77 1.03 0.44 4.54 NA NA 68.63
1980030 1980 01 30 34.75 3.8 -1.96 0.91 2.78 NA NA 90.52
1980031 1980 01 31 69.33 2.72 -3.45 0 2.36 NA NA 67.11
1980032 1980 02 01 97.69 6.85 -0.98 0 1.83 NA NA 40.06
1980033 1980 02 02 72.53 10.29 3.32 1.52 0.1 NA NA 54.78
1980034 1980 02 03 47.91 5.78 -0.79 0.33 3.93 NA NA 64.32
1980035 1980 02 04 42.56 4.24 -1.72 0 2.89 NA NA 47.14
1980036 1980 02 05 69.85 1.74 -1.61 0.98 4.02 NA NA 53.52
1980037 1980 02 06 62.09 2.71 -2.5 1.11 3.51 NA NA 76.93
1980038 1980 02 07 74.94 5.81 -0.57 0 2.16 NA NA 77.42
1980039 1980 02 08 62.63 8.23 -0.15 0 0.19 NA NA 59.41
1980040 1980 02 09 65.03 7.29 1.09 6.14 3.07 NA NA 71.75
1980041 1980 02 10 98.76 7.37 -1.26 0 5.43 NA NA 44.41
1980042 1980 02 11 89.66 6.82 -1.01 0 0.1 NA NA 57.66
1980043 1980 02 12 72.53 8.78 0.26 0 0.94 NA NA 58.01
1980044 1980 02 13 85.64 13.44 2.41 0.28 3.15 NA NA 65.79
1980045 1980 02 14 62.63 12.14 4.89 1.38 4.47 NA NA 69.36
1980046 1980 02 15 91.26 9.58 -0.4 0 2.75 NA NA 57.59
1980047 1980 02 16 91.26 5.36 -1.89 0 3.15 NA NA 62.63
