*WEATHER DATA - Station:Libertinia - BADJAM DATA - BADJer: IPSL - Method: R2D2 - Source model: MPICCLM
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Libertinia 37.5 14.58 235 15.55 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 89.62 7.83 0.9 0.59 1.58 NA NA 45.33
1980002 1980 01 02 101.82 10.89 4.89 2.84 1.58 NA NA 42.04
1980003 1980 01 03 79.77 11.78 5.8 0.98 2.71 NA NA 60.71
1980004 1980 01 04 95.96 11.55 1.73 0.01 2.78 NA NA 61.76
1980005 1980 01 05 97.83 10.96 6.81 0.01 1.76 NA NA 73.79
1980006 1980 01 06 113.08 12.3 3.61 0.01 1.5 NA NA 50.63
1980007 1980 01 07 124.58 12.14 7.4 9.08 2.98 NA NA 66.84
1980008 1980 01 08 129.74 13.98 5.62 0.01 3.56 NA NA 41.14
1980009 1980 01 09 103.47 13.63 5.8 0.01 3.71 NA NA 39.35
1980010 1980 01 10 154.84 13.16 4.27 0.01 1.58 NA NA 57.43
1980011 1980 01 11 82.35 8.8 3.57 0.79 5.88 NA NA 47.42
1980012 1980 01 12 59.59 8.97 5.62 6.23 4.7 NA NA 75.28
1980013 1980 01 13 118.72 13.94 2.83 0.01 3.67 NA NA 43.23
1980014 1980 01 14 58.65 12.12 8.33 0.01 2.87 NA NA 62.21
1980015 1980 01 15 60.06 12.07 4.7 0 2.28 NA NA 62.58
1980016 1980 01 16 78.36 10.39 4.89 1.19 3.78 NA NA 52.35
1980017 1980 01 17 91.03 12.85 6.81 0 4.7 NA NA 63.4
1980018 1980 01 18 107.69 10.48 0.17 0 1.97 NA NA 54.59
1980019 1980 01 19 45.28 9.51 6.27 10.56 3.85 NA NA 66.54
1980020 1980 01 20 51.38 14.22 6.94 0.89 4.08 NA NA 44.43
1980021 1980 01 21 78.36 5.18 2.76 5.18 4.49 NA NA 66.84
1980022 1980 01 22 124.58 8.45 -0.13 0.01 1.87 NA NA 45.55
1980023 1980 01 23 79.77 12.26 5.52 0.89 4.14 NA NA 45.33
