*WEATHER DATA - Station:Alexandria - BADJAM DATA - BADJer: IPSL - Method: R2D2 - Source model: MPICCLM
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Alexandria 43.98 25.35 56 11.73 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 82.14 1.96 -7.28 0 0.51 NA NA 47.73
1980002 1980 01 02 39.13 -3.14 -8.74 0 1.88 NA NA 70.94
1980003 1980 01 03 37.96 12.02 3.49 0.48 3.67 NA NA 66.46
1980004 1980 01 04 25.3 5.88 -0.04 0.4 4.49 NA NA 69.78
1980005 1980 01 05 79.8 -0.51 -6.35 1.07 3.04 NA NA 47.8
1980006 1980 01 06 75.13 7.27 -0.92 0 5.44 NA NA 73.33
1980007 1980 01 07 73.77 -1.13 -10.45 0 1.99 NA NA 71.01
1980008 1980 01 08 68.13 4.74 -3.15 0 1.99 NA NA 63.61
1980009 1980 01 09 40.1 3.75 -1.19 0 0.67 NA NA 71.78
1980010 1980 01 10 101.8 4.18 -1.03 0 5.26 NA NA 76.03
1980011 1980 01 11 63.45 8.87 -2.99 0.48 3.04 NA NA 52.66
1980012 1980 01 12 43.41 1.06 -4.25 2.08 2.33 NA NA 81.27
1980013 1980 01 13 70.07 1.96 -0.34 0 2.89 NA NA 81.27
1980014 1980 01 14 106.08 3.25 -2.68 0 3.82 NA NA 77.88
1980015 1980 01 15 76.3 11.1 -0.04 0 1.33 NA NA 62.69
1980016 1980 01 16 40.1 4.12 -4.25 1.39 0.51 NA NA 64.54
1980017 1980 01 17 35.42 7.39 0.54 0.76 3.04 NA NA 62.84
1980018 1980 01 18 89.54 4.12 -3.81 0 3.82 NA NA 49.27
1980019 1980 01 19 36.98 5.88 1.06 1.39 2.33 NA NA 79.19
1980020 1980 01 20 35.43 2.42 -4.56 2.08 4.21 NA NA 65.31
1980021 1980 01 21 84.47 -5.64 -10.34 0.48 0.5 NA NA 62.3
1980022 1980 01 22 78.25 -0.95 -8.25 0 1.88 NA NA 59.91
1980023 1980 01 23 51.97 4.74 -10.78 0.61 3.67 NA NA 71.09
1980024 1980 01 24 46.71 4.12 -0.12 0 0.91 NA NA 71.94
